,,,Slide ID,G3,G8,G5,G7,G2,G6,G11,G4,G13,G9,G1,G12,G10
,,,Antibody Name,G3,G8,G5,G7,G2,G6,G11,G4,G13,G9,G1,G12,G10
,,,HUGO ID,G3,G8,G5,G7,G2,G6,G11,G4,G13,G9,G1,G12,G10
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5456086871941684,0.41796404501980144,0.8738706092590743,0.6130984057843885,0.12538511326513713,0.4037530244317661,0.07398844720670839,0.1283848346252291,0.11587426419698799,0.6250580279258546,0.13783898605304956,0.7036042802870663,0.6106242894462646
C1,no,Insulin,0.5050505050505051,0.6384771067028495,0.710733069028939,0.49835384493266227,0.6492558921083629,0.21525585072815148,0.33847529133709225,0.033066218286953525,0.06594001227625047,0.7787425738351602,0.6887940269272917,0.1621724483095071,0.403773742972869,0.4218546136849798
C1,no,Insulin,1.0101010101010102,0.6564988807980701,0.8562367909097475,0.3056116866034706,0.6676432732675699,0.24350945164314092,0.31351780649883604,0.018888067668918533,0.03553937335394825,0.9446291043469445,0.6980350687490615,0.16923481193989723,0.30795745619933046,0.3480676676935925
C1,no,Insulin,1.5151515151515151,0.6600232816927402,0.9285509052657553,0.20369115098682317,0.6780260701464583,0.25211277940215526,0.30369262696314625,0.01285277848219224,0.020378785985900358,0.9861431198135778,0.6991672095190313,0.17104492513112038,0.2767359130394971,0.3185171799335832
C1,no,Insulin,2.0202020202020203,0.6607135123383956,0.9644904065029477,0.1481316002372136,0.6841121232213785,0.25462880985852016,0.2997747399240005,0.009744312940722283,0.012605823597620022,0.9965322394383458,0.699240784384852,0.17142302660506656,0.26644875920920646,0.306547043576316
C1,no,Insulin,2.5252525252525255,0.6608487491119946,0.9823520337983581,0.11691512562688544,0.6877253023588754,0.2553118716190238,0.29820406168664715,0.007924436775219467,0.008487296911186396,0.9991321754540622,0.6992224950215646,0.17146169665435054,0.26303672645809023,0.3016707544842363
C1,no,Insulin,3.0303030303030303,0.6608752681000588,0.9912291109496888,0.09889011739867865,0.6898794907235017,0.25546397207927635,0.297573000643264,0.006788317933143434,0.0062257511516304745,0.9997828224802822,0.6992116406415257,0.17144042495756853,0.2619005573802207,0.299678411678202
C1,no,Insulin,3.5353535353535355,0.6608804833277893,0.9956409396243695,0.08824639190119146,0.6911656167707753,0.2554739523320989,0.2973192316570227,0.006061282208811761,0.004939801881033143,0.9999456485498752,0.6992078680187943,0.171419165993274,0.26152134546164113,0.2988629428345923
C1,no,Insulin,4.040404040404041,0.6608815188168866,0.9978335802554742,0.08185414005110435,0.691933829251273,0.2554536353230856,0.2972171466643241,0.005593095268596102,0.0041856770179814545,0.9999863983289797,0.6992067380997398,0.1714056434327455,0.26139460413566373,0.2985287048511649
C1,no,Insulin,4.545454545454546,0.6608817302261388,0.9989233055056348,0.07796889191540499,0.6923927557461812,0.2554325524775355,0.2971760742329646,0.005291833053601819,0.0037322304518241202,0.999996596405343,0.6992064127726801,0.17139790627931634,0.26135221039974266,0.29839150347181603
C1,no,Insulin,5.050505050505051,0.6608817767526678,0.9994648952839372,0.07558815038708531,0.6926669292198561,0.2554166967163726,0.29715954782734494,0.0050985209704815584,0.0034543759504750624,0.9999991486513449,0.6992063148969757,0.17139356092720184,0.2613380229067902,0.2983350690616602
C1,no,Insulin,5.555555555555556,0.6608817888117162,0.9997340570048343,0.07412151312492951,0.6928307282856382,0.2554059239495774,0.2971528988183977,0.004974831990279878,0.0032817998722214007,0.9999997859973476,0.6992062811840822,0.17139108396043964,0.26133327610179646,0.2983117909132524
C1,no,Insulin,6.0606060606060606,0.6608817928965701,0.999867828572715,0.07321488588054938,0.6929285867759354,0.2553989151822084,0.2971502232763351,0.00489587505033327,0.0031736095836315216,0.9999999461763756,0.6992062668948237,0.17138963472994237,0.26133168649754035,0.29830214551613343
C1,no,Insulin,6.565656565656566,0.6608817946917265,0.9999343117725277,0.07265321008244532,0.6929870501992725,0.2553944491909762,0.2971491467051147,0.004845559203178836,0.0031053600068553728,0.9999999866028918,0.699206259612125,0.17138876410986179,0.26133115432145626,0.2982981226380183
C1,no,Insulin,7.070707070707071,0.6608817955623187,0.9999673545960075,0.07230475432530475,0.6930219782097591,0.2553916339953926,0.29714871348893684,0.004813533211198936,0.003062129806199845,0.9999999965860517,0.6992062554094195,0.17138822957528027,0.26133097625367624,0.2982964281320218
C1,no,Insulin,7.575757575757576,0.6608817960331187,0.9999837759741298,0.07208839197131306,0.6930428449348346,0.2553898698734858,0.29714853920999845,0.0047931655782120575,0.0030346754593462105,0.9999999991180546,0.6992062528533316,0.17138789612762773,0.26133091672018777,0.29829570424759816
C1,no,Insulin,8.080808080808081,0.6608817963398514,0.9999919356470607,0.0719539829720902,0.6930553101968833,0.25538876817137574,0.2971484690818772,0.00478022021738497,0.003017211664566034,0.9999999999183836,0.6992062513126055,0.1713876858456547,0.26133089674673726,0.2982953886164546
C1,no,Insulin,8.585858585858587,0.6608817964486561,0.9999959922479502,0.07187044714003818,0.6930627577402798,0.25538808140924746,0.29714844085503045,0.004771994161311005,0.0030060902240628016,0.9999999999946385,0.699206250269418,0.17138755229031497,0.26133089013387173,0.2982952471055551
C1,no,Insulin,9.090909090909092,0.6608817965012365,0.9999980083908032,0.07181852218747174,0.6930672068619854,0.25538765388590506,0.2971484294607485,0.004766768950157258,0.0029990037212035887,0.9999999999974495,0.6992062496042916,0.17138746709780547,0.2613308878604988,0.2982951812774166
C1,no,Insulin,9.595959595959597,0.660881796457522,0.9999990100338882,0.07178623996615713,0.6930698649427971,0.2553873878286937,0.2971484249901607,0.004763449044426005,0.0029944863836616972,0.9999999998460427,0.699206249069748,0.1713874126168219,0.2613308873895179,0.2982951497388319
