,,,Slide ID,G7,G2,G14,G3,G11,G13,G4,G5,G12,G1,G6,G9,G10,G8
,,,Antibody Name,G7,G2,G14,G3,G11,G13,G4,G5,G12,G1,G6,G9,G10,G8
,,,HUGO ID,G7,G2,G14,G3,G11,G13,G4,G5,G12,G1,G6,G9,G10,G8
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.6537687053277831,0.10518300623686205,0.22069683792668082,0.11914835964923398,0.9080209566216164,0.6578900756717472,0.22759356044647128,0.08386181816980032,0.663276545588001,0.9682735449401987,0.027030502343270868,0.7475420928645108,0.606639148525517,0.4169494509320959
C1,no,Insulin,0.5050505050505051,0.4379688775042169,0.525798903129208,0.24061210731450924,0.1592261502511936,0.8224631992833797,0.4683142588206138,0.5551332245598051,0.3857269491886729,0.7464496958660523,0.7763038382236855,0.36005935204955336,0.4767268654302457,0.7338136039167648,0.3085570611489523
C1,no,Insulin,1.0101010101010102,0.3094566535267093,0.6687177920963671,0.22149234372886123,0.18560452411148878,0.7886141685544416,0.3535757895067414,0.6069093198905643,0.5035771265936793,0.7752292791397275,0.7127571332598044,0.5488089400604025,0.3946703178059497,0.7753190324812108,0.2615165637130175
C1,no,Insulin,1.5151515151515151,0.23110616688426341,0.7150084895565556,0.19834041396473973,0.20231614453188512,0.7729050345991977,0.28108744878809977,0.6123356957336513,0.5506583712749235,0.7831965743134094,0.6919794063482083,0.6557435857307895,0.3690665500997948,0.7861435770900617,0.23906091541024602
C1,no,Insulin,2.0202020202020203,0.182167423464235,0.7285329966588391,0.1787828656036794,0.2126992349456953,0.7646947280305654,0.2336758175148445,0.6108619478263662,0.5691188413037688,0.7838557889046383,0.6852301850760005,0.716257090715072,0.3609236430722045,0.7869158672758566,0.22806777817100246
C1,no,Insulin,2.5252525252525255,0.15088301605845672,0.7314914515408004,0.16372230437840468,0.21908158561235108,0.760085818340029,0.20181682199384424,0.6090909773105528,0.5760323417595737,0.7824115842939869,0.6830502397843865,0.7504440741775991,0.35828528806118004,0.7850405791733533,0.2226246823762527
C1,no,Insulin,3.0303030303030303,0.13046652464448566,0.7313949294689583,0.15253331236290746,0.22298073716138694,0.7573984557712782,0.17998767941975718,0.6078525797410937,0.5783898050752698,0.7807170686636997,0.6823516489794701,0.7697175553180453,0.3574061996939383,0.7829530391348494,0.21990348842401453
C1,no,Insulin,3.5353535353535355,0.11690894761490703,0.7306541452075047,0.144370162722109,0.22535428938168212,0.7558011534546765,0.16483556060039276,0.6070675066766352,0.5790283917961598,0.7793241526047952,0.6821307153484015,0.7805563620745319,0.35709813795415735,0.7813008455693518,0.21852206755587747
C1,no,Insulin,4.040404040404041,0.10777986222238009,0.7299583217683171,0.1384813646869982,0.2267960752928991,0.7548425220633422,0.15423418150501617,0.6065817029609932,0.5790729475344916,0.7783154667555989,0.6820625010019337,0.7866342435490358,0.3569801479025666,0.7801414302012926,0.21780117773674484
C1,no,Insulin,4.545454545454546,0.10156650896048147,0.7294469423425843,0.1342668112149092,0.2276707540272527,0.7542642910860553,0.1467841001764736,0.6062825989443856,0.5789505852669151,0.7776295933548253,0.6820423977653374,0.7900311655075859,0.35692846919716303,0.7793738299286943,0.21740767808608422
C1,no,Insulin,5.050505050505051,0.09730371297127022,0.7291041946601747,0.13126824851019347,0.22820098269713926,0.7539145470822066,0.14153784528855967,0.6060983778716583,0.5788106782640455,0.7771797500235442,0.6820370434708305,0.7919224916628292,0.3569019771141502,0.7788817267478578,0.21717899155732756
C1,no,Insulin,5.555555555555556,0.09436211753084038,0.7288842723732594,0.12914436093358636,0.22852225723277722,0.7537026579896988,0.13784131482677003,0.6059846928633074,0.5786965356368755,0.7768912185876753,0.682035975698382,0.7929709193836729,0.35688640065228094,0.7785721907212194,0.21703607206919034
C1,no,Insulin,6.0606060606060606,0.09232384697030009,0.7287463325946685,0.12764512695237257,0.2287168693058627,0.7535741477036781,0.13523738903009197,0.6059143620836317,0.5786139859944772,0.776708794400108,0.6820360095884034,0.7935491462445815,0.356876364828219,0.7783797502873724,0.2169403630670568
C1,no,Insulin,6.565656565656566,0.09090744365402298,0.7286608663675187,0.1265895556671523,0.22883473550254207,0.7534961442965967,0.13340440303760304,0.6058707311817529,0.5785576737328517,0.7765945368103703,0.6820362376599011,0.7938661427847324,0.35686957120261636,0.7782609709072977,0.21687272191589163
C1,no,Insulin,7.070707070707071,0.08992124749010445,0.7286082630568946,0.12584780842063897,0.22890611376886444,0.7534487652278921,0.13211526088563888,0.6058435817438325,0.5785204729745669,0.7765234132836968,0.6820364348802973,0.7940386967643912,0.3568648628566885,0.7781879837801283,0.21682322897247444
C1,no,Insulin,7.575757575757576,0.08923369178005144,0.7285759978134403,0.12532735716119053,0.22894933667609044,0.7534199688202252,0.13120946084671864,0.6058266327025917,0.578496346345124,0.7764793129029846,0.682036568606998,0.7941318219933116,0.35686156714249234,0.7781432542555357,0.21678635481898925
C1,no,Insulin,8.080808080808081,0.08875393140299251,0.7285562375674621,0.1249625874863292,0.22897550947859668,0.7534024549895773,0.1305735875415418,0.6058160143502732,0.5784808625409223,0.776452030850074,0.6820366513920727,0.7941815555808343,0.3568592521237168,0.7781158815360804,0.21675870501911265
C1,no,Insulin,8.585858585858587,0.08841898439072991,0.7285441401636715,0.1247071465379819,0.22899135771279747,0.7533917954832761,0.13012757197059868,0.6058093369939394,0.5784709804482445,0.77643517156958,0.6820367004165876,0.7942077679180879,0.356857624763897,0.7780991404427746,0.21673798562763563
C1,no,Insulin,9.090909090909092,0.08818506378739904,0.7285367311812142,0.12452838230034138,0.22900095407832738,0.7533853026653762,0.12981495637424031,0.6058051206944817,0.5784646880278046,0.7764247550065178,0.6820367287460065,0.794221350030983,0.35685648126642533,0.7780889015804048,0.2167225287805463
C1,no,Insulin,9.595959595959597,0.08802167159262918,0.7285321898497004,0.12440334161285993,0.22900676427637076,0.7533813447156577,0.12959598436131498,0.6058024467157558,0.5784606817971897,0.7764183159451511,0.6820367448597264,0.7942282272025906,0.35685567841025256,0.7780826370752424,0.21671106969986925
