Networkname,Nodes,Runtime for KM3 + BESTFIT,KM3+FULLFIT,KM3+REVEAL,
Ecoli_5_2.sif,5,1,1,1,
Ecoli_6_3.sif,6,2,0,0,
Ecoli_7_3.sif,7,1,1,2,
Ecoli_8_4.sif,8,1,1,0,
Ecoli_9_4.sif,9,1,1,4,
Ecoli_10_5.sif,10,3,2,5,
Ecoli_11_5.sif,11,1,3,2,
Ecoli_12_6.sif,12,3,4,68,
Ecoli_13_6.sif,13,3,3,427,
Ecoli_14_7.sif,14,6,4,1431,
Ecoli_15_7.sif,15,3,3,,Messung bricht hier ab
Ecoli_16_8.sif,16,4,6,,
Ecoli_17_9.sif,17,5,4,,
Ecoli_18_9.sif,18,4,5,,
Ecoli_19_9.sif,19,4,4,,
Ecoli_20_10.sif,20,4,6,,
Ecoli_21_10.sif,21,4,5,,
Ecoli_22_11.sif,22,6,7,,
Ecoli_23_11.sif,23,6,5,,
Ecoli_24_12.sif,24,7,7,,
Ecoli_25_12.sif,25,9,8,,
Ecoli_26_13.sif,26,8,9,,
Ecoli_28_14.sif,28,10,10,,
Ecoli_29_14.sif,29,11,11,,
Ecoli_30_15.sif,30,11,11,,
Ecoli_31_15.sif,31,13,13,,
Ecoli_32_16.sif,32,13,14,,
Ecoli_34_17.sif,34,14,13,,
Ecoli_35_17.sif,35,17,20,,
Ecoli_36_18.sif,36,20,20,,
Ecoli_38_19.sif,38,23,22,,
Ecoli_41_20.sif,41,25,26,,
