,,,Slide ID,CycB,UbcH10,Cdc20,CycD,CycA,CycE,cdh1,E2F,Rb,p27
,,,Antibody Name,CycB,UbcH10,Cdc20,CycD,CycA,CycE,cdh1,E2F,Rb,p27
,,,HUGO ID,CycB,UbcH10,Cdc20,CycD,CycA,CycE,cdh1,E2F,Rb,p27
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.20210403661335186,0.11980966185251851,0.7182441219793517,0.7278674307904622,0.9159394668187656,0.8085788015105838,0.09389286751965753,0.49349301348664176,0.056170334392688925,0.47236254662119914
C1,no,Insulin,0.14326647564469913,0.28521187434059164,0.11171291273980336,0.5391091149368361,0.6285387800155948,0.8026474562684613,0.7342098230708486,0.3026149932890018,0.5049468779080488,0.11523438091701818,0.3643830968457551
C1,no,Insulin,0.28653295128939826,0.3429971292126207,0.1049524180977777,0.4234069608475336,0.549481022194627,0.7043293511718764,0.6697850209137839,0.44076646384641954,0.5057366944707788,0.16593284186326113,0.28536997358947724
C1,no,Insulin,0.4297994269340974,0.38535110063907535,0.09914913176010968,0.348613056748098,0.4861472025661263,0.6205295264699182,0.6141307206302173,0.5321319793662195,0.5016111419272475,0.2097127243898796,0.22726582710697155
C1,no,Insulin,0.5730659025787965,0.4170680659698467,0.09408437548219546,0.30043397933078764,0.43508554576977976,0.5496108540500488,0.56610615765812,0.5925330534740161,0.49534095546995616,0.2477236619377559,0.18425931573187984
C1,no,Insulin,0.7163323782234956,0.4410076908994386,0.08961423479638185,0.2695972892798872,0.3936634577573075,0.4898174470374042,0.5246887634100635,0.6325498027744476,0.48839435618632676,0.2808837304571916,0.15219362314409957
C1,no,Insulin,0.8595988538681948,0.45907368590869757,0.08563701582592678,0.2500370797625461,0.35986268378856046,0.43951466265768296,0.48898206072841566,0.6592280915855534,0.481560119568228,0.3099304035650629,0.12809980305391394
C1,no,Insulin,1.002865329512894,0.47263812973919134,0.08207750691921076,0.23777442039916258,0.33212721043482135,0.3972532579616856,0.4582067701709011,0.677223301906488,0.47524440041463323,0.33546023019802557,0.10985392053929242
C1,no,Insulin,1.146131805157593,0.48274260246647593,0.07887823236808963,0.23020116506101007,0.30925017721497505,0.3617774369753584,0.43168797414221555,0.6895833214732043,0.46963076867120224,0.35795972397882225,0.09593099212723896
C1,no,Insulin,1.2893982808022921,0.49019859371714325,0.0759941001597464,0.225613290019711,0.2902896519702963,0.3320125878700647,0.40884207808796785,0.698285506595692,0.4647728510847101,0.37782935620510394,0.08523038173541023
C1,no,Insulin,1.4326647564469912,0.4956429700226503,0.07338888978567053,0.2229034042617965,0.2745057209142792,0.3070460680586905,0.38916478320788067,0.7046021725375807,0.46065033663499466,0.39540214408808033,0.07695254734983968
C1,no,Insulin,1.5759312320916905,0.49957376696480366,0.07103284422914509,0.2213571248144934,0.2613133567698514,0.286106515923257,0.3722204105690787,0.709346321802271,0.4572035142140997,0.41095800367955315,0.07051227654612684
C1,no,Insulin,1.7191977077363896,0.5023770670275081,0.06890097679751112,0.22051793182227683,0.2502469711238755,0.2685440547353513,0.35763259144439624,0.7130348159630747,0.4543546381548034,0.42473479533915803,0.06547762720867373
C1,no,Insulin,1.8624641833810887,0.504348998945097,0.06697186805807834,0.22009751897701024,0.24093363668300158,0.2538123406748582,0.34507621399787985,0.7159954745714446,0.45202094013686506,0.4369367971035519,0.06152689979650372
C1,no,Insulin,2.005730659025788,0.5057142185171108,0.0652268101611007,0.21991651088867276,0.2330727654240964,0.2414527489737234,0.3342704781244188,0.7184365735322183,0.45012224826336306,0.44774118729531986,0.05841824653458264
C1,no,Insulin,2.148997134670487,0.5066413514606317,0.06364920038421658,0.21986541197889753,0.22642060470173359,0.23108068415070976,0.32497290777603655,0.7204914983599611,0.4485851241717689,0.45730299738064845,0.05596812061618887
C1,no,Insulin,2.292263610315186,0.5072556810695753,0.06222411381899642,0.21987904722165824,0.220778346573331,0.2223738585798976,0.31697418415389256,0.7222471152110004,0.4473447700165576,0.46575889755167804,0.05403592404001776
C1,no,Insulin,2.4355300859598854,0.5076493773691434,0.06093800326660804,0.21991993552870173,0.21598295078852459,0.21506232731345826,0.31009367999549353,0.7237616209809143,0.4463455500086611,0.47323010174860525,0.052512995164065754
C1,no,Insulin,2.5787965616045843,0.5078895974462423,0.05977848866126199,0.21996759775271033,0.2119000246117313,0.20892005814716835,0.30417559481779416,0.7250756035450837,0.4455406819894969,0.47982461172338525,0.05131466244124166
C1,no,Insulin,2.7220630372492836,0.5080247979607622,0.05873420792253684,0.22001173833320842,0.2084182612751438,0.20375782370243095,0.29908560545976176,0.726218826487231,0.44489147776772997,0.48563897149979857,0.05037445714101376
C1,no,Insulin,2.8653295128939824,0.5080895881013427,0.05779470921201375,0.2200479661694598,0.2054450702031076,0.19941722293041422,0.2947079612191942,0.7272143163083884,0.44436637328988826,0.490759661119364,0.049639862518957766
C1,no,Insulin,3.0085959885386817,0.5081084177602774,0.05695037025223216,0.2200751506983425,0.20290312020314819,0.19576566008931845,0.29094296314751655,0.7280807900783012,0.4439399036810161,0.49526422712034157,0.049069157608580764
C1,no,Insulin,3.151862464183381,0.5080983455731262,0.0561923350945651,0.2200938327113453,0.20072759157520198,0.1926921362925327,0.28770477778244086,0.7288340668997924,0.4435917135313459,0.4992222194184019,0.048629054365214495
C1,no,Insulin,3.29512893982808,0.5080711083327489,0.05551246137335286,0.22010528187518244,0.19886396931851524,0.19010371675253332,0.28491953819106697,0.7294878935198829,0.44330565522586046,0.5026959891412157,0.04829289856970353
C1,no,Insulin,3.438395415472779,0.5080346396104943,0.05490327423253879,0.22011098396210027,0.19726627120382123,0.18792257933675188,0.28252370032064883,0.7300544037503565,0.4430689961659851,0.5057413809492626,0.04803929843580136
C1,no,Insulin,3.5816618911174785,0.5079941836513889,0.05435792405580924,0.22011236604987594,0.19589561047153686,0.1860835428939594,0.2804626185456486,0.7305443941980797,0.44287174267956936,0.5084083458754575,0.047851060913260815
C1,no,Insulin,3.7249283667621773,0.5079531037417517,0.053870146496497545,0.22011066976507762,0.19471902457707693,0.18453200059972635,0.2786893133853677,0.7309674953225527,0.4427060760019261,0.5107414930405041,0.047714359737510294
