Networkname,Nodes,Bin_method,Learn_method,Timepoints,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
Network_faure_cellcycle50.sif,10,KM3,BESTFIT,50,2,69,5,24,0.2857142857,0.0769230769,0.71,0.5046777547,0.0160834598
Network_faure_cellcycle100.sif,10,KM3,BESTFIT,100,2,66,8,24,0.2,0.0769230769,0.68,0.4844074844,-0.0455960753
Network_faure_cellcycle150.sif,10,KM3,BESTFIT,150,6,66,8,20,0.4285714286,0.2307692308,0.72,0.5613305613,0.1550587311
Network_faure_cellcycle200.sif,10,KM3,BESTFIT,200,2,65,9,24,0.1818181818,0.0769230769,0.67,0.4776507277,-0.0626620461
Network_faure_cellcycle250.sif,10,KM3,BESTFIT,250,2,66,8,24,0.2,0.0769230769,0.68,0.4844074844,-0.0455960753
Network_faure_cellcycle300.sif,10,KM3,BESTFIT,300,4,65,9,22,0.3076923077,0.1538461538,0.69,0.5161122661,0.0420298513
Network_faure_cellcycle350.sif,10,KM3,BESTFIT,350,0,64,10,26,0,0,0.64,0.4324324324,-0.1975829928
Network_faure_cellcycle400.sif,10,KM3,BESTFIT,400,2,64,10,24,0.1666666667,0.0769230769,0.66,0.4708939709,-0.0785748444
Network_faure_cellcycle450.sif,10,KM3,BESTFIT,450,2,69,5,24,0.2857142857,0.0769230769,0.71,0.5046777547,0.0160834598
Network_faure_cellcycle500.sif,10,KM3,BESTFIT,500,3,67,7,23,0.3,0.1153846154,0.7,0.5103950104,0.0303973835
,,,,,,,,,,,,,
Mean_Nodes,10,,,,,,,,,,,,
Mean_BACC,0.4946985447,,,,,,,,,,,,
Mean_MCC,-0.0170359148,,,,,,,,,,,,
Mean_ACC,0.686,,,,,,,,,,,,
Mean_Precision,0.2356177156,,,,,,,,,,,,
Mean_Recall,0.0961538462,,,,,,,,,,,,
