Networkname,Nodes,Bin_method,Learn_method,Timepoints,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
Network_faure_cellcycle50.sif,10,KM3,REVEAL,50,1,69,5,25,0.1666666667,0.0384615385,0.7,0.4854469854,-0.0537583513
Network_faure_cellcycle100.sif,10,KM3,REVEAL,100,3,67,7,23,0.3,0.1153846154,0.7,0.5103950104,0.0303973835
Network_faure_cellcycle150.sif,10,KM3,REVEAL,150,4,67,7,22,0.3636363636,0.1538461538,0.71,0.5296257796,0.0830636425
Network_faure_cellcycle200.sif,10,KM3,REVEAL,200,1,66,8,25,0.1111111111,0.0384615385,0.67,0.4651767152,-0.1067481393
Network_faure_cellcycle250.sif,10,KM3,REVEAL,250,3,68,6,23,0.3333333333,0.1153846154,0.71,0.5171517672,0.0525774417
Network_faure_cellcycle300.sif,10,KM3,REVEAL,300,4,65,9,22,0.3076923077,0.1538461538,0.69,0.5161122661,0.0420298513
Network_faure_cellcycle350.sif,10,KM3,REVEAL,350,0,65,9,26,0,0,0.65,0.4391891892,-0.1864109298
Network_faure_cellcycle400.sif,10,KM3,REVEAL,400,2,64,10,24,0.1666666667,0.0769230769,0.66,0.4708939709,-0.0785748444
Network_faure_cellcycle450.sif,10,KM3,REVEAL,450,1,68,6,25,0.1428571429,0.0384615385,0.69,0.4786902287,-0.0732690945
Network_faure_cellcycle500.sif,10,KM3,REVEAL,500,3,67,7,23,0.3,0.1153846154,0.7,0.5103950104,0.0303973835
,,,,,,,,,,,,,
Mean_Nodes,10,,,,,,,,,,,,
Mean_BACC,0.4923076923,,,,,,,,,,,,
Mean_MCC,-0.0260295657,,,,,,,,,,,,
Mean_ACC,0.688,,,,,,,,,,,,
Mean_Precision,0.2191963592,,,,,,,,,,,,
Mean_Recall,0.0846153846,,,,,,,,,,,,
