clusterdepth,Networkname,Nodes,Bin_method,Learn_method,Timepoints,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
1,Network_faure_cellcycleKM1.sif,10,KM3,REVEAL,100,6,70,4,20,0.6,0.2307692308,0.76,0.5883575884,0.2583777598
2,Network_faure_cellcycleKM2.sif,10,KM3,REVEAL,100,5,69,5,21,0.5,0.1923076923,0.74,0.5623700624,0.182384301
3,Network_faure_cellcycleKM3.sif,10,KM3,REVEAL,100,2,66,8,24,0.2,0.0769230769,0.68,0.4844074844,-0.0455960753
4,Network_faure_cellcycleKM4.sif,10,KM3,REVEAL,100,2,66,8,24,0.2,0.0769230769,0.68,0.4844074844,-0.0455960753
5,Network_faure_cellcycleKM5.sif,10,KM3,REVEAL,100,5,69,5,21,0.5,0.1923076923,0.74,0.5623700624,0.182384301
6,Network_faure_cellcycleKM6.sif,10,KM3,REVEAL,100,3,67,7,23,0.3,0.1153846154,0.7,0.5103950104,0.0303973835
7,Network_faure_cellcycleKM7.sif,10,KM3,REVEAL,100,2,66,8,24,0.2,0.0769230769,0.68,0.4844074844,-0.0455960753
8,Network_faure_cellcycleKM8.sif,10,KM3,REVEAL,100,2,67,7,24,0.2222222222,0.0769230769,0.69,0.4911642412,-0.0270853488
9,Network_faure_cellcycleKM9.sif,10,KM3,REVEAL,100,3,67,7,23,0.3,0.1153846154,0.7,0.5103950104,0.0303973835
10,Network_faure_cellcycleKM10.sif,10,KM3,REVEAL,100,3,67,7,23,0.3,0.1153846154,0.7,0.5103950104,0.0303973835
,,,,,,,,,,,,,,
,Mean_Nodes,10,,,,,,,,,,,,
,Mean_BACC,0.5188669439,,,,,,,,,,,,
,Mean_MCC,0.0550464938,,,,,,,,,,,,
,Mean_ACC,0.707,,,,,,,,,,,,
,Mean_Precision,0.3322222222,,,,,,,,,,,,
,Mean_Recall,0.1269230769,,,,,,,,,,,,
