-1,Prediction vs Aggregated Network,,,,,,,,,,,,,,
0,Networkname,Nodes,Timepoints,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC,Runtime_in_sec.,,
1,MCF7_mainFGF1,41,105,114,151,9,1407,0.9268292683,0.0749506903,0.1576442594,0.5093503452,0.0210739505,660,,
2,MCF7_mainNRG1,41,105,114,153,7,1407,0.9421487603,0.0749506903,0.1588340274,0.5156003452,0.0354269543,594,,
3,MCF7_mainPBS,41,105,114,152,8,1407,0.9344262295,0.0749506903,0.1582391434,0.5124753452,0.028223066,629,,
4,MCF7_mainHGF,41,103,114,151,9,1407,0.9268292683,0.0749506903,0.1576442594,0.5093503452,0.0210739505,604,,
5,MCF7_mainEGF,41,105,114,151,9,1407,0.9268292683,0.0749506903,0.1576442594,0.5093503452,0.0210739505,651,,
6,MCF7_mainSerum,41,104,111,148,12,1410,0.9024390244,0.0729783037,0.1540749554,0.4989891519,-0.0022782649,591,,
7,MCF7_mainInsulin,41,105,114,151,9,1407,0.9268292683,0.0749506903,0.1576442594,0.5093503452,0.0210739505,651,,
8,MCF7_mainIGF1,41,105,112,149,11,1409,0.9105691057,0.0736357659,0.1552647234,0.502442883,0.0055058069,598,,
9,UACC812_mainFGF1,45,108,127,82,7,1809,0.947761194,0.0655991736,0.1032098765,0.4934737441,-0.0107632546,801,,
10,UACC812_mainNRG1,45,108,128,82,7,1808,0.9481481481,0.0661157025,0.1037037037,0.4937320085,-0.0103016854,802,,
11,UACC812_mainPBS,45,107,124,78,11,1812,0.9185185185,0.0640495868,0.0997530864,0.4702270406,-0.0489330059,783,,
12,UACC812_mainHGF,45,107,128,82,7,1808,0.9481481481,0.0661157025,0.1037037037,0.4937320085,-0.0103016854,788,,
13,UACC812_mainEGF,45,109,130,84,5,1806,0.962962963,0.0671487603,0.1056790123,0.5054844925,0.0090139748,804,,
14,UACC812_mainSerum,45,109,129,83,6,1807,0.9555555556,0.0666322314,0.104691358,0.4996082505,-0.0006438553,793,,
15,UACC812_mainInsulin,45,108,130,84,5,1806,0.962962963,0.0671487603,0.1056790123,0.5054844925,0.0090139748,813,,
16,UACC812_mainIGF1,45,109,127,81,8,1809,0.9407407407,0.0655991736,0.1027160494,0.4878557666,-0.0199595156,807,,
17,BT20_mainFGF1,48,82,133,177,11,1983,0.9236111111,0.0628544423,0.1345486111,0.502171902,0.0049124581,728,,
18,BT20_mainNRG1,48,77,132,178,10,1984,0.9295774648,0.0623818526,0.1345486111,0.5045951816,0.0104615832,649,,
19,BT20_mainPBS,48,77,133,179,9,1983,0.9366197183,0.0628544423,0.1354166667,0.507491051,0.0170544409,710,,
20,BT20_mainHGF,48,82,133,178,10,1983,0.9300699301,0.0628544423,0.1349826389,0.5048314765,0.0109635505,733,,
21,BT20_mainEGF,48,83,136,180,8,1980,0.9444444444,0.0642722117,0.1371527778,0.5108595101,0.0245622906,743,,
22,BT20_mainSerum,48,83,132,178,10,1984,0.9295774648,0.0623818526,0.1345486111,0.5045951816,0.0104615832,734,,
23,BT20_mainInsulin,48,81,135,180,8,1981,0.9440559441,0.0637996219,0.13671875,0.5106232152,0.0241061209,737,,
24,BT20_mainIGF1,48,82,134,178,10,1982,0.9305555556,0.0633270321,0.1354166667,0.5050677714,0.0114624023,756,,
25,BT549_mainFGF1,45,87,129,84,5,1807,0.9626865672,0.0666322314,0.1051851852,0.5052262281,0.0086192181,665,,
26,BT549_mainNRG1,45,87,130,84,5,1806,0.962962963,0.0671487603,0.1056790123,0.5054844925,0.0090139748,725,,
27,BT549_mainPBS,45,87,131,85,4,1805,0.9703703704,0.0676652893,0.1066666667,0.5113607345,0.0186718049,682,,
28,BT549_mainHGF,45,87,132,86,3,1804,0.9777777778,0.0681818182,0.107654321,0.5172369765,0.028329635,681,,
29,BT549_mainEGF,45,85,129,85,4,1807,0.969924812,0.0666322314,0.1056790123,0.5108442056,0.017946883,668,,
30,BT549_mainSerum,45,87,131,85,4,1805,0.9703703704,0.0676652893,0.1066666667,0.5113607345,0.0186718049,663,,
31,BT549_mainInsulin,45,86,132,86,3,1804,0.9777777778,0.0681818182,0.107654321,0.5172369765,0.028329635,641,,
32,BT549_mainIGF1,45,87,129,83,6,1807,0.9555555556,0.0666322314,0.104691358,0.4996082505,-0.0006438553,679,,
,,,,,,,,,,,,,,,
0,Prediction vs 74.Group of Leaderboard,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
0,Networkname,Nodes,Timepoints,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC,,,
1,MCF7_mainFGF1,41,105,36,1221,87,720,0.2926829268,0.0476190476,0.6090116279,0.4905526431,-0.0384538445,,,
2,MCF7_mainNRG1,41,105,22,1268,99,729,0.1818181818,0.0292942743,0.6090651558,0.4784364568,-0.0888940364,,,
3,MCF7_mainPBS,41,105,18,1318,104,750,0.1475409836,0.0234375,0.6100456621,0.4751505362,-0.1034004058,,,
4,MCF7_mainHGF,41,103,25,1265,98,721,0.2032520325,0.0335120643,0.6116642959,0.4808059221,-0.0783199519,,,
5,MCF7_mainEGF,41,105,12,1369,111,706,0.0975609756,0.0167130919,0.6282984531,0.470856546,-0.1189330323,,,
6,MCF7_mainSerum,41,104,24,1271,99,696,0.1951219512,0.0333333333,0.6196172249,0.4805352798,-0.0786049611,,,
7,MCF7_mainInsulin,41,105,25,1294,98,731,0.2032520325,0.0330687831,0.6140595903,0.4813332421,-0.0767386821,,,
