,,,Slide ID,G7,G11,G10,G2,G3,G8,G1,G9,G6,G5,G4
,,,Antibody Name,G7,G11,G10,G2,G3,G8,G1,G9,G6,G5,G4
,,,HUGO ID,G7,G11,G10,G2,G3,G8,G1,G9,G6,G5,G4
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.9115650820584017,0.9013579323184956,0.2301815170954702,0.590106844936655,0.15591822296097202,0.18619369171730293,0.47433040792007286,0.9303373816671697,0.7802409207064264,0.47798902053788805,0.9525888437698812
C1,no,Insulin,0.5050505050505051,0.28584791262249015,0.6369266898399718,0.4832734109314769,0.46780858983246343,0.42983978097084774,0.14832217659893387,0.38305979593032463,0.3044067412639315,0.3155445719651482,0.2615695208308378,0.35312107695696376
C1,no,Insulin,1.0101010101010102,0.1047203453209546,0.4795989483814931,0.5405852060848542,0.44228850977679457,0.45485010849948554,0.11973027630191137,0.3494164179363293,0.14344472779600612,0.14926057797354722,0.18358547778861367,0.14678801573782185
C1,no,Insulin,1.5151515151515151,0.04618927239255057,0.3836569529965515,0.5385820629241813,0.43018167491196285,0.41993928925137014,0.09319629746914451,0.33653636175018387,0.08874738579335387,0.08273485241798988,0.15582995899273344,0.06856481442216845
C1,no,Insulin,2.0202020202020203,0.024489632712501288,0.3237757482600828,0.5223294786813076,0.4201244561960223,0.3789229331267575,0.0710808375666225,0.331523329742556,0.06303988871917852,0.0526519437238932,0.1468381805442443,0.03603913985548348
C1,no,Insulin,2.5252525252525255,0.015134407270795168,0.28563783581069746,0.505184746638872,0.41130781310649345,0.3448506201256688,0.054178032727345594,0.3295589629922109,0.04807429580183591,0.037297918197179716,0.14501479245155133,0.021253381095587172
C1,no,Insulin,3.0303030303030303,0.010514046618571244,0.2609430187470601,0.490746126469096,0.4040158156852687,0.3192755512683295,0.04194547368212371,0.3287871343549206,0.038541762303137786,0.028639115360835247,0.14577012473760564,0.013952418768843402
C1,no,Insulin,3.5353535353535355,0.00798346374995744,0.244745989353874,0.4795703080763387,0.39830165314050797,0.3008596425730332,0.03337954018840366,0.32848354524451695,0.032277219725245616,0.02339794445861578,0.1472463076224482,0.010072812904923855
