,,,Slide ID,G11,G9,G1,G3,G6,G2,G12,G7,G10,G4,G8,G5
,,,Antibody Name,G11,G9,G1,G3,G6,G2,G12,G7,G10,G4,G8,G5
,,,HUGO ID,G11,G9,G1,G3,G6,G2,G12,G7,G10,G4,G8,G5
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.48750822877885225,0.1808462828147156,0.192191949364793,0.01931679193489877,0.8237689418003573,0.4133170080774127,0.15656551217933679,0.24055477372982959,0.46799277550095575,0.5009916278613852,0.5263917692066338,0.36807715576709454
C1,no,Insulin,0.5050505050505051,0.3597938079390558,0.295131475441118,0.2665782833517408,0.35625540286224694,0.7215518981374207,0.2935158159621802,0.2530721650823048,0.5350278473933889,0.44856767419246507,0.5914350491202778,0.6451189779218062,0.5356434719761828
C1,no,Insulin,1.0101010101010102,0.3198567947447128,0.3164853500333795,0.2987970346577583,0.5384744395293549,0.7022254143266171,0.23714883449871713,0.2903129969145195,0.6164750734936988,0.43544454682667105,0.6220587437111115,0.6785657165639657,0.5921891245858089
C1,no,Insulin,1.5151515151515151,0.3079706399488168,0.32045277538485556,0.31198322161904635,0.6378752492034861,0.6985967835346949,0.20915449141455164,0.30531872022795664,0.6386577404288823,0.4279266213590105,0.6324856260858757,0.6875618427959737,0.6106860826539778
C1,no,Insulin,2.0202020202020203,0.304542113962947,0.321192810439122,0.3172689852904831,0.6923691741428739,0.6979166678667754,0.19474570243656508,0.31150567958670106,0.6446307329951804,0.42382930690276016,0.636038000662285,0.6899023433758987,0.6166254934277092
C1,no,Insulin,2.5252525252525255,0.3035729541444322,0.3213328958032743,0.31936714570695224,0.7223351932929528,0.6977893496224016,0.18716592151601824,0.3140863278856216,0.6462265094759423,0.42163176017636655,0.6372475139585951,0.690495995437774,0.6185120546602794
C1,no,Insulin,3.0303030303030303,0.30330291670721277,0.32136036365557963,0.3201949579902638,0.7388446379203695,0.6977655272612225,0.1831276458584754,0.3151698748702213,0.6466505861859131,0.4204591268455232,0.6376589865709567,0.6906429510960385,0.6191073471097592
C1,no,Insulin,3.5353535353535355,0.30322861584992805,0.321366157226241,0.3205199058076054,0.747951063619262,0.6977610389094173,0.18096066340185826,0.31562707554349095,0.6467628779903943,0.4198343224151307,0.6377988620733519,0.6906781447512106,0.6192943704128236
C1,no,Insulin,4.040404040404041,0.3032084773240019,0.32136754882354945,0.32064677826554583,0.7529777524284937,0.6977601575570455,0.17979315785103084,0.3158209383667206,0.6467925423357036,0.4195015148738192,0.6378463830405998,0.6906860549794098,0.6193529336674903
C1,no,Insulin,4.545454545454546,0.30320315683226323,0.3213679510621639,0.3206959962398029,0.7557537140277772,0.6977599575035339,0.17916273474718777,0.315903612294448,0.6468003642030314,0.4193242349290311,0.6378625195468139,0.6906875608580654,0.6193712116608546
C1,no,Insulin,5.050505050505051,0.30320182465716955,0.3213680941117789,0.32071493415284247,0.7572871591383356,0.6977598947191778,0.1788218983089798,0.3159391211473543,0.6468024253668335,0.4192297903288633,0.6378679978290961,0.6906876888291177,0.6193768950170958
C1,no,Insulin,5.555555555555556,0.3032015361323633,0.3213681547936318,0.32072214109739444,0.7581343822024632,0.6977598667035755,0.17863749875973453,0.3159545068068169,0.6468029663213792,0.4191794705024255,0.6378698564992596,0.6906875876151528,0.6193786505309268
C1,no,Insulin,6.0606060606060606,0.3032015018674926,0.32136818441945075,0.32072484357834313,0.7586025214650455,0.6977598513671983,0.17853769555272644,0.3159612465020982,0.6468031084687124,0.4191526581107874,0.6378704873498854,0.6906874910328553,0.6193791881544632
C1,no,Insulin,6.565656565656566,0.30320151928083366,0.321368200055331,0.320725835440509,0.7588612138301979,0.6977598427243341,0.1784836664789912,0.31596423712889576,0.6468031449624456,0.41913837068716925,0.6378707010908997,0.6906874281333499,0.6193793494929382
C1,no,Insulin,7.070707070707071,0.3032015397774992,0.3213682084924483,0.32072618821251936,0.759004168065864,0.6977598381242128,0.17845441483327634,0.3159655843144399,0.6468031538762328,0.41913075754295537,0.6378707734167213,0.6906873914331837,0.6193793963473156
C1,no,Insulin,7.575757575757576,0.3032015546497559,0.32136821439331004,0.32072630813344377,0.7590831736914571,0.6977598347210294,0.17843857499185553,0.3159662024194022,0.6468031563746197,0.41912670043549555,0.6378707981070345,0.6906873708971086,0.6193794092952901
C1,no,Insulin,8.080808080808081,0.30320156376210783,0.3213682166816315,0.32072634534083455,0.7591268344920789,0.6977598338421428,0.17842999821181152,0.31596649076548894,0.6468031570337682,0.4191245385809236,0.6378708063709435,0.6906873600063285,0.6193794125042892
C1,no,Insulin,8.585858585858587,0.3032015702650697,0.3213682193629872,0.32072635488296225,0.7591509620952046,0.6977598323127755,0.17842535423820785,0.3159666281199455,0.6468031560122656,0.41912338686530165,0.6378708089930223,0.6906873529344886,0.6193794123218059
C1,no,Insulin,9.090909090909092,0.30320157233830286,0.32136821901721274,0.3207263563959883,0.7591642980414437,0.6977598330494077,0.1784228390364749,0.31596669487207824,0.6468031579248626,0.41912277295322914,0.6378708101008937,0.6906873514095375,0.6193794130533469
C1,no,Insulin,9.595959595959597,0.30320157611890364,0.3213682218241046,0.3207263556387759,0.7591716674048655,0.6977598310550901,0.1784214772399897,0.3159667281578175,0.6468031552680754,0.419122446153319,0.6378708102559336,0.6906873469435463,0.6193794117915491
