,,,Slide ID,G4,G3,G11,G6,G5,G7,G2,G1,G10,G8,G9
,,,Antibody Name,G4,G3,G11,G6,G5,G7,G2,G1,G10,G8,G9
,,,HUGO ID,G4,G3,G11,G6,G5,G7,G2,G1,G10,G8,G9
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.3096411450826252,0.011298429296460966,0.3912501216826516,0.04044391875385789,0.8550693589892036,0.5451310269258138,0.5705737120494554,0.5444563278527843,0.8875897840035356,0.6906204602391107,0.3404785113368639
C1,no,Insulin,0.5050505050505051,0.10673043372447473,0.032225856233801,0.31715043484681804,0.02197681991210165,0.5136797462606042,0.2488884422899654,0.24276438438644077,0.27965231002431684,0.3714068651484429,0.19896677409937588,0.15268535933169866
C1,no,Insulin,1.0101010101010102,0.041768202674862635,0.05398713213231863,0.28030746748550256,0.013339796001342826,0.3660514048150213,0.11764469420364941,0.15052096650843927,0.1817586186849512,0.23496622045439183,0.0656126808601976,0.07086597071796566
C1,no,Insulin,1.5151515151515151,0.019686789576836387,0.07308089662077474,0.26150901513095803,0.008850136265101324,0.29566005939921064,0.058346698194777426,0.13172085416310836,0.14069953502681865,0.20881547666265213,0.027910014648241572,0.03463389216504755
C1,no,Insulin,2.0202020202020203,0.011530006931109747,0.08842871420137383,0.25176520669521263,0.006363945219857921,0.25933755016839843,0.031084252514962,0.1337493927245518,0.1218847584482294,0.2117273716607712,0.016325273383846216,0.018326591174735604
C1,no,Insulin,2.5252525252525255,0.008257241283763088,0.10015870200037383,0.24666897100819232,0.004978007723475971,0.23940567494650172,0.018397873527626677,0.14017057792613466,0.11277944702647316,0.22015827522204748,0.012339727527989088,0.010896692876242495
C1,no,Insulin,3.0303030303030303,0.006876295302312703,0.10885059504885432,0.24399022688757083,0.004231971707093472,0.2279253920739446,0.012470108171617268,0.14629199633486334,0.10823366083053829,0.2279346756120195,0.01084073231582968,0.007497034367554318
C1,no,Insulin,3.5353535353535355,0.0063004741865897345,0.11516514802418065,0.2425783971293206,0.0038580999384343864,0.22104945849631105,0.00972118337155077,0.15109471150625547,0.10592535519918539,0.23390021824192206,0.010283022254751386,0.005955716873160039
C1,no,Insulin,4.040404040404041,0.006088856147983653,0.11969336290728107,0.24183322051237205,0.0036939113649249334,0.21679702653177801,0.008479366692854696,0.1546146738633598,0.10474259187105665,0.2382056259680812,0.010123271163262063,0.005279434734870857
C1,no,Insulin,4.545454545454546,0.006043636869817164,0.1229124570727603,0.24143960810061904,0.0036416388018137044,0.21409687821828924,0.007951477083233632,0.15712267788444945,0.10413367217510498,0.24124177576554334,0.010135939684496354,0.0050055718408104355
C1,no,Insulin,5.050505050505051,0.006070159194774279,0.12518744825967107,0.24123161182853026,0.0036443169503717755,0.21234521299391482,0.0077569867526614674,0.15888770117112794,0.10381940700589092,0.24336403395488831,0.010216361450725658,0.0049157204035812484
C1,no,Insulin,5.555555555555556,0.006122303906794282,0.12678875795252503,0.2411216764072237,0.0036702588684701326,0.21118916744217645,0.007712572033775508,0.16012309561229643,0.10365700475010459,0.24484292739236094,0.01031452818230777,0.0049061783400045945
C1,no,Insulin,6.0606060606060606,0.0061782863070328296,0.12791276012280328,0.24106356468761328,0.0037028988220405915,0.2104158262077679,0.00773044907791239,0.1609857584539791,0.10357302575488281,0.24587267517612657,0.010407732279494035,0.0049280451711444795
C1,no,Insulin,6.565656565656566,0.006228752530016825,0.1287002198894801,0.2410328441382938,0.003734329129354,0.2098930443017121,0.007769488548996915,0.16158757545325952,0.10352958331721356,0.24658972335086793,0.010487201773612675,0.004958873570324932
C1,no,Insulin,7.070707070707071,0.00627057971108683,0.12925117260149976,0.24101660373085354,0.003761357259738384,0.20953680213941558,0.0078113504123639935,0.1620072782182208,0.1035071072233572,0.24708918190756649,0.010551036194793466,0.004988994726408331
C1,no,Insulin,7.575757575757576,0.006303586028231332,0.1296362977797907,0.2410080176025701,0.0037831931364043867,0.20929257128529957,0.007848681201169634,0.16229995356567545,0.1034954766811786,0.24743719691478797,0.010600421223916755,0.005014816714843393
C1,no,Insulin,8.080808080808081,0.006328817084941639,0.12990533518456188,0.24100347846581852,0.003800156773227399,0.2091243733030316,0.007879273952026335,0.1625040524269705,0.10348945855933807,0.2476797586795269,0.010637668374277624,0.005035534460612737
C1,no,Insulin,8.585858585858587,0.006347686285906018,0.13009319356152202,0.24100107884934507,0.0038129911327128103,0.20900814690603325,0.007903176463137887,0.1626463892247022,0.10348634453652095,0.24784885933451015,0.010665258539380884,0.005051514671690342
C1,no,Insulin,9.090909090909092,0.006361576915937705,0.1302243277222049,0.24099981012327856,0.003822520733525587,0.2089276320389889,0.007921297404216904,0.1627456593073625,0.10348473291871259,0.2479667674841645,0.010685426767030165,0.0050635279142262095
C1,no,Insulin,9.595959595959597,0.006371684002788047,0.13031584606597027,0.24099913942011078,0.003829499807853563,0.20887175360387286,0.007934758800576291,0.16281489663223744,0.10348389901465588,0.24804899078100387,0.010700023999925918,0.005072400313030254
C1,no,Insulin,10.101010101010102,0.006378973482364901,0.1303797069151169,0.24099878486839293,0.003834558474289894,0.2088329207107655,0.007944615357997953,0.16286318877316922,0.10348346753756542,0.2481063342519677,0.010710509349004952,0.005078869671622882
C1,no,Insulin,10.606060606060607,0.00638419522292067,0.13042426383719866,0.24099859738478818,0.003838196290411934,0.20880590673335328,0.007951756181950822,0.16289687285404922,0.10348324418492212,0.24814632869532158,0.010717996705089751,0.0050835421219081155
C1,no,Insulin,11.111111111111112,0.006387916097743103,0.13045535035706926,0.24099849825076192,0.00384079638439963,0.20878710057986263,0.007956888705927747,0.162920368514149,0.10348312858976111,0.248174224718659,0.010723319103083493,0.005086892664437529
C1,no,Insulin,11.616161616161618,0.006390556541658389,0.130477037418935,0.24099844586492916,0.0038426459357871682,0.2087740016494192,0.007960555317970908,0.1629367575112128,0.10348306880618566,0.24819368222233593,0.010727088405218202,0.0050892819634894785
C1,no,Insulin,12.121212121212121,0.006392424121495057,0.13049216667835806,0.24099841818852305,0.003843956625466316,0.20876487429113422,0.0079631623973055,0.16294818948515766,0.10348303790109067,0.24820725460147902,0.010729750613691136,0.005090978454966527
C1,no,Insulin,12.626262626262626,0.0063937416753978215,0.1305027218467374,0.24099840353908564,0.003844882675712958,0.20875851184372804,0.007965009272063981,0.1629561647719868,0.1034830218858905,0.248216721941934,0.010731626229077694,0.005092178955180864
C1,no,Insulin,13.131313131313131,0.0063946692501226565,0.13051008555062865,0.24099839577978538,0.0038455354728663934,0.20875407588594688,0.007966313702687331,0.16296172833085223,0.10348301357114563,0.24822332682995213,0.010732944689478139,0.00509302611403205
C1,no,Insulin,13.636363636363637,0.006395321063407322,0.13051522101872348,0.24099839176366125,0.003845994660804768,0.20875098381021717,0.007967232987055211,0.1629656079596957,0.10348300939608986,0.24822793383058928,0.01073387170090887,0.005093622697811574
