,,,Slide ID,G12,G6,G5,G4,G8,G10,G9,G11,G2,G1,G7,G3,G13
,,,Antibody Name,G12,G6,G5,G4,G8,G10,G9,G11,G2,G1,G7,G3,G13
,,,HUGO ID,G12,G6,G5,G4,G8,G10,G9,G11,G2,G1,G7,G3,G13
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.02145128670841101,0.23432215100471931,0.09372042685876891,0.6112928249213021,0.915665005552074,0.1144394486720417,0.9208378999387773,0.42642366843917634,0.369128687320204,0.20754069969219446,0.27798979378761013,0.02888123407391141,0.38729375529818055
C1,no,Insulin,0.5050505050505051,0.14045600401690686,0.2328334938739451,0.06682968809425822,0.2938402115004663,0.968873832854304,0.17558848595701795,0.8729303075153155,0.2057492145491698,0.272214293980118,0.18771966023183095,0.49636515928051267,0.4725924075354849,0.779276702599502
C1,no,Insulin,1.0101010101010102,0.21197319222277483,0.23214522628189674,0.05665584172353509,0.20918417925860933,0.9885120255720183,0.23365996478504025,0.8223647117401269,0.11684982998487752,0.23192817698082588,0.204245532120646,0.5924344433561022,0.6004945667206475,0.9204859209331245
C1,no,Insulin,1.5151515151515151,0.24158939124191128,0.23182670564252378,0.05182753495072191,0.18767623242333079,0.9957600450927213,0.2699523600937174,0.7911172353307084,0.08028657680120715,0.2123749870329753,0.21340498227892554,0.6405044544990083,0.6402329649228639,0.9713555922484992
C1,no,Insulin,2.0202020202020203,0.252880615741209,0.23167923284868772,0.0496114153769753,0.1830876134959918,0.9984351276561501,0.2908619687276644,0.7737302834152636,0.06517992560595434,0.20236218657536742,0.21753700357321795,0.6656807490819677,0.652738501056914,0.9896810491693238
C1,no,Insulin,2.5252525252525255,0.25701366785971475,0.23161093983903297,0.04864214207125821,0.18267584793259709,0.9994224408359581,0.3024966059809012,0.7644883556037745,0.05896142795502964,0.19709548218356823,0.21936674673375506,0.6792039742840176,0.6566872347901396,0.9962826700450684
C1,no,Insulin,3.0303030303030303,0.2584879071453493,0.23157931106933816,0.04823509955457566,0.18306697792137694,0.9997868359721815,0.30885486400132867,0.7596950421767137,0.05642923455841009,0.19428608186911944,0.22020311524297176,0.6865763962923844,0.6579349126974322,0.9986608582873284
C1,no,Insulin,3.5353535353535355,0.2590040933653511,0.2315646620871456,0.04807062799648812,0.18346320994321685,0.9999213258091179,0.3122949941971291,0.7572444532221498,0.05541750624112645,0.19277666790836123,0.2206036005247715,0.6906307975259918,0.6583289833776148,0.9995175825185643
C1,no,Insulin,4.040404040404041,0.25918227352080464,0.23155787722668414,0.04800716839306372,0.18373467614808542,0.9999709627755428,0.31414560794896235,0.7560025289968391,0.05502547881583895,0.19196287659356273,0.22080398348318345,0.6928718417922115,0.6584533081647749,0.99982621012532
C1,no,Insulin,4.545454545454546,0.25924308040411204,0.23155473469699228,0.04798433488465319,0.1839001256363007,0.999989282808363,0.31513781576337274,0.7553765930900732,0.05488110143367584,0.19152347017269036,0.22090769591240814,0.6941142128351451,0.6584924538317773,0.9999373921620511
C1,no,Insulin,5.050505050505051,0.2592636330795849,0.23155327918560814,0.04797714673705822,0.18399619568989414,0.9999960440715139,0.3156687425020222,0.7550622310657408,0.05483265676015449,0.1912861059599545,0.22096260905497764,0.6948041124441312,0.6585047366043824,0.9999774430063797
C1,no,Insulin,5.555555555555556,0.25927052669203343,0.23155260500127134,0.04797558927611079,0.18405074511546346,0.9999985404165769,0.3159525135717009,0.7549047118646061,0.054819505962476214,0.19115789130665128,0.2209920908759645,0.6951875957325184,0.6585085738640444,0.9999918773967182
C1,no,Insulin,6.0606060606060606,0.259272818577623,0.23155229274037584,0.04797581124288568,0.18408139243818014,0.9999994615046747,0.316104080617744,0.7548259063965514,0.05481818064373384,0.19108865823999313,0.221008041317359,0.6954008731940682,0.658509758584379,0.9999970753891329
C1,no,Insulin,6.565656565656566,0.2592735744881398,0.2315521481085852,0.04797642417460523,0.18409852206704824,0.9999998013242173,0.3161850033100965,0.754786523299977,0.054820048136102514,0.19105129003458188,0.22101670544900218,0.695519527504783,0.6585101181648411,0.9999989469218779
C1,no,Insulin,7.070707070707071,0.2592738217413615,0.23155208112032405,0.04797698766250338,0.1841080724664917,0.999999926693535,0.3162281978747437,0.7547668576898408,0.054822222899938426,0.19103113049533085,0.2210214201069875,0.6955855507766191,0.6585102243332353,0.9999996207727063
C1,no,Insulin,7.575757575757576,0.25927390176729365,0.23155205009703003,0.047977403447920446,0.18411339109438896,0.9999999729217516,0.3162512500861843,0.754757044524467,0.054823929878481024,0.1910202603514027,0.2210239869889662,0.6956222909774501,0.6585102539783417,0.9999998632343716
C1,no,Insulin,8.080808080808081,0.259273927628696,0.23155203571859587,0.047977682202343594,0.1841163513664577,0.9999999900957507,0.31626355371754095,0.7547521486729063,0.054825096920275616,0.19101440090193852,0.22102538446733536,0.6956427392783653,0.6585102620767457,0.9999999513375306
C1,no,Insulin,8.585858585858587,0.2592739357014319,0.23155202906238317,0.04797785965434287,0.1841179994084708,0.9999999963549372,0.31627011933112714,0.7547497080327534,0.054825843104458684,0.19101124436329875,0.22102614534461076,0.695654119233689,0.6585102631290599,0.9999999825132566
C1,no,Insulin,9.090909090909092,0.25927393785612474,0.23155202597983657,0.04797796902302539,0.18411891616400788,0.999999998671806,0.31627362285742183,0.7547484918915236,0.054826300988761144,0.19100954447988838,0.2210265583365046,0.6956604526811229,0.6585102632385453,0.9999999938137138
C1,no,Insulin,9.595959595959597,0.25927393911383106,0.23155202455157686,0.0479780348851228,0.18411942701192902,0.9999999995084997,0.3162754931945035,0.7547478857045391,0.05482657500760102,0.19100862930838666,0.22102678521775657,0.6956639784709009,0.6585102626589235,0.9999999977388496
C1,no,Insulin,10.101010101010102,0.2592739387309507,0.23155202389262625,0.04797807407006994,0.18411971052331735,0.9999999998224792,0.31627649028829824,0.7547475845534054,0.05482673603793971,0.19100813706659875,0.2210269057225447,0.6956659397229652,0.6585102627585258,0.9999999992244745
C1,no,Insulin,10.606060606060607,0.25927393904199353,0.231552023587491,0.04797809699028485,0.18411986871745042,0.9999999999281983,0.316277022338141,0.7547474346175754,0.054826829544237135,0.19100787247150927,0.2210269726585616,0.6956670310166856,0.6585102624639891,0.9999999996712502
C1,no,Insulin,11.111111111111112,0.259273938895429,0.2315520234453678,0.047978110352151035,0.18411995660913733,0.9999999999739804,0.31627730662742004,0.7547473598731254,0.054826883302123666,0.19100772997030038,0.22102700840701853,0.6956676389805535,0.6585102624869235,0.9999999998851627
C1,no,Insulin,11.616161616161618,0.2592739388542066,0.23155202337960995,0.04797811806201029,0.18412000552798094,0.9999999999904854,0.31627745824509673,0.7547473227341094,0.05482691401953412,0.19100765343965057,0.22102702797380477,0.6956679771422791,0.6585102624787484,0.9999999999592712
C1,no,Insulin,12.121212121212121,0.2592739388394016,0.23155202334888758,0.047978122529517074,0.18412003300644048,0.9999999999965004,0.3162775399182325,0.7547473041013989,0.05482693164832188,0.19100761193578553,0.22102703867846388,0.6956681670385454,0.658510262470692,0.9999999999853362
C1,no,Insulin,12.626262626262626,0.2592739388386961,0.23155202333601826,0.047978125033398225,0.18412004788140887,0.9999999999979978,0.31627758186124066,0.754747295413822,0.05482694141938904,0.19100759044628765,0.22102704436275863,0.6956682698062573,0.6585102624652128,0.9999999999913118
C1,no,Insulin,13.131313131313131,0.2592739388396006,0.23155202333046565,0.047978126432246575,0.18412005597408773,0.9999999999983248,0.3162776035984536,0.7547472912931945,0.054826946824892704,0.19100757923073705,0.22102704737276288,0.6956683257091212,0.6585102624624567,0.9999999999923399
C1,no,Insulin,13.636363636363637,0.2592739388360128,0.23155202332711888,0.04797812723719432,0.18412006061757719,0.9999999999989962,0.3162776158527955,0.7547472889746443,0.05482694991878583,0.19100757290107523,0.22102704901243192,0.6956683577981886,0.6585102624626572,0.9999999999953568
C1,no,Insulin,14.141414141414142,0.2592739388302293,0.23155202332498448,0.04797812770361016,0.18412006331253872,0.99999999999975,0.3162776228949075,0.7547472876188388,0.05482695170412376,0.19100756926270018,0.22102704987545127,0.6956683764336663,0.6585102624643404,0.999999999998976
C1,no,Insulin,14.646464646464647,0.25927393882734084,0.23155202332391034,0.047978127972682215,0.18412006484694243,1.00000000000007,0.3162776267888357,0.7547472869036782,0.054826952730317895,0.1910075672426666,0.2210270503301934,0.6956683870425592,0.658510262465366,1.0000000000005185
C1,no,Insulin,15.151515151515152,0.2592739388289016,0.23155202332347657,0.04797812812763141,0.18412006571258674,1.0000000000000049,0.3162776288925752,0.7547472865539308,0.05482695332046968,0.19100756614748246,0.22102705063042405,0.6956683930182259,0.6585102624649875,1.0000000000001092
C1,no,Insulin,15.656565656565657,0.25927393883196365,0.23155202332327984,0.04797812821653715,0.18412006620369384,0.9999999999998982,0.31627763004380255,0.7547472863752939,0.05482695365835482,0.19100756555084933,0.22102705088422256,0.6956683964028074,0.658510262464061,0.9999999999994783
C1,no,Insulin,16.161616161616163,0.25927393883299255,0.23155202332315422,0.04797812826732139,0.18412006648322285,0.9999999999999171,0.3162776306846589,0.7547472862765603,0.05482695384970722,0.1910075652212991,0.2210270510751775,0.6956683983318109,0.6585102624636543,0.9999999999995451
C1,no,Insulin,16.666666666666668,0.2592739388344294,0.23155202332305574,0.04797812831003523,0.18412006671814132,0.9999999999999023,0.3162776312210552,0.7547472861949853,0.054826954010999567,0.1910075649444044,0.22102705121921332,0.6956683999512309,0.6585102624632122,0.999999999999428
C1,no,Insulin,17.171717171717173,0.2592739388353183,0.23155202332298896,0.0479781283408576,0.1841200668870209,0.9999999999998861,0.3162776316028334,0.7547472861380331,0.05482695412727719,0.1910075647458343,0.22102705129914565,0.6956684011155855,0.6585102624629808,0.9999999999993169
C1,no,Insulin,17.67676767676768,0.2592739388348953,0.2315520233229582,0.04797812835620065,0.18412006696979305,0.9999999999998967,0.3162776317826543,0.7547472861127865,0.054826954184526704,0.1910075646500018,0.22102705130210226,0.695668401688302,0.6585102624631549,0.999999999999375
C1,no,Insulin,18.181818181818183,0.25927393883316036,0.23155202332296348,0.04797812835606438,0.18412006696645777,0.9999999999999342,0.31627763176051776,0.7547472861192455,0.054826954182748085,0.19100756465690696,0.2210270512280831,0.6956684016693806,0.6585102624637345,0.9999999999996024
C1,no,Insulin,18.68686868686869,0.25927393883248434,0.231552023322956,0.047978128360688044,0.18412006699048658,0.9999999999999499,0.31627763180693536,0.754747286113935,0.05482695419955272,0.19100756463065982,0.22102705120654786,0.6956684018369713,0.6585102624639708,0.9999999999996965
C1,no,Insulin,19.191919191919194,0.25927393883214306,0.2315520233229506,0.04797812836389044,0.18412006700722466,0.999999999999959,0.3162776318392913,0.7547472861101326,0.05482695421123765,0.191007564612762,0.22102705119795885,0.6956684019534226,0.6585102624640925,0.9999999999997495
C1,no,Insulin,19.6969696969697,0.259273938831707,0.2315520233229562,0.04797812836200394,0.18412006699610928,0.9999999999999701,0.316277631808565,0.7547472861157166,0.05482695420373857,0.1910075646278387,0.22102705117885604,0.6956684018777225,0.6585102624642354,0.9999999999998165
C1,no,Insulin,20.202020202020204,0.2592739388311761,0.23155202332297278,0.047978128355028536,0.18412006695714045,0.9999999999999832,0.3162776317147565,0.7547472861306871,0.05482695417705549,0.1910075646758899,0.22102705114923946,0.695668401609871,0.6585102624643994,0.9999999999998974
C1,no,Insulin,20.70707070707071,0.25927393883053595,0.2315520233229757,0.047978128355096246,0.18412006695618688,0.9999999999999994,0.3162776317035236,0.7547472861341237,0.054826954176683575,0.19100756468014987,0.2210270511249834,0.6956684016048564,0.6585102624646145,0.9999999999999936
C1,no,Insulin,21.212121212121215,0.25927393883055505,0.23155202332298286,0.04797812835105392,0.18412006693437208,0.9999999999999996,0.3162776316558155,0.7547472861406835,0.0548269541615512,0.1910075647053945,0.2210270511203519,0.6956684014541443,0.6585102624646008,0.9999999999999951
C1,no,Insulin,21.71717171717172,0.25927393883057415,0.23155202332299,0.04797812834701158,0.18412006691255725,0.9999999999999998,0.3162776316081074,0.7547472861472434,0.05482695414641882,0.19100756473063912,0.2210270511157204,0.6956684013034321,0.6585102624645869,0.9999999999999967
C1,no,Insulin,22.222222222222225,0.2592739388305932,0.23155202332299715,0.04797812834296925,0.18412006689074245,0.9999999999999999,0.31627763156039934,0.7547472861538033,0.05482695413128644,0.19100756475588376,0.22102705111108892,0.69566840115272,0.6585102624645731,0.9999999999999982
C1,no,Insulin,22.72727272727273,0.25927393883059613,0.23155202332299835,0.04797812834226171,0.1841200668869376,1.0,0.31627763155219707,0.7547472861549048,0.05482695412864219,0.19100756476022535,0.22102705111023663,0.6956684011264339,0.6585102624645707,0.9999999999999986
C1,no,Insulin,23.232323232323235,0.25927393883059646,0.2315520233229986,0.04797812834207579,0.1841200668859498,1.0,0.3162776315501742,0.7547472861551527,0.05482695412795131,0.19100756476129735,0.2210270511099755,0.6956684011196103,0.6585102624645701,0.9999999999999986
C1,no,Insulin,23.73737373737374,0.2592739388305968,0.23155202332299885,0.04797812834188987,0.18412006688496205,1.0,0.3162776315481513,0.7547472861554007,0.054826954127260435,0.19100756476236935,0.22102705110971438,0.6956684011127866,0.6585102624645696,0.9999999999999986
C1,no,Insulin,24.242424242424242,0.25927393883059713,0.2315520233229991,0.04797812834170396,0.18412006688397428,1.0,0.3162776315461284,0.7547472861556486,0.054826954126569565,0.19100756476344133,0.22102705110945325,0.695668401105963,0.658510262464569,0.9999999999999987
C1,no,Insulin,24.747474747474747,0.25927393883059746,0.23155202332299935,0.04797812834151804,0.1841200668829865,1.0,0.3162776315441056,0.7547472861558965,0.05482695412587869,0.19100756476451333,0.2210270511091921,0.6956684010991393,0.6585102624645685,0.9999999999999987
C1,no,Insulin,25.252525252525253,0.2592739388305978,0.2315520233229996,0.047978128341332124,0.18412006688199872,1.0,0.3162776315420827,0.7547472861561444,0.05482695412518781,0.19100756476558534,0.22102705110893098,0.6956684010923158,0.6585102624645679,0.9999999999999987
C1,no,Insulin,25.757575757575758,0.2592739388305982,0.23155202332299984,0.0479781283411462,0.18412006688101093,1.0,0.31627763154005983,0.7547472861563923,0.05482695412449694,0.19100756476665734,0.22102705110866985,0.6956684010854921,0.6585102624645673,0.9999999999999988
C1,no,Insulin,26.262626262626263,0.2592739388305985,0.2315520233230001,0.04797812834096029,0.18412006688002316,1.0,0.31627763153803695,0.7547472861566402,0.05482695412380606,0.19100756476772932,0.22102705110840873,0.6956684010786685,0.6585102624645668,0.9999999999999988
C1,no,Insulin,26.767676767676768,0.25927393883059885,0.23155202332300034,0.04797812834077437,0.18412006687903537,1.0,0.31627763153601407,0.7547472861568881,0.05482695412311518,0.19100756476880132,0.2210270511081476,0.6956684010718448,0.6585102624645661,0.9999999999999989
C1,no,Insulin,27.272727272727273,0.2592739388305992,0.2315520233230006,0.04797812834058845,0.1841200668780476,1.0,0.3162776315339912,0.754747286157136,0.05482695412242431,0.19100756476987332,0.22102705110788648,0.6956684010650211,0.6585102624645656,0.9999999999999989
C1,no,Insulin,27.77777777777778,0.2592739388305995,0.23155202332300084,0.047978128340402534,0.1841200668770598,1.0,0.31627763153196836,0.754747286157384,0.05482695412173343,0.19100756477094533,0.22102705110762533,0.6956684010581976,0.658510262464565,0.9999999999999989
C1,no,Insulin,28.282828282828284,0.25927393883059985,0.23155202332300107,0.047978128340216614,0.18412006687607205,1.0,0.3162776315299455,0.7547472861576318,0.054826954121042555,0.1910075647720173,0.2210270511073642,0.695668401051374,0.6585102624645645,0.999999999999999
C1,no,Insulin,28.78787878787879,0.25927393883060024,0.23155202332300132,0.0479781283400307,0.18412006687508425,1.0,0.3162776315279226,0.7547472861578797,0.054826954120351684,0.1910075647730893,0.22102705110710308,0.6956684010445503,0.6585102624645639,0.999999999999999
C1,no,Insulin,29.292929292929294,0.25927393883060057,0.23155202332300157,0.04797812833984478,0.1841200668740965,1.0,0.3162776315258997,0.7547472861581276,0.054826954119660806,0.1910075647741613,0.22102705110684195,0.6956684010377266,0.6585102624645633,0.9999999999999991
C1,no,Insulin,29.7979797979798,0.2592739388306009,0.23155202332300182,0.047978128339658865,0.18412006687310872,1.0,0.31627763152387683,0.7547472861583755,0.05482695411896993,0.1910075647752333,0.22102705110658083,0.695668401030903,0.6585102624645628,0.9999999999999991
C1,no,Insulin,30.303030303030305,0.25927393883060124,0.23155202332300207,0.047978128339472945,0.18412006687212093,1.0,0.31627763152185395,0.7547472861586234,0.05482695411827906,0.1910075647763053,0.2210270511063197,0.6956684010240793,0.6585102624645622,0.9999999999999991
C1,no,Insulin,30.80808080808081,0.25927393883060157,0.23155202332300232,0.047978128339287024,0.18412006687113316,1.0,0.3162776315198311,0.7547472861588713,0.05482695411758818,0.1910075647773773,0.22102705110605855,0.6956684010172558,0.6585102624645617,0.9999999999999992
C1,no,Insulin,31.313131313131315,0.2592739388306019,0.23155202332300256,0.04797812833910111,0.18412006687014537,1.0,0.31627763151780824,0.7547472861591192,0.0548269541168973,0.1910075647784493,0.22102705110579743,0.6956684010104321,0.6585102624645611,0.9999999999999992
C1,no,Insulin,31.81818181818182,0.2592739388306023,0.23155202332300281,0.04797812833891519,0.1841200668691576,1.0,0.31627763151578536,0.7547472861593671,0.054826954116206424,0.1910075647795213,0.2210270511055363,0.6956684010036085,0.6585102624645605,0.9999999999999992
C1,no,Insulin,32.323232323232325,0.2592739388306026,0.23155202332300306,0.047978128338729276,0.1841200668681698,1.0,0.3162776315137625,0.7547472861596151,0.05482695411551555,0.19100756478059328,0.22102705110527518,0.6956684009967848,0.6585102624645599,0.9999999999999993
C1,no,Insulin,32.82828282828283,0.25927393883060296,0.23155202332300331,0.047978128338543355,0.18412006686718205,1.0,0.3162776315117396,0.754747286159863,0.054826954114824675,0.19100756478166528,0.22102705110501406,0.6956684009899612,0.6585102624645593,0.9999999999999993
C1,no,Insulin,33.333333333333336,0.2592739388306033,0.23155202332300356,0.04797812833835744,0.18412006686619425,1.0,0.3162776315097167,0.7547472861601109,0.0548269541141338,0.19100756478273728,0.22102705110475293,0.6956684009831376,0.6585102624645588,0.9999999999999994
C1,no,Insulin,33.83838383838384,0.2592739388306036,0.2315520233230038,0.04797812833817152,0.1841200668652065,1.0,0.3162776315076939,0.7547472861603588,0.054826954113442926,0.19100756478380929,0.22102705110449178,0.695668400976314,0.6585102624645582,0.9999999999999994
C1,no,Insulin,34.343434343434346,0.25927393883060396,0.23155202332300406,0.04797812833798561,0.1841200668642187,1.0,0.316277631505671,0.7547472861606066,0.05482695411275205,0.19100756478488126,0.22102705110423065,0.6956684009694903,0.6585102624645577,0.9999999999999994
C1,no,Insulin,34.84848484848485,0.25927393883060434,0.2315520233230043,0.047978128337799686,0.18412006686323093,1.0,0.3162776315036481,0.7547472861608545,0.05482695411206117,0.19100756478595327,0.22102705110396953,0.6956684009626667,0.6585102624645571,0.9999999999999996
C1,no,Insulin,35.35353535353536,0.2592739388306047,0.23155202332300456,0.047978128337613765,0.18412006686224314,1.0,0.31627763150162524,0.7547472861611024,0.0548269541113703,0.19100756478702527,0.2210270511037084,0.695668400955843,0.6585102624645566,0.9999999999999996
C1,no,Insulin,35.85858585858586,0.259273938830605,0.2315520233230048,0.04797812833742785,0.18412006686125537,1.0,0.31627763149960236,0.7547472861613503,0.05482695411067942,0.19100756478809727,0.22102705110344728,0.6956684009490194,0.658510262464556,0.9999999999999997
C1,no,Insulin,36.36363636363637,0.25927393883060534,0.23155202332300504,0.04797812833724193,0.1841200668602676,1.0,0.3162776314975795,0.7547472861615983,0.05482695410998854,0.19100756478916925,0.22102705110318616,0.6956684009421958,0.6585102624645554,0.9999999999999997
C1,no,Insulin,36.86868686868687,0.2592739388306057,0.23155202332300528,0.04797812833705602,0.1841200668592798,1.0,0.31627763149555665,0.7547472861618462,0.05482695410929767,0.19100756479024125,0.221027051102925,0.6956684009353722,0.6585102624645548,0.9999999999999997
C1,no,Insulin,37.37373737373738,0.259273938830606,0.23155202332300553,0.047978128336870096,0.18412006685829205,1.0,0.3162776314935338,0.7547472861620941,0.054826954108606794,0.19100756479131326,0.22102705110266388,0.6956684009285485,0.6585102624645542,0.9999999999999998
C1,no,Insulin,37.87878787878788,0.2592739388306064,0.23155202332300578,0.04797812833668418,0.18412006685730425,1.0,0.3162776314915109,0.754747286162342,0.054826954107915916,0.19100756479238526,0.22102705110240276,0.6956684009217249,0.6585102624645537,0.9999999999999998
C1,no,Insulin,38.38383838383839,0.25927393883060673,0.23155202332300603,0.04797812833649826,0.1841200668563165,1.0,0.316277631489488,0.7547472861625899,0.054826954107225045,0.19100756479345724,0.22102705110214163,0.6956684009149012,0.6585102624645531,0.9999999999999998
C1,no,Insulin,38.88888888888889,0.25927393883060706,0.23155202332300628,0.04797812833631234,0.1841200668553287,1.0,0.3162776314874651,0.7547472861628378,0.05482695410653417,0.19100756479452924,0.2210270511018805,0.6956684009080777,0.6585102624645526,0.9999999999999999
C1,no,Insulin,39.3939393939394,0.2592739388306074,0.23155202332300653,0.04797812833612643,0.18412006685434093,1.0,0.31627763148544225,0.7547472861630857,0.05482695410584329,0.19100756479560124,0.22102705110161938,0.695668400901254,0.658510262464552,0.9999999999999999
C1,no,Insulin,39.8989898989899,0.25927393883060773,0.23155202332300678,0.047978128335940506,0.18412006685335314,1.0,0.3162776314834194,0.7547472861633336,0.05482695410515242,0.19100756479667325,0.22102705110135826,0.6956684008944304,0.6585102624645515,1.0
C1,no,Insulin,40.40404040404041,0.25927393883060806,0.23155202332300703,0.04797812833575459,0.18412006685236537,1.0,0.31627763148139654,0.7547472861635814,0.05482695410446154,0.19100756479774522,0.2210270511010971,0.6956684008876067,0.6585102624645509,1.0
