BESTFIT,,BACC,FULLFIT,,,REVEAL,,,,BESTFIT,FULLFIT,REVEAL
1,Ecoli_14_1.sif,0.4642857143,1,Ecoli_13_1.sif,0.553030303,1,Ecoli_11_1.sif,0.5069444444,1,0.5038672439,0.4854484404,0.4989430015
1,Ecoli_12_1.sif,0.5113636364,1,Ecoli_12_1.sif,0.4659090909,1,Ecoli_10_1.sif,0.4666666667,2,0.5070926834,0.5267581688,0.5112659092
1,Ecoli_11_1.sif,0.5694444444,1,Ecoli_10_1.sif,0.4611111111,1,Ecoli_13_1.sif,0.5454545455,3,0.4968350666,0.4838011985,0.4930690567
1,Ecoli_10_1.sif,0.4666666667,1,Ecoli_11_1.sif,0.4444444444,1,Ecoli_12_1.sif,0.5113636364,4,0.497946487,0.5052303511,0.4984330486
1,Ecoli_13_1.sif,0.5075757576,1,Ecoli_14_1.sif,0.5027472527,1,Ecoli_14_1.sif,0.4642857143,5,0.5048371754,0.501108815,0.4982824216
2,Ecoli_13_2.sif,0.4695945946,2,Ecoli_11_2.sif,0.4455445545,2,Ecoli_10_2.sif,0.5067750678,6,0.5045111298,0.4835187487,0.4929476605
2,Ecoli_10_2.sif,0.47899729,2,Ecoli_14_2.sif,0.5592811747,2,Ecoli_11_2.sif,0.4405940594,7,0.4975604229,0.5021685442,0.4939630293
2,Ecoli_12_2.sif,0.6,2,Ecoli_13_2.sif,0.574967825,2,Ecoli_12_2.sif,0.575,8,0.5009897334,0.5138371729,0.5006238579
2,Ecoli_11_2.sif,0.4705445545,2,Ecoli_10_2.sif,0.47899729,2,Ecoli_13_2.sif,0.5205920206,9,0.5006114302,0.5082014076,0.4974075322
2,Ecoli_14_2.sif,0.5163269779,2,Ecoli_12_2.sif,0.575,2,Ecoli_14_2.sif,0.513368398,,,,
3,Ecoli_12_3.sif,0.5077540107,3,Ecoli_12_3.sif,0.4692513369,3,Ecoli_10_3.sif,0.4733333333,,,,
3,Ecoli_14_3.sif,0.4897435897,3,Ecoli_10_3.sif,0.4666666667,3,Ecoli_11_3.sif,0.5082458771,,,,
3,Ecoli_13_3.sif,0.5023399015,3,Ecoli_13_3.sif,0.4850985222,3,Ecoli_12_3.sif,0.5077540107,,,,
3,Ecoli_11_3.sif,0.4910044978,3,Ecoli_14_3.sif,0.4897435897,3,Ecoli_13_3.sif,0.4987684729,,,,
3,Ecoli_10_3.sif,0.4933333333,3,Ecoli_11_3.sif,0.5082458771,3,Ecoli_14_3.sif,0.4772435897,,,,
4,Ecoli_10_4.sif,0.5360962567,4,Ecoli_11_4.sif,0.523620799,4,Ecoli_10_4.sif,0.5360962567,,,,
4,Ecoli_14_4.sif,0.4871794872,4,Ecoli_10_4.sif,0.5213903743,4,Ecoli_11_4.sif,0.5164870006,,,,
4,Ecoli_13_4.sif,0.4919646444,4,Ecoli_14_4.sif,0.4871794872,4,Ecoli_12_4.sif,0.4700532387,,,,
4,Ecoli_11_4.sif,0.5044388079,4,Ecoli_12_4.sif,0.5019964508,4,Ecoli_13_4.sif,0.4919646444,,,,
4,Ecoli_12_4.sif,0.4700532387,4,Ecoli_13_4.sif,0.4919646444,4,Ecoli_14_4.sif,0.4775641026,,,,
5,Ecoli_13_5.sif,0.5351412626,5,Ecoli_10_5.sif,0.4833333333,5,Ecoli_10_5.sif,0.4708333333,,,,
5,Ecoli_11_5.sif,0.531884058,5,Ecoli_12_5.sif,0.4793504411,5,Ecoli_11_5.sif,0.5210144928,,,,
