BESTFIT,,,FULLFIT,,,REVEAL,,,,BESTFIT,FULLFIT,REVEAL
1,Ecoli_14_1.sif,0,1,Ecoli_13_1.sif,0.2,1,Ecoli_11_1.sif,0.125,1,0.0922222222,0.0553846154,0.0805555556
1,Ecoli_12_1.sif,0.1111111111,1,Ecoli_12_1.sif,0,1,Ecoli_10_1.sif,0,2,0.1833333333,0.2744444444,0.2033333333
1,Ecoli_11_1.sif,0.25,1,Ecoli_10_1.sif,0,1,Ecoli_13_1.sif,0.1666666667,3,0.2061227661,0.1457187257,0.1840909091
1,Ecoli_10_1.sif,0,1,Ecoli_11_1.sif,0,1,Ecoli_12_1.sif,0.1111111111,4,0.2795382395,0.3263636364,0.2814430014
1,Ecoli_13_1.sif,0.1,1,Ecoli_14_1.sif,0.0769230769,1,Ecoli_14_1.sif,0,5,0.3808857809,0.352047952,0.3371794872
2,Ecoli_13_2.sif,0,2,Ecoli_11_2.sif,0,2,Ecoli_10_2.sif,0.2,6,0.4705050505,0.3131313131,0.3666666667
2,Ecoli_10_2.sif,0.1111111111,2,Ecoli_14_2.sif,0.4444444444,2,Ecoli_11_2.sif,0,7,0.4892929293,0.5072402597,0.4708041958
2,Ecoli_12_2.sif,0.5,2,Ecoli_13_2.sif,0.4,2,Ecoli_12_2.sif,0.4166666667,8,0.5774891775,0.6665734266,0.5738927739
2,Ecoli_11_2.sif,0.0833333333,2,Ecoli_10_2.sif,0.1111111111,2,Ecoli_13_2.sif,0.2,9,0.6093939394,0.6636363637,0.5853535354
2,Ecoli_14_2.sif,0.2222222222,2,Ecoli_12_2.sif,0.4166666667,2,Ecoli_14_2.sif,0.2,,,,
3,Ecoli_12_3.sif,0.2727272727,3,Ecoli_12_3.sif,0.0909090909,3,Ecoli_10_3.sif,0.125,,,,
3,Ecoli_14_3.sif,0.1538461538,3,Ecoli_10_3.sif,0.1111111111,3,Ecoli_11_3.sif,0.2727272727,,,,
3,Ecoli_13_3.sif,0.1818181818,3,Ecoli_13_3.sif,0.1,3,Ecoli_12_3.sif,0.2727272727,,,,
3,Ecoli_11_3.sif,0.2,3,Ecoli_14_3.sif,0.1538461538,3,Ecoli_13_3.sif,0.1666666667,,,,
3,Ecoli_10_3.sif,0.2222222222,3,Ecoli_11_3.sif,0.2727272727,3,Ecoli_14_3.sif,0.0833333333,,,,
4,Ecoli_10_4.sif,0.5714285714,4,Ecoli_11_4.sif,0.4166666667,4,Ecoli_10_4.sif,0.5714285714,,,,
4,Ecoli_14_4.sif,0.2,4,Ecoli_10_4.sif,0.5,4,Ecoli_11_4.sif,0.4,,,,
4,Ecoli_13_4.sif,0.1818181818,4,Ecoli_14_4.sif,0.2,4,Ecoli_12_4.sif,0.1111111111,,,,
4,Ecoli_11_4.sif,0.3333333333,4,Ecoli_12_4.sif,0.3333333333,4,Ecoli_13_4.sif,0.1818181818,,,,
