Networkname,Nodes,Bin_method,Learn_method,Timepoints,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
Network_faure_cellcycle50.sif,10,KM3,FULLFIT,50,1,69,5,25,0.1666666667,0.0384615385,0.7,0.4854469854,-0.0537583513
Network_faure_cellcycle100.sif,10,KM3,FULLFIT,100,4,68,6,22,0.4,0.1538461538,0.72,0.5363825364,0.1063908423
Network_faure_cellcycle150.sif,10,KM3,FULLFIT,150,4,64,10,22,0.2857142857,0.1538461538,0.68,0.5093555094,0.0236530268
Network_faure_cellcycle200.sif,10,KM3,FULLFIT,200,3,66,8,23,0.2727272727,0.1153846154,0.69,0.5036382536,0.0102007982
Network_faure_cellcycle250.sif,10,KM3,FULLFIT,250,2,67,7,24,0.2222222222,0.0769230769,0.69,0.4911642412,-0.0270853488
Network_faure_cellcycle300.sif,10,KM3,FULLFIT,300,5,66,8,21,0.3846153846,0.1923076923,0.71,0.5420997921,0.109819934
Network_faure_cellcycle350.sif,10,KM3,FULLFIT,350,1,65,9,25,0.1,0.0384615385,0.66,0.4584199584,-0.121589534
Network_faure_cellcycle400.sif,10,KM3,FULLFIT,400,3,65,9,23,0.25,0.1153846154,0.68,0.4968814969,-0.0084187333
Network_faure_cellcycle450.sif,10,KM3,FULLFIT,450,1,68,6,25,0.1428571429,0.0384615385,0.69,0.4786902287,-0.0732690945
Network_faure_cellcycle500.sif,10,KM3,FULLFIT,500,3,67,7,23,0.3,0.1153846154,0.7,0.5103950104,0.0303973835
,,,,,,,,,,,,,
Mean_Nodes,10,,,,,,,,,,,,
Mean_BACC,0.5012474012,,,,,,,,,,,,
Mean_MCC,-0.0003659077,,,,,,,,,,,,
Mean_ACC,0.692,,,,,,,,,,,,
Mean_Precision,0.2524802975,,,,,,,,,,,,
Mean_Recall,0.1038461538,,,,,,,,,,,,
