clusterdepth,Networkname,Nodes,Bin_method,Learn_method,Timepoints,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
1,Network_faure_cellcycleKM1.sif,10,KM1,FULLFIT,100,4,68,6,22,0.4,0.1538461538,0.72,0.5363825364,0.1063908423
2,Network_faure_cellcycleKM2.sif,10,KM2,FULLFIT,100,5,69,5,21,0.5,0.1923076923,0.74,0.5623700624,0.182384301
3,Network_faure_cellcycleKM3.sif,10,KM3,FULLFIT,100,3,67,7,23,0.3,0.1153846154,0.7,0.5103950104,0.0303973835
4,Network_faure_cellcycleKM4.sif,10,KM4,FULLFIT,100,3,67,7,23,0.3,0.1153846154,0.7,0.5103950104,0.0303973835
5,Network_faure_cellcycleKM5.sif,10,KM5,FULLFIT,100,2,66,8,24,0.2,0.0769230769,0.68,0.4844074844,-0.0455960753
6,Network_faure_cellcycleKM6.sif,10,KM6,FULLFIT,100,4,68,6,22,0.4,0.1538461538,0.72,0.5363825364,0.1063908423
7,Network_faure_cellcycleKM7.sif,10,KM7,FULLFIT,100,3,68,6,23,0.3333333333,0.1153846154,0.71,0.5171517672,0.0525774417
8,Network_faure_cellcycleKM8.sif,10,KM8,FULLFIT,100,3,67,7,23,0.3,0.1153846154,0.7,0.5103950104,0.0303973835
9,Network_faure_cellcycleKM9.sif,10,KM9,FULLFIT,100,3,68,6,23,0.3333333333,0.1153846154,0.71,0.5171517672,0.0525774417
10,Network_faure_cellcycleKM10.sif,10,KM10,FULLFIT,100,2,66,8,24,0.2,0.0769230769,0.68,0.4844074844,-0.0455960753
,,,,,,,,,,,,,,
,Mean_Nodes,10,,,,,,,,,,,,
,Mean_BACC,0.5169438669,,,,,,,,,,,,
,Mean_MCC,0.0500320869,,,,,,,,,,,,
,Mean_ACC,0.706,,,,,,,,,,,,
,Mean_Precision,0.3266666667,,,,,,,,,,,,
,Mean_Recall,0.1230769231,,,,,,,,,,,,
