,,,Slide ID,b,f,e,a,c,d
,,,Antibody Name,b,f,e,a,c,d
,,,HUGO ID,b,f,e,a,c,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.0020707471110714692,0.6765003286506533,0.8049420138283541,0.6051910282958346,0.9502018568682395,0.5466386499599446
C1,no,Insulin,0.5050505050505051,0.05276373072857575,0.3959963377983548,0.4557456593322434,0.23635496833924596,0.8040774149719558,0.47233696264314273
C1,no,Insulin,1.0101010101010102,0.07519408950961914,0.27798187152532144,0.36003290962118395,0.11979066427163265,0.7221649031308052,0.4327925807575282
C1,no,Insulin,1.5151515151515151,0.0853103190311929,0.22648235102814576,0.3308639849670568,0.08006781250788389,0.6763700316938491,0.4114147395120174
C1,no,Insulin,2.0202020202020203,0.08991740442958146,0.20402920923318343,0.32045697051168887,0.06541055278871129,0.6508022741877975,0.3997455285850622
C1,no,Insulin,2.5252525252525255,0.0919831316051019,0.19432929103382868,0.31605402672723343,0.05962550724816588,0.6365352213753503,0.39333940825004127
C1,no,Insulin,3.0303030303030303,0.09286769074013174,0.1901898473673691,0.31392789992386083,0.05722656163104568,0.628574411688306,0.38981108159605893
C1,no,Insulin,3.5353535353535355,0.09321235548415273,0.1884443176874036,0.3128176660819899,0.05619692830659457,0.6241312580945785,0.38786417982405663
C1,no,Insulin,4.040404040404041,0.09332029053352443,0.18771339959696876,0.312215002969027,0.055743598087402355,0.6216503164863814,0.3867887862149432
C1,no,Insulin,4.545454545454546,0.0933323003281766,0.1874054848899174,0.31188211232593355,0.05553940595408082,0.6202642452492002,0.386194438505156
C1,no,Insulin,5.050505050505051,0.09331135625604083,0.187271564913145,0.31169684768538347,0.05544505485358958,0.6194893645982834,0.3858658504236719
C1,no,Insulin,5.555555555555556,0.0932837956346865,0.187209000227978,0.31159339884683857,0.05540001176919001,0.6190558586094227,0.38568415599817873
C1,no,Insulin,6.0606060606060606,0.09325929376439711,0.18717635190661386,0.3115355411362385,0.055377593535633665,0.6188131475748789,0.3855836772434762
C1,no,Insulin,6.565656565656566,0.09324037525717783,0.18715710689577117,0.3115031486143845,0.055365868025523506,0.6186771469418133,0.385528108372571
C1,no,Insulin,7.070707070707071,0.09322679966710065,0.1871446325203977,0.3114849978464216,0.05535940428019222,0.6186008743753973,0.385497375667467
C1,no,Insulin,7.575757575757576,0.09321748607888648,0.1871361103169466,0.31147481881169164,0.05535566313147338,0.6185580594094284,0.38548037838950533
C1,no,Insulin,8.080808080808081,0.09321128753156992,0.18713017901628587,0.31146910449079673,0.05535341005738794,0.618533999201397,0.385470976259144
C1,no,Insulin,8.585858585858587,0.09320725099459476,0.18712605730756426,0.31146589493211657,0.055352015575199566,0.6185204692854387,0.38546577736115345
C1,no,Insulin,9.090909090909092,0.09320466510735048,0.18712322245458857,0.3114640893422456,0.055351136910783486,0.6185128495173066,0.38546290123380395
C1,no,Insulin,9.595959595959597,0.09320302950758587,0.1871213001865875,0.3114630745474653,0.055350579278312384,0.6185085602863303,0.3854613130158005
C1,no,Insulin,10.101010101010102,0.0932020060553865,0.1871200129586922,0.3114625015880559,0.05535022264421401,0.6185061354935324,0.3854604327468419
C1,no,Insulin,10.606060606060607,0.09320137176869982,0.18711916540890258,0.31146217912810786,0.05534999620034028,0.6185047698521915,0.38545994759083774
C1,no,Insulin,11.111111111111112,0.09320098107504027,0.18711861353582815,0.3114619975920106,0.05534985253901191,0.6185039972025366,0.38545967916102475
C1,no,Insulin,11.616161616161618,0.09320074115719561,0.18711825772321217,0.3114618936763072,0.05534976124922064,0.618503555415317,0.38545952898260755
C1,no,Insulin,12.121212121212121,0.09320059448126021,0.1871180305877972,0.31146183405753664,0.05534970389161695,0.6185033044686338,0.38545944579247954
C1,no,Insulin,12.626262626262626,0.09320050419416061,0.18711788517192052,0.3114618004348334,0.05534966784731465,0.618503160840596,0.385459399485969
C1,no,Insulin,13.131313131313131,0.09320045079100132,0.18711779517940486,0.31146178272496455,0.05534964581592805,0.6185030827912804,0.3854593752435431
C1,no,Insulin,13.636363636363637,0.09320041898215492,0.1871177396063582,0.3114617728384647,0.055349632125266106,0.6185030390165972,0.3854593620759818
C1,no,Insulin,14.141414141414142,0.0932003997701538,0.18711770524456298,0.3114617665685385,0.055349623525575736,0.6185030131626366,0.3854593544331422
C1,no,Insulin,14.646464646464647,0.09320038817920123,0.1871176840822232,0.3114617624203623,0.05534961825414109,0.618502997873627,0.38545934999157844
C1,no,Insulin,15.151515151515152,0.09320038117990564,0.18711767106940475,0.3114617599466627,0.055349615154447536,0.6185029889804131,0.38545934747548627
C1,no,Insulin,15.656565656565657,0.09320037694122008,0.18711766307989372,0.31146175878846394,0.055349613391741895,0.6185029838637635,0.38545934607729543
C1,no,Insulin,16.161616161616163,0.0932003744476917,0.18711765833393687,0.31146175856149727,0.05534961242204765,0.6185029810336281,0.3854593453369007
C1,no,Insulin,16.666666666666668,0.09320037292442485,0.18711765544963385,0.311461758843033,0.055349611792485216,0.6185029793619969,0.3854593449091176
C1,no,Insulin,17.171717171717173,0.09320037183245375,0.1871176533723733,0.3114617590272123,0.055349611276216015,0.618502978158173,0.38545934460135856
C1,no,Insulin,17.67676767676768,0.09320037098761647,0.18711765171296882,0.31146175883299,0.05534961087538954,0.6185029772164655,0.3854593443629591
C1,no,Insulin,18.181818181818183,0.09320037052337304,0.18711765075875755,0.31146175847759433,0.055349610573701254,0.6185029766803621,0.3854593442278515
C1,no,Insulin,18.68686868686869,0.0932003703961063,0.1871176504324473,0.31146175800153447,0.0553496103668114,0.6185029765051335,0.38545934418464917
C1,no,Insulin,19.191919191919194,0.09320037016404338,0.18711764995119093,0.3114617578151025,0.05534961021076522,0.618502976237745,0.38545934411802385
C1,no,Insulin,19.6969696969697,0.09320037008073877,0.1871176497643017,0.3114617576828122,0.055349610130790435,0.6185029761382147,0.38545934409416793
C1,no,Insulin,20.202020202020204,0.09320037014619245,0.18711764987177962,0.31146175760466366,0.05534961012688706,0.6185029762065427,0.38545934411308136
C1,no,Insulin,20.70707070707071,0.09320037006624109,0.18711764968271252,0.3114617574341092,0.0553496100343717,0.6185029761094393,0.3854593440905061
C1,no,Insulin,21.212121212121215,0.09320037016551212,0.1871176498821356,0.3114617574803895,0.0553496100882413,0.6185029762197798,0.3854593441182433
C1,no,Insulin,21.71717171717172,0.09320037026478314,0.1871176500815587,0.3114617575266698,0.055349610142110886,0.6185029763301203,0.3854593441459805
C1,no,Insulin,22.222222222222225,0.09320037032688833,0.18711765020646418,0.3114617575550202,0.05534961017570396,0.6185029763988764,0.38545934416319383
C1,no,Insulin,22.72727272727273,0.09320037033709659,0.1871176502273162,0.3114617575583338,0.055349610180983715,0.6185029764095658,0.38545934416571215
C1,no,Insulin,23.232323232323235,0.09320037034730487,0.1871176502481682,0.3114617575616474,0.05534961018626347,0.6185029764202552,0.3854593441682304
C1,no,Insulin,23.73737373737374,0.09320037035751313,0.18711765026902022,0.311461757564961,0.05534961019154323,0.6185029764309445,0.3854593441707487
C1,no,Insulin,24.242424242424242,0.0932003703677214,0.18711765028987223,0.3114617575682746,0.05534961019682299,0.6185029764416339,0.385459344173267
C1,no,Insulin,24.747474747474747,0.09320037037792966,0.18711765031072425,0.31146175757158817,0.055349610202102745,0.6185029764523233,0.38545934417578526
C1,no,Insulin,25.252525252525253,0.09320037038813793,0.18711765033157626,0.3114617575749018,0.05534961020738251,0.6185029764630127,0.3854593441783035
C1,no,Insulin,25.757575757575758,0.0932003703983462,0.18711765035242828,0.31146175757821537,0.05534961021266226,0.6185029764737021,0.38545934418082184
C1,no,Insulin,26.262626262626263,0.09320037040855446,0.1871176503732803,0.311461757581529,0.05534961021794202,0.6185029764843915,0.3854593441833401
C1,no,Insulin,26.767676767676768,0.09320037041876272,0.1871176503941323,0.31146175758484257,0.05534961022322178,0.6185029764950809,0.3854593441858584
C1,no,Insulin,27.272727272727273,0.09320037042897099,0.18711765041498432,0.31146175758815614,0.05534961022850154,0.6185029765057702,0.3854593441883767
C1,no,Insulin,27.77777777777778,0.09320037043917925,0.18711765043583634,0.31146175759146977,0.05534961023378129,0.6185029765164596,0.38545934419089495
C1,no,Insulin,28.282828282828284,0.09320037044938753,0.18711765045668835,0.31146175759478334,0.055349610239061056,0.618502976527149,0.38545934419341327
C1,no,Insulin,28.78787878787879,0.0932003704595958,0.18711765047754036,0.31146175759809697,0.05534961024434081,0.6185029765378384,0.38545934419593153
C1,no,Insulin,29.292929292929294,0.09320037046980406,0.18711765049839238,0.31146175760141054,0.05534961024962057,0.6185029765485278,0.3854593441984498
C1,no,Insulin,29.7979797979798,0.09320037048001233,0.1871176505192444,0.31146175760472417,0.05534961025490033,0.6185029765592172,0.3854593442009681
C1,no,Insulin,30.303030303030305,0.09320037049022059,0.1871176505400964,0.31146175760803774,0.055349610260180086,0.6185029765699066,0.3854593442034864
C1,no,Insulin,30.80808080808081,0.09320037049576614,0.1871176505514443,0.31146175760980505,0.055349610263045114,0.6185029765756872,0.3854593442048399
C1,no,Insulin,31.313131313131315,0.09320037049680842,0.18711765055361299,0.3114617576100788,0.05534961026357798,0.618502976576727,0.38545934420506855
C1,no,Insulin,31.81818181818182,0.09320037049785068,0.18711765055578167,0.3114617576103526,0.055349610264110845,0.6185029765777669,0.38545934420529715
C1,no,Insulin,32.323232323232325,0.09320037049889296,0.18711765055795038,0.31146175761062644,0.0553496102646437,0.6185029765788066,0.3854593442055258
C1,no,Insulin,32.82828282828283,0.09320037049993522,0.18711765056011906,0.3114617576109002,0.05534961026517657,0.6185029765798464,0.38545934420575445
C1,no,Insulin,33.333333333333336,0.09320037050097749,0.18711765056228774,0.311461757611174,0.055349610265709434,0.6185029765808863,0.38545934420598305
C1,no,Insulin,33.83838383838384,0.09320037050201976,0.18711765056445645,0.3114617576114478,0.05534961026624229,0.618502976581926,0.3854593442062117
C1,no,Insulin,34.343434343434346,0.09320037050306203,0.18711765056662513,0.3114617576117216,0.05534961026677516,0.6185029765829658,0.38545934420644035
C1,no,Insulin,34.84848484848485,0.0932003705041043,0.18711765056879381,0.3114617576119954,0.05534961026730802,0.6185029765840057,0.38545934420666894
C1,no,Insulin,35.35353535353536,0.09320037050514657,0.18711765057096252,0.3114617576122692,0.05534961026784088,0.6185029765850454,0.3854593442068976
C1,no,Insulin,35.85858585858586,0.09320037050618883,0.1871176505731312,0.31146175761254297,0.05534961026837375,0.6185029765860852,0.38545934420712624
