,,,Slide ID,c,e,f,g,d,a,b
,,,Antibody Name,c,e,f,g,d,a,b
,,,HUGO ID,c,e,f,g,d,a,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.4538522287967326,0.3942571529469524,0.4026363906299457,0.294517867857241,0.45657810015477807,0.3074880806733554,0.663330494105126
C1,no,Insulin,0.5050505050505051,0.36235751009210754,0.29008712360988037,0.3776321041677907,0.2849423469613651,0.27435142242503135,0.5400047371550811,0.36106162648924794
C1,no,Insulin,1.0101010101010102,0.29795429853774574,0.25442056428759524,0.38932203634451856,0.29809455180204025,0.21367816218814348,0.6463131830129996,0.25960709364805207
C1,no,Insulin,1.5151515151515151,0.2577700379617663,0.24518434217504906,0.402302142169598,0.3116641992733518,0.19578198621248816,0.6933919437875415,0.22762503828161823
C1,no,Insulin,2.0202020202020203,0.23482678220429357,0.24469032630092122,0.41096518996508336,0.321400193155636,0.19186950319625257,0.7137174886716429,0.21852575953685
C1,no,Insulin,2.5252525252525255,0.22249824876910634,0.24629431209226343,0.4159059101480931,0.3275369123540225,0.1919571840605127,0.7222879016258623,0.21646023003650985
C1,no,Insulin,3.0303030303030303,0.21615319116169704,0.24787709486159676,0.41850528041623614,0.3311500892651458,0.19283711496621733,0.7258146017680484,0.2163037743314322
C1,no,Insulin,3.5353535353535355,0.21299608082309124,0.24897720748563412,0.4198037641552177,0.3331886662873773,0.19362187109317425,0.7272270819431246,0.21652539217477046
C1,no,Insulin,4.040404040404041,0.2114710466112158,0.24964013583430875,0.4204281864746992,0.3343056675037415,0.1941572944390506,0.7277750195709141,0.216733921885784
C1,no,Insulin,4.545454545454546,0.2107554816940894,0.250008267206204,0.4207194117544198,0.334904867731494,0.1944845381790327,0.7279791955578926,0.2168674123853812
C1,no,Insulin,5.050505050505051,0.21043021032245218,0.2502016260432233,0.42085170461435917,0.33522125030140226,0.1946729451819545,0.7280512015028304,0.21694144497561477
C1,no,Insulin,5.555555555555556,0.21028792501934612,0.2502989334879746,0.42091037617333293,0.33538630828424243,0.19477745255271178,0.728074533019103,0.21697941694393397
C1,no,Insulin,6.0606060606060606,0.21022883756113372,0.2503461492399617,0.4209358057350207,0.335471634265066,0.194833978671783,0.7280809894960185,0.21699791876583935
C1,no,Insulin,6.565656565656566,0.21020619282597236,0.2503682833970061,0.4209465768493088,0.3355154373129826,0.1948640069391692,0.7280821371596143,0.21700659511816514
C1,no,Insulin,7.070707070707071,0.21019872866885528,0.25037829575102566,0.42095103079868224,0.33553780925967525,0.1948797518767769,0.728081904166518,0.217010542095974
C1,no,Insulin,7.575757575757576,0.21019712216400535,0.25038263865928917,0.4209528236200954,0.3355491920406935,0.19488792638489058,0.728081487424356,0.21701228937159575
C1,no,Insulin,8.080808080808081,0.2101974766275549,0.2503844209592044,0.420953522955065,0.3355549681733652,0.19489213902300048,0.7280811735130822,0.21701304334187357
C1,no,Insulin,8.585858585858587,0.21019827871234092,0.25038509356025446,0.4209537856115703,0.33555789471263153,0.19489429845659376,0.7280809825687499,0.21701336110297065
C1,no,Insulin,9.090909090909092,0.2101990162681464,0.2503853095905232,0.4209538788671143,0.33555937555500137,0.19489540045068304,0.7280808777232827,0.21701349097594427
C1,no,Insulin,9.595959595959597,0.210199565220552,0.25038535272791435,0.4209539093528847,0.33556012417698966,0.19489596104220697,0.728080823641515,0.21701354266986322
C1,no,Insulin,10.101010101010102,0.21019993520420693,0.25038533978809935,0.420953918018522,0.33556050219760813,0.1948962451454471,0.7280807971869263,0.21701356236188732
C1,no,Insulin,10.606060606060607,0.21020017185854528,0.250385316103853,0.42095392009749105,0.3355606970076514,0.19489639186400817,0.7280807843978466,0.2170135700756464
C1,no,Insulin,11.111111111111112,0.2102003155461812,0.25038529430927187,0.42095391995657716,0.33556079256868326,0.19489646390668816,0.7280807787772023,0.21701357252427733
C1,no,Insulin,11.616161616161618,0.2102004032351562,0.2503852781672866,0.4209539194137912,0.3355608417944735,0.19489650105094355,0.7280807761355149,0.2170135732482932
C1,no,Insulin,12.121212121212121,0.2102004544122522,0.2503852674016227,0.42095391899530327,0.33556086621330533,0.19489651946411085,0.7280807750360797,0.2170135733852415
C1,no,Insulin,12.626262626262626,0.21020048384123996,0.250385260741296,0.42095391877637905,0.33556087864705253,0.19489652882017858,0.7280807745720729,0.21701357340462907
C1,no,Insulin,13.131313131313131,0.21020050052348793,0.25038525677073675,0.42095391866727566,0.3355608849819316,0.19489653357817033,0.7280807743718827,0.21701357339818508
C1,no,Insulin,13.636363636363637,0.2102005099799636,0.25038525444934145,0.4209539186137258,0.3355608882935616,0.19489653606301555,0.7280807742767813,0.21701357339355729
C1,no,Insulin,14.141414141414142,0.210200515128864,0.25038525313221854,0.42095391858854575,0.3355608898966714,0.1948965372643375,0.7280807742394263,0.2170135733885978
C1,no,Insulin,14.646464646464647,0.2102005180117526,0.25038525237305503,0.42095391857423664,0.335560890718284,0.19489653787965072,0.7280807742242222,0.21701357338345809
C1,no,Insulin,15.151515151515152,0.2102005196979642,0.25038525193537015,0.42095391856566666,0.3355608912197125,0.19489653825549347,0.7280807742125445,0.2170135733814633
C1,no,Insulin,15.656565656565657,0.21020052069679002,0.2503852516860267,0.4209539185622694,0.3355608915458718,0.19489653849983565,0.7280807742024522,0.21701357338280639
C1,no,Insulin,16.161616161616163,0.21020052137483186,0.25038525151829477,0.4209539185608064,0.3355608917703742,0.19489653866782938,0.7280807741952814,0.21701357338442373
C1,no,Insulin,16.666666666666668,0.21020052205765022,0.2503852513497335,0.42095391855822883,0.3355608919997012,0.19489653883983718,0.7280807741874111,0.21701357338562866
C1,no,Insulin,17.171717171717173,0.21020052251681057,0.2503852512345786,0.42095391855646297,0.3355608921476684,0.19489653895078277,0.7280807741826901,0.2170135733861596
C1,no,Insulin,17.67676767676768,0.21020052275231293,0.25038525117283006,0.4209539185555087,0.3355608922142757,0.1948965390006661,0.7280807741811187,0.2170135733860165
C1,no,Insulin,18.181818181818183,0.2102005227641573,0.25038525116448784,0.4209539185553661,0.3355608921995232,0.19489653898948722,0.7280807741826967,0.21701357338519944
C1,no,Insulin,18.68686868686869,0.21020052260510733,0.2503852511972341,0.4209539185558532,0.3355608921235652,0.194896538932377,0.7280807741865918,0.21701357338391478
C1,no,Insulin,19.191919191919194,0.2102005226878952,0.25038525117471494,0.42095391855554654,0.3355608921440547,0.19489653894769332,0.7280807741862936,0.21701357338377722
C1,no,Insulin,19.6969696969697,0.21020052270935646,0.2503852511677052,0.4209539185554917,0.3355608921451907,0.19489653894849868,0.7280807741865842,0.21701357338360072
