,,,Slide ID,a,b,d,c,e
,,,Antibody Name,a,b,d,c,e
,,,HUGO ID,a,b,d,c,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.72025411979537,0.9015249089042828,0.7327505642243924,0.4829404419734905,0.0973855146370014
C1,no,Insulin,0.5050505050505051,0.33334992183265294,0.46586211731096716,0.5339615277429581,0.37695036726437636,0.26480066197611574
C1,no,Insulin,1.0101010101010102,0.17717798985197045,0.29141101125974167,0.4439522287569872,0.3247606918131327,0.28788162300262854
C1,no,Insulin,1.5151515151515151,0.11161372931274771,0.2116269996298009,0.39742038522099227,0.2942285945637138,0.28385351799683806
C1,no,Insulin,2.0202020202020203,0.08260441698067834,0.17148525890502678,0.37194950531650267,0.2752224841709249,0.27734302493600266
C1,no,Insulin,2.5252525252525255,0.06898032233709885,0.15033796103655195,0.3576032815846867,0.2631381609908917,0.272537423052271
C1,no,Insulin,3.0303030303030303,0.06220943784352761,0.13899622829608324,0.3494067394130934,0.2554199236295649,0.269485696263715
C1,no,Insulin,3.5353535353535355,0.05868402798885085,0.13285587204906815,0.34468993050718016,0.2504989750949232,0.26764428712576543
C1,no,Insulin,4.040404040404041,0.056781975042636997,0.12950053108456894,0.34196549922973196,0.24737363020016237,0.2665559360756729
C1,no,Insulin,4.545454545454546,0.05572791775804086,0.12764691226965386,0.34038877475619445,0.2453973343619207,0.2659185944342928
C1,no,Insulin,5.050505050505051,0.05513165668909705,0.12661040453825687,0.33947529652918723,0.24415293874100574,0.26554701753320725
C1,no,Insulin,5.555555555555556,0.054788837061547725,0.1260235109669272,0.33894575805690436,0.24337247286103206,0.2653308713540864
C1,no,Insulin,6.0606060606060606,0.054589135122142675,0.12568712641940644,0.33863868528190816,0.24288472489613666,0.2652052882755004
C1,no,Insulin,6.565656565656566,0.054471557845565566,0.12549212732346487,0.33846058334485896,0.24258089088401869,0.2651323702540837
C1,no,Insulin,7.070707070707071,0.05440173344567486,0.125377937539308,0.3383572751222288,0.242392173700825,0.265090047654195
C1,no,Insulin,7.575757575757576,0.054359976059081626,0.12531047080679536,0.33829734441521353,0.24227526293339646,0.2650654868288199
C1,no,Insulin,8.080808080808081,0.054334867634538625,0.1252703138231624,0.33826257756869177,0.24220300806142825,0.2650512357251097
C1,no,Insulin,8.585858585858587,0.054319705361316924,0.12524626319254684,0.33824240831465285,0.24215844808144246,0.2650429668473746
C1,no,Insulin,9.090909090909092,0.05431051866985905,0.12523178879865735,0.3382307071331245,0.24213102135389253,0.26503817001578744
C1,no,Insulin,9.595959595959597,0.054304939709895084,0.12522303967882126,0.3382239184125284,0.24211416952538375,0.265035385528957
C1,no,Insulin,10.101010101010102,0.054301544549216575,0.12521774021970133,0.3382199793823295,0.2421038319513103,0.2650337715716537
C1,no,Insulin,10.606060606060607,0.05429947785998428,0.12521452020425491,0.3382176954317875,0.24209750195278706,0.2650328344410645
C1,no,Insulin,11.111111111111112,0.054298218256328065,0.12521256356826652,0.33821637094578716,0.24209363237588397,0.2650322918219055
C1,no,Insulin,11.616161616161618,0.054297447595446316,0.12521136757974388,0.3382155991805656,0.24209126074171775,0.2650319756639269
C1,no,Insulin,12.121212121212121,0.054296980178382546,0.12521064170608928,0.33821515434658517,0.24208982101996473,0.2650317928193586
C1,no,Insulin,12.626262626262626,0.0542966937712686,0.12521019803421274,0.3382148949747481,0.24208893973385867,0.2650316867889256
C1,no,Insulin,13.131313131313131,0.05429652276359434,0.12520993227807364,0.3382147483248552,0.2420884138324638,0.26503162635052846
C1,no,Insulin,13.636363636363637,0.05429641630242607,0.12520976686593346,0.3382146605094695,0.24208808724225508,0.26503159001783616
C1,no,Insulin,14.141414141414142,0.05429634967333361,0.1252096642529705,0.3382146073744951,0.24208788382483948,0.2650315685851643
C1,no,Insulin,14.646464646464647,0.05429631019963617,0.12520960369141054,0.3382145780114336,0.24208776351086672,0.26503155732686096
C1,no,Insulin,15.151515151515152,0.054296286489179724,0.12520956601215988,0.3382145613770983,0.2420876906549652,0.26503155052584565
C1,no,Insulin,15.656565656565657,0.05429626982758874,0.1252095397136928,0.338214550008329,0.2420876397046826,0.2650315457599586
C1,no,Insulin,16.161616161616163,0.0542962605719545,0.12520952521949505,0.33821454418823266,0.24208761171020493,0.2650315430436982
C1,no,Insulin,16.666666666666668,0.05429625411662994,0.12520951515632434,0.3382145402107369,0.24208759223737675,0.26503154125486605
C1,no,Insulin,17.171717171717173,0.054296251537749654,0.1252095112059451,0.3382145389408166,0.24208758463724517,0.2650315406389779
C1,no,Insulin,17.67676767676768,0.05429624987901298,0.1252095086614946,0.33821453817724023,0.24208757976743311,0.26503154028538123
C1,no,Insulin,18.181818181818183,0.05429625004255961,0.1252095089589788,0.33821453859873934,0.24208758042173936,0.26503154046590127
C1,no,Insulin,18.68686868686869,0.05429625001364459,0.12520950891985702,0.3382145387629523,0.24208758041602949,0.26503154054434763
C1,no,Insulin,19.191919191919194,0.05429625039221076,0.12520950949414983,0.33821453910736593,0.24208758159727434,0.26503154071154944
C1,no,Insulin,19.6969696969697,0.05429625051106955,0.1252095096605527,0.3382145392251559,0.24208758196620725,0.26503154076912977
C1,no,Insulin,20.202020202020204,0.054296250702697724,0.12520950992520122,0.3382145393647,0.24208758253687995,0.26503154084006614
C1,no,Insulin,20.70707070707071,0.054296250600162424,0.12520950976118625,0.3382145392556436,0.24208758220810966,0.2650315407825662
C1,no,Insulin,21.212121212121215,0.054296250513965444,0.12520950962468116,0.3382145391676407,0.24208758193381513,0.26503154073665947
C1,no,Insulin,21.71717171717172,0.054296250470281124,0.12520950955975724,0.33821453913441923,0.24208758180126774,0.2650315407209186
C1,no,Insulin,22.222222222222225,0.0542962504265968,0.12520950949483328,0.33821453910119775,0.24208758166872033,0.26503154070517776
C1,no,Insulin,22.72727272727273,0.05429625038291247,0.12520950942990935,0.3382145390679763,0.2420875815361729,0.2650315406894369
C1,no,Insulin,23.232323232323235,0.05429625035111838,0.1252095093824272,0.3382145390440077,0.2420875814396286,0.26503154067823875
C1,no,Insulin,23.73737373737374,0.05429625033625455,0.12520950935978,0.33821453903321413,0.24208758139434838,0.2650315406735089
C1,no,Insulin,24.242424242424242,0.054296250321390724,0.12520950933713285,0.3382145390224206,0.24208758134906816,0.26503154066877915
C1,no,Insulin,24.747474747474747,0.05429625030652689,0.12520950931448566,0.338214539011627,0.24208758130378794,0.2650315406640493
C1,no,Insulin,25.252525252525253,0.054296250299345095,0.1252095093035336,0.33821453900643655,0.2420875812819132,0.26503154066178036
C1,no,Insulin,25.757575757575758,0.05429625029851233,0.12520950930224736,0.33821453900587695,0.24208758127938265,0.26503154066154516
C1,no,Insulin,26.262626262626263,0.054296250297679566,0.1252095093009611,0.33821453900531734,0.2420875812768521,0.26503154066131
C1,no,Insulin,26.767676767676768,0.0542962502968468,0.12520950929967484,0.33821453900475773,0.24208758127432153,0.2650315406610748
C1,no,Insulin,27.272727272727273,0.05429625029601404,0.1252095092983886,0.33821453900419807,0.24208758127179097,0.2650315406608396
C1,no,Insulin,27.77777777777778,0.05429625029518127,0.1252095092971023,0.33821453900363846,0.2420875812692604,0.2650315406606044
C1,no,Insulin,28.282828282828284,0.05429625029434851,0.12520950929581606,0.33821453900307885,0.24208758126672983,0.26503154066036927
C1,no,Insulin,28.78787878787879,0.054296250293515744,0.1252095092945298,0.33821453900251924,0.24208758126419927,0.26503154066013407
C1,no,Insulin,29.292929292929294,0.05429625029268297,0.12520950929324354,0.33821453900195964,0.2420875812616687,0.26503154065989887
C1,no,Insulin,29.7979797979798,0.05429625029185021,0.1252095092919573,0.33821453900139997,0.24208758125913815,0.2650315406596637
C1,no,Insulin,30.303030303030305,0.054296250291017444,0.125209509290671,0.33821453900084036,0.2420875812566076,0.2650315406594285
C1,no,Insulin,30.80808080808081,0.05429625029018468,0.12520950928938476,0.33821453900028076,0.242087581254077,0.2650315406591933
C1,no,Insulin,31.313131313131315,0.054296250289351915,0.12520950928809851,0.33821453899972115,0.24208758125154645,0.2650315406589581
C1,no,Insulin,31.81818181818182,0.05429625028851915,0.12520950928681224,0.33821453899916154,0.2420875812490159,0.265031540658723
C1,no,Insulin,32.323232323232325,0.054296250287686386,0.125209509285526,0.33821453899860193,0.24208758124648533,0.2650315406584878
C1,no,Insulin,32.82828282828283,0.05429625028685362,0.1252095092842397,0.33821453899804227,0.24208758124395477,0.2650315406582526
C1,no,Insulin,33.333333333333336,0.05429625028602086,0.12520950928295346,0.33821453899748266,0.24208758124142418,0.26503154065801743
C1,no,Insulin,33.83838383838384,0.054296250285188086,0.12520950928166721,0.33821453899692305,0.24208758123889362,0.2650315406577822
C1,no,Insulin,34.343434343434346,0.05429625028435532,0.12520950928038094,0.33821453899636345,0.24208758123636306,0.265031540657547
C1,no,Insulin,34.84848484848485,0.05429625028352256,0.1252095092790947,0.33821453899580384,0.2420875812338325,0.2650315406573118
C1,no,Insulin,35.35353535353536,0.05429625028268979,0.12520950927780844,0.3382145389952442,0.24208758123130195,0.2650315406570767
C1,no,Insulin,35.85858585858586,0.05429625028185703,0.12520950927652216,0.33821453899468457,0.24208758122877136,0.2650315406568415
C1,no,Insulin,36.36363636363637,0.054296250281024264,0.12520950927523591,0.33821453899412496,0.2420875812262408,0.2650315406566063
C1,no,Insulin,36.86868686868687,0.0542962502801915,0.12520950927394964,0.33821453899356535,0.24208758122371024,0.2650315406563711
C1,no,Insulin,37.37373737373738,0.054296250279358735,0.1252095092726634,0.33821453899300574,0.24208758122117968,0.26503154065613593
C1,no,Insulin,37.87878787878788,0.05429625027852597,0.12520950927137714,0.3382145389924461,0.24208758121864912,0.26503154065590073
C1,no,Insulin,38.38383838383839,0.0542962502776932,0.12520950927009086,0.33821453899188647,0.24208758121611854,0.26503154065566553
C1,no,Insulin,38.88888888888889,0.054296250276860435,0.12520950926880461,0.33821453899132686,0.24208758121358798,0.2650315406554304
C1,no,Insulin,39.3939393939394,0.05429625027602767,0.12520950926751834,0.33821453899076726,0.24208758121105742,0.2650315406551952
C1,no,Insulin,39.8989898989899,0.054296250275194906,0.1252095092662321,0.33821453899020765,0.24208758120852686,0.26503154065496
C1,no,Insulin,40.40404040404041,0.05429625027436214,0.12520950926494584,0.33821453898964804,0.2420875812059963,0.2650315406547248
C1,no,Insulin,40.909090909090914,0.05429625027352938,0.12520950926365956,0.3382145389890884,0.24208758120346574,0.26503154065448964
C1,no,Insulin,41.41414141414142,0.05429625027269661,0.12520950926237331,0.33821453898852877,0.24208758120093515,0.26503154065425444
C1,no,Insulin,41.919191919191924,0.05429625027186385,0.12520950926108704,0.33821453898796916,0.2420875811984046,0.26503154065401924
C1,no,Insulin,42.42424242424243,0.05429625027166444,0.1252095092607787,0.3382145389878371,0.2420875811977992,0.2650315406539639
C1,no,Insulin,42.929292929292934,0.05429625027161779,0.1252095092607062,0.3382145389878081,0.24208758119765814,0.2650315406539519
C1,no,Insulin,43.43434343434344,0.05429625027157114,0.1252095092606337,0.3382145389877792,0.2420875811975171,0.26503154065393997
C1,no,Insulin,43.939393939393945,0.05429625027152448,0.1252095092605612,0.3382145389877503,0.24208758119737606,0.265031540653928
C1,no,Insulin,44.44444444444445,0.05429625027147783,0.1252095092604887,0.33821453898772136,0.242087581197235,0.265031540653916
C1,no,Insulin,44.949494949494955,0.05429625027143118,0.1252095092604162,0.3382145389876924,0.24208758119709395,0.26503154065390405
C1,no,Insulin,45.45454545454546,0.05429625027138453,0.12520950926034374,0.33821453898766346,0.2420875811969529,0.26503154065389206
C1,no,Insulin,45.959595959595966,0.05429625027133787,0.12520950926027125,0.33821453898763454,0.24208758119681187,0.26503154065388007
C1,no,Insulin,46.46464646464647,0.05429625027129122,0.12520950926019875,0.33821453898760556,0.24208758119667081,0.26503154065386814
C1,no,Insulin,46.969696969696976,0.05429625027124457,0.12520950926012625,0.33821453898757664,0.24208758119652976,0.26503154065385615
C1,no,Insulin,47.47474747474748,0.05429625027119792,0.12520950926005375,0.3382145389875477,0.2420875811963887,0.26503154065384416
