,,,Slide ID,d,f,b,c,a,j,h,g,i,e
,,,Antibody Name,d,f,b,c,a,j,h,g,i,e
,,,HUGO ID,d,f,b,c,a,j,h,g,i,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.6520722943823294,0.15667707848868107,0.3101746921531514,0.7568905422194134,0.029929430861689088,0.041705189139594756,0.8790752031018334,0.8765372031449772,0.7326160562269454,0.3016510712992515
C1,no,Insulin,0.5050505050505051,0.49367398400436935,0.12522232056857202,0.24649511596455204,0.353869673772409,0.14392246918653956,0.1806493556219129,0.49493975669724194,0.2262586744501352,0.20724862934106403,0.18623355968374034
C1,no,Insulin,1.0101010101010102,0.35547237072640725,0.12935856011324035,0.18545331578556196,0.2162091403549088,0.12656285729761635,0.20262554645569159,0.30983117725492637,0.07254569301031981,0.07490555067064529,0.12226292399355689
C1,no,Insulin,1.5151515151515151,0.25290709795809746,0.13205892511347012,0.13793173384511248,0.16489625795010854,0.09603675839768394,0.18584604494875664,0.2133762567570395,0.032214243806710424,0.0370796102083781,0.08309564560654031
C1,no,Insulin,2.0202020202020203,0.18434324444322323,0.13002295867180053,0.1055962275790568,0.14235649784983886,0.07494576151752427,0.16267377494679125,0.1623969985928971,0.019314927287985128,0.023701832096269197,0.058194543773115046
C1,no,Insulin,2.5252525252525255,0.14075847142862735,0.12533916707923165,0.0848978842878597,0.12993233522221243,0.06239878576546551,0.14298118975307744,0.1348518183008134,0.014023550317747544,0.017723091296333045,0.04222064107356389
C1,no,Insulin,3.0303030303030303,0.11348682941215349,0.11999566009268649,0.07184527389429755,0.12169541070305458,0.05491990853180198,0.1282780359393705,0.11920184957572853,0.011357619932545863,0.014548344454056297,0.03197573752753618
C1,no,Insulin,3.5353535353535355,0.09639766267238951,0.11508375292314214,0.06356207823517193,0.11572269187565921,0.050270205837091506,0.11780650100351993,0.10976149893701836,0.009830333351773404,0.012680686400627526,0.02540633350864428
C1,no,Insulin,4.040404040404041,0.08559240171342249,0.11102210416062992,0.058234028085750116,0.1112876452807359,0.04726305128636053,0.11049032797768649,0.10377189618222142,0.008889947882316401,0.011516056021389958,0.021185167728798037
C1,no,Insulin,4.545454545454546,0.07868005562910009,0.10786315524057788,0.05475744809638415,0.1080090256564773,0.04526640372972151,0.10542088025807683,0.09983778014483657,0.00828692287713165,0.010764516139808649,0.018462007611845962
C1,no,Insulin,5.050505050505051,0.0742048550174333,0.10549949644916662,0.052460297648594535,0.1056161904245359,0.04392050638998619,0.10192154869792477,0.09719939043458767,0.007890866870038593,0.010269240889386966,0.016696045700074155
C1,no,Insulin,5.555555555555556,0.07127533018963278,0.10377578347543263,0.050927078828844195,0.10389316658047,0.043005878994534695,0.09951066039361084,0.09540954596740114,0.007626880486623324,0.009938463359667993,0.015544138931591804
C1,no,Insulin,6.0606060606060606,0.0693391264406743,0.10254073738302086,0.0498958584215497,0.1026667856862438,0.04238170646066642,0.09785151448909578,0.09418811895295792,0.007449257975235821,0.009715623502464557,0.014788277691650455
C1,no,Insulin,6.565656565656566,0.06804913696786065,0.10166670020652045,0.04919834411277119,0.10180198205631123,0.041954823645204614,0.09671057084387943,0.09335217329772189,0.007329007430150157,0.009564638250329003,0.014289416436472883
C1,no,Insulin,7.070707070707071,0.06718407840154952,0.10105356399934057,0.04872462449478068,0.10119652300271458,0.04166253963875092,0.09592643243523742,0.09277929159479117,0.0072472651902481195,0.00946194779833176,0.013958387359345202
C1,no,Insulin,7.575757575757576,0.06660097170126586,0.10062615617860234,0.04840196848759753,0.10077494023940788,0.041462300112196725,0.0953877730057524,0.09238648075258227,0.007191546383821658,0.00939192423848188,0.013737643236161555
C1,no,Insulin,8.080808080808081,0.06620633012532241,0.10032957401637094,0.04818176035175112,0.1004825912787699,0.04132507520038073,0.09501789194598673,0.09211709281842745,0.007153496602812547,0.009344093913438515,0.013589797818726268
C1,no,Insulin,8.585858585858587,0.06593839117378424,0.10012444474110747,0.048031253472427184,0.10028046884942675,0.041231015009138304,0.09476397929893067,0.09193233768569548,0.007127478963343996,0.009311382971890655,0.013490392163223475
C1,no,Insulin,9.090909090909092,0.06575605126500045,0.09998291305748229,0.04792829097936116,0.10014104543114975,0.04116653839680549,0.09458973071620744,0.09180563748861872,0.007109674521456095,0.009288995523035798,0.013423339764867318
C1,no,Insulin,9.595959595959597,0.06563172873992275,0.0998854274563289,0.04785780212048909,0.10004502660905945,0.04112233555146829,0.09447017154004186,0.09171874978038035,0.0070974828634071925,0.009273664381981012,0.013377980162505281
C1,no,Insulin,10.101010101010102,0.06554687550282493,0.09981838415406673,0.04780953673461279,0.09997899876055877,0.041092034289142466,0.09438817416289956,0.09165917988716347,0.007089135372056276,0.009263166455704597,0.013347235884806097
C1,no,Insulin,10.606060606060607,0.06548886204932469,0.09977229482428819,0.04777646113044204,0.09993361026580658,0.04107126595268287,0.09433191900323647,0.09161833393743603,0.0070834109497083814,0.009255967618432106,0.013326336674387021
C1,no,Insulin,11.111111111111112,0.06544918206039853,0.09974064162955058,0.04775379491721882,0.09990243985569948,0.04105702369553663,0.09429333683130399,0.09159032374587571,0.0070794890036585895,0.009251035195948594,0.013312115386506727
C1,no,Insulin,11.616161616161618,0.06542202604244969,0.09971891336539211,0.047738260271207686,0.09988104368453099,0.04104725843331716,0.0942668785208515,0.09157111805434268,0.007076801247176642,0.009247654830808964,0.013302424715353877
C1,no,Insulin,12.121212121212121,0.06540343262265716,0.09970400264167784,0.047727612312326154,0.0998663611792527,0.04104056391544342,0.09424873544100153,0.09155795057552263,0.007074958769407328,0.00924533755533231,0.013295813480133017
C1,no,Insulin,12.626262626262626,0.06539069289538565,0.09969376972996402,0.04772031052162526,0.09985628505164601,0.0410359720395422,0.09423629029030396,0.0915489189772315,0.007073695435381582,0.009243748628070094,0.013291297368208645
C1,no,Insulin,13.131313131313131,0.0653819680692694,0.09968675262122302,0.047715306668401125,0.09984937553411499,0.04103282521140553,0.09422775977198318,0.09154272908829406,0.007072829559452371,0.009242659602628286,0.013288212349491346
C1,no,Insulin,13.636363636363637,0.06537598919538176,0.09968193870301352,0.04771187637143857,0.09984463545053049,0.04103066967304772,0.09422191064319803,0.09153848695039854,0.007072235302679514,0.009241912292548954,0.01328610216769519
C1,no,Insulin,14.141414141414142,0.06537189431368218,0.09967864127430086,0.047709525719127496,0.09984138863986311,0.041029189765955106,0.09421790253399297,0.09153557751285218,0.007071829071077081,0.009241401287584463,0.013284660146353182
C1,no,Insulin,14.646464646464647,0.06536908618782046,0.0996763816686873,0.04770791251395436,0.09983916376572131,0.04102816938732019,0.09421515246372433,0.09153357674003038,0.007071551975484149,0.009241052471953766,0.01328367391919583
C1,no,Insulin,15.151515151515152,0.06536714328006628,0.09967481666351999,0.04770679647107029,0.0998376228053932,0.04102746538377225,0.09421324948970991,0.0915321941779549,0.0070713595847907125,0.009240810387751746,0.01328299178411188
C1,no,Insulin,15.656565656565657,0.06536584331841509,0.09967376550529451,0.0477060506033962,0.09983658775229268,0.04102700103079838,0.09421197653814303,0.09153127536431235,0.007071228785770986,0.009240646134422053,0.013282534260346222
C1,no,Insulin,16.161616161616163,0.06536493906361074,0.09967303447122672,0.047705531636648625,0.09983586792244493,0.04102667741226433,0.09421109089799852,0.09153063560792624,0.007071137962337218,0.009240532053504762,0.013282216368090422
C1,no,Insulin,16.666666666666668,0.06536431719186193,0.09967253265887448,0.04770517443729888,0.09983537381515735,0.04102645301936247,0.09421048160618394,0.09153019387533153,0.007071076045773987,0.009240454194627712,0.013281998325443753
C1,no,Insulin,17.171717171717173,0.06536389099459139,0.09967218888371131,0.047704929568757465,0.0998350353211746,0.04102629890139634,0.09421006396849986,0.09152989081012258,0.007071033705646502,0.009240400937212965,0.013281849048328616
C1,no,Insulin,17.67676767676768,0.06536360459327151,0.09967195763926692,0.04770476506485201,0.0998348076265753,0.04102619570694173,0.09420978333208575,0.09152968749817486,0.007071005137214171,0.009240365020814866,0.01328174869424845
C1,no,Insulin,18.181818181818183,0.0653634063497779,0.09967179655676847,0.04770465146305515,0.09983464900340872,0.041026126106079884,0.09420958923177271,0.09152954849990759,0.007070984807335084,0.009240339550420302,0.01328167880605609
C1,no,Insulin,18.68686868686869,0.06536326959926979,0.09967168278340204,0.047704573802109976,0.09983453693191716,0.04102608289448852,0.09420945575164272,0.0915294571658228,0.007070969328922909,0.009240320383762695,0.013281629444999169
C1,no,Insulin,19.191919191919194,0.06536317184643303,0.09967160828171058,0.04770451647653132,0.09983446363305608,0.041026039656956385,0.09420935926841376,0.09152938017332227,0.007070962005595445,0.009240310789720521,0.013281597150289974
C1,no,Insulin,19.6969696969697,0.06536310656865772,0.0996715547615286,0.04770447919024563,0.09983441092382837,0.04102601758547172,0.09420929542003405,0.09152933520344766,0.007070955053300704,0.009240302119371992,0.0132815739528599
