,,,Slide ID,j,b,m,i,h,a,l,e,n,f,k,c,g,d
,,,Antibody Name,j,b,m,i,h,a,l,e,n,f,k,c,g,d
,,,HUGO ID,j,b,m,i,h,a,l,e,n,f,k,c,g,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5491863825468383,0.3843083117058391,0.3738328536741048,0.13385716845383855,0.5769872857289157,0.9774656883262769,0.5789392674633396,0.09992161673346933,0.370932078210235,0.5655160439131008,0.25273352687693984,0.2173611188119018,0.7237314169059476,0.5158491844084132
C1,no,Insulin,0.5050505050505051,0.4026663252891427,0.19568354086327874,0.3462532520781812,0.05163778278299639,0.38008538439014533,0.6184600638822015,0.27063128175565,0.11682983803526735,0.12669007191816228,0.3189560917205927,0.2635182165850834,0.1907346699532507,0.24282443612354418,0.3791067745871667
C1,no,Insulin,1.0101010101010102,0.30899571106995555,0.1015979319759027,0.3154693744927342,0.02449947504404967,0.2630300023845894,0.39827420956039283,0.18413963271541767,0.10523757688414569,0.05437381660591862,0.22319348245589057,0.23824223859021004,0.17975519857963315,0.09749786170581323,0.30843672533170713
C1,no,Insulin,1.5151515151515151,0.24819815091068123,0.053828480314144445,0.2869924716558645,0.013279098383475754,0.18780247618071458,0.2602226074961223,0.14626623921400445,0.08524769037796784,0.028557294861627187,0.178802014239593,0.21145919516983244,0.1700090563432909,0.048248302740039446,0.26712358280735937
C1,no,Insulin,2.0202020202020203,0.20735214146797912,0.02933215028989663,0.26160734556611076,0.007956033726362671,0.13674950414933917,0.17216792897128094,0.12028075749047813,0.0656233396317091,0.01747248694962382,0.15287427927797081,0.1878744639480604,0.16067034476124073,0.02864099502088251,0.2390945286433913
C1,no,Insulin,2.5252525252525255,0.17850931176759247,0.016609864716412483,0.2388874640997991,0.005163504868718525,0.10102886518214453,0.11531594400010797,0.09938276897668943,0.04945475355660843,0.011872761703055403,0.134298843852312,0.1672452769818814,0.15185416814318042,0.01925811140998607,0.2173520908716685
C1,no,Insulin,3.0303030303030303,0.156953945295305,0.009863464809598555,0.21834241281926225,0.0035546383888785606,0.07568435106681645,0.07829889109086483,0.08246479530085415,0.037201345444736,0.008623170611326565,0.11926777382925124,0.1490188186907106,0.14353055263824102,0.013939609044842673,0.19892887675117144
C1,no,Insulin,3.5353535353535355,0.1399838390663559,0.006176299038320769,0.19969751754397747,0.0025506692656102935,0.05760453622681884,0.05404111783667058,0.06908356594905228,0.02830791845276821,0.006527405289241202,0.1064766410095758,0.13292593933504007,0.13565850229530899,0.010530039334134642,0.18265758686308933
C1,no,Insulin,4.040404040404041,0.12609775906519008,0.004083313790133172,0.1828659090638293,0.0018881878799797322,0.04467214688272263,0.03804817142160203,0.0586936128900435,0.021978532575480488,0.005081653652401872,0.09547196795103918,0.11887051832687369,0.128258486882635,0.008180662562426241,0.16814492887590246
C1,no,Insulin,4.545454545454546,0.1144731132479569,0.0028440044321389082,0.1678458439783325,0.0014358724062810452,0.03538955024344152,0.027430937762221188,0.05069239073772857,0.017491585087633467,0.0040467550931263165,0.0860611997209494,0.10678496532531653,0.12139667155799913,0.006501294121885826,0.15528608215170359
C1,no,Insulin,5.050505050505051,0.10464582137602062,0.0020779733065761762,0.15463452256569002,0.0011204463269444379,0.02868803807488394,0.02032175926514365,0.04452858598944909,0.014289777690254676,0.003291352743587442,0.07810495953206034,0.0965577115934731,0.1151462708906885,0.005278342077204055,0.14404123301586838
C1,no,Insulin,5.555555555555556,0.09632690667086681,0.0015847369339014213,0.14318292310757785,0.0008969847676995976,0.0238091378222545,0.015510765257719203,0.039752616025293355,0.011975252904674228,0.0027332843472495784,0.0714553823001558,0.08802089529243799,0.1095579441428218,0.004377325505643251,0.1343467238168171
C1,no,Insulin,6.0606060606060606,0.08930661744108469,0.0012551381942647807,0.1333863254610659,0.0007363619308673149,0.020219412469706148,0.012213537557793175,0.03602065158690738,0.010275106281308182,0.0023168739696651417,0.06594968345105533,0.08096857752745766,0.10464688597256441,0.003706761000070259,0.1260941926297051
C1,no,Insulin,6.565656565656566,0.08341022830377852,0.0010275315092102822,0.1250959990038182,0.0006191963241485235,0.017546284047013944,0.00992074035384656,0.03307770768126926,0.009005157478730104,0.002003032538494295,0.06142090974083623,0.07518249325632691,0.10039368825595794,0.0032024739796446934,0.11913979421572543
C1,no,Insulin,7.070707070707071,0.07848125244771378,0.000865795441589535,0.1181384766162393,0.000532442457219854,0.01553034156073471,0.0083008090360071,0.03073666421127572,0.00804125889306832,0.0017639979112647748,0.05771004783264969,0.07045315524183876,0.0967527070694679,0.0028190496602657775,0.11332217356124645
C1,no,Insulin,7.575757575757576,0.07437713873827602,0.0007479840145845024,0.11233389340245405,0.00046725027730155384,0.01399062131090208,0.0071368125530002,0.028859651287984397,0.007298917232382023,0.0015799752400407147,0.05467414219344993,0.06659250685815236,0.09366268809099154,0.0025242509864384158,0.10847887872356626
C1,no,Insulin,8.080808080808081,0.07096950942952862,0.000660320217008914,0.10750968199115157,0.00041756682948223634,0.012800279976993094,0.006285956727112295,0.027344314850990318,0.006719829491330527,0.00143680992377605,0.05219007452388484,0.06343942218576998,0.09105612357496418,0.002295124370185866,0.10445782310305556
