,,,Slide ID,c,b,a,d
,,,Antibody Name,c,b,a,d
,,,HUGO ID,c,b,a,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.7102688558405685,0.01734085701693977,0.8240585706240856,0.3685537791726281
C1,no,Insulin,0.5050505050505051,0.42609166019801,0.042629314120841866,0.427905712342994,0.14709690997736138
C1,no,Insulin,1.0101010101010102,0.26786533626906905,0.0336908783666743,0.22406875543330457,0.06729971236409761
C1,no,Insulin,1.5151515151515151,0.17656504542569534,0.022337179213930906,0.11847813179631608,0.03439298894091996
C1,no,Insulin,2.0202020202020203,0.12181542308161697,0.014103347479136245,0.06336197617935652,0.018972986901550182
C1,no,Insulin,2.5252525252525255,0.087427616284458,0.008804462103392493,0.03431839365759385,0.010968472041632706
C1,no,Insulin,3.0303030303030303,0.06469055477425034,0.0054988303654359425,0.01883953828472785,0.006510531448409853
C1,no,Insulin,3.5353535353535355,0.04889774471109102,0.003445701828596775,0.010484921498586377,0.003919858142519314
C1,no,Insulin,4.040404040404041,0.0374727329519328,0.0021668163660069698,0.005914807382579458,0.0023787245530070217
C1,no,Insulin,4.545454545454546,0.028960792042466384,0.001367167904478427,0.0033807435131038496,0.0014507621373404632
C1,no,Insulin,5.050505050505051,0.022497411606916422,0.0008655551616398194,0.001956767160299079,0.0008884289133173959
C1,no,Insulin,5.555555555555556,0.017534139078372576,0.0005500194800655053,0.0011462073869805617,0.0005463088632683083
C1,no,Insulin,6.0606060606060606,0.013699164613127679,0.00035098138698697983,0.0006791066184376595,0.0003374754246177687
C1,no,Insulin,6.565656565656566,0.010726192927596162,0.00022503572057075606,0.0004067638620655473,0.0002095525246596056
C1,no,Insulin,7.070707070707071,0.008417125012866664,0.0001450482841563202,0.0002462003006636954,0.0001308721994863683
C1,no,Insulin,7.575757575757576,0.006621275137827004,9.40320803277534e-05,0.00015052923121954283,8.224960945465846e-05
C1,no,Insulin,8.080808080808081,0.005222716159192076,6.133627871856713e-05,9.294176250463124e-05,5.204045680687172e-05
C1,no,Insulin,8.585858585858587,0.004131870906644949,4.027006869248496e-05,5.7937361240310686e-05,3.3160650358862814e-05
C1,no,Insulin,9.090909090909092,0.003279448559236876,2.6618782280386128e-05,3.64574059385085e-05,2.1286352501744532e-05
C1,no,Insulin,9.595959595959597,0.002611871674043798,1.7718541045584906e-05,2.315426340170675e-05,1.3767988147446713e-05
C1,no,Insulin,10.101010101010102,0.0020877430102030445,1.1878855294489855e-05,1.4840430969591083e-05,8.97436216737577e-06
C1,no,Insulin,10.606060606060607,0.0016750833302655187,8.022152003815742e-06,9.598602859698255e-06,5.896123052503302e-06
C1,no,Insulin,11.111111111111112,0.0013492584419370877,5.4580291935655355e-06,6.264545087413829e-06,3.90489656774329e-06
C1,no,Insulin,11.616161616161618,0.0010911684278002527,3.7418352671511103e-06,4.126117352739742e-06,2.607512506324809e-06
C1,no,Insulin,12.121212121212121,0.0008860181068295114,2.584072209582739e-06,2.7408852833977882e-06,1.7547999453009468e-06
C1,no,Insulin,12.626262626262626,0.0007223189435024959,1.7973866938535287e-06,1.835987026844673e-06,1.1900627029160042e-06
C1,no,Insulin,13.131313131313131,0.0005912711731267317,1.2601537235690278e-06,1.2414721673578566e-06,8.140903588005312e-07
C1,no,Insulin,13.636363636363637,0.00048603975769952016,8.901320548795175e-07,8.465876451651811e-07,5.61332084550515e-07
C1,no,Insulin,14.141414141414142,0.00040122360100389566,6.335001015314055e-07,5.82262409944896e-07,3.901686761716149e-07
C1,no,Insulin,14.646464646464647,0.0003325708910975619,4.5429728028796115e-07,4.039913762025539e-07,2.734354339081031e-07
C1,no,Insulin,15.151515151515152,0.00027678530994582865,3.2822042999719064e-07,2.826927650567944e-07,1.931688161593375e-07
C1,no,Insulin,15.656565656565657,0.0002312986490997147,2.3886813439889135e-07,1.9944591801848998e-07,1.3753193575041809e-07
C1,no,Insulin,16.161616161616163,0.00019409910241579924,1.751747380574331e-07,1.419380590742451e-07,9.872739137217348e-08
C1,no,Insulin,16.666666666666668,0.00016355981854109701,1.2943526192838256e-07,1.0187139658989228e-07,7.144554539164676e-08
C1,no,Insulin,17.171717171717173,0.00013839805063149558,9.635927392222358e-08,7.373420969566082e-08,5.2120470504642414e-08
C1,no,Insulin,17.67676767676768,0.00011759194921938508,7.22661122795145e-08,5.380884413939352e-08,3.83228788474091e-08
C1,no,Insulin,18.181818181818183,0.00010032210257180137,5.459777978016885e-08,3.9593776339811856e-08,2.8401547696320146e-08
C1,no,Insulin,18.68686868686869,8.594022127708828e-05,4.1551983099097195e-08,2.937166510442e-08,2.1213676146176307e-08
