,,,Slide ID,f,h,c,e,b,a,d,g
,,,Antibody Name,f,h,c,e,b,a,d,g
,,,HUGO ID,f,h,c,e,b,a,d,g
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.9524604228303267,0.6170425557892147,0.4222381448032353,0.5123307689416445,0.9278606236960404,0.4438964326271302,0.03820999502243494,0.2273199358712943
C1,no,Insulin,0.5050505050505051,0.32037867361681915,0.40933898119793316,0.3291181796849962,0.38472748855099215,0.5315864823588053,0.36183209687506374,0.21236669152828747,0.3011812971704102
C1,no,Insulin,1.0101010101010102,0.12896328208990826,0.28112361521879653,0.2679555883201232,0.2760213128757371,0.3341781344866447,0.30128434002887455,0.25959302150202956,0.25684541481961626
C1,no,Insulin,1.5151515151515151,0.06634507181581323,0.20019058734250636,0.22470293648639533,0.19668157527162633,0.22504452747705841,0.2554901365304281,0.25402653312674306,0.20178530481704698
C1,no,Insulin,2.0202020202020203,0.04260311677502763,0.14792388581726157,0.19332915151414892,0.14437610959783875,0.1650620238616536,0.22066533614403838,0.23266029523988446,0.1615873967714663
C1,no,Insulin,2.5252525252525255,0.03166647186432345,0.11352323819529746,0.17108838607407922,0.11160086560271834,0.13198548426564655,0.19486184623329914,0.2104171173941364,0.13598521082438725
C1,no,Insulin,3.0303030303030303,0.02569610047752396,0.090583763088869,0.15578406932543606,0.09128080447681115,0.1128513381524287,0.1763207913310502,0.1917191180290541,0.1199154788762197
C1,no,Insulin,3.5353535353535355,0.022072154662241477,0.07515983200022225,0.14537753035534257,0.07852151075645945,0.10100992919859238,0.16322305931722136,0.17713652165179214,0.10950631644501534
C1,no,Insulin,4.040404040404041,0.019744157803423115,0.06472974003745177,0.13826106434699892,0.07033415680321868,0.09325869614393754,0.15399813134959026,0.1661369781981219,0.10251841522385709
C1,no,Insulin,4.545454545454546,0.018201019203056414,0.057642752853239054,0.1333299787786271,0.06496277280392525,0.08800352728984519,0.14747370798392304,0.157990807960782,0.09770993429480261
C1,no,Insulin,5.050505050505051,0.017157642275358046,0.05280502887039064,0.1298704348570405,0.06137065662571071,0.08437174086241328,0.1428339304057672,0.15202838657320286,0.09435466479028735
C1,no,Insulin,5.555555555555556,0.016442236474587982,0.04948741514976587,0.1274226143612511,0.05893113330732248,0.08183588974124271,0.13952093027384524,0.14769968117282903,0.09199601155525443
C1,no,Insulin,6.0606060606060606,0.015946609630338907,0.04720189391667902,0.1256825077586481,0.057254383804862245,0.08005461568415034,0.13715008224973937,0.1445750563135478,0.09033108504719382
C1,no,Insulin,6.565656565656566,0.015600590528994056,0.045620522590438764,0.12444284961667172,0.05609127044240997,0.0787984805854742,0.13545214248150636,0.14232869038890153,0.08915280893111291
C1,no,Insulin,7.070707070707071,0.015357640116981765,0.04452191940915297,0.12355904618743087,0.055278806184090784,0.07791020392486099,0.13423622246910935,0.14071827953031477,0.08831743917418916
C1,no,Insulin,7.575757575757576,0.015186344556748237,0.04375588881590187,0.12292887232074177,0.0547082927098045,0.07728076516603444,0.13336592202592415,0.13956603018458996,0.0877243925317972
C1,no,Insulin,8.080808080808081,0.0150652037438349,0.0432199992900029,0.12247959793498162,0.054306103920918,0.07683405757894445,0.13274341014645785,0.13874269893025354,0.08730295565961274
C1,no,Insulin,8.585858585858587,0.014979344135226232,0.04284402236483888,0.12215933393550567,0.054021745024522706,0.0765166673256576,0.13229842255702912,0.1381549186179296,0.08700323606396242
C1,no,Insulin,9.090909090909092,0.014918393121342133,0.04257957759318316,0.12193107040814186,0.05382026242087708,0.07629096643096782,0.13198052462971466,0.13773555369529664,0.08678995998924562
C1,no,Insulin,9.595959595959597,0.014875076302170546,0.04239317797393653,0.12176839062444253,0.053677272029373356,0.07613035958465558,0.13175353242566884,0.13743646273360435,0.08663812191965752
C1,no,Insulin,10.101010101010102,0.01484426600111547,0.042261549353525926,0.12165245262318576,0.05357567612862112,0.07601602960685343,0.1315915137958603,0.13722320959117876,0.0865299969413292
C1,no,Insulin,10.606060606060607,0.01482233848848574,0.042168454685042656,0.12156983334005231,0.053503430904968265,0.07593461421053534,0.13147591329330066,0.13707118719017763,0.08645298246268342
C1,no,Insulin,11.111111111111112,0.014806726773409988,0.04210252695186753,0.12151095744397493,0.053452023902397325,0.07587662044307271,0.13139345390309137,0.13696282431896817,0.0863981145671024
C1,no,Insulin,11.616161616161618,0.014795608203651186,0.04205578712294814,0.12146899896837515,0.053415428444520144,0.07583530593614941,0.13133464491801566,0.1368855878675275,0.0863590218675124
C1,no,Insulin,12.121212121212121,0.014787687818181636,0.042022620188250495,0.12143909633980822,0.053389368451211644,0.07580587023677277,0.13129270946695848,0.1368305390709039,0.08633116655403587
C1,no,Insulin,12.626262626262626,0.014782045303086877,0.04199906870368118,0.12141778834897142,0.0533708078387254,0.07578489642012566,0.13126281309559176,0.13679130796324615,0.08631131788945137
C1,no,Insulin,13.131313131313131,0.01477802487680822,0.041982333158280476,0.12140260272334746,0.053357585122083516,0.07576995009331078,0.13124149954607262,0.1367633475985684,0.08629717273789554
C1,no,Insulin,13.636363636363637,0.014775159840343149,0.04197043419239027,0.12139177953816142,0.053348163630954154,0.07575929842339955,0.13122630503728852,0.1367434192684443,0.08628709167047792
C1,no,Insulin,14.141414141414142,0.014773117686143053,0.041961968843709875,0.12138406432273881,0.053341448816886336,0.07575170567002319,0.13121547161089767,0.1367292131746725,0.0862799055210782
C1,no,Insulin,14.646464646464647,0.014771661610493432,0.0419559422785028,0.12137856271434481,0.05333666126598836,0.075746291571115,0.1312077454467577,0.1367190830702243,0.08627478122557593
C1,no,Insulin,15.151515151515152,0.014770624733056518,0.041951656559519115,0.12137464538413804,0.05333325214582989,0.07574243539763366,0.13120224306641318,0.13671186885764208,0.08627113161672102
C1,no,Insulin,15.656565656565657,0.014769885585449661,0.04194860514953643,0.12137185261064905,0.053330822621365286,0.07573968805081124,0.1311983203576703,0.13670672713806653,0.08626853124569236
C1,no,Insulin,16.161616161616163,0.014769358812322655,0.041946431967162044,0.12136986092474714,0.053329090695772845,0.07573772989975514,0.13119552342305416,0.1367030617334199,0.08626667751714644
C1,no,Insulin,16.666666666666668,0.014768983507134358,0.04194488407940831,0.12136844528515373,0.05332785572493102,0.07573632967757243,0.13119353247787777,0.13670044838751944,0.0862653532177289
C1,no,Insulin,17.171717171717173,0.014768715700846632,0.04194378184595768,0.121367439419342,0.053326976505140886,0.07573533195907602,0.13119211551037563,0.13669858742811875,0.08626441060198914
C1,no,Insulin,17.67676767676768,0.014768524343552083,0.0419429968415352,0.12136671050411398,0.05332635133894122,0.07573463393546735,0.13119109726169803,0.1366972629365354,0.08626374739577926
C1,no,Insulin,18.181818181818183,0.014768388049299525,0.04194243739343228,0.12136619110318543,0.053325905350102676,0.07573413525506903,0.13119037154352578,0.13669631823096418,0.08626327366367796
C1,no,Insulin,18.68686868686869,0.014768291921119142,0.041942038820771195,0.12136583216465593,0.053325585298523034,0.07573376510924809,0.131189862534364,0.1366956421405017,0.08626292538274562
