,,,Slide ID,e,b,c,d,a
,,,Antibody Name,e,b,c,d,a
,,,HUGO ID,e,b,c,d,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5784363957457932,0.07121201580156244,0.9387633298400372,0.867025362800685,0.23553975912361846
C1,no,Insulin,0.5050505050505051,0.1925808724611375,0.16039812900340913,0.28619085229227614,0.5504439128943939,0.2117201882532229
C1,no,Insulin,1.0101010101010102,0.094116567065806,0.21392052226979313,0.09840101334912783,0.40690621927930365,0.22539977916329418
C1,no,Insulin,1.5151515151515151,0.059779508722686954,0.24093435965566182,0.040265911350330565,0.3441821969405892,0.23926300905117356
C1,no,Insulin,2.0202020202020203,0.043422273140719635,0.2537541390859567,0.02032740080516311,0.3178313900577985,0.2480298746990605
C1,no,Insulin,2.5252525252525255,0.03441039248303099,0.2596862941700622,0.01264896707245439,0.30733079310108813,0.2528249779149115
C1,no,Insulin,3.0303030303030303,0.029304293416391958,0.26240141370179854,0.009357300296831867,0.3035011275959484,0.2552736366353119
C1,no,Insulin,3.5353535353535355,0.02644125641644431,0.2636380752684707,0.007823865091822613,0.3023464873294411,0.25647650335995725
C1,no,Insulin,4.040404040404041,0.024861119139381636,0.2642001084149278,0.007068140276740352,0.30218005558656735,0.2570533101237369
C1,no,Insulin,4.545454545454546,0.023999775285086924,0.2644552864115022,0.006682484642066291,0.30232089964949815,0.2573255348821202
C1,no,Insulin,5.050505050505051,0.02353400328642801,0.2645710948312124,0.00648159384927927,0.30251433565106906,0.25745261853711127
C1,no,Insulin,5.555555555555556,0.023283321379846608,0.2646236360121641,0.006375706495315973,0.30267894715147525,0.2575114856549947
C1,no,Insulin,6.0606060606060606,0.02314873311252131,0.264647476441935,0.006319505582457557,0.30279883661693113,0.25753860799581485
C1,no,Insulin,6.565656565656566,0.023076552612119418,0.26465829206995073,0.006289556489283631,0.30287965252150995,0.25755105357162583
C1,no,Insulin,7.070707070707071,0.023037857836331263,0.2646631984896296,0.006273557682031264,0.30293166718561787,0.2575567475014368
C1,no,Insulin,7.575757575757576,0.02301711516470602,0.2646654242412083,0.006264997932093229,0.30296413493045116,0.25755934683428755
