,,,Slide ID,c,d,e,a,f,b
,,,Antibody Name,c,d,e,a,f,b
,,,HUGO ID,c,d,e,a,f,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.6984951547273451,0.935557065533649,0.9365273295978176,0.2981634768200483,0.4076002350252904,0.6217964155411151
C1,no,Insulin,0.5050505050505051,0.5405570445627627,0.6465577495117386,0.4169870003277357,0.25540807898409884,0.29335474942625245,0.4197426132958475
C1,no,Insulin,1.0101010101010102,0.4464197320532368,0.4781488002872046,0.25892593966589544,0.23460787134071928,0.25202041770781886,0.31402110932363086
C1,no,Insulin,1.5151515151515151,0.3857008900195157,0.3785611379754468,0.21054277798869486,0.2242097764662308,0.23654581808108854,0.2543748489779945
C1,no,Insulin,2.0202020202020203,0.3441913946020958,0.31870860497904374,0.19544828933912484,0.21882930837967432,0.2304042032506753,0.218273030722903
C1,no,Insulin,2.5252525252525255,0.31507411050743434,0.28209264970928066,0.19056768956275283,0.21597297607087812,0.22779258230965493,0.195418437931951
C1,no,Insulin,3.0303030303030303,0.29453737518332634,0.2592953049362431,0.18890329718018362,0.21443791307086912,0.2266121283451729,0.1806095494349126
C1,no,Insulin,3.5353535353535355,0.28010056362330826,0.24487829154475751,0.1882954182882013,0.21361024088488414,0.2260537103293562,0.17090865979117642
C1,no,Insulin,4.040404040404041,0.27001461966946094,0.23564438459691187,0.18805571908001506,0.21316459332576404,0.22578134063375638,0.16452263342984735
C1,no,Insulin,4.545454545454546,0.26301483758786054,0.22967261127554794,0.18795395513140917,0.21292545429284893,0.22564590487413233,0.16030953469574535
C1,no,Insulin,5.050505050505051,0.25818669179558495,0.2257832436802976,0.18790800431204863,0.21279765097906114,0.2255777687100436,0.15752718198792154
C1,no,Insulin,5.555555555555556,0.25487448700468324,0.2232375673616631,0.18788628724285228,0.21272962934293094,0.22554325297709796,0.15568877447335902
C1,no,Insulin,6.0606060606060606,0.25261290933595404,0.2215656882810616,0.18787570296043354,0.2126935653126406,0.2255256977282159,0.15447372233521825
C1,no,Insulin,6.565656565656566,0.2510749390698047,0.22046514403851594,0.18787044233129646,0.2126745117059412,0.22551674766637966,0.1536705178624997
C1,no,Insulin,7.070707070707071,0.2500326881053058,0.21973957725512516,0.18786779855771288,0.21266447790834903,0.22551217964059914,0.15313949974745303
C1,no,Insulin,7.575757575757576,0.2493284962228898,0.2192607302456642,0.18786645835018928,0.21265920859212226,0.22550984561690884,0.1527884011294995
C1,no,Insulin,8.080808080808081,0.24885394499756788,0.21894449253180823,0.18786577657342296,0.2126564483823756,0.22550865263408365,0.15255624654635377
C1,no,Insulin,8.585858585858587,0.24853486621557624,0.21873554962077213,0.18786542922525518,0.21265500579441346,0.22550804281093054,0.15240273337046945
C1,no,Insulin,9.090909090909092,0.2483207430504193,0.21859745550271956,0.18786525208496535,0.21265425332824064,0.2255077310330837,0.15230121845181835
C1,no,Insulin,9.595959595959597,0.2481772959540578,0.21850616731351702,0.187865161567757,0.21265386151625162,0.22550757159568233,0.1522340865918037
C1,no,Insulin,10.101010101010102,0.24808133950107827,0.21844581209873093,0.18786511532185177,0.21265365782984208,0.22550749006559498,0.15218969130549873
C1,no,Insulin,10.606060606060607,0.24801724469295106,0.2184059120909364,0.1878650913508933,0.2126535522476292,0.22550744838158643,0.15216033710466614
C1,no,Insulin,11.111111111111112,0.24797446810422813,0.2183795220633968,0.18786507894545693,0.2126534972297278,0.22550742691417583,0.15214091998320256
C1,no,Insulin,11.616161616161618,0.2479459534851462,0.2183620725023969,0.18786507338007502,0.21265346892467843,0.2255074161508376,0.15212807997137948
C1,no,Insulin,12.121212121212121,0.24792696277314472,0.21835053340656446,0.1878650697929275,0.2126534541943418,0.2255074104830576,0.15211958854345722
C1,no,Insulin,12.626262626262626,0.2479143241886988,0.2183429025579562,0.18786506842997394,0.2126534466459831,0.22550740769141786,0.15211397294839096
C1,no,Insulin,13.131313131313131,0.24790592074248918,0.21833785721010232,0.18786506769567834,0.21265344274870152,0.2255074062573625,0.15211025992870553
C1,no,Insulin,13.636363636363637,0.24790033672915032,0.2183345213105131,0.18786506718933427,0.21265344073064124,0.2255074054991892,0.15210780487438266
C1,no,Insulin,14.141414141414142,0.24789662667549472,0.21833231465618275,0.18786506707416592,0.2126534396941675,0.22550740513689982,0.15210618088667147
C1,no,Insulin,14.646464646464647,0.24789415790547753,0.21833085195262855,0.18786506694263122,0.21265343915150087,0.22550740493659838,0.15210510438506528
C1,no,Insulin,15.151515151515152,0.24789252010032453,0.21832988508368606,0.18786506675047152,0.2126534388698168,0.22550740481265757,0.15210439277594473
