,,,Slide ID,a,b,d,c,e,f,g,h
,,,Antibody Name,a,b,d,c,e,f,g,h
,,,HUGO ID,a,b,d,c,e,f,g,h
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.058173680602550126,0.3517712084080732,0.7931079141310179,0.4232793038363759,0.5293687871682798,0.0502511172115635,0.9974743258727985,0.9220323787247008
C1,no,Insulin,0.5050505050505051,0.08458096288070417,0.2891525189541249,0.5248794435719993,0.35106162136863656,0.46254103433081023,0.10425053052457497,0.6617392331351152,0.28650647434731163
C1,no,Insulin,1.0101010101010102,0.11214545148926489,0.25823986118624936,0.3965884380037307,0.31914005145004026,0.4190925629177231,0.1299322492875895,0.47147711944029425,0.10997621858984892
C1,no,Insulin,1.5151515151515151,0.13497252297709506,0.24251810316502698,0.33397744081985714,0.3032522303122724,0.39040880498572866,0.14181357856707943,0.36289852166396636,0.06082909948201993
C1,no,Insulin,2.0202020202020203,0.1504570221913739,0.23441498818212314,0.3025952632408785,0.29437380964223486,0.37125011237426575,0.14716537208455238,0.30043777634044333,0.047094112919073124
C1,no,Insulin,2.5252525252525255,0.15955980319995822,0.2302425498883975,0.2863330755642072,0.28894693934368776,0.358342457820741,0.14951720943249278,0.26418093058221853,0.04321636834245888
C1,no,Insulin,3.0303030303030303,0.1644766704934021,0.22812433508514662,0.2775719633502113,0.28543360884443203,0.3495916913870088,0.1505332776319402,0.24292239199775958,0.04209564971652905
C1,no,Insulin,3.5353535353535355,0.16701473378912174,0.22708013805129038,0.27264955594923956,0.2830847073868465,0.3436325635524912,0.1509747669174654,0.23032033015379544,0.04175756210655473
C1,no,Insulin,4.040404040404041,0.1682940304740065,0.2265916807776228,0.26976602100566455,0.28148826986073167,0.33956170274863084,0.1511779485059997,0.222761546722522,0.041649770415013214
C1,no,Insulin,4.545454545454546,0.16893049352327044,0.2263845903664073,0.268011054719816,0.28039471433420404,0.3367746401889889,0.15128520742471158,0.21817161911712507,0.04161459720824427
C1,no,Insulin,5.050505050505051,0.16924445531877327,0.22631473776437144,0.26690774972424974,0.2796430290909922,0.33486358352862516,0.15135367624424337,0.21534917014821858,0.04160469878474197
C1,no,Insulin,5.555555555555556,0.16939807743722812,0.22630765986208984,0.2661960101789123,0.27912562767606514,0.33355179919405864,0.15140476664812608,0.21359164226482305,0.041604400723768
C1,no,Insulin,6.0606060606060606,0.1694724083158241,0.22632593399864329,0.2657278398429474,0.278769338178659,0.3326507025795691,0.15144590668413777,0.21248375473415607,0.041607755874859854
C1,no,Insulin,6.565656565656566,0.16950771570589096,0.22635158105862663,0.2654155063365824,0.2785239867916861,0.33203140217294463,0.15147959029800281,0.21177720114852244,0.04161221541974126
C1,no,Insulin,7.070707070707071,0.16952395355539565,0.22637661203552648,0.26520505295980673,0.2783550511842507,0.3316056240470576,0.15150686816744688,0.2113216944622709,0.04161662918239457
C1,no,Insulin,7.575757575757576,0.169530987128673,0.22639800486674994,0.2650622706847607,0.27823874878101673,0.3313128238269148,0.15152852047794224,0.21102512701296067,0.04162051225385963
C1,no,Insulin,8.080808080808081,0.16953367480981793,0.22641507907763708,0.2649649470785712,0.27815869284783495,0.33111143744534327,0.15154534927391197,0.2108303379429171,0.04162371170721914
C1,no,Insulin,8.585858585858587,0.16953439335867468,0.2264281555902144,0.2648983984434755,0.27810359302826104,0.33097290836264304,0.15155818011465888,0.2107014037019669,0.04162623890634818
C1,no,Insulin,9.090909090909092,0.16953428406922919,0.22643790313828166,0.2648527991377403,0.2780656729651358,0.33087760999769256,0.1515678005506282,0.2106154923975513,0.04162817729316044
C1,no,Insulin,9.595959595959597,0.16953388357356303,0.22644503311218223,0.26482150966303447,0.27803957776159627,0.33081204745461545,0.1515749130541244,0.21055792088274583,0.04162963127313592
C1,no,Insulin,10.101010101010102,0.16953343057509138,0.22645017778694715,0.2648000202561724,0.2780216209320776,0.33076694101330745,0.1515801094246027,0.21051915699751605,0.041630705254871024
C1,no,Insulin,10.606060606060607,0.16953302072362392,0.22645385216822875,0.2647852515632455,0.2780092647549315,0.33073590710600503,0.1515838687467231,0.2104929508375616,0.041631486304035265
C1,no,Insulin,11.111111111111112,0.16953268457099013,0.22645645635040113,0.26477509815553407,0.27800076250604866,0.3307145549467837,0.15158656597743309,0.21047517628426735,0.0416320505047618
C1,no,Insulin,11.616161616161618,0.16953242238149036,0.2264582909828635,0.26476811549997703,0.2779949123889692,0.33069986400862017,0.151588488026155,0.21046308742977124,0.04163245294742177
C1,no,Insulin,12.121212121212121,0.16953222482076805,0.22645957748766818,0.2647633127276606,0.2779908869840336,0.3306897558947594,0.15158984978773002,0.21045484718281995,0.04163273912661169
C1,no,Insulin,12.626262626262626,0.1695320792455011,0.2264604762776297,0.2647600089147263,0.27798811728313205,0.3306828011546698,0.15159080998002986,0.210449220185789,0.04163294150325153
C1,no,Insulin,13.131313131313131,0.16953197341698148,0.22646110228960883,0.2647577363523395,0.2779862118216055,0.33067801662135216,0.15159148423095004,0.2104453725194601,0.041633083606047505
C1,no,Insulin,13.636363636363637,0.16953189741340258,0.22646153772872782,0.2647561713728755,0.2779848995102965,0.33067472150916843,0.15159195655427668,0.2104427354387353,0.04163318334133092
C1,no,Insulin,14.141414141414142,0.16953184322927872,0.22646183992029859,0.2647550941634731,0.2779839961563275,0.3306724532799733,0.1515922863785185,0.21044092730281966,0.041633252979339765
C1,no,Insulin,14.646464646464647,0.16953180513463278,0.22646204763615668,0.26475435895099647,0.2779833795737768,0.33067090511538305,0.15159251437748997,0.2104396973098817,0.04163330114327876
C1,no,Insulin,15.151515151515152,0.16953177819714488,0.226462192336556,0.2647538490614478,0.27798295195040584,0.33066983140673767,0.1515926738482864,0.21043884600222396,0.041633334821543334
C1,no,Insulin,15.656565656565657,0.16953175928743297,0.22646229257992762,0.2647534972624414,0.2779826569061695,0.3306690905895551,0.15159278473274165,0.21043825972278896,0.041633358245670125
C1,no,Insulin,16.161616161616163,0.16953174607703073,0.22646236163978292,0.26475325605639094,0.27798245460523496,0.3306685826434572,0.15159286142094688,0.21043785864806472,0.04163337447429258
C1,no,Insulin,16.666666666666668,0.16953173691140688,0.22646240908012266,0.2647530909193388,0.2779823161005506,0.3306682348828176,0.15159291426309918,0.2104375844788227,0.04163338567503665
C1,no,Insulin,17.171717171717173,0.1695317304917676,0.22646244223405096,0.26475297554190175,0.2779822193330272,0.33066799191599944,0.15159295123769026,0.2104373929111561,0.04163339351155478
C1,no,Insulin,17.67676767676768,0.16953172602170868,0.22646246517842858,0.26475289574801353,0.27798215241339924,0.3306678238880676,0.1515929768695879,0.21043726044226202,0.04163339891922868
C1,no,Insulin,18.181818181818183,0.16953172289670837,0.22646248097159144,0.26475284097674856,0.2779821064810797,0.330667708552585,0.15159299455874609,0.21043716962904416,0.041633402610337454
C1,no,Insulin,18.68686868686869,0.1695317206712752,0.22646249191022164,0.26475280329721823,0.27798207487942284,0.33066762920068477,0.15159300685533625,0.21043710737159513,0.04163340513836445
C1,no,Insulin,19.191919191919194,0.16953171916896304,0.22646249911706653,0.26475277863350494,0.2779820541893218,0.3306675772519519,0.15159301498197478,0.21043706675650373,0.04163340679350811
C1,no,Insulin,19.6969696969697,0.16953171810533763,0.2264625043088472,0.2647527608228534,0.27798203924402526,0.3306675397363787,0.1515930208319098,0.21043703738371852,0.04163340801423334
C1,no,Insulin,20.202020202020204,0.1695317174378484,0.22646250769851878,0.2647527491431449,0.2779820294404988,0.3306675151366427,0.15159302465389513,0.2104370180679179,0.04163340885397857
C1,no,Insulin,20.70707070707071,0.16953171703070155,0.22646250994314734,0.2647527413853925,0.27798202292909124,0.33066749880224733,0.15159302719402362,0.21043700521228,0.04163340947082908
C1,no,Insulin,21.212121212121215,0.16953171679655366,0.22646251145574028,0.2647527361556404,0.2779820185416945,0.3306674877948584,0.15159302891172996,0.21043699654385623,0.04163340995909546
C1,no,Insulin,21.71717171717172,0.16953171667664937,0.22646251250842633,0.264752732530939,0.27798201550453105,0.33066748016811587,0.15159303010838796,0.21043699055259382,0.04163341037856534
C1,no,Insulin,22.222222222222225,0.16953171663046374,0.22646251327088562,0.2647527299206113,0.2779820133213427,0.3306674746744762,0.15159303097043364,0.2104369862536172,0.04163341075938146
C1,no,Insulin,22.72727272727273,0.16953171663698285,0.22646251381548266,0.26475272806523775,0.277982011773115,0.33066747076714387,0.15159303158144666,0.210436983205255,0.04163341110715416
C1,no,Insulin,23.232323232323235,0.16953171661361738,0.22646251425246977,0.264752726575365,0.2779820105292793,0.33066746762894095,0.15159303207161967,0.2104369807556491,0.04163341133339402
C1,no,Insulin,23.73737373737374,0.1695317165161366,0.22646251462403882,0.2647527253046505,0.27798200946530666,0.33066746495362304,0.15159303249088016,0.21043697866425284,0.04163341138002661
C1,no,Insulin,24.242424242424242,0.16953171639844694,0.2264625148787683,0.2647527244314499,0.2779820087329674,0.330667463114427,0.1515930327783787,0.2104369772242336,0.041633411317830424
C1,no,Insulin,24.747474747474747,0.1695317162605484,0.22646251501665823,0.2647527239557633,0.2779820083322615,0.3306674621113529,0.15159303293411536,0.21043697643559137,0.04163341114680546
C1,no,Insulin,25.252525252525253,0.1695317161334798,0.22646251509030174,0.2647527236993605,0.2779820081149683,0.33066746156981436,0.15159303301736513,0.2104369760072719,0.041633410956599254
C1,no,Insulin,25.757575757575758,0.16953171607187315,0.2264625151922685,0.26475272334853667,0.2779820078202034,0.33066746083049836,0.15159303313245853,0.21043697542698794,0.04163341090500129
C1,no,Insulin,26.262626262626263,0.16953171602998848,0.22646251524505573,0.26475272316593723,0.27798200766638903,0.33066746044540657,0.15159303319204614,0.21043697512364573,0.04163341085990426
C1,no,Insulin,26.767676767676768,0.16953171600782585,0.2264625152486634,0.2647527231515622,0.2779820076535252,0.330667460414539,0.15159303319612796,0.2104369750972452,0.04163341082130818
C1,no,Insulin,27.272727272727273,0.16953171593179867,0.22646251532094314,0.2647527228999251,0.27798200744076956,0.330667459883338,0.15159303327780843,0.2104369746770299,0.04163341072522988
C1,no,Insulin,27.77777777777778,0.16953171594926583,0.22646251528070546,0.2647527230375055,0.27798200755614333,0.33066746017305665,0.15159303323232703,0.21043697490348387,0.041633410732967085
C1,no,Insulin,28.282828282828284,0.169531715966733,0.2264625152404678,0.264752723175086,0.2779820076715171,0.3306674604627753,0.15159303318684564,0.21043697512993784,0.04163341074070429
C1,no,Insulin,28.78787878787879,0.16953171598420017,0.22646251520023014,0.2647527233126665,0.2779820077868909,0.33066746075249387,0.15159303314136424,0.2104369753563918,0.0416334107484415
C1,no,Insulin,29.292929292929294,0.16953171600109465,0.22646251516123625,0.26475272344599565,0.2779820078986996,0.33066746103325995,0.15159303309728853,0.21043697557584973,0.04163341075587834
C1,no,Insulin,29.7979797979798,0.16953171600272585,0.22646251515539223,0.26475272346601264,0.27798200791548705,0.33066746107541256,0.151593033090679,0.2104369756088409,0.04163341075530949
C1,no,Insulin,30.303030303030305,0.16953171600435704,0.22646251514954818,0.2647527234860296,0.2779820079322745,0.3306674611175652,0.1515930330840695,0.21043697564183206,0.04163341075474064
C1,no,Insulin,30.80808080808081,0.1695317160059882,0.22646251514370416,0.26475272350604656,0.27798200794906197,0.33066746115971773,0.15159303307745994,0.2104369756748232,0.04163341075417179
C1,no,Insulin,31.313131313131315,0.1695317160076194,0.22646251513786014,0.2647527235260635,0.27798200796584943,0.33066746120187035,0.15159303307085042,0.21043697570781436,0.04163341075360294
C1,no,Insulin,31.81818181818182,0.1695317160092506,0.22646251513201612,0.2647527235460805,0.27798200798263695,0.3306674612440229,0.15159303306424088,0.21043697574080553,0.04163341075303409
C1,no,Insulin,32.323232323232325,0.16953171601088177,0.2264625151261721,0.2647527235660974,0.2779820079994244,0.3306674612861755,0.15159303305763136,0.2104369757737967,0.04163341075246524
C1,no,Insulin,32.82828282828283,0.16953171601251296,0.22646251512032808,0.2647527235861144,0.27798200801621187,0.33066746132832814,0.15159303305102184,0.21043697580678783,0.04163341075189639
C1,no,Insulin,33.333333333333336,0.16953171601414413,0.22646251511448404,0.2647527236061314,0.27798200803299933,0.3306674613704807,0.1515930330444123,0.210436975839779,0.04163341075132754
C1,no,Insulin,33.83838383838384,0.16953171601577532,0.22646251510864002,0.2647527236261483,0.2779820080497868,0.3306674614126333,0.15159303303780278,0.21043697587277016,0.04163341075075869
C1,no,Insulin,34.343434343434346,0.16953171601740652,0.226462515102796,0.2647527236461653,0.27798200806657425,0.3306674614547859,0.15159303303119326,0.2104369759057613,0.041633410750189837
C1,no,Insulin,34.84848484848485,0.1695317160190377,0.22646251509695198,0.26475272366618224,0.2779820080833617,0.3306674614969385,0.1515930330245837,0.21043697593875246,0.041633410749620986
C1,no,Insulin,35.35353535353536,0.16953171602066888,0.22646251509110796,0.26475272368619923,0.2779820081001492,0.3306674615390911,0.1515930330179742,0.21043697597174363,0.041633410749052135
C1,no,Insulin,35.85858585858586,0.16953171602230008,0.22646251508526394,0.26475272370621616,0.2779820081169367,0.33066746158124366,0.15159303301136465,0.2104369760047348,0.041633410748483285
C1,no,Insulin,36.36363636363637,0.16953171602393124,0.2264625150794199,0.26475272372623315,0.27798200813372415,0.3306674616233963,0.15159303300475513,0.21043697603772593,0.041633410747914434
C1,no,Insulin,36.86868686868687,0.16953171602556244,0.22646251507357587,0.26475272374625014,0.2779820081505116,0.3306674616655489,0.1515930329981456,0.2104369760707171,0.041633410747345584
