,,,Slide ID,h,e,g,c,f,i,b,a,d
,,,Antibody Name,h,e,g,c,f,i,b,a,d
,,,HUGO ID,h,e,g,c,f,i,b,a,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.042458727864560175,0.6819099269188783,0.38324228756696554,0.9731815987396026,0.36032664530240865,0.07387005682833048,0.607561209519144,0.4001387621853847,0.7402435413609434
C1,no,Insulin,0.5050505050505051,0.03869369175676876,0.39732282131670565,0.33447302395729966,0.33956537389892233,0.18557429868565095,0.1342914604159969,0.367418954035938,0.2670292573176495,0.40334376439781083
C1,no,Insulin,1.0101010101010102,0.037930070003157984,0.2652797182173088,0.2855361177814805,0.18326357901428075,0.1589945711101671,0.1409782168283219,0.22993207431695203,0.1832716288611708,0.2491765440692169
C1,no,Insulin,1.5151515151515151,0.035735664507283486,0.19397727246231614,0.24056366326070303,0.14418828580760215,0.15802029121397826,0.13480615639531404,0.14959745794771992,0.14406269018884293,0.18209033805718058
C1,no,Insulin,2.0202020202020203,0.03291560466123938,0.15005529697935582,0.20154460005581376,0.13328585185172212,0.15885553629703905,0.1284183529433738,0.10197917341408379,0.1288142911437892,0.15491488120192654
C1,no,Insulin,2.5252525252525255,0.03014944003408703,0.12070236851835432,0.1691238693294017,0.12927901401333472,0.15858956163297022,0.12396710682484233,0.07338120346037788,0.12335119899444093,0.14439976222341688
C1,no,Insulin,3.0303030303030303,0.02768990062287952,0.10036179589295213,0.14310880843488225,0.12724570956659811,0.15776412219200897,0.12112890262357122,0.05594404389141485,0.12133602064224781,0.14034840849793584
C1,no,Insulin,3.5353535353535355,0.025593878843174978,0.08612229230398555,0.12282142743559538,0.12600643690014707,0.15691388463174316,0.11935021671886283,0.04511062609103841,0.12048414255647119,0.13872354166943052
C1,no,Insulin,4.040404040404041,0.02385383437806408,0.07615450598943534,0.1073585794035688,0.1252066319719362,0.1562376542963843,0.11823310076083267,0.03822856130246632,0.12005212909263596,0.138016738293285
C1,no,Insulin,4.545454545454546,0.02244136382082378,0.06918633949810422,0.09577773981742813,0.12468635649994557,0.1557555435199125,0.11752748561483986,0.03374918484389634,0.11980036901742108,0.1376751996375759
C1,no,Insulin,5.050505050505051,0.0213187772736562,0.06430964772798445,0.08721334539706899,0.12434929135983315,0.15542961398202174,0.11707966343060529,0.03076234375187559,0.11964304971149248,0.1374925730422708
C1,no,Insulin,5.555555555555556,0.020443647960745284,0.06088237519435628,0.08093329546773294,0.12413199035987409,0.15521514759670452,0.11679454895912322,0.028726412842554637,0.11954225078375129,0.13738714313458705
C1,no,Insulin,6.0606060606060606,0.01977269679540105,0.058458564141071374,0.07635230365845043,0.12399238544116095,0.15507597959028946,0.1166126786635102,0.027312743008601047,0.11947729509125962,0.13732325972540735
C1,no,Insulin,6.565656565656566,0.019265227771637958,0.05673237845886651,0.07302018460607554,0.12390288541889957,0.15498632016615346,0.11649653918655214,0.02631676852195447,0.11943546444654414,0.137283488141633
C1,no,Insulin,7.070707070707071,0.01888543999149631,0.055494910548655324,0.0705994749661528,0.12384557562875041,0.15492876926442298,0.11642232878140517,0.02560743197902951,0.11940858019485194,0.13725837818288472
C1,no,Insulin,7.575757575757576,0.018603441918183743,0.054602901625677755,0.06884132796325085,0.12380890207230758,0.15489189763121608,0.11637489417006353,0.025098318010423188,0.11939133289760907,0.1372424150437739
C1,no,Insulin,8.080808080808081,0.01839524489396369,0.05395719390809383,0.06756402107160357,0.12378544186384562,0.1548682970215709,0.11634456844884657,0.024730947452053297,0.11938028191590701,0.13723223316361668
