,,,Slide ID,e,a,c,b,d
,,,Antibody Name,e,a,c,b,d
,,,HUGO ID,e,a,c,b,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.6070596778976316,0.11995525757835601,0.8597548234163803,0.5387112496562179,0.7092795712773805
C1,no,Insulin,0.5050505050505051,0.3544456782617078,0.07925108541989183,0.5391990690769646,0.3808899525753678,0.540792077132305
C1,no,Insulin,1.0101010101010102,0.2262814365212933,0.05533982372945176,0.37012448056675185,0.3015700587475505,0.4214503124425391
C1,no,Insulin,1.5151515151515151,0.1586918639252751,0.04072418067223973,0.27941569058831556,0.2531838450614887,0.336550353726853
C1,no,Insulin,2.0202020202020203,0.12138488239739176,0.03168777379485747,0.22913030544033816,0.22115785620441075,0.27632623215492097
C1,no,Insulin,2.5252525252525255,0.09981242116170726,0.026060203673008764,0.19989178357513088,0.19950334798335356,0.23386026552038486
C1,no,Insulin,3.0303030303030303,0.08680640703478126,0.022509869059855376,0.1819241742246574,0.18483036799717634,0.20410601559483482
C1,no,Insulin,3.5353535353535355,0.07868785711327689,0.020226299743031275,0.17029227696312602,0.1748963708464638,0.18337304828876372
C1,no,Insulin,4.040404040404041,0.07347359944949464,0.018723900283376633,0.1624506344179881,0.16816474844058377,0.1689867392998589
C1,no,Insulin,4.545454545454546,0.07004360018270546,0.01771330873348057,0.1570229464599375,0.16358641130695223,0.15903121005275767
C1,no,Insulin,5.050505050505051,0.06774086945326759,0.017020649535267003,0.15321192477681497,0.1604531674317446,0.15214982298655444
C1,no,Insulin,5.555555555555556,0.06616837484243161,0.016539209825434206,0.15051960091296557,0.15829197884883284,0.14739200577444195
C1,no,Insulin,6.0606060606060606,0.06507991673290413,0.016201485860830443,0.14861477481491345,0.1567889208067478,0.144097628521152
C1,no,Insulin,6.565656565656566,0.06431894365767281,0.015963328323588474,0.14726800451150124,0.1557357230051354,0.14181132913111938
C1,no,Insulin,7.070707070707071,0.06378334590372102,0.015794973318271323,0.14631705362817862,0.1549933769391745,0.14022030649041847
C1,no,Insulin,7.575757575757576,0.06340486261963663,0.015675879639416964,0.14564640707394058,0.1544680154630144,0.13910999945846614
C1,no,Insulin,8.080808080808081,0.0631368760759579,0.015591653459694784,0.14517383346842316,0.15409536816874794,0.13833311952706304
C1,no,Insulin,8.585858585858587,0.06294700669793611,0.015532122566777716,0.14484096365103544,0.1538308088354078,0.1377882865844429
C1,no,Insulin,9.090909090909092,0.06281251354387166,0.015490075824306957,0.14460651141618613,0.15364300114200544,0.1374054857984185
C1,no,Insulin,9.595959595959597,0.06271730015329728,0.015460393332545985,0.14444135150020332,0.15350978441926955,0.13713614034031157
C1,no,Insulin,10.101010101010102,0.06264994092030181,0.015439448338488208,0.14432496812814571,0.15341534365046472,0.13694642469607782
C1,no,Insulin,10.606060606060607,0.0626023229805804,0.015424671686649833,0.1442429299579029,0.15334849318383234,0.1368126969884189
C1,no,Insulin,11.111111111111112,0.06256867871640794,0.015414247990666046,0.144185082602361,0.15330119779405735,0.13671838858708812
C1,no,Insulin,11.616161616161618,0.06254491819479605,0.015406894945725742,0.144144281934384,0.15326776302890094,0.1366518589744306
C1,no,Insulin,12.121212121212121,0.06252814472586311,0.015401708217357563,0.14411550127395883,0.1532441428869864,0.1366049215228996
C1,no,Insulin,12.626262626262626,0.0625163038922933,0.015398048600582881,0.14409519247031452,0.1532274603573789,0.13657179674861675
C1,no,Insulin,13.131313131313131,0.06250794421934353,0.015395465669999128,0.1440808569488249,0.15321567837005928,0.13654841323834838
C1,no,Insulin,13.636363636363637,0.06250204715732768,0.015393643955923436,0.14407074511599557,0.15320736520940065,0.13653191885372143
C1,no,Insulin,14.141414141414142,0.06249788498337408,0.015392358263951567,0.1440636079063825,0.15320149699878025,0.13652027659376648
C1,no,Insulin,14.646464646464647,0.06249494689858833,0.015391450726902135,0.14405856955998736,0.15319735426319434,0.13651205826027316
C1,no,Insulin,15.151515151515152,0.06249287437681197,0.015390810576723283,0.1440550154219244,0.15319443183931705,0.1365062611634978
C1,no,Insulin,15.656565656565657,0.06249141221559076,0.015390358927667892,0.14405250786614554,0.15319237007169262,0.13650217103243092
C1,no,Insulin,16.161616161616163,0.06249038015754185,0.015390040100635813,0.14405073779724875,0.15319091466902232,0.13649928381708576
C1,no,Insulin,16.666666666666668,0.06248965175737331,0.015389815116172503,0.14404948854520172,0.15318988743988451,0.13649724640554017
C1,no,Insulin,17.171717171717173,0.062489137426011095,0.01538965627504726,0.14404860651277343,0.15318916252445935,0.13649580796784078
C1,no,Insulin,17.67676767676768,0.062488774863312106,0.015389544233711805,0.1440479846283236,0.15318865191421976,0.1364947934934074
C1,no,Insulin,18.181818181818183,0.062488519381470556,0.015389465222884422,0.1440475462582009,0.15318829136234635,0.13649407814955927
C1,no,Insulin,18.68686868686869,0.06248833882378604,0.015389409463820511,0.14404723663106506,0.15318803500747222,0.1364935731740985
C1,no,Insulin,19.191919191919194,0.06248821079038584,0.015389370114539494,0.14404701757770752,0.15318785315336592,0.13649321664272507
C1,no,Insulin,19.6969696969697,0.062488120538833763,0.01538934233149145,0.14404686294672095,0.1531877286891358,0.13649296504612687
C1,no,Insulin,20.202020202020204,0.062488057579209916,0.015389322661746873,0.14404675421648733,0.1531876440478019,0.1364927869992722
C1,no,Insulin,20.70707070707071,0.06248801245596913,0.015389308767509225,0.1440466771434852,0.15318757636142186,0.13649266128179385
