,,,Slide ID,b,f,e,c,d,g,a
,,,Antibody Name,b,f,e,c,d,g,a
,,,HUGO ID,b,f,e,c,d,g,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.6057500415674792,0.6200403341786128,0.7941848623719351,0.8515689043811496,0.43159314711017704,0.9414825969370243,0.9203570448274191
C1,no,Insulin,0.5050505050505051,0.5193197850184533,0.26116266362014584,0.5810341934403039,0.4148551627405348,0.4033389637578357,0.6783359178034781,0.3522098560024185
C1,no,Insulin,1.0101010101010102,0.45577754507479196,0.1314782253034226,0.4643321543633053,0.2136288383404387,0.3748812393313727,0.5127583976978631,0.1982116050216577
C1,no,Insulin,1.5151515151515151,0.40805109954105623,0.07771030130035361,0.3974926793973883,0.1180304870325294,0.3486898775752895,0.4061975437942444,0.15199674101803873
C1,no,Insulin,2.0202020202020203,0.3717392013151093,0.051831332358759565,0.3567027724020616,0.07087338946099148,0.3258857860440371,0.3360909867270128,0.13816058162501513
C1,no,Insulin,2.5252525252525255,0.3439465691170963,0.037734965438269014,0.3300068294868419,0.04657530158678483,0.3067775444729698,0.2890198976257626,0.1350784510691824
C1,no,Insulin,3.0303030303030303,0.3226510407492381,0.029397479328249394,0.3114229325595618,0.03345750440921596,0.2912126894833134,0.2568442711919811,0.1355943017477409
C1,no,Insulin,3.5353535353535355,0.30636538780640954,0.02422100480951561,0.29789634534440174,0.026042505299665505,0.27880621533942174,0.23451496846755657,0.13715280515016098
C1,no,Insulin,4.040404040404041,0.29395583638472095,0.020913905559211066,0.2877833097521898,0.02167095229172935,0.26908408472736745,0.21882572518529286,0.1388347968963216
C1,no,Insulin,4.545454545454546,0.2845408349968049,0.01876082578329027,0.28012237178174676,0.01899796177135324,0.26156782866912237,0.20769268310661476,0.14033286857089208
C1,no,Insulin,5.050505050505051,0.2774298615364404,0.017338371527110742,0.27429360424578586,0.017312839638483343,0.2558195156868375,0.19973165017848105,0.14157028528139393
C1,no,Insulin,5.555555555555556,0.2720822670048151,0.016386484468553487,0.26986147323808174,0.01622333813082433,0.25146137290434334,0.1940051061923129,0.14255454552160315
