,,,Slide ID,d,h,e,b,f,a,g,c
,,,Antibody Name,d,h,e,b,f,a,g,c
,,,HUGO ID,d,h,e,b,f,a,g,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5412913037947277,0.837004754710252,0.1684902387336935,0.16620369512270128,0.7122671489410727,0.5975580553665847,0.3167480183269946,0.6513031012143482
C1,no,Insulin,0.5050505050505051,0.3993563143077914,0.5104870686621121,0.16709186533219467,0.16800643751802802,0.3521118061588517,0.31761924601795694,0.16234625800390898,0.3451421639955475
C1,no,Insulin,1.0101010101010102,0.2970471308510253,0.3542958388015686,0.16604338694218054,0.16861397162877687,0.26271733896701543,0.19915286464833645,0.12327163485402794,0.2410811678685513
C1,no,Insulin,1.5151515151515151,0.2257447328178748,0.2743380008722644,0.16528045091419805,0.16872550418893306,0.24059655548398579,0.1441331912820931,0.11341213782435997,0.19620899570909187
C1,no,Insulin,2.0202020202020203,0.17731358348728196,0.23120635140036225,0.16473540454899174,0.1686536623138108,0.23514049640510543,0.11652951989912769,0.11092262656169019,0.1731156987977337
C1,no,Insulin,2.5252525252525255,0.14504286313735282,0.20709188306294782,0.16435060442973817,0.16853215228718166,0.23379279850451512,0.1018641371170848,0.11028215765332111,0.16011679104383447
C1,no,Insulin,3.0303030303030303,0.12385025424511352,0.19330198980342958,0.16408106586892723,0.16841356347628014,0.23345158751356201,0.09376125771848422,0.11010404962326792,0.15253835403201946
C1,no,Insulin,3.5353535353535355,0.11008898473073209,0.1853090632585798,0.16389326699562298,0.16831498102067413,0.2333561258713868,0.08916927213941092,0.11004317509663597,0.14806978587989403
C1,no,Insulin,4.040404040404041,0.10123346664437295,0.18063991492198797,0.16376289700067254,0.1682388982523458,0.2333218458801607,0.0865254074687464,0.11001445287953117,0.14542786197515425
C1,no,Insulin,4.545454545454546,0.09557686119674166,0.17790036088929412,0.16367262279528988,0.16818253706815128,0.2333044673166443,0.08498839931453069,0.10999680218864945,0.1438659063683368
C1,no,Insulin,5.050505050505051,0.09198594705620283,0.1762890595965011,0.16361022279425316,0.16814180515144786,0.23329326704227868,0.08408965020262898,0.1099845903679412,0.14294303145053966
C1,no,Insulin,5.555555555555556,0.08971837955966869,0.1753400932199232,0.16356714324662688,0.16811282814501805,0.2332853658786061,0.08356228290330604,0.10997587671419683,0.14239808083476171
C1,no,Insulin,6.0606060606060606,0.0882929913728498,0.17478080744743693,0.16353742772987478,0.1680924260831178,0.23327969350819955,0.08325219256436915,0.10996965830540541,0.14207643589578758
C1,no,Insulin,6.565656565656566,0.08740056933927232,0.17445107261642798,0.1635169429348667,0.16807816101866402,0.23327564169846898,0.0830696431667692,0.10996525335810986,0.14188665082297652
C1,no,Insulin,7.070707070707071,0.0868437994793727,0.1742566355074918,0.16350282748910028,0.16806823431571924,0.23327277089107085,0.08296209680752697,0.10996215547333797,0.14177469440371124
C1,no,Insulin,7.575757575757576,0.08649752591357082,0.1741419706932862,0.16349310388436616,0.16806134913467916,0.23327075321898105,0.08289871062788826,0.10995999007529497,0.14170865743770464
C1,no,Insulin,8.080808080808081,0.08628276986595312,0.17407434654903417,0.16348640705575643,0.16805658437702561,0.23326934369884325,0.08286134216385338,0.10995848326592422,0.14166970787910807
C1,no,Insulin,8.585858585858587,0.0861499171003159,0.17403446454776386,0.163481795515296,0.16805329223656318,0.2332683633637175,0.08283930891196367,0.10995743810651226,0.1416467358881553
