,,,Slide ID,h,b,g,a,d,i,f,c,e
,,,Antibody Name,h,b,g,a,d,i,f,c,e
,,,HUGO ID,h,b,g,a,d,i,f,c,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.8061717414595829,0.13566792586957455,0.031258852374832946,0.39200201992251626,0.2827668469142842,0.9971857492842578,0.11889423659140108,0.4526980638223478,0.2928559905225073
C1,no,Insulin,0.5050505050505051,0.3146723552184969,0.2417169567535924,0.05389502505973534,0.2501662999356661,0.31141984149624363,0.3848820732975164,0.07965851653574062,0.21778360909404207,0.2218452774024734
C1,no,Insulin,1.0101010101010102,0.15230521528380805,0.28491620212965363,0.07248916082486276,0.17633961886159819,0.33018118545125236,0.2273855596185476,0.05808629212073066,0.17725626614871726,0.22079330531712457
C1,no,Insulin,1.5151515151515151,0.10078684521834955,0.30363436330430343,0.08507457090131475,0.13817011250332875,0.3423232912239616,0.19103622964995917,0.0488928002148714,0.17411636193950195,0.22995736735074981
C1,no,Insulin,2.0202020202020203,0.08560585254501915,0.3123738842155275,0.09285593318325228,0.11854263152329844,0.350127308301579,0.18504733703226475,0.04578592392763909,0.17589133751599087,0.23622556397058558
C1,no,Insulin,2.5252525252525255,0.08187900050742357,0.31678661169957945,0.09748678619966612,0.10854409630162903,0.3551220298029709,0.18572709728550313,0.0450219756032053,0.17739077055496594,0.2394166104395284
C1,no,Insulin,3.0303030303030303,0.08147626271784354,0.3191777591731385,0.10019666799676147,0.1035201131008995,0.3583104168672837,0.18726697591450106,0.04498043692274142,0.1782930775461535,0.2409441821679546
C1,no,Insulin,3.5353535353535355,0.08185096503138423,0.32054759207604977,0.10176906330429383,0.1010420635314392,0.3603424110507773,0.18847268531638223,0.045096782796383024,0.1788229426763321,0.24170089842198222
C1,no,Insulin,4.040404040404041,0.08227698921709618,0.3213637764582294,0.10267677224751212,0.09984997603789517,0.3616360955650935,0.1892534954471015,0.0452109419157722,0.17914454565940868,0.24210629961725652
C1,no,Insulin,4.545454545454546,0.08259431088663341,0.3218627122453392,0.1031987927429227,0.09929626808701332,0.3624591963800546,0.1897246631473006,0.045292521263628864,0.1793462923575144,0.24234225373538687
C1,no,Insulin,5.050505050505051,0.08280101027924222,0.32217259904921836,0.1034980165816651,0.09905225455172835,0.3629826761451993,0.18999983909179435,0.04534511006167855,0.17947549037981092,0.24248848276586032
C1,no,Insulin,5.555555555555556,0.08292751614937355,0.32236691343604656,0.10366898001408784,0.09895379402312932,0.3633155149690782,0.19015775456779493,0.04537762186549221,0.1795590734082646,0.2425825821523535
C1,no,Insulin,6.0606060606060606,0.08300232846399282,0.3224894455269239,0.10376633050917966,0.09892063470539798,0.36352710625595835,0.1902473810282834,0.04539737436941528,0.1796133561027644,0.2426442704540359
C1,no,Insulin,6.565656565656566,0.08304563901090636,0.3225669669132089,0.1038215580558109,0.09891465438866523,0.3636616052032967,0.19029782261729233,0.04540929592833786,0.179648632539224,0.24268500016759564
C1,no,Insulin,7.070707070707071,0.08307034226025138,0.3226161031506001,0.10385275370571886,0.09891848288034259,0.36374709114483456,0.1903259894984624,0.045416478121648104,0.17967153765256366,0.24271192246540535
