,,,Slide ID,e,d,k,g,c,f,a,j,i,b,h
,,,Antibody Name,e,d,k,g,c,f,a,j,i,b,h
,,,HUGO ID,e,d,k,g,c,f,a,j,i,b,h
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.893162886319235,0.007684251919377494,0.3977307070520849,0.6715498061782473,0.34779805988951784,0.33160478754096834,0.9253958800699079,0.724147045972584,0.3928745656719316,0.2629855392986524,0.43572948026169156
C1,no,Insulin,0.42016806722689076,0.5872253977453463,0.11456244965025904,0.31764904307738806,0.4902345393910543,0.2938323692552007,0.31770147421918665,0.6515864041546122,0.40243238153206673,0.2920595020939869,0.2860061042121876,0.30803442519703217
C1,no,Insulin,0.8403361344537815,0.4168490990739717,0.15552895332607922,0.2621758383432727,0.3712291286118494,0.2549118669758788,0.2991992165547105,0.47229418004739654,0.2331051563624999,0.22780422266161288,0.27931576570786104,0.2403099698739213
C1,no,Insulin,1.2605042016806722,0.31953075058790764,0.16608576017665774,0.22447427612685325,0.29231806755733436,0.2262431478608004,0.2804239948086834,0.35399576188003584,0.1429213794463541,0.18594986579607997,0.2712056295871251,0.20138976203451103
C1,no,Insulin,1.680672268907563,0.2626029501621464,0.16402522896560232,0.19876809999849754,0.23971019677604716,0.20495296733359833,0.26345653350582643,0.27538369155968606,0.09418855295869046,0.15839497213013617,0.2648403402737243,0.17765940924429982
C1,no,Insulin,2.100840336134454,0.22865006454137196,0.15784090640518916,0.18107642947831704,0.20460596877174145,0.18919137500432484,0.24914947012252717,0.2228369654449371,0.06739746552930916,0.14022776733602374,0.2600393310952039,0.1627086189760831
C1,no,Insulin,2.5210084033613445,0.20812605095841477,0.151265001253313,0.16875922140417465,0.18124336694425702,0.17765750893779392,0.23767551521898117,0.1875728176196744,0.05237691543822535,0.12831021583272278,0.2563569764109916,0.15318343875427026
C1,no,Insulin,2.9411764705882355,0.1956281172836321,0.14569178730236823,0.16008730856678913,0.16577488459142692,0.16935992868536578,0.2288373416471778,0.163863447495885,0.04377338614376323,0.12056348568729171,0.2534969961570974,0.14713172842715727
C1,no,Insulin,3.361344537815126,0.18800191858382995,0.1414422860625669,0.15392691992865695,0.15560192587041047,0.16350721109313232,0.22225786277312168,0.1479262655063265,0.03873445055308023,0.11558529045746678,0.2512832457178435,0.14332689900240014
C1,no,Insulin,3.7815126050420167,0.18335812201081117,0.1384002561270379,0.14952574275112807,0.1489625002386091,0.1594625763700453,0.21750213427027537,0.13723430420766478,0.03571721179818482,0.11242636897796161,0.24959665134877768,0.14096850647868595
C1,no,Insulin,4.201680672268908,0.18054489221660977,0.13631442605211755,0.14637449737666475,0.1446640093012177,0.15672271382303635,0.2141517941206858,0.13008456209651467,0.033872201824618434,0.11044801235533762,0.24834008845710834,0.13952964185828998
C1,no,Insulin,4.621848739495799,0.17885311666855336,0.1349294329659284,0.14412024442717017,0.14190372633957826,0.15490141528685408,0.21184403522059775,0.12532332231401283,0.03272229872311063,0.1092253665537233,0.2474264770093664,0.13866613545827378
