,,,Slide ID,h,l,d,i,f,k,j,a,b,m,g,e,c
,,,Antibody Name,h,l,d,i,f,k,j,a,b,m,g,e,c
,,,HUGO ID,h,l,d,i,f,k,j,a,b,m,g,e,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.030623709333230553,0.4521887427429081,0.46927597334874227,0.37933538454863014,0.23135638486253307,0.1195535225778569,0.948572994589708,0.7677322552670951,0.11123351529874115,0.6041533410638626,0.949860304957853,0.30101778673716084,0.7006256084185118
C1,no,Insulin,0.42016806722689076,0.08799893540444502,0.396859305025114,0.2611954194296197,0.15201633342460438,0.186833617485622,0.07395073325476446,0.6440709687650132,0.48501416932199204,0.05623459676542725,0.4443205433689386,0.6211041720526664,0.1686458453879592,0.2218682153295035
C1,no,Insulin,0.8403361344537815,0.09777104997219278,0.3511398581126487,0.1625267283441409,0.06397657677748775,0.16701210128158236,0.0470771189105367,0.4586629928912791,0.37592895154817185,0.03226669829508027,0.3416766870416098,0.4160985527891505,0.1381319955833256,0.07969605759784239
C1,no,Insulin,1.2605042016806722,0.09146875929465266,0.31357948827351306,0.11153104402434513,0.028891632990068597,0.1563448220857238,0.030558515192086206,0.3428366906284479,0.32376364539794034,0.02058913883599308,0.2733466912916001,0.2864271440719763,0.1318954598760468,0.035249428673548966
C1,no,Insulin,1.680672268907563,0.08050631171370974,0.2831805040198644,0.08211596236346264,0.014417350821801577,0.14916625485815202,0.02022438723585153,0.2685733750543741,0.29257756003569074,0.014336705156114647,0.2264735761397014,0.2028936253839311,0.1298952030059083,0.019936720763272575
C1,no,Insulin,2.100840336134454,0.06913214686717016,0.25897539447483414,0.06324968795198778,0.008136620744743622,0.14312686666036764,0.013681042555538996,0.2197539404806958,0.2709376815511621,0.01067849528830481,0.19355885657034055,0.14793928479117363,0.12730555192551907,0.013697695785344688
C1,no,Insulin,2.5210084033613445,0.05888023320598224,0.23998258103327705,0.05014490230346593,0.005203145506270713,0.13731146096636643,0.009487641008983055,0.18691666751428287,0.2548475729854415,0.00835662394633609,0.1700419776149103,0.11097490692937838,0.12346063997131279,0.010532688746545008
