,,,Slide ID,n,f,i,h,a,g,m,d,b,k,c,e,l,j
,,,Antibody Name,n,f,i,h,a,g,m,d,b,k,c,e,l,j
,,,HUGO ID,n,f,i,h,a,g,m,d,b,k,c,e,l,j
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.06319332925188081,0.299745903662768,0.8685616406457989,0.6762897048073424,0.6895305134787523,0.23380955820612648,0.24283801837530072,0.5194157550400839,0.6345278770317369,0.8779177734194121,0.6580740281745547,0.7468928531350361,0.9982046159640879,0.492163728634877
C1,no,Insulin,0.42016806722689076,0.14906296592551857,0.24410093733094176,0.523957348012985,0.4492596030454138,0.3766449699490492,0.22251885284721243,0.1626583752300264,0.3388741599825056,0.3419623326931909,0.5511955822145463,0.24456286968988944,0.2810272970172605,0.7411030263647254,0.19937253326907953
C1,no,Insulin,0.8403361344537815,0.17276894052692718,0.21081125680012375,0.3640725393825043,0.29975197107378754,0.26894307599589046,0.2071177734315631,0.11497157388987564,0.257393324453252,0.2269492825387018,0.37522601719320486,0.10569085308576136,0.12175509044595764,0.5808900882576689,0.09960551942707983
C1,no,Insulin,1.2605042016806722,0.16937866104380786,0.18729942963974042,0.28150120533200496,0.2031259437989344,0.21976710585090423,0.1887738241959771,0.0879292610347165,0.21149346010900869,0.17297034099014746,0.27377627883563377,0.05726168511086874,0.06522161262291953,0.47931272886357174,0.06326379201423803
C1,no,Insulin,1.680672268907563,0.15545094784159552,0.1684107326766816,0.23263228857556817,0.14100227941985663,0.1889365387538109,0.1698658599277611,0.07225132976897888,0.17957837375552346,0.14134681529630527,0.2107829921155168,0.03890994371470829,0.0434796578717203,0.41385709511077473,0.04821269334935661
C1,no,Insulin,2.100840336134454,0.1387667252277112,0.15229944566797682,0.19975095276040758,0.1008790875552724,0.16565300790334,0.15212063627226477,0.06239359529209112,0.15468513084696087,0.11938113859897545,0.1689034879273171,0.030734729645099292,0.033729849996871286,0.3710754276186903,0.040527232456680655
C1,no,Insulin,2.5210084033613445,0.12278044365482271,0.13837583021522884,0.17552143674313092,0.0746785770596051,0.14691426767114857,0.13641494677110153,0.055523272787756255,0.1345454909872439,0.10276160535375614,0.13950709963159955,0.02618863512629918,0.028333761857542907,0.3427854481688229,0.03561509947595732
C1,no,Insulin,2.9411764705882355,0.10881944284119326,0.12643359175147786,0.1567448124527449,0.0573085536435367,0.13167860596931744,0.12303042394189546,0.05031317535663524,0.1182304164486921,0.08980282627576323,0.11807077785856963,0.023117501193009468,0.024729692328647957,0.3239067809358669,0.03196450829511305
C1,no,Insulin,3.361344537815126,0.09720045021765028,0.11633357167547419,0.14186818010187902,0.04558864627268517,0.1193627806733357,0.11191055513003317,0.046160793848613345,0.10513622322480431,0.07963780802425093,0.1020542678018239,0.020797598091452606,0.022038701944795912,0.31122158616339757,0.029062090589593182
C1,no,Insulin,3.7815126050420167,0.08779385094077609,0.10791501142560413,0.1300017635071067,0.03753242877207477,0.10949249867829397,0.1028339820267764,0.042780979731271415,0.09473437764030686,0.07167922996773465,0.08991224415291682,0.01896389546014952,0.019931956044302403,0.3026549352487704,0.026708307276686206
