,,,Slide ID,e,a,c,f,d,b
,,,Antibody Name,e,a,c,f,d,b
,,,HUGO ID,e,a,c,f,d,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5776155270572488,0.16447973868174304,0.7883002127062038,0.03472870901111669,0.537463334279363,0.8396256263210957
C1,no,Insulin,0.42016806722689076,0.3094260603158853,0.14273376872923155,0.3704035807332362,0.06718108525670455,0.3790131268722194,0.5306106751992611
C1,no,Insulin,0.8403361344537815,0.19963956639863895,0.11729546556147656,0.21256952374034818,0.060921740678313796,0.26749766410390163,0.3691858714425285
C1,no,Insulin,1.2605042016806722,0.1497581809435121,0.09480553488087098,0.14817734212507452,0.04851082351814821,0.18964473412130994,0.2785666015150857
C1,no,Insulin,1.680672268907563,0.1262095564806471,0.07710932059534897,0.12070187594867987,0.03805316569665693,0.1356827281112452,0.2228555192438958
C1,no,Insulin,2.100840336134454,0.11558889091511103,0.06389149402869924,0.10932656026841656,0.030494177114771898,0.0984091201770392,0.1852482079998526
C1,no,Insulin,2.5210084033613445,0.11165663779491297,0.054171472930844136,0.10552641364527962,0.025165013990865067,0.07263706194593461,0.1578029380280823
C1,no,Insulin,2.9411764705882355,0.11118787732081696,0.04697347260952628,0.10540979407760905,0.021326006368106495,0.054727958437043825,0.13666538307776482
C1,no,Insulin,3.361344537815126,0.11242708678036685,0.04153835074111316,0.10703939365422868,0.018462096529416768,0.04218070628766861,0.11985923398083258
C1,no,Insulin,3.7815126050420167,0.1144064940311856,0.03733575042313617,0.10940060698987188,0.016256504626340956,0.0332978709621307,0.10627560487203538
C1,no,Insulin,4.201680672268908,0.11660108808446717,0.03401322481495339,0.11195535075948385,0.014518590851426014,0.02693432152728808,0.09521660700447235
C1,no,Insulin,4.621848739495799,0.11873847512250991,0.031339870471505916,0.11442574586198502,0.013129625309660572,0.022317974936724258,0.08619144818789937
C1,no,Insulin,5.042016806722689,0.12068960387075724,0.02916241054704732,0.11667942121517871,0.012010751069486693,0.018926406950517657,0.07882551276263632
C1,no,Insulin,5.46218487394958,0.1224050994269439,0.027375565675719103,0.11866521567023704,0.011105834052037503,0.01640375202174863,0.0728188989268485
C1,no,Insulin,5.882352941176471,0.12387822760417985,0.025903594256962183,0.12037613229812939,0.010372611606521987,0.014505408022251663,0.06792613530364493
C1,no,Insulin,6.302521008403361,0.1251236100932713,0.02468932389542219,0.12182786866613372,0.009778065171192124,0.013061447020903208,0.06394478343369932
C1,no,Insulin,6.722689075630252,0.12616522546854828,0.023687789041947748,0.12304647632809013,0.009295844557134276,0.011952396155232007,0.060707800231861384
C1,no,Insulin,7.142857142857143,0.12702986575670025,0.02286256463716392,0.12406143898355956,0.00890470124236387,0.011093203629355375,0.058077677568729426
C1,no,Insulin,7.563025210084033,0.12774372281698168,0.022183602621701715,0.12490192612337388,0.008587428389665175,0.010422542287285076,0.05594159597391378
C1,no,Insulin,7.983193277310924,0.12833076616544162,0.021625876547556554,0.12559492294869062,0.008330068771708549,0.009895622728206955,0.05420726523610136
C1,no,Insulin,8.403361344537815,0.12881211310677648,0.021168467351735585,0.12616443209224287,0.008121298754931994,0.009479326530455447,0.05279937820769451
C1,no,Insulin,8.823529411764707,0.12920592965598282,0.020793888257108428,0.1266312744044402,0.007951932898758455,0.009148874596847503,0.05165660153145873
C1,no,Insulin,9.243697478991598,0.12952759800489824,0.02048754965907075,0.127013206661844,0.00781452248246697,0.008885522919040092,0.05072905230262119
C1,no,Insulin,9.663865546218487,0.12979000231404772,0.020237313183650015,0.12732519289513555,0.00770302830693897,0.00867495007632064,0.04997619900893407
C1,no,Insulin,10.084033613445378,0.13000385214284685,0.020033110380000062,0.12757973573811243,0.0076125539309035,0.008506113288016398,0.049365126443366276
C1,no,Insulin,10.504201680672269,0.13017799926243548,0.019866615696212273,0.1277872139678042,0.007539129886800145,0.008370431946744356,0.048869118313994236
C1,no,Insulin,10.92436974789916,0.13031972992385274,0.01973096593437951,0.127956199864404,0.007479539926547236,0.008261190436060198,0.04846649876199426
C1,no,Insulin,11.344537815126051,0.13043502495372586,0.019620511859557047,0.12809375357856276,0.007431172212365419,0.00817309852959528,0.048139666053253816
C1,no,Insulin,11.764705882352942,0.13052877962461415,0.019530619231086083,0.12820566696042424,0.007391911118094405,0.008101973391005601,0.04787434742311575
C1,no,Insulin,12.184873949579831,0.13060499641830078,0.019457492727625127,0.12829668263768212,0.007360042465497666,0.008044486820480114,0.04765896235440816
C1,no,Insulin,12.605042016806722,0.13066694062917197,0.01939802580795031,0.12837067965099566,0.007334172627133541,0.007997984228000828,0.04748410816967809
C1,no,Insulin,13.025210084033613,0.13071727339429426,0.019349680885284916,0.1284308245397157,0.0073131703348132855,0.0079603418740227,0.04734215502758601
C1,no,Insulin,13.445378151260504,0.13075816728868925,0.019310388443624624,0.12847969919828098,0.007296122630418283,0.007929854651967863,0.04722691440823077
C1,no,Insulin,13.865546218487395,0.13079139084612576,0.019278458211926766,0.12851941094903105,0.0072822842008388655,0.007905148367289262,0.04713335230349345
C1,no,Insulin,14.285714285714286,0.13081837246716385,0.01925251236803731,0.12855167500898526,0.00727104266361561,0.007885120746154583,0.04705738313248171
C1,no,Insulin,14.705882352941178,0.13084028854060456,0.01923143263626859,0.1285778849542445,0.007261915831392466,0.007868880774427203,0.04699570079245621
C1,no,Insulin,15.126050420168067,0.13085809973298737,0.01921431076525761,0.1285991728781978,0.007254515409287574,0.007855708851883296,0.04694562581189492
C1,no,Insulin,15.546218487394958,0.1308725528419995,0.019200402024177117,0.12861646398821636,0.00724849711614704,0.00784502309538243,0.046904963827571956
C1,no,Insulin,15.966386554621849,0.13088429227931803,0.019189105558854596,0.12863050684041888,0.007243612403345838,0.00783635296966176,0.046871949995702156
C1,no,Insulin,16.386554621848738,0.13089382657726342,0.01917993130046932,0.12864191104001502,0.007239647260996708,0.007829317395121453,0.04684514566145816
C1,no,Insulin,16.80672268907563,0.13090156875259193,0.019172480733600908,0.12865117223561645,0.00723642781662033,0.007823607484565133,0.04682338223840496
C1,no,Insulin,17.22689075630252,0.130907855777241,0.019166430200666728,0.12865869293154888,0.007233813885633686,0.00781897302777846,0.046805711553146716
C1,no,Insulin,17.647058823529413,0.1309129613578421,0.01916151647269346,0.12866480044704998,0.007231691425346665,0.007815210962633682,0.04679136301227064
C1,no,Insulin,18.067226890756302,0.1309171078605329,0.01915752562879235,0.12866976076536008,0.00722996780535341,0.007812156556465682,0.04677971074776568
C1,no,Insulin,18.487394957983195,0.13092047468226492,0.019154284800529633,0.1286737887813825,0.007228568143973211,0.0078096769463327255,0.04677024928755655
C1,no,Insulin,18.907563025210084,0.13092320731922288,0.019151654031111527,0.12867705848554592,0.007227431954882718,0.007807664639812136,0.0467625695073544
C1,no,Insulin,19.327731092436974,0.13092542646015287,0.019149517828337664,0.1286797134950626,0.007226509553873055,0.0078060309026067205,0.046756333829206354
