,,,Slide ID,c,e,h,a,g,b,d,f
,,,Antibody Name,c,e,h,a,g,b,d,f
,,,HUGO ID,c,e,h,a,g,b,d,f
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5805636013868755,0.858503467379002,0.2739931041374033,0.37131268567628706,0.44689134773334416,0.261483459225897,0.26488221860509953,0.23956591177285325
C1,no,Insulin,0.42016806722689076,0.439109489138053,0.6207630279753548,0.12963111936590344,0.31808845851277634,0.38605159407802303,0.24493925002636402,0.2998047869988764,0.27602691457407036
C1,no,Insulin,0.8403361344537815,0.35546063101472936,0.4672170023498363,0.07852361068199698,0.29271759704237116,0.3546225342882033,0.22875588091956692,0.3005016751341547,0.2662111335966559
C1,no,Insulin,1.2605042016806722,0.3029695034851395,0.36815492160410673,0.058354189538892175,0.2731064127274644,0.3330259425541038,0.21229927107491012,0.2864188010058329,0.2449539390284116
C1,no,Insulin,1.680672268907563,0.2683417852282342,0.3040551633280295,0.04888103618326021,0.256189182289791,0.3153705561703296,0.19692607649261384,0.2677547887424778,0.22395860652174113
C1,no,Insulin,2.100840336134454,0.24469557183208812,0.2623225023122525,0.04346276898253618,0.2422658082722185,0.30052830660471785,0.18378240391209694,0.24949526535421004,0.20661677292341515
C1,no,Insulin,2.5210084033613445,0.22823157367806998,0.23493430080154537,0.03986788815659078,0.23146742553666363,0.2884187733274104,0.17328259038724889,0.23373645203639307,0.19335448828260354
C1,no,Insulin,2.9411764705882355,0.21667274455879643,0.2168058739010637,0.037294019320271383,0.22345861393940153,0.27891990785514587,0.16529194303197098,0.22105045109331128,0.183623834103629
C1,no,Insulin,3.361344537815126,0.2085446157604611,0.2047088529170167,0.03540265537807909,0.21769559801481117,0.27172183941153805,0.15941413688246264,0.21127882671169096,0.1766585593707879
C1,no,Insulin,3.7815126050420167,0.20283896973175972,0.1965794097163038,0.03401057325316811,0.21362914255747856,0.2664140382388093,0.15519145452518873,0.203974299926457,0.171748749479427
C1,no,Insulin,4.201680672268908,0.19884616501820257,0.19108488631892773,0.03299385038231925,0.21079497175727854,0.26258017495918073,0.1522067334181356,0.198628561148732,0.16832115073915085
