,,,Slide ID,b,h,e,d,a,c,f,i,g
,,,Antibody Name,b,h,e,d,a,c,f,i,g
,,,HUGO ID,b,h,e,d,a,c,f,i,g
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.14417475817448877,0.7984481141459745,0.9937488199017085,0.4807457461188167,0.9861015907943813,0.9329938406510279,0.4442357213012662,0.09771088566926778,0.9516178432032951
C1,no,Insulin,0.42016806722689076,0.2483807265369561,0.4411695039822573,0.5717055384559834,0.25855333468163383,0.6399233952690846,0.5541234995537784,0.40651232333657866,0.1663382692390248,0.6796918496432726
C1,no,Insulin,0.8403361344537815,0.27248999754497627,0.3077437322065154,0.33471809597933927,0.1857620599718891,0.4439382812909619,0.36894845974380786,0.36864579109423745,0.19734516617946987,0.5073726991599871
C1,no,Insulin,1.2605042016806722,0.265727456794874,0.2474980355596707,0.20213867773559474,0.16169642231863432,0.3315466567655828,0.2773950991795683,0.3337422572973996,0.20963748636253746,0.39739890032267433
C1,no,Insulin,1.680672268907563,0.24984107513601134,0.21485471257421013,0.1280753047670483,0.1525106389247627,0.26600823980940563,0.2306199249175044,0.3035254992695619,0.2129002805949957,0.3263711452245238
C1,no,Insulin,2.100840336134454,0.23372625637758285,0.19500949909321533,0.08664258342301001,0.1475117522347056,0.22700171121659543,0.2052859312936088,0.27860259008858745,0.2120716571103914,0.279805794077907
C1,no,Insulin,2.5210084033613445,0.2203820644999147,0.1822885268420776,0.06336021322097195,0.14371679260341994,0.20320511047458195,0.19045288742712274,0.2587975047723246,0.20960220441649047,0.24879309914638084
C1,no,Insulin,2.9411764705882355,0.21028011259482327,0.17395078705342815,0.05017404841668209,0.14047971030621226,0.1882720415692798,0.1810337695409333,0.24349128466306688,0.2066885163443376,0.22782906437091865
C1,no,Insulin,3.361344537815126,0.2029712521309193,0.16841254038922188,0.04261942122587608,0.13773265544374338,0.1786204247896544,0.17463625718203682,0.2318970960887939,0.20389629365583442,0.21347150096483822
C1,no,Insulin,3.7815126050420167,0.19779842448257617,0.16468487504588786,0.038224084477883946,0.13548038854194813,0.1722047118016419,0.17008874265201523,0.22323677145228402,0.20146510701602094,0.2035306358417886
C1,no,Insulin,4.201680672268908,0.19416789453408134,0.16213896492865507,0.03561731523066243,0.13369433213288454,0.1678343970603533,0.16677229150523476,0.2168288042097573,0.19946392127698911,0.19658681743497608
