,,,Slide ID,c,d,b,a,e,f
,,,Antibody Name,c,d,b,a,e,f
,,,HUGO ID,c,d,b,a,e,f
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.7919579222719535,0.5724586139063197,0.42046658137538073,0.8087830573550497,0.6296057552591923,0.2219061520598753
C1,no,Insulin,0.42016806722689076,0.5070651354920059,0.4735923068217953,0.271867060054574,0.5087935588736797,0.38893246510079105,0.22116399535193834
C1,no,Insulin,0.8403361344537815,0.35464564341866167,0.40120864152466423,0.1822897655376481,0.32575902162122855,0.28437704012836884,0.19666631180297678
C1,no,Insulin,1.2605042016806722,0.26822862839135386,0.3460230708402436,0.12740690986666037,0.21341194895787594,0.2296014701986858,0.16805735316866108
C1,no,Insulin,1.680672268907563,0.21538114800319677,0.30229549791087856,0.0930698682203105,0.1439200411722748,0.19460250068103346,0.14167024846256016
C1,no,Insulin,2.100840336134454,0.18038772500208952,0.2667098712403038,0.07095332140728113,0.10045857682417583,0.16895040830150865,0.1193170094487579
C1,no,Insulin,2.5210084033613445,0.15558928898255792,0.23736232838491164,0.056204088747872916,0.07287689863386197,0.14889155297668663,0.10117760046790315
C1,no,Insulin,2.9411764705882355,0.13715598372600332,0.21309350403961486,0.04601044543904899,0.05506026136808795,0.13288912922734986,0.08683399910196564
C1,no,Insulin,3.361344537815126,0.12306171224563904,0.1931044503265099,0.038735453858387066,0.04332038587325735,0.12012034657382581,0.07568045372661193
C1,no,Insulin,3.7815126050420167,0.11213315682427455,0.1767617869458034,0.03340804443549393,0.03542149170593312,0.10999722511462491,0.06710042592448165
C1,no,Insulin,4.201680672268908,0.10361338578651645,0.16351399856610327,0.029432937560684495,0.029995976920711674,0.10203078988709038,0.06054243488271349
C1,no,Insulin,4.621848739495799,0.09696537698157943,0.15286442062854746,0.0264290673386246,0.026196262134166995,0.09580094721675864,0.05554622756645184
C1,no,Insulin,5.042016806722689,0.09178343727885638,0.14436766703070852,0.024140792818879507,0.02348820788516192,0.09095204198850765,0.051743771004308124
C1,no,Insulin,5.46218487394958,0.08775118328944297,0.13763212676708378,0.022389103909733202,0.021528605679216637,0.08719024351230999,0.04884865771078689
C1,no,Insulin,5.882352941176471,0.08461899743356423,0.1323213111213541,0.021044314026076916,0.020092251004001107,0.08427804948883928,0.04664168491985627
C1,no,Insulin,6.302521008403361,0.08218963697285675,0.12815214960835364,0.020010181290286977,0.019028164020135893,0.08202657283658732,0.044956596802762004
C1,no,Insulin,6.722689075630252,0.08030769019635185,0.12489075609169101,0.019214166912727378,0.01823300672081453,0.08028730557733237,0.04366782289885276
