,,,Slide ID,a,f,d,e,c,b
,,,Antibody Name,a,f,d,e,c,b
,,,HUGO ID,a,f,d,e,c,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.9324380707128598,0.5763343318710763,0.13137810237132896,0.8354732954093589,0.47622135130387855,0.21792047497105183
C1,no,Insulin,0.42016806722689076,0.6219109964281495,0.2464219592370482,0.15240525591801307,0.5050506076424565,0.29019752351240474,0.17957880704479107
C1,no,Insulin,0.8403361344537815,0.4423541511633658,0.1478145126670352,0.17295872654879457,0.33010508654704157,0.1953397318661549,0.16613401498228975
C1,no,Insulin,1.2605042016806722,0.3385861145647514,0.1212678828888082,0.187726479311356,0.242569226832072,0.1499376210527425,0.16334193448963596
C1,no,Insulin,1.680672268907563,0.2781951057935219,0.11549006493277762,0.19658314974005692,0.20256390057296655,0.13054255805049553,0.1641036036141848
C1,no,Insulin,2.100840336134454,0.24276614853155784,0.1149726629151941,0.2013731729839174,0.1857170923969769,0.12311686260992175,0.1655967816383493
C1,no,Insulin,2.5210084033613445,0.2218482038847007,0.11544019158451584,0.20381767821285116,0.17910283367901236,0.12055795676195624,0.16691834130702
C1,no,Insulin,2.9411764705882355,0.20943918561894628,0.11588805544131475,0.20502399221814513,0.17668291976875045,0.11978385330866997,0.1678810321243805
C1,no,Insulin,3.361344537815126,0.20205197191003646,0.11617132971639899,0.2056073331663597,0.17587373517945648,0.11959887531028535,0.1685231830004533
C1,no,Insulin,3.7815126050420167,0.1976426980768052,0.11632749803291886,0.20588585112035196,0.17564113244662785,0.11958160805699634,0.1689308558325158
C1,no,Insulin,4.201680672268908,0.19500563821124378,0.11640809370060955,0.20601773868802756,0.17559596412390932,0.11959896327758843,0.16918172101229895
C1,no,Insulin,4.621848739495799,0.1934260868726255,0.11644817981951026,0.20607985137769486,0.1756019324565141,0.11961573497743733,0.1693328626877956
C1,no,Insulin,5.042016806722689,0.19247885626427402,0.11646767453028031,0.20610899666221125,0.17561605987412135,0.11962617382345549,0.16942256141205872
C1,no,Insulin,5.46218487394958,0.19191030665768533,0.11647702114316145,0.20612263826618693,0.17562735348712713,0.11963162934316421,0.16947520821466217
C1,no,Insulin,5.882352941176471,0.19156881406444404,0.11648146023187653,0.2061290121779408,0.1756345529677556,0.11963416311269336,0.1695058500449339
C1,no,Insulin,6.302521008403361,0.19136359043357712,0.11648355523819055,0.20613198682176867,0.17563869809144933,0.11963520963335167,0.16952356957351833
C1,no,Insulin,6.722689075630252,0.19124021130567673,0.11648453957719695,0.2061333737206271,0.17564095010407205,0.11963557314389157,0.16953376446086663
C1,no,Insulin,7.142857142857143,0.19116600795512834,0.11648500100913556,0.20613402060448885,0.17564212805538768,0.11963565472097981,0.16953960709723095
C1,no,Insulin,7.563025210084033,0.1911213714436639,0.11648521676134257,0.20613432171192514,0.17564273007062292,0.1196356370268491,0.16954294487952082
C1,no,Insulin,7.983193277310924,0.1910945152435782,0.1164853174831955,0.20613446189542728,0.17564303154262217,0.11963559484093349,0.16954484677714612
C1,no,Insulin,8.403361344537815,0.19107835420699748,0.11648536447584944,0.2061345271800145,0.1756431805830245,0.11963555525689286,0.16954592830165816
C1,no,Insulin,8.823529411764707,0.19106862757922766,0.1164853862752805,0.20613455754027038,0.1756432533447471,0.11963552532083777,0.16954654231611754
C1,no,Insulin,9.243697478991598,0.19106277369274935,0.11648539660137783,0.2061345716757826,0.1756432884254205,0.11963550439767696,0.16954689039621917
C1,no,Insulin,9.663865546218487,0.19105925029690157,0.11648540103903982,0.20613457814099778,0.1756433057555556,0.11963549153099326,0.16954708746148175
C1,no,Insulin,10.084033613445378,0.19105712852282655,0.11648540434242383,0.20613458145256083,0.1756433120655191,0.1196354808442619,0.16954719911844207
C1,no,Insulin,10.504201680672269,0.1910558510822446,0.11648540525302155,0.2061345828872969,0.17564331577662584,0.11963547552301185,0.16954726217018495
C1,no,Insulin,10.92436974789916,0.19105508410964314,0.11648540432118543,0.20613458310081959,0.17564332072678654,0.11963547638771937,0.16954729756610845
C1,no,Insulin,11.344537815126051,0.1910546217898509,0.1164854056001161,0.2061345836967027,0.17564331918473286,0.1196354717048836,0.16954731769537917
C1,no,Insulin,11.764705882352942,0.19105434326758094,0.11648540538063039,0.20613458376089566,0.17564332023625445,0.11963547138522118,0.16954732904310643
C1,no,Insulin,12.184873949579831,0.19105417522246432,0.11648540533955924,0.20613458380677105,0.17564332056473553,0.11963547089472652,0.16954733547123924
C1,no,Insulin,12.605042016806722,0.19105407399746638,0.11648540530208211,0.20613458382280714,0.17564332077810968,0.119635470688253,0.1695473390987326
C1,no,Insulin,13.025210084033613,0.1910540125147821,0.11648540530782323,0.20613458383659883,0.17564332081001124,0.11963547045842021,0.16954734116032713
C1,no,Insulin,13.445378151260504,0.19105397693828377,0.11648540532492249,0.2061345838457635,0.1756433207784957,0.1196354702760257,0.169547342250215
C1,no,Insulin,13.865546218487395,0.19105395584754717,0.11648540533115266,0.20613458384936748,0.17564332076956893,0.11963547019016771,0.169547342851213
C1,no,Insulin,14.285714285714286,0.1910539427681399,0.1164854053191178,0.20613458384768066,0.175643320814033,0.11963547020939932,0.16954734321652798
C1,no,Insulin,14.705882352941178,0.19105393458041767,0.11648540529886138,0.20613458384350883,0.1756433208821344,0.11963547028120004,0.16954734344347736
C1,no,Insulin,15.126050420168067,0.1910539295251974,0.11648540528625206,0.20613458384085595,0.17564332092448373,0.11963547032884038,0.16954734357887832
C1,no,Insulin,15.546218487394958,0.19105392643994126,0.11648540528870532,0.20613458384182543,0.17564332091811277,0.11963547031094952,0.16954734365680213
C1,no,Insulin,15.966386554621849,0.1910539245587688,0.11648540530086209,0.20613458384524208,0.17564332088013038,0.1196354702462009,0.16954734370161112
C1,no,Insulin,16.386554621848738,0.19105392340671448,0.11648540531145533,0.2061345838482096,0.17564332084645706,0.11963547018697963,0.1695473437279004
C1,no,Insulin,16.80672268907563,0.19105392270014,0.11648540531266693,0.2061345838486104,0.17564332084241824,0.11963547017481162,0.16954734374339783
C1,no,Insulin,17.22689075630252,0.19105392226644585,0.11648540530502491,0.20613458384654432,0.17564332086692336,0.11963547021204683,0.16954734375235173
C1,no,Insulin,17.647058823529413,0.19105392185117986,0.11648540530154682,0.20613458384564173,0.17564332087780207,0.11963547022495107,0.1695473437610986
C1,no,Insulin,18.067226890756302,0.19105392147273312,0.1164854053014444,0.20613458384567598,0.17564332087769782,0.11963547021893947,0.1695473437691859
C1,no,Insulin,18.487394957983195,0.1910539212046084,0.11648540530137146,0.20613458384569505,0.17564332087769677,0.11963547021557124,0.16954734377479797
C1,no,Insulin,18.907563025210084,0.19105392104680569,0.11648540530132798,0.20613458384569897,0.17564332087779894,0.11963547021484638,0.1695473437779348
C1,no,Insulin,19.327731092436974,0.191053920999325,0.11648540530131397,0.20613458384568772,0.17564332087800433,0.11963547021676489,0.16954734377859637
C1,no,Insulin,19.747899159663866,0.19105392106216632,0.11648540530132943,0.2061345838456613,0.17564332087831294,0.11963547022132676,0.16954734377678274
C1,no,Insulin,20.168067226890756,0.19105392116812256,0.11648540530135591,0.20613458384563071,0.17564332087863554,0.11963547022657303,0.1695473437740441
C1,no,Insulin,20.58823529411765,0.19105392112576816,0.11648540530134079,0.20613458384562716,0.17564332087871812,0.11963547022692406,0.16954734377479602
C1,no,Insulin,21.008403361344538,0.1910539211112913,0.11648540530133247,0.2061345838456219,0.1756433208787945,0.11963547022751536,0.16954734377497446
C1,no,Insulin,21.42857142857143,0.19105392112469202,0.11648540530133097,0.20613458384561492,0.17564332087886467,0.11963547022834693,0.16954734377457936
C1,no,Insulin,21.84873949579832,0.19105392116597028,0.11648540530133629,0.20613458384560626,0.17564332087892864,0.11963547022941877,0.16954734377361075
C1,no,Insulin,22.26890756302521,0.19105392123512607,0.11648540530134842,0.20613458384559588,0.1756433208789864,0.1196354702307309,0.16954734377206865
C1,no,Insulin,22.689075630252102,0.19105392133215945,0.11648540530136738,0.2061345838455838,0.17564332087903795,0.1196354702322833,0.169547343769953
C1,no,Insulin,23.10924369747899,0.19105392137168234,0.11648540530137214,0.2061345838455662,0.17564332087921042,0.11963547023464051,0.16954734376876598
C1,no,Insulin,23.529411764705884,0.19105392139918312,0.11648540530137419,0.2061345838455653,0.17564332087919482,0.11963547023459958,0.16954734376827538
C1,no,Insulin,23.949579831932773,0.1910539214266839,0.11648540530137623,0.20613458384556438,0.17564332087917922,0.11963547023455864,0.16954734376778477
C1,no,Insulin,24.369747899159663,0.1910539214541847,0.11648540530137827,0.20613458384556346,0.17564332087916362,0.11963547023451772,0.16954734376729416
C1,no,Insulin,24.789915966386555,0.19105392148168548,0.11648540530138031,0.20613458384556255,0.17564332087914802,0.11963547023447679,0.16954734376680355
C1,no,Insulin,25.210084033613445,0.19105392150918626,0.11648540530138235,0.20613458384556163,0.17564332087913243,0.11963547023443585,0.16954734376631295
C1,no,Insulin,25.630252100840337,0.19105392152561107,0.11648540530138356,0.2061345838455611,0.1756433208791232,0.11963547023441194,0.16954734376602063
C1,no,Insulin,26.050420168067227,0.19105392152643078,0.11648540530138357,0.20613458384556108,0.17564332087912296,0.119635470234412,0.16954734376600764
C1,no,Insulin,26.47058823529412,0.19105392152725048,0.1164854053013836,0.20613458384556105,0.1756433208791227,0.11963547023441205,0.16954734376599465
C1,no,Insulin,26.89075630252101,0.19105392152807016,0.11648540530138361,0.20613458384556105,0.17564332087912246,0.11963547023441212,0.16954734376598166
C1,no,Insulin,27.310924369747898,0.19105392152888986,0.11648540530138363,0.20613458384556102,0.17564332087912224,0.11963547023441218,0.16954734376596867
C1,no,Insulin,27.73109243697479,0.19105392152970957,0.11648540530138365,0.206134583845561,0.175643320879122,0.11963547023441223,0.1695473437659557
C1,no,Insulin,28.15126050420168,0.19105392153052927,0.11648540530138367,0.20613458384556096,0.17564332087912174,0.11963547023441229,0.16954734376594272
C1,no,Insulin,28.571428571428573,0.19105392153134898,0.1164854053013837,0.20613458384556094,0.1756433208791215,0.11963547023441234,0.16954734376592973
C1,no,Insulin,28.991596638655462,0.19105392153216866,0.11648540530138371,0.2061345838455609,0.17564332087912124,0.11963547023441241,0.16954734376591674
C1,no,Insulin,29.411764705882355,0.19105392153298836,0.11648540530138372,0.20613458384556088,0.175643320879121,0.11963547023441247,0.16954734376590375
C1,no,Insulin,29.831932773109244,0.19105392153380807,0.11648540530138375,0.20613458384556085,0.17564332087912074,0.11963547023441252,0.16954734376589076
C1,no,Insulin,30.252100840336134,0.19105392153462777,0.11648540530138377,0.20613458384556083,0.17564332087912052,0.11963547023441258,0.16954734376587777
C1,no,Insulin,30.672268907563026,0.19105392153544748,0.1164854053013838,0.2061345838455608,0.17564332087912027,0.11963547023441264,0.16954734376586478
C1,no,Insulin,31.092436974789916,0.19105392153626718,0.11648540530138381,0.20613458384556077,0.17564332087912002,0.1196354702344127,0.1695473437658518
C1,no,Insulin,31.51260504201681,0.19105392153708686,0.11648540530138382,0.20613458384556074,0.17564332087911977,0.11963547023441276,0.1695473437658388
C1,no,Insulin,31.932773109243698,0.19105392153790657,0.11648540530138385,0.20613458384556074,0.17564332087911952,0.11963547023441282,0.1695473437658258
C1,no,Insulin,32.35294117647059,0.19105392153872627,0.11648540530138386,0.20613458384556071,0.17564332087911927,0.11963547023441287,0.16954734376581282
C1,no,Insulin,32.773109243697476,0.19105392153954598,0.11648540530138389,0.2061345838455607,0.17564332087911905,0.11963547023441293,0.16954734376579983
C1,no,Insulin,33.19327731092437,0.19105392154036568,0.1164854053013839,0.20613458384556066,0.1756433208791188,0.11963547023441298,0.16954734376578684
C1,no,Insulin,33.61344537815126,0.19105392154118536,0.11648540530138392,0.20613458384556063,0.17564332087911855,0.11963547023441305,0.16954734376577385
C1,no,Insulin,34.03361344537815,0.19105392154200507,0.11648540530138395,0.2061345838455606,0.1756433208791183,0.11963547023441311,0.16954734376576086
C1,no,Insulin,34.45378151260504,0.19105392154282477,0.11648540530138396,0.20613458384556058,0.17564332087911805,0.11963547023441316,0.1695473437657479
C1,no,Insulin,34.87394957983194,0.19105392154364448,0.11648540530138399,0.20613458384556055,0.1756433208791178,0.11963547023441322,0.1695473437657349
C1,no,Insulin,35.294117647058826,0.19105392154446418,0.116485405301384,0.20613458384556052,0.17564332087911755,0.11963547023441327,0.16954734376572192
C1,no,Insulin,35.714285714285715,0.19105392154528386,0.11648540530138402,0.2061345838455605,0.17564332087911733,0.11963547023441334,0.16954734376570893
C1,no,Insulin,36.134453781512605,0.19105392154610357,0.11648540530138404,0.20613458384556047,0.17564332087911708,0.1196354702344134,0.16954734376569594
C1,no,Insulin,36.554621848739494,0.19105392154692327,0.11648540530138406,0.20613458384556047,0.17564332087911683,0.11963547023441345,0.16954734376568295
C1,no,Insulin,36.97478991596639,0.19105392154774298,0.11648540530138408,0.20613458384556044,0.17564332087911658,0.11963547023441351,0.16954734376566996
C1,no,Insulin,37.39495798319328,0.19105392154856268,0.1164854053013841,0.2061345838455604,0.17564332087911633,0.11963547023441357,0.16954734376565697
C1,no,Insulin,37.81512605042017,0.1910539215493824,0.11648540530138411,0.20613458384556038,0.17564332087911608,0.11963547023441364,0.16954734376564398
C1,no,Insulin,38.23529411764706,0.19105392155020207,0.11648540530138414,0.20613458384556035,0.17564332087911583,0.11963547023441369,0.169547343765631
C1,no,Insulin,38.65546218487395,0.19105392155102177,0.11648540530138415,0.20613458384556033,0.1756433208791156,0.11963547023441375,0.169547343765618
C1,no,Insulin,39.075630252100844,0.19105392155184148,0.11648540530138418,0.2061345838455603,0.17564332087911536,0.1196354702344138,0.169547343765605
C1,no,Insulin,39.49579831932773,0.19105392155266118,0.1164854053013842,0.20613458384556027,0.1756433208791151,0.11963547023441386,0.16954734376559202
C1,no,Insulin,39.91596638655462,0.1910539215534809,0.11648540530138421,0.20613458384556024,0.17564332087911486,0.11963547023441391,0.16954734376557903
C1,no,Insulin,40.33613445378151,0.19105392155430057,0.11648540530138424,0.20613458384556022,0.1756433208791146,0.11963547023441398,0.16954734376556604
C1,no,Insulin,40.7563025210084,0.19105392155512027,0.11648540530138425,0.2061345838455602,0.17564332087911436,0.11963547023441404,0.16954734376555305
C1,no,Insulin,41.1764705882353,0.19105392155593998,0.11648540530138428,0.20613458384556016,0.17564332087911413,0.11963547023441409,0.1695473437655401
C1,no,Insulin,41.596638655462186,0.19105392155675968,0.11648540530138429,0.20613458384556016,0.17564332087911388,0.11963547023441415,0.1695473437655271
C1,no,Insulin,42.016806722689076,0.1910539215575794,0.1164854053013843,0.20613458384556013,0.17564332087911363,0.1196354702344142,0.1695473437655141
C1,no,Insulin,42.436974789915965,0.19105392155839906,0.11648540530138433,0.2061345838455601,0.17564332087911338,0.11963547023441427,0.16954734376550112
C1,no,Insulin,42.85714285714286,0.19105392155921877,0.11648540530138435,0.20613458384556008,0.17564332087911314,0.11963547023441433,0.16954734376548813
C1,no,Insulin,43.27731092436975,0.19105392156003848,0.11648540530138438,0.20613458384556005,0.17564332087911289,0.11963547023441438,0.16954734376547514
C1,no,Insulin,43.69747899159664,0.19105392156085818,0.11648540530138439,0.20613458384556002,0.17564332087911264,0.11963547023441444,0.16954734376546216
C1,no,Insulin,44.11764705882353,0.1910539215616779,0.1164854053013844,0.20613458384556,0.1756433208791124,0.1196354702344145,0.16954734376544917
C1,no,Insulin,44.53781512605042,0.1910539215624976,0.11648540530138443,0.20613458384555997,0.17564332087911216,0.11963547023441456,0.16954734376543618
C1,no,Insulin,44.957983193277315,0.19105392156331727,0.11648540530138445,0.20613458384555994,0.1756433208791119,0.11963547023441462,0.1695473437654232
C1,no,Insulin,45.378151260504204,0.19105392156413697,0.11648540530138447,0.2061345838455599,0.17564332087911166,0.11963547023441468,0.1695473437654102
C1,no,Insulin,45.79831932773109,0.19105392156495668,0.11648540530138449,0.20613458384555988,0.17564332087911141,0.11963547023441473,0.1695473437653972
C1,no,Insulin,46.21848739495798,0.19105392156577639,0.1164854053013845,0.20613458384555985,0.17564332087911116,0.11963547023441479,0.16954734376538422
C1,no,Insulin,46.63865546218487,0.1910539215665961,0.11648540530138453,0.20613458384555985,0.17564332087911094,0.11963547023441484,0.16954734376537123
C1,no,Insulin,47.05882352941177,0.19105392156741577,0.11648540530138454,0.20613458384555983,0.1756433208791107,0.11963547023441491,0.16954734376535824
C1,no,Insulin,47.47899159663866,0.19105392156823547,0.11648540530138457,0.2061345838455598,0.17564332087911044,0.11963547023441497,0.16954734376534525
C1,no,Insulin,47.89915966386555,0.19105392156905518,0.11648540530138458,0.20613458384555977,0.1756433208791102,0.11963547023441502,0.1695473437653323
C1,no,Insulin,48.319327731092436,0.19105392156987488,0.1164854053013846,0.20613458384555974,0.17564332087910994,0.11963547023441508,0.1695473437653193
C1,no,Insulin,48.739495798319325,0.1910539215706946,0.11648540530138463,0.20613458384555972,0.1756433208791097,0.11963547023441513,0.1695473437653063
C1,no,Insulin,49.15966386554622,0.19105392157151427,0.11648540530138464,0.2061345838455597,0.17564332087910944,0.1196354702344152,0.16954734376529332
C1,no,Insulin,49.57983193277311,0.19105392157233397,0.11648540530138467,0.20613458384555966,0.17564332087910922,0.11963547023441526,0.16954734376528033
C1,no,Insulin,50.0,0.19105392157315368,0.11648540530138468,0.20613458384555963,0.17564332087910897,0.11963547023441531,0.16954734376526734
