,,,Slide ID,e,g,d,b,f,a,c
,,,Antibody Name,e,g,d,b,f,a,c
,,,HUGO ID,e,g,d,b,f,a,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.9701297813525601,0.5434109181311823,0.2739464131158482,0.8054798105179486,0.3670117995096809,0.9277500448762849,0.4122915050413657
C1,no,Insulin,0.5050505050505051,0.43260642079187905,0.24435631650159706,0.22193881547419797,0.37483111420985255,0.30068376778657313,0.4758181138868443,0.2632851151557627
C1,no,Insulin,1.0101010101010102,0.20350205097656004,0.16151341090038704,0.18566006466509097,0.24576661633143682,0.25293782992606234,0.30312613102413016,0.17136105004361227
C1,no,Insulin,1.5151515151515151,0.10588358460869915,0.13797228833290448,0.15737854989025948,0.20719861747511176,0.21670580370008805,0.22777874314268978,0.11773401637653641
C1,no,Insulin,2.0202020202020203,0.06406875325803804,0.12927576006446384,0.13482745478032268,0.19443046029368546,0.18926293184434928,0.18932936308804843,0.08727604737166107
C1,no,Insulin,2.5252525252525255,0.04577642059916669,0.12383371836939197,0.11728760423209933,0.18837817753175812,0.16906139634893477,0.16713625259088066,0.06994659510603707
C1,no,Insulin,3.0303030303030303,0.03742707965406882,0.11928659704494116,0.1041072251711783,0.1840416372818875,0.15467940183355353,0.15342412608814684,0.05988713679774575
C1,no,Insulin,3.5353535353535355,0.0333659222738692,0.11546305476533211,0.09449514509164272,0.18046194332396104,0.1447231261731477,0.14469518089929734,0.0538821755843897
C1,no,Insulin,4.040404040404041,0.031234678224824723,0.11244688893821961,0.08764290008056004,0.1775769027469679,0.13796530637985496,0.13906685625396975,0.05019586631697329
C1,no,Insulin,4.545454545454546,0.03003045256213598,0.11020336127824037,0.08283744589934466,0.17537675048597243,0.13343461190158748,0.13541193994088868,0.0478791476693906
C1,no,Insulin,5.050505050505051,0.02930802488465738,0.10860352926662141,0.07950644515191514,0.17377601545299654,0.13041809016716097,0.13302582563882923,0.04639725936737118
C1,no,Insulin,5.555555555555556,0.028856105397085954,0.10749424329685044,0.07721676938854781,0.17264982117825192,0.1284167744228833,0.1314612017447008,0.04543762743511842
C1,no,Insulin,6.0606060606060606,0.0285659007260281,0.10673872688227035,0.07565258488768453,0.17187504348920782,0.1270910706271118,0.13043168408380945,0.04481107448477474
C1,no,Insulin,6.565656565656566,0.028376693255887195,0.106229836946501,0.0745890374768038,0.1713496588457369,0.12621338080463684,0.12975254641791228,0.04439980883356928
C1,no,Insulin,7.070707070707071,0.028252304367287744,0.10588936904742495,0.0738685628540477,0.1709966056054547,0.12563233776794533,0.1293037621985609,0.04412893483633519
C1,no,Insulin,7.575757575757576,0.028170172292034824,0.10566249631960148,0.07338195301427405,0.1707606803010391,0.12524763166065064,0.12900686547387075,0.04395014041925947
C1,no,Insulin,8.080808080808081,0.02811582422324973,0.10551167683104892,0.07305411020548969,0.17060356135319502,0.12499287758758258,0.128810316294192,0.0438319624204185
C1,no,Insulin,8.585858585858587,0.028079822711871743,0.10541155304038807,0.07283369181930663,0.17049913891792876,0.1248241489562002,0.1286801434889058,0.043753779042996425
C1,no,Insulin,9.090909090909092,0.02805596562635383,0.10534513619316953,0.0726857589479368,0.17042982174020965,0.12471237936412398,0.1285939070777262,0.04370202671110788
C1,no,Insulin,9.595959595959597,0.0280401528208191,0.10530109714694706,0.07258662695066467,0.17038383991457426,0.12463833514576944,0.12853677369393932,0.0436677570861426
C1,no,Insulin,10.101010101010102,0.028029673052218557,0.1052719095041158,0.07252028656716503,0.1703533555164247,0.12458927938250314,0.12849891528228857,0.043645060244283364
