,,,Slide ID,i,h,c,a,b,j,g,e,f,d
,,,Antibody Name,i,h,c,a,b,j,g,e,f,d
,,,HUGO ID,i,h,c,a,b,j,g,e,f,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.4819609331079713,0.6130541595927729,0.576224312661084,0.7114761710231389,0.39974547683103145,0.8962902571245551,0.5164647707375445,0.57064954778027,0.24806019888884356,0.13036642330977954
C1,no,Insulin,0.5050505050505051,0.3171405746310044,0.24611317942258082,0.3129141414948723,0.32935622953415894,0.3348657154272988,0.39894778851495444,0.3033377861182536,0.31207259119925795,0.22016206436206204,0.13635886931948668
C1,no,Insulin,1.0101010101010102,0.22782678734406014,0.11967478121589245,0.23677616587571307,0.20889299063085895,0.31194108652042424,0.24224663715789288,0.22181685434261902,0.2459181037272969,0.19710389307082093,0.12720199732851079
C1,no,Insulin,1.5151515151515151,0.17653978305767742,0.07419213781221892,0.20422556046180854,0.16379382648142007,0.2993141149520163,0.18873959891581682,0.18500467805714085,0.22340073449828118,0.17722451922312382,0.11490411408194869
C1,no,Insulin,2.0202020202020203,0.14561084509915284,0.05697864409302014,0.18465208301278446,0.1425082161136045,0.2896375026446416,0.1669173450407108,0.16507883878404778,0.21131086143057584,0.16059938762722575,0.10394957294700789
C1,no,Insulin,2.5252525252525255,0.12627839789815454,0.04979822151606681,0.17121261902792273,0.13029404092753621,0.281446127808223,0.15541765520340867,0.15278046101150466,0.2024668204488164,0.14728818575148067,0.09545648909433062
C1,no,Insulin,3.0303030303030303,0.11388228075678751,0.04630545271864807,0.1617529790574471,0.1224657229950341,0.2745596568030803,0.14789851491537728,0.14464036840826808,0.19539982476089462,0.13701847405075582,0.08926992058660735
C1,no,Insulin,3.5353535353535355,0.10578790976125037,0.04429817189627815,0.15512000373520904,0.11720501607367068,0.2689584882829083,0.14242817547846523,0.13909011473441746,0.1897737199763988,0.12931733162735978,0.08489954388882259
C1,no,Insulin,4.040404040404041,0.1004335335367862,0.04299413487174365,0.15050504879876478,0.11361101584766604,0.26455700470337606,0.13832804829519135,0.13526808153971887,0.18540622208478647,0.12366447752845268,0.08186049926309716
C1,no,Insulin,4.545454545454546,0.09685897670250408,0.04209090981925696,0.14731464260581406,0.11114534332862437,0.2612001745369752,0.13526461332716136,0.13263196685727285,0.18210317561655706,0.1195816474502844,0.07976490593150153
C1,no,Insulin,5.050505050505051,0.0944571650070645,0.041450066048536544,0.14511902604167423,0.10945382632922195,0.2587020670976486,0.1330059293928601,0.13081632465786638,0.17966032929536965,0.1166689713738502,0.07832653951317234
C1,no,Insulin,5.555555555555556,0.09283605782411533,0.040993476078518894,0.14361265812699875,0.10829479036651037,0.2568790547869838,0.1313646931604076,0.12956845006202286,0.17788594424440207,0.11461079209690642,0.07734187157749216
C1,no,Insulin,6.0606060606060606,0.09173846505390675,0.04066940377329212,0.14258130413228706,0.10750163804752438,0.2555690231805196,0.13018753537503777,0.12871253211037212,0.1766152901997269,0.11316718203257284,0.07666883590873952
C1,no,Insulin,6.565656565656566,0.0909937218832196,0.04044082016548969,0.14187615705060666,0.10695945137904553,0.25463883708841994,0.1293522893504106,0.12812643353387904,0.1757153824153808,0.11216051146609478,0.07620923832605284
C1,no,Insulin,7.070707070707071,0.09048764506827145,0.04028061024947526,0.14139449114015865,0.10658912119177977,0.2539844492182954,0.12876474704274335,0.12772560665853452,0.17508348536195467,0.1114617476097052,0.07589557493951003
C1,no,Insulin,7.575757575757576,0.09014340119696347,0.040168950983774064,0.1410656889295699,0.1063363238565364,0.2535273578611164,0.1283542578099291,0.1274517435491636,0.17464270568146417,0.11097847428117304,0.0756815888072318
