,,,Slide ID,d,h,c,b,g,f,a,k,i,e,j
,,,Antibody Name,d,h,c,b,g,f,a,k,i,e,j
,,,HUGO ID,d,h,c,b,g,f,a,k,i,e,j
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.17286312935781933,0.8706666650171024,0.8022107832656986,0.09419913541108338,0.5252035975905525,0.6457214458808772,0.31245286845997766,0.8403089171724352,0.3954378418875336,0.03170317760474872,0.7305110159520143
C1,no,Insulin,0.5050505050505051,0.2274334464193167,0.4851056142213619,0.29486951943653955,0.18921034921501992,0.2891873250429786,0.31607819207889865,0.13420877874748982,0.45969999401753103,0.2850899514124363,0.05968455970542725,0.495561666532349
C1,no,Insulin,1.0101010101010102,0.22258921922910274,0.3206033337499439,0.11326891014249713,0.21706086908164407,0.18335146019527246,0.20148270981422087,0.06877539571252812,0.3188213006087579,0.20790245967189325,0.04432426535559821,0.35259063534015794
C1,no,Insulin,1.5151515151515151,0.2102006450989686,0.24778056740129287,0.04720444307095773,0.22107266962904729,0.1314332465557804,0.15889614724722048,0.04176982154910005,0.26238057958603517,0.15625926407385646,0.030276884365623764,0.2682065500003212
C1,no,Insulin,2.0202020202020203,0.2011713094194257,0.21500159022759102,0.02262933956814571,0.21825270026477916,0.1039734461926506,0.14216601153347178,0.029551233015261896,0.23853600172070322,0.12253659545673747,0.02191211715756056,0.21961228232603203
C1,no,Insulin,2.5252525252525255,0.1959894950168482,0.20016914858695634,0.013204998297754162,0.21455086950823463,0.08883871349201221,0.13533528436825154,0.023650640451940725,0.22816174510650697,0.10096487336675393,0.017414630221444738,0.19217299722589148
C1,no,Insulin,3.0303030303030303,0.19330952661202608,0.19345597528587463,0.009447769874166902,0.21161911140377362,0.08039326141784801,0.13247400557259048,0.020679618553903236,0.22358174008404816,0.08743937956682243,0.015061260530242907,0.17691178800281196
C1,no,Insulin,3.5353535353535355,0.19199874859822047,0.1904223689514483,0.007881395714438197,0.20964189938636504,0.07570085798221698,0.13125427141536156,0.019148451527248308,0.22154585751056427,0.07912094732602346,0.013835793613967159,0.16852102772029187
C1,no,Insulin,4.040404040404041,0.19137834493638212,0.18905421377548462,0.007197703659105879,0.20840960759908383,0.07312334503328775,0.13072773650467603,0.018351128205984377,0.22063803469385648,0.07409561743391738,0.01319767848620968,0.1639482605262092
C1,no,Insulin,4.545454545454546,0.1910905831311521,0.1884383069392143,0.006886464861719535,0.2076763379897536,0.0717261333953272,0.1304983180253646,0.01793492952073689,0.22023265289694594,0.07110805957988146,0.012865631871368365,0.1614732467052243
C1,no,Insulin,5.050505050505051,0.190958811175915,0.18816147087370888,0.006739779900032769,0.20725293458037203,0.07097823564953969,0.1303976594241406,0.01771807527127751,0.22005151874667897,0.06935690371139024,0.012693242740328042,0.16014087483290707
C1,no,Insulin,5.555555555555556,0.19089896565945128,0.1880371912231021,0.006668821329421945,0.20701349955487403,0.07058234322460055,0.1303532636723893,0.017605514105440114,0.21997055941758467,0.06834306883425177,0.012604047709703577,0.15942671552752757
C1,no,Insulin,6.0606060606060606,0.1908719314855549,0.18798145190283894,0.006633868933418479,0.2068801331161592,0.070374773274285,0.13033360713846556,0.017547347448235173,0.2199343690460846,0.06776239354383613,0.01255807827954782,0.15904525844418158
C1,no,Insulin,6.565656565656566,0.19085976277172353,0.18795647276495347,0.006616450727910363,0.20680668761428075,0.07026682046076911,0.1303248799948008,0.01751742381531148,0.2199181911191413,0.06743292434555048,0.012534481060116535,0.15884209390060092
C1,no,Insulin,7.070707070707071,0.19085429707665694,0.18794528278865427,0.006607708742199083,0.20676659288275379,0.07021105644203887,0.1303209964968652,0.017502092849201675,0.21991095753454992,0.06724751714439355,0.012522413014521134,0.15873413887535168
C1,no,Insulin,7.575757575757576,0.1908518463066173,0.18794027328767024,0.006603305378486419,0.20674485409874563,0.07018241700105667,0.13031926635465318,0.017494267734652895,0.21990772392174368,0.06714393144378825,0.012516262542933978,0.15867688757267284
C1,no,Insulin,8.080808080808081,0.1908507485058058,0.18793803164463405,0.0066010840416249154,0.20673313250415487,0.07016778125649355,0.13031849489615727,0.01749028716604225,0.21990627857508632,0.06708642972278872,0.012513137851036067,0.15864657653179823
