,,,Slide ID,e,d,b,i,h,f,c,g,a
,,,Antibody Name,e,d,b,i,h,f,c,g,a
,,,HUGO ID,e,d,b,i,h,f,c,g,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.6060527274090158,0.7896051743201674,0.8084166570108017,0.8573857877339474,0.12230586062407334,0.8410536865832158,0.4321894529948994,0.2030108980340659,0.6254839914210585
C1,no,Insulin,0.5050505050505051,0.35934478658562236,0.5235711636213016,0.41628136532180354,0.5106289164485058,0.18082328833820885,0.4017330062675674,0.2602224229408414,0.19567142068865598,0.309193784078783
C1,no,Insulin,1.0101010101010102,0.2674147266698106,0.37644125040414556,0.22786670912518014,0.3494207059604657,0.17609764055201121,0.27289364210068956,0.1642602794748939,0.17407536459408232,0.22053448553660693
C1,no,Insulin,1.5151515151515151,0.23205442925967834,0.28828129707788186,0.1350939856487282,0.2752648131180441,0.16585968369992804,0.2325523300809031,0.10964741980530975,0.15909549034156323,0.18888423081358302
C1,no,Insulin,2.0202020202020203,0.21825867858150186,0.23197201783431676,0.0890317342947913,0.2416154567422149,0.1593539669553931,0.21915783083766344,0.07862492836342394,0.15103460944058406,0.17491008344508727
C1,no,Insulin,2.5252525252525255,0.21288843693569928,0.194853299738173,0.06616350680180277,0.22658304734785933,0.15610792866345302,0.21452986024834556,0.06116896166567194,0.1471828944412516,0.1682051142573775
C1,no,Insulin,3.0303030303030303,0.2108167551349515,0.17037963622533933,0.05485874964445586,0.21996558942392247,0.15465582114674412,0.21289242439314993,0.05145613054584091,0.14546705533181215,0.16498764805861138
C1,no,Insulin,3.5353535353535355,0.21002555669841624,0.15455838520742896,0.049303223608539615,0.2170893266187705,0.15404506147182964,0.21230516624190973,0.04610765287963537,0.1447369565576152,0.1634822115390234
C1,no,Insulin,4.040404040404041,0.20972607781994532,0.14461135133458985,0.04658988584019749,0.21585243641981267,0.15379794554788956,0.21209290748031717,0.043188242059721146,0.14443606081282595,0.1627963812919332
C1,no,Insulin,4.545454545454546,0.20961354987947847,0.1385321950846696,0.045272402312941884,0.21532524139609968,0.15370053151672994,0.21201584069108845,0.041606026085223145,0.14431490508774664,0.1624907686608568
C1,no,Insulin,5.050505050505051,0.2095715133682576,0.1349097588434828,0.04463604374149771,0.2151021986611847,0.1536628254183772,0.21198778363364817,0.04075335595097758,0.14426696973323308,0.1623569072224641
C1,no,Insulin,5.555555555555556,0.20955588320484198,0.13279671258799536,0.04433009793894077,0.21500842487804678,0.15364842303354123,0.21197755388725822,0.0402958812336872,0.1442482607487099,0.16229905002996006
C1,no,Insulin,6.0606060606060606,0.2095500920579168,0.13158544936483313,0.04418359479902485,0.21496920605441963,0.15364297537881258,0.2119738201273576,0.040051284891103885,0.14424103652241793,0.1622743019905999
C1,no,Insulin,6.565656565656566,0.20954795334293147,0.13090087826673918,0.044113687311559256,0.21495287972762617,0.15364093067566012,0.2119724572684442,0.039920861516524,0.14423827172140763,0.16226380504226054
C1,no,Insulin,7.070707070707071,0.2095471644283442,0.13051839774533167,0.044080425294960535,0.2149461070236927,0.15364016709703987,0.21197195889959466,0.03985146086104979,0.14423722044456974,0.16225938202143145
C1,no,Insulin,7.575757575757576,0.2095468745830368,0.1303066793244198,0.04406464121436389,0.21494330841627549,0.15363988352848845,0.21197177724727762,0.03981459167909129,0.14423682345671224,0.162257529139375
C1,no,Insulin,8.080808080808081,0.2095467683560099,0.13019037899734037,0.044057168284067534,0.21494215569710634,0.1536397786403403,0.2119717111390439,0.039795030257369454,0.14423667436050486,0.16225675683647137
C1,no,Insulin,8.585858585858587,0.2095467292437355,0.1301268918659857,0.04405363552063496,0.2149416813512702,0.15363974001262554,0.2119716866825407,0.039784660650957364,0.14423661852986738,0.16225643637795906
C1,no,Insulin,9.090909090909092,0.20954671500248118,0.13009241354125028,0.04405196915490618,0.21494148718608888,0.1536397256658017,0.21197167805496814,0.03977916842318545,0.14423659772096015,0.16225630330737262
C1,no,Insulin,9.595959595959597,0.20954670988147062,0.13007377072516038,0.04405118421838926,0.21494140786610533,0.1536397205327864,0.211971674811164,0.03977626122271073,0.14423659004318698,0.16225624918235843
C1,no,Insulin,10.101010101010102,0.20954670788020802,0.1300637261172088,0.0440508146070853,0.2149413753378881,0.1536397185383688,0.21197167375408887,0.039774722767619654,0.14423658720240756,0.1622562256705375
C1,no,Insulin,10.606060606060607,0.20954670731388306,0.1300583303055928,0.04405064104793108,0.21494136219852217,0.1536397179359228,0.21197167312416446,0.039773909120315476,0.14423658610943976,0.16225621815991706
C1,no,Insulin,11.111111111111112,0.20954670699943606,0.13005543942913633,0.04405055947100232,0.2149413568389497,0.15363971772343776,0.21197167320380714,0.03977347883309272,0.1442365858506567,0.1622562124267428
C1,no,Insulin,11.616161616161618,0.20954670698998026,0.13005389397108413,0.04405052129779183,0.21494135469269376,0.15363971774433566,0.2119716729173269,0.03977325144140433,0.14423658569189715,0.16225621233099052
C1,no,Insulin,12.121212121212121,0.20954670692396393,0.130053069307497,0.04405050343324033,0.21494135382179347,0.15363971761434803,0.2119716729743127,0.03977313127455265,0.14423658561319666,0.16225621147850286
C1,no,Insulin,12.626262626262626,0.20954670690275573,0.1300526300599025,0.04405049506124809,0.2149413534672921,0.15363971757329875,0.21197167297449981,0.03977306778505033,0.14423658558257274,0.162256211248809
C1,no,Insulin,13.131313131313131,0.20954670689501773,0.13005239568718327,0.044050491123420785,0.21494135332344924,0.1536397175589037,0.21197167298667188,0.03977303413989271,0.14423658557344696,0.16225621107665353
C1,no,Insulin,13.636363636363637,0.2095467068926128,0.13005227072371706,0.04405048927627904,0.2149413532652728,0.15363971755452324,0.21197167298889336,0.03977301630796449,0.14423658557008567,0.16225621102220997
C1,no,Insulin,14.141414141414142,0.20954670689212143,0.1300522055428233,0.04405048845206535,0.2149413532443383,0.15363971755372433,0.2119716729901268,0.039773007064680725,0.14423658556920402,0.16225621099741844
C1,no,Insulin,14.646464646464647,0.20954670689209942,0.13005217188827786,0.04405048808751863,0.2149413532369603,0.1536397175537509,0.21197167298970326,0.039773002316423445,0.144236585568953,0.1622562109934661
C1,no,Insulin,15.151515151515152,0.20954670689183114,0.1300521534767724,0.04405048789119785,0.21494135323197483,0.15363971755323483,0.2119716729887512,0.039772999718406206,0.1442365855686085,0.16225621099757714
C1,no,Insulin,15.656565656565657,0.20954670689148136,0.13005214326980397,0.044050487780936155,0.21494135322851302,0.153639717552532,0.21197167298861921,0.03977299827663509,0.14423658556833777,0.16225621099886037
C1,no,Insulin,16.161616161616163,0.209546706891366,0.13005213773438992,0.04405048772661209,0.21494135322708297,0.15363971755230307,0.21197167298936148,0.03977299749697178,0.1442365855682823,0.16225621099393542
C1,no,Insulin,16.666666666666668,0.20954670689145619,0.13005213475669497,0.04405048770165661,0.21494135322675,0.15363971755250014,0.21197167298997904,0.039772997079420676,0.14423658556830354,0.16225621098779341
C1,no,Insulin,17.171717171717173,0.20954670689152874,0.13005213313908803,0.04405048768912688,0.21494135322658176,0.15363971755265868,0.2119716729898076,0.03977299685293411,0.14423658556828214,0.16225621098676934
C1,no,Insulin,17.67676767676768,0.20954670689149682,0.13005213225970264,0.044050487682461,0.2149413532264124,0.15363971755259218,0.21197167298924394,0.03977299672977308,0.1442365855682532,0.1622562109906575
C1,no,Insulin,18.181818181818183,0.20954670689144322,0.13005213168800223,0.04405048767825523,0.21494135322628927,0.1536397175524779,0.21197167298882305,0.03977299664972877,0.14423658556824062,0.16225621099453574
C1,no,Insulin,18.68686868686869,0.20954670689141666,0.130052131139346,0.04405048767411821,0.21494135322615693,0.15363971755242306,0.21197167298833722,0.03977299657286949,0.14423658556820698,0.16225621099738982
C1,no,Insulin,19.191919191919194,0.20954670689140428,0.13005213079527345,0.04405048767164572,0.21494135322608504,0.1536397175523976,0.2119716729881495,0.039772996524716324,0.14423658556819127,0.16225621099845952
C1,no,Insulin,19.6969696969697,0.20954670689140606,0.1300521306557846,0.04405048767083775,0.21494135322607358,0.15363971755240158,0.21197167298825997,0.03977299650526926,0.1442365855681935,0.16225621099774487
C1,no,Insulin,20.202020202020204,0.209546706891422,0.13005213072087946,0.04405048767169432,0.21494135322612254,0.15363971755243494,0.2119716729886686,0.03977299651452829,0.14423658556821362,0.16225621099524587
C1,no,Insulin,20.70707070707071,0.2095467068914337,0.130052130768807,0.04405048767233028,0.21494135322615904,0.15363971755245937,0.21197167298896602,0.03977299652134734,0.14423658556822855,0.16225621099343002
C1,no,Insulin,21.212121212121215,0.20954670689143523,0.13005213072842617,0.04405048767214087,0.2149413532261596,0.1536397175524626,0.21197167298902095,0.03977299651573424,0.14423658556823082,0.16225621099308893
C1,no,Insulin,21.71717171717172,0.20954670689143848,0.1300521307427727,0.04405048767234205,0.21494135322617133,0.15363971755246936,0.21197167298909741,0.03977299651777912,0.14423658556823538,0.16225621099263102
C1,no,Insulin,22.222222222222225,0.20954670689144345,0.1300521308118466,0.04405048767293382,0.2149413532261942,0.1536397175524796,0.2119716729891954,0.03977299652748201,0.1442365855682422,0.16225621099205623
C1,no,Insulin,22.72727272727273,0.2095467068914501,0.13005213093564788,0.044050487673916165,0.21494135322622823,0.15363971755249337,0.21197167298931488,0.03977299654484288,0.14423658556825134,0.1622562109913646
C1,no,Insulin,23.232323232323235,0.20954670689145752,0.13005213098327126,0.04405048767447411,0.21494135322625638,0.15363971755250874,0.21197167298948022,0.039772996551588745,0.1442365855682614,0.1622562109903778
C1,no,Insulin,23.73737373737374,0.20954670689145768,0.13005213102634583,0.044050487674727704,0.21494135322626165,0.15363971755250902,0.21197167298947095,0.03977299655759654,0.14423658556826185,0.16225621099044435
C1,no,Insulin,24.242424242424242,0.20954670689145782,0.13005213106942043,0.0440504876749813,0.21494135322626695,0.1536397175525093,0.2119716729894617,0.039772996563604335,0.14423658556826227,0.16225621099051088
C1,no,Insulin,24.747474747474747,0.209546706891458,0.130052131112495,0.044050487675234895,0.21494135322627225,0.15363971755250957,0.21197167298945244,0.03977299656961213,0.1442365855682627,0.1622562109905774
C1,no,Insulin,25.252525252525253,0.20954670689145818,0.13005213115352252,0.044050487675476376,0.2149413532262773,0.15363971755250982,0.2119716729894436,0.039772996575334396,0.14423658556826308,0.1622562109906407
C1,no,Insulin,25.757575757575758,0.20954670689145818,0.13005213115490039,0.0440504876754832,0.21494135322627742,0.15363971755250985,0.21197167298944347,0.03977299657552615,0.14423658556826308,0.1622562109906417
C1,no,Insulin,26.262626262626263,0.20954670689145818,0.13005213115627826,0.04405048767549004,0.21494135322627753,0.15363971755250985,0.21197167298944333,0.03977299657571791,0.14423658556826308,0.1622562109906427
C1,no,Insulin,26.767676767676768,0.20954670689145818,0.13005213115765613,0.044050487675496866,0.21494135322627766,0.15363971755250985,0.2119716729894432,0.03977299657590966,0.1442365855682631,0.16225621099064366
C1,no,Insulin,27.272727272727273,0.20954670689145818,0.130052131159034,0.0440504876755037,0.21494135322627778,0.15363971755250985,0.21197167298944306,0.039772996576101415,0.1442365855682631,0.16225621099064466
C1,no,Insulin,27.77777777777778,0.20954670689145818,0.13005213116041187,0.04405048767551053,0.2149413532262779,0.15363971755250985,0.21197167298944292,0.03977299657629317,0.1442365855682631,0.16225621099064566
C1,no,Insulin,28.282828282828284,0.2095467068914582,0.13005213116178974,0.044050487675517364,0.21494135322627803,0.15363971755250985,0.21197167298944278,0.03977299657648493,0.14423658556826313,0.16225621099064666
C1,no,Insulin,28.78787878787879,0.2095467068914582,0.1300521311631676,0.04405048767552419,0.21494135322627814,0.15363971755250985,0.21197167298944264,0.039772996576676684,0.14423658556826313,0.16225621099064763
C1,no,Insulin,29.292929292929294,0.2095467068914582,0.13005213116454548,0.044050487675531026,0.21494135322627825,0.15363971755250988,0.2119716729894425,0.03977299657686843,0.14423658556826313,0.16225621099064863
C1,no,Insulin,29.7979797979798,0.2095467068914582,0.13005213116592335,0.044050487675537854,0.2149413532262784,0.15363971755250988,0.2119716729894424,0.03977299657706019,0.14423658556826316,0.16225621099064963
C1,no,Insulin,30.303030303030305,0.2095467068914582,0.13005213116730122,0.04405048767554469,0.2149413532262785,0.15363971755250988,0.21197167298944225,0.039772996577251946,0.14423658556826316,0.1622562109906506
C1,no,Insulin,30.80808080808081,0.2095467068914582,0.13005213116867909,0.04405048767555152,0.2149413532262786,0.15363971755250988,0.2119716729894421,0.0397729965774437,0.14423658556826316,0.1622562109906516
C1,no,Insulin,31.313131313131315,0.2095467068914582,0.13005213117005696,0.04405048767555835,0.21494135322627875,0.15363971755250988,0.21197167298944197,0.03977299657763546,0.1442365855682632,0.1622562109906526
C1,no,Insulin,31.81818181818182,0.20954670689145824,0.13005213117143483,0.04405048767556518,0.21494135322627886,0.15363971755250988,0.21197167298944183,0.03977299657782721,0.1442365855682632,0.1622562109906536
C1,no,Insulin,32.323232323232325,0.20954670689145824,0.1300521311728127,0.044050487675572014,0.21494135322627897,0.1536397175525099,0.2119716729894417,0.039772996578018964,0.1442365855682632,0.16225621099065457
C1,no,Insulin,32.82828282828283,0.20954670689145824,0.13005213117419057,0.04405048767557884,0.2149413532262791,0.1536397175525099,0.21197167298944156,0.03977299657821072,0.14423658556826321,0.16225621099065557
C1,no,Insulin,33.333333333333336,0.20954670689145824,0.13005213117556844,0.04405048767558568,0.21494135322627922,0.1536397175525099,0.21197167298944142,0.03977299657840248,0.14423658556826321,0.16225621099065657
C1,no,Insulin,33.83838383838384,0.20954670689145824,0.1300521311769463,0.044050487675592505,0.21494135322627933,0.1536397175525099,0.21197167298944128,0.03977299657859423,0.14423658556826321,0.16225621099065757
C1,no,Insulin,34.343434343434346,0.20954670689145824,0.13005213117832418,0.04405048767559934,0.21494135322627947,0.1536397175525099,0.21197167298944114,0.03977299657878598,0.14423658556826324,0.16225621099065854
C1,no,Insulin,34.84848484848485,0.20954670689145824,0.13005213117970205,0.04405048767560617,0.21494135322627958,0.1536397175525099,0.21197167298944103,0.03977299657897774,0.14423658556826324,0.16225621099065954
