Networkname,Timepoints,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
Gold_21_15_10_2018_11_45.sif,Namespace(dir='100'),2,385,19,35,0.09523809523809523,0.05405405405405406,0.8775510204081632,3.56739879414298,0.00914457364711902
Gold_24_15_10_2018_11_45.sif,Namespace(dir='100'),1,512,23,40,0.041666666666666664,0.024390243902439025,0.890625,4.064466722361459,-0.023934049450622132
Gold_16_15_10_2018_11_45.sif,Namespace(dir='100'),1,213,14,28,0.06666666666666667,0.034482758620689655,0.8359375,2.5380507343124163,-0.03669331529033035
Gold_13_15_10_2018_11_45.sif,Namespace(dir='100'),1,131,13,24,0.07142857142857142,0.04,0.7810650887573964,1.774058149058149,-0.06475860093678136
Gold_6_15_10_2018_11_45.sif,Namespace(dir='100'),2,21,4,9,0.3333333333333333,0.18181818181818182,0.6388888888888888,0.8511705685618729,0.026967994498529685
Gold_12_15_10_2018_11_45.sif,Namespace(dir='100'),0,112,12,20,0.0,0.0,0.7777777777777778,1.75,-0.1210898699241207
Gold_14_15_10_2018_11_45.sif,Namespace(dir='100'),5,161,9,21,0.35714285714285715,0.19230769230769232,0.8469387755102041,2.6983935742971887,0.1835565412311706
Gold_7_15_10_2018_11_45.sif,Namespace(dir='100'),4,33,3,9,0.5714285714285714,0.3076923076923077,0.7551020408163265,1.429054054054054,0.2830692585361489
Gold_23_15_10_2018_11_45.sif,Namespace(dir='100'),2,468,21,38,0.08695652173913043,0.05,0.888468809073724,3.9682293544897225,0.009146511499786562
Gold_9_15_10_2018_11_45.sif,Namespace(dir='100'),1,55,9,16,0.1,0.058823529411764705,0.691358024691358,1.1089285714285715,-0.10126197291305152
Gold_15_15_10_2018_11_45.sif,Namespace(dir='100'),6,187,13,19,0.3157894736842105,0.24,0.8577777777777778,2.9374190414507773,0.19779378452243568
Gold_8_15_10_2018_11_45.sif,Namespace(dir='100'),3,43,8,10,0.2727272727272727,0.23076923076923078,0.71875,1.2270531400966183,0.07881430286439552
Gold_19_15_10_2018_11_45.sif,Namespace(dir='100'),1,310,17,33,0.05555555555555555,0.029411764705882353,0.8614958448753463,3.1016077170418006,-0.030295426721083152
Gold_22_15_10_2018_11_45.sif,Namespace(dir='100'),0,423,22,39,0.0,0.0,0.8739669421487604,3.4672131147540983,-0.06460150722043943
Gold_10_15_10_2018_11_45.sif,Namespace(dir='100'),3,76,7,14,0.3,0.17647058823529413,0.79,1.8285111512959615,0.11536088808075046
Gold_18_15_10_2018_11_45.sif,Namespace(dir='100'),2,278,14,30,0.125,0.0625,0.8641975308641975,3.1626623376623377,0.02004181938113481
Gold_11_15_10_2018_11_45.sif,Namespace(dir='100'),2,92,9,18,0.18181818181818182,0.1,0.7768595041322314,1.7143420015760442,0.014071950894605837
Gold_20_15_10_2018_11_45.sif,Namespace(dir='100'),0,346,20,34,0.0,0.0,0.865,3.2037037037037037,-0.0699233320232306
Gold_17_15_10_2018_11_45.sif,Namespace(dir='100'),1,244,13,31,0.07142857142857142,0.03125,0.8477508650519031,2.7747680890538033,-0.028256945159014293
