,,,Slide ID,d,h,e,a,f,c,b,g
,,,Antibody Name,d,h,e,a,f,c,b,g
,,,HUGO ID,d,h,e,a,f,c,b,g
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.42850474433890495,0.4536671255554712,0.8923865608436051,0.10595428536167528,0.9106836827601572,0.008295014985439275,0.32001817330371907,0.5646859629099057
C1,no,Insulin,0.5050505050505051,0.2639456706657009,0.1649046942358432,0.4753924686198606,0.08093310087354641,0.4434140251108814,0.09093849696458621,0.22365285788109643,0.3881767396905938
C1,no,Insulin,1.0101010101010102,0.16267881013061844,0.12049099342637297,0.3049069617835373,0.09381764172128826,0.24772268005472065,0.12868329873541806,0.17881491424222826,0.31465516625761497
C1,no,Insulin,1.5151515151515151,0.10296147814778123,0.1162356395247746,0.23097403748111706,0.10487591360565683,0.15656332950484003,0.1366234480017691,0.14642091647096409,0.279512668528954
C1,no,Insulin,2.0202020202020203,0.06787920206086849,0.11458686706348228,0.19450691388738092,0.1087512639062632,0.1092005856722396,0.12942746785818382,0.12091648668041406,0.2595288201782243
C1,no,Insulin,2.5252525252525255,0.046989773342223,0.11074770220832654,0.17311492718437527,0.10741588193688137,0.08204825997229685,0.11635333203217389,0.10119755326168049,0.24569437385294132
C1,no,Insulin,3.0303030303030303,0.03428794822883836,0.10535278208186948,0.1584801735765622,0.1032194252616382,0.06519209011392686,0.10225706883594503,0.08628502402523569,0.23440797174848224
C1,no,Insulin,3.5353535353535355,0.026362989009082516,0.09942510054386774,0.14749485611599053,0.09779712116915043,0.054114718984534675,0.08936640578229148,0.07517626056259732,0.22431565623319458
C1,no,Insulin,4.040404040404041,0.021274658687492974,0.09365979929365169,0.1389220248887577,0.09214702737592821,0.04655544517101606,0.07848675903389332,0.0669715986234282,0.21502081347070634
C1,no,Insulin,4.545454545454546,0.0179104863966938,0.08843976986980878,0.1321718312337259,0.0868289213818586,0.041266235089038164,0.06971367161716444,0.06093016937612312,0.206502614570383
C1,no,Insulin,5.050505050505051,0.015623519494133545,0.08393210903947479,0.1268738232361204,0.08211850465571709,0.03749831375865829,0.06283107138296429,0.0564756185599143,0.19884616037743724
C1,no,Insulin,5.555555555555556,0.014029774549926665,0.08016832121231338,0.1227414000884063,0.0781135533807195,0.0347756213834168,0.05752083606784338,0.05317694635603292,0.19212466321907024
C1,no,Insulin,6.0606060606060606,0.012895464381951617,0.07710213121451835,0.11953584279715533,0.07480645316623277,0.03278435621782358,0.053463527930339136,0.0507199594576959,0.18635899189430732
C1,no,Insulin,6.565656565656566,0.012074092153881959,0.07464920304926141,0.11705862053461248,0.07213340025886734,0.031312833945912555,0.0503797069712146,0.048878582113711856,0.18151526796760106
C1,no,Insulin,7.070707070707071,0.0114710853502574,0.07271271606531152,0.11514835008565918,0.0700065208382755,0.030215771863175513,0.04804116382818506,0.047490657362012446,0.17751839854832754
C1,no,Insulin,7.575757575757576,0.011023602069567725,0.07119836512922324,0.11367675207333265,0.06833345772291376,0.02939191005112109,0.04626855673304867,0.046439414442054766,0.17426938563712363
C1,no,Insulin,8.080808080808081,0.010688758781733077,0.07002193815170332,0.11254348670198855,0.06702809825248116,0.028769601468600126,0.04492403324882914,0.04564007159467761,0.17166050670271263
C1,no,Insulin,8.585858585858587,0.01043659972605633,0.06911211533206016,0.11167081670302989,0.06601543540345958,0.02829740110072802,0.04390293078538832,0.04503044550088966,0.1695862502412527
C1,no,Insulin,9.090909090909092,0.0102457809000886,0.06841054210320205,0.11099880254663362,0.06523288992349636,0.0279378632830929,0.0431262821392643,0.04456447166140364,0.16794997717280083
C1,no,Insulin,9.595959595959597,0.010100843765436171,0.06787055142995436,0.11048130768405644,0.06462971900377916,0.027663401188083286,0.04253464858972102,0.04420772089199974,0.16666716493495326
C1,no,Insulin,10.101010101010102,0.009990445317611625,0.06745538715765168,0.11008282861599145,0.06416556166705907,0.027453486075832447,0.042083295142252446,0.04393427314516826,0.16566629094623295
C1,no,Insulin,10.606060606060607,0.009906173916209777,0.06713639607044608,0.10977603130225068,0.06380873342354525,0.027292717123146168,0.041738507938555734,0.043724506465522506,0.16488829250477227
C1,no,Insulin,11.111111111111112,0.009841739855029974,0.06689136575987943,0.10953985788160073,0.06353456114626259,0.02716946127568742,0.041474818396645595,0.04356349075805048,0.1642852514056884
C1,no,Insulin,11.616161616161618,0.009792413516961392,0.06670317761398113,0.1093580865884526,0.06332396270828135,0.02707490110750243,0.04127296264193411,0.04343985177145009,0.16381884126008803
C1,no,Insulin,12.121212121212121,0.00975461565895046,0.06655864829009621,0.10921821103870176,0.06316221425073174,0.02700231756254491,0.04111831345156094,0.043344886107452386,0.16345869675787925
