,,,Slide ID,e,g,c,b,f,h,a,d,i
,,,Antibody Name,e,g,c,b,f,h,a,d,i
,,,HUGO ID,e,g,c,b,f,h,a,d,i
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.10418262663804578,0.8095885664581363,0.8883960163618506,0.015875209257290024,0.3797719513805513,0.6341367165638297,0.565042996406357,0.5889426560268181,0.8730339934034625
C1,no,Insulin,0.5050505050505051,0.15861452518518374,0.32619566609266526,0.5534139053526214,0.20256578681168358,0.2952771893737113,0.33177752250261094,0.3611276150965041,0.3849409190238091,0.5462693673993887
C1,no,Insulin,1.0101010101010102,0.16226090021061818,0.22072346060155912,0.35794963115340817,0.2513904057493295,0.24217468464941178,0.2395711160050917,0.2611466903116788,0.28645293702715463,0.38446281515702563
C1,no,Insulin,1.5151515151515151,0.1546007664219789,0.19746481054883072,0.23903163023684748,0.25614566467830147,0.20882004536574802,0.20591569031006987,0.20752782338436163,0.23409699953788485,0.30185434188173865
C1,no,Insulin,2.0202020202020203,0.1464846622828878,0.19080803738663105,0.16499406557291568,0.24923790582613362,0.18783128806000804,0.19065654854045552,0.17693732118708838,0.20441491867611156,0.25825084328921255
C1,no,Insulin,2.5252525252525255,0.14024532057929284,0.18740423410668178,0.117990035818421,0.2410635148541881,0.1745780340815847,0.182408748182587,0.158734764483643,0.186844724180365,0.2344349280619689
C1,no,Insulin,3.0303030303030303,0.13590677364987683,0.18494307833169646,0.08759116534349158,0.23440935536149488,0.16617921796015347,0.17747922438929573,0.14760197795271987,0.17614916560750501,0.2209952927758445
C1,no,Insulin,3.5353535353535355,0.13301377811700227,0.18309232340871184,0.06756998992484615,0.2296090726081186,0.16084084711243268,0.17439641634857664,0.14067217459328707,0.16952040628365542,0.21318752204588493
C1,no,Insulin,4.040404040404041,0.13112233177645835,0.18175524610556423,0.054145679229978406,0.22632990360064506,0.1574402434543988,0.17243454149731866,0.13631048807983745,0.1653648406665463,0.20853989044130394
C1,no,Insulin,4.545454545454546,0.12989792310414522,0.18082759443934074,0.04498854190356725,0.2241519952113468,0.1552707765251687,0.17117882965486672,0.13354627156990279,0.1627408143277027,0.20571932103859808
C1,no,Insulin,5.050505050505051,0.12910948767534475,0.18020244386675757,0.038641445004001566,0.22272785686450422,0.15388542040372802,0.17037404934079822,0.13178709292072716,0.16107632600722568,0.2039821172036107
C1,no,Insulin,5.555555555555556,0.12860327758537776,0.17978917297544922,0.03417833146876578,0.2218049370126317,0.1530002755317198,0.16985835764129034,0.13066470873289435,0.16001747745681774,0.20290042307038406
C1,no,Insulin,6.0606060606060606,0.12827881946548012,0.1795193234195012,0.031000476094463342,0.22121000502255497,0.1524345539420371,0.16952808968478675,0.12994754845571724,0.1593426916239898,0.20222156201144956
C1,no,Insulin,6.565656565656566,0.12807106574228316,0.17934449648560263,0.02871373892073742,0.22082772477076193,0.15207292689767876,0.1693166860298958,0.1294889237527919,0.15891217671223806,0.2017931239384618
C1,no,Insulin,7.070707070707071,0.12793812448187664,0.17923179183203208,0.027053897741323423,0.22058257192387992,0.151841750179418,0.1691814281857683,0.12919550049654002,0.15863731300466455,0.20152166750958742
C1,no,Insulin,7.575757575757576,0.12785308698204673,0.17915936437761817,0.025840648505854106,0.2204255457524408,0.15169396190864234,0.16909491276944763,0.12900772993435297,0.15846174643813649,0.20134920104441006
C1,no,Insulin,8.080808080808081,0.12779870538320354,0.17911290890273088,0.02494892780744413,0.2203250421008759,0.15159948302651852,0.1690395879960577,0.12888755997362947,0.15834957292472876,0.20123941861584496
C1,no,Insulin,8.585858585858587,0.1277639330931528,0.17908314969112474,0.024290706143015345,0.22026074481812927,0.15153908421445828,0.1690042129783677,0.12881065305941933,0.15827788953181685,0.2011694451075485
C1,no,Insulin,9.090909090909092,0.127741701398155,0.1790641007990934,0.02380323533241662,0.22021962257312805,0.15150047264235578,0.16898159604411503,0.12876143595996106,0.15823207556197694,0.20112480463563448
C1,no,Insulin,9.595959595959597,0.12772748861517488,0.1790519137509991,0.02344131402940097,0.2201933274597562,0.15147578979407086,0.1689671370152999,0.1287299417925355,0.15820279341882032,0.20109630833901074
C1,no,Insulin,10.101010101010102,0.12771840256204478,0.17904411904187653,0.023172095841992237,0.22017651507083327,0.15146001094634165,0.16895789356661,0.12870978990261475,0.15818407648459598,0.20107810958768607
C1,no,Insulin,10.606060606060607,0.12771259542136995,0.17903913584837275,0.022971560438912825,0.22016576891542292,0.15144992647808878,0.1689519857747347,0.12869689947958235,0.158172115132974,0.20106648644888026
C1,no,Insulin,11.111111111111112,0.1277088819202111,0.17903594852043284,0.02282201529840617,0.22015889667301752,0.15144347776418962,0.16894820803113864,0.128688649992328,0.15816446651470825,0.20105905709455124
C1,no,Insulin,11.616161616161618,0.1277065084408098,0.17903391116679404,0.02271041272726335,0.22015450416074983,0.15143935619864338,0.16894579336010004,0.1286833738174763,0.15815957830462501,0.20105431052285785
C1,no,Insulin,12.121212121212121,0.12770499131146631,0.1790326085493897,0.022627078633293097,0.2201516963051368,0.1514367215380699,0.16894425018026027,0.12867999881065634,0.15815645351442895,0.20105127684610785
C1,no,Insulin,12.626262626262626,0.12770402140018366,0.17903177539280654,0.022564825438423034,0.22014990125815675,0.15143503738763722,0.16894326372560453,0.12867784031266613,0.15815445624011998,0.2010493382470767
C1,no,Insulin,13.131313131313131,0.12770340083460072,0.17903124373985782,0.02251830513095111,0.220148753053434,0.15143396007302598,0.1689426313734381,0.12867645900899546,0.1581531787708821,0.20104809816523733
C1,no,Insulin,13.636363636363637,0.12770300493713582,0.1790309038099266,0.02248353486302681,0.2201480198806969,0.1514332719335174,0.16894222905288125,0.12867557576262403,0.1581523622989823,0.20104730572667517
C1,no,Insulin,14.141414141414142,0.12770275154575725,0.17903068353472248,0.022457541734387118,0.22014755069967806,0.1514328319040396,0.16894197353143198,0.1286750109486975,0.15815184038319308,0.20104679954125218
C1,no,Insulin,14.646464646464647,0.12770258863571887,0.17903054725957115,0.022438109727555795,0.2201472505139891,0.15143255031967598,0.16894180383592278,0.12867465005554857,0.15815150707710351,0.20104647558349498
C1,no,Insulin,15.151515151515152,0.1277024856921764,0.17903045768734357,0.022423580089955354,0.22014705932000453,0.15143237084633773,0.1689417007066043,0.12867441920444417,0.15815129391342544,0.20104626889733593
C1,no,Insulin,15.656565656565657,0.12770241973573568,0.17903040078394458,0.022412716083089222,0.2201469370308267,0.15143225607401337,0.16894163400438644,0.12867427163613845,0.1581511576975139,0.2010461367630124
C1,no,Insulin,16.161616161616163,0.12770237746155264,0.17903036464935393,0.022404590584120986,0.22014685877344747,0.15143218263759167,0.16894159083155602,0.12867417725516392,0.15815107060421144,0.20104605224007338
C1,no,Insulin,16.666666666666668,0.1277023504374596,0.17903034138559298,0.02239851357179818,0.22014680873753031,0.15143213568716868,0.16894156340825775,0.12867411688796038,0.15815101490902522,0.20104599820153682
C1,no,Insulin,17.171717171717173,0.12770233322081545,0.17903032659180765,0.022393975020222348,0.22014677686836165,0.15143210578427962,0.16894154590794858,0.12867407843709047,0.1581509794419712,0.20104596378625794
C1,no,Insulin,17.67676767676768,0.12770232222475505,0.1790303171565779,0.02239058354267084,0.22014675651665444,0.15143208668855215,0.1689415347130598,0.12867405388033565,0.15815095679519395,0.20104594180969784
C1,no,Insulin,18.181818181818183,0.12770231511422767,0.17903031108290304,0.022388042438024294,0.22014674335928056,0.15143207434331868,0.1689415274434151,0.12867403800584848,0.158150942157804,0.20104592760290088
C1,no,Insulin,18.68686868686869,0.127702310593121,0.17903030718816382,0.022386142751971313,0.22014673499012982,0.15143206649082414,0.16894152286246586,0.12867402790317872,0.15815093284358667,0.20104591856560322
C1,no,Insulin,19.191919191919194,0.12770230772737948,0.17903030466156528,0.022384723864411846,0.22014672967956786,0.15143206150788596,0.16894152002287352,0.1286740214842433,0.15815092692572724,0.20104591282914397
C1,no,Insulin,19.6969696969697,0.12770230586827683,0.1790303029750414,0.022383661159355403,0.2201467262291678,0.15143205826990785,0.16894151822509665,0.12867401730635036,0.1581509230735507,0.20104590909978326
C1,no,Insulin,20.202020202020204,0.12770230466002,0.17903030188300817,0.02238286557836559,0.22014672398590582,0.15143205616452127,0.1689415170395202,0.12867401458950367,0.15815092056868882,0.20104590667466427
C1,no,Insulin,20.70707070707071,0.127702303883801,0.1790303012603293,0.022382270128420534,0.22014672255185178,0.1514320548189745,0.1689415161817622,0.1286740128627387,0.158150918977976,0.20104590512714282
C1,no,Insulin,21.212121212121215,0.12770230339487457,0.17903030102077525,0.022381824957764244,0.22014672166531865,0.15143205398835363,0.16894151547950456,0.12867401181687632,0.15815091801700865,0.20104590417714563
