,,,Slide ID,a,c,b,d
,,,Antibody Name,a,c,b,d
,,,HUGO ID,a,c,b,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.7022252644279803,0.7767015167445287,0.7503128720358099,0.36161236599722457
C1,no,Insulin,0.5050505050505051,0.3312062530371065,0.4777112173786308,0.3008239129897464,0.19505519520554745
C1,no,Insulin,1.0101010101010102,0.19533339128516167,0.3008220862838657,0.1266563312695854,0.10830724538357335
C1,no,Insulin,1.5151515151515151,0.13179504745029785,0.19420566520444157,0.05576592089936959,0.06146422323598395
C1,no,Insulin,2.0202020202020203,0.09454542510564287,0.12853387083951723,0.02551884184026841,0.03545826076538389
C1,no,Insulin,2.5252525252525255,0.06949691117262069,0.08709765604479287,0.012059941992883474,0.02071604537833076
C1,no,Insulin,3.0303030303030303,0.05156941183543277,0.060286790747337685,0.005852720161545303,0.012225532272427331
C1,no,Insulin,3.5353535353535355,0.038421335008113316,0.04250214109646513,0.002902980671103246,0.007274880281688015
C1,no,Insulin,4.040404040404041,0.028690086129039245,0.030426682134722414,0.001466062687794453,0.00435951535378718
C1,no,Insulin,4.545454545454546,0.021461326148441012,0.022055122005969457,0.0007515874434934887,0.002628549863923985
C1,no,Insulin,5.050505050505051,0.016081202446209593,0.016146752450280383,0.0003902181592511484,0.0015935881233279658
C1,no,Insulin,5.555555555555556,0.012070974358551475,0.011914517240897439,0.00020480738465295626,0.0009709727588935652
C1,no,Insulin,6.0606060606060606,0.00907738982115946,0.008846296737264473,0.00010851735369896704,0.0005943663393997413
C1,no,Insulin,6.565656565656566,0.006839152356687393,0.006600563721603955,5.7979559069370505e-05,0.00036542249551959634
C1,no,Insulin,7.070707070707071,0.005162798418714162,0.004944388786927719,3.121174557569398e-05,0.00022559983628518343
C1,no,Insulin,7.575757575757576,0.0039050446063262495,0.0037157305059455762,1.6916597214598564e-05,0.00013983446552002441
C1,no,Insulin,8.080808080808081,0.002959623054479555,0.0027999548119827813,9.227331796335859e-06,8.70117384033601e-05
C1,no,Insulin,8.585858585858587,0.002247575847881727,0.0021147965648475073,5.062566044309476e-06,5.434609530278914e-05
