,,,Slide ID,b,d,c,a
,,,Antibody Name,b,d,c,a
,,,HUGO ID,b,d,c,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.9283583194074956,0.5380534025247854,0.5723051909551147,0.6018230621321409
C1,no,Insulin,0.5050505050505051,0.48237035470729545,0.3802012161388049,0.25756637811019434,0.39926653647791804
C1,no,Insulin,1.0101010101010102,0.307067769053461,0.3256539947468434,0.1700164310760093,0.3052732413374241
C1,no,Insulin,1.5151515151515151,0.23841393029709754,0.30820465433942057,0.14552022697606298,0.26274633968424277
C1,no,Insulin,2.0202020202020203,0.21196664542921395,0.303522418329629,0.1389708112961742,0.2440926043242307
C1,no,Insulin,2.5252525252525255,0.20204320689845884,0.30277609776294045,0.1374687866005122,0.23614449962731054
C1,no,Insulin,3.0303030303030303,0.19845154515965838,0.3029960015640712,0.13728199523163553,0.23284680155266713
C1,no,Insulin,3.5353535353535355,0.19721482691411718,0.30331267754493335,0.13736736157679247,0.2315139441649652
C1,no,Insulin,4.040404040404041,0.19681989725185292,0.30353733358343754,0.1374647474283969,0.23099013740372293
C1,no,Insulin,4.545454545454546,0.19670959467535143,0.303668194970916,0.13752885314242036,0.23079086288843226
C1,no,Insulin,5.050505050505051,0.1966875026637501,0.30373732344800236,0.13756446186294835,0.23071807154588025
C1,no,Insulin,5.555555555555556,0.19668856786441574,0.30377169431334156,0.1375826087263884,0.23069292230414126
C1,no,Insulin,6.0606060606060606,0.19669333949535714,0.3037880692768195,0.1375913688401528,0.23068495133119374
C1,no,Insulin,6.565656565656566,0.19669711468191817,0.30379561820899137,0.1375954360000202,0.2306828053309722
C1,no,Insulin,7.070707070707071,0.19669941113719855,0.303799006553505,0.13759726772949926,0.23068244750206537
C1,no,Insulin,7.575757575757576,0.19670065250691193,0.3038004870171224,0.13759806863128218,0.23068254038616093
C1,no,Insulin,8.080808080808081,0.1967012826581629,0.30380112906100043,0.13759841545375645,0.23068268140244882
C1,no,Insulin,8.585858585858587,0.19670158209581504,0.303801392587156,0.13759855724762585,0.2306827859919832
C1,no,Insulin,9.090909090909092,0.19670172294289348,0.30380150069806167,0.13759861508967697,0.23068285026261037
C1,no,Insulin,9.595959595959597,0.19670178564899035,0.3038015436056996,0.13759863781140283,0.23068288450862579
C1,no,Insulin,10.101010101010102,0.19670181278918067,0.3038015605577499,0.1375986466662231,0.2306829013802819
C1,no,Insulin,10.606060606060607,0.1967018247509493,0.30380156745165054,0.1375986502163364,0.23068290959672344
C1,no,Insulin,11.111111111111112,0.19670182986728607,0.3038015701351411,0.13759865156866866,0.2306829134878751
C1,no,Insulin,11.616161616161618,0.19670183211695544,0.30380157122509904,0.13759865210345848,0.23068291534334592
C1,no,Insulin,12.121212121212121,0.1967018331085177,0.303801571677129,0.1375986523195388,0.23068291621673012
C1,no,Insulin,12.626262626262626,0.1967018339863795,0.30380157208032943,0.13759865251246073,0.23068291698461044
C1,no,Insulin,13.131313131313131,0.1967018344422627,0.30380157227698784,0.1375986526043403,0.23068291740480418
C1,no,Insulin,13.636363636363637,0.19670183447079004,0.30380157226435883,0.13759865259381976,0.2306829174730919
C1,no,Insulin,14.141414141414142,0.19670183436568697,0.3038015721917595,0.13759865255479264,0.23068291742251987
C1,no,Insulin,14.646464646464647,0.1967018343998883,0.30380157219793796,0.1375986525559221,0.23068291746963882
C1,no,Insulin,15.151515151515152,0.19670183432213909,0.3038015721551672,0.13759865253399903,0.23068291741509916
C1,no,Insulin,15.656565656565657,0.19670183413243933,0.3038015720634472,0.13759865248902348,0.23068291725890094
C1,no,Insulin,16.161616161616163,0.1967018340690406,0.3038015720238327,0.13759865246798933,0.23068291722281217
C1,no,Insulin,16.666666666666668,0.19670183400584068,0.3038015720010473,0.13759865245808886,0.23068291715780612
C1,no,Insulin,17.171717171717173,0.19670183394264076,0.30380157197826185,0.13759865244818836,0.23068291709280006
C1,no,Insulin,17.67676767676768,0.19670183390539883,0.30380157196490204,0.1375986524424009,0.23068291705436478
C1,no,Insulin,18.181818181818183,0.19670183390353657,0.303801571964389,0.13759865244221928,0.2306829170521443
C1,no,Insulin,18.68686868686869,0.1967018339016743,0.3038015719638759,0.13759865244203764,0.23068291704992386
C1,no,Insulin,19.191919191919194,0.19670183389981202,0.3038015719633628,0.13759865244185598,0.23068291704770338
C1,no,Insulin,19.6969696969697,0.19670183389794976,0.3038015719628498,0.13759865244167435,0.2306829170454829
C1,no,Insulin,20.202020202020204,0.19670183389608747,0.3038015719623367,0.13759865244149272,0.23068291704326244
C1,no,Insulin,20.70707070707071,0.19670183389422521,0.30380157196182367,0.1375986524413111,0.23068291704104196
C1,no,Insulin,21.212121212121215,0.19670183389236295,0.3038015719613106,0.13759865244112943,0.2306829170388215
C1,no,Insulin,21.71717171717172,0.19670183389050067,0.3038015719607975,0.1375986524409478,0.23068291703660102
C1,no,Insulin,22.222222222222225,0.1967018338886384,0.30380157196028446,0.13759865244076616,0.23068291703438054
C1,no,Insulin,22.72727272727273,0.19670183388677612,0.30380157195977137,0.13759865244058453,0.23068291703216007
C1,no,Insulin,23.232323232323235,0.19670183388491386,0.3038015719592583,0.1375986524404029,0.2306829170299396
