,,,Slide ID,d,c,b,a
,,,Antibody Name,d,c,b,a
,,,HUGO ID,d,c,b,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.7734618405618259,0.2167996546605857,0.8913269947813284,0.5446167622017623
C1,no,Insulin,0.5050505050505051,0.4527523384502158,0.16767547911288605,0.4823185967112803,0.1670862776471303
C1,no,Insulin,1.0101010101010102,0.26991540030897937,0.11794929309736617,0.3025005081959095,0.05496982441300629
C1,no,Insulin,1.5151515151515151,0.162822892382596,0.07840653302591455,0.21430244661454334,0.019514074867347304
C1,no,Insulin,2.0202020202020203,0.09920320569370873,0.050497039986858186,0.163875893441804,0.007474250993956719
C1,no,Insulin,2.5252525252525255,0.061098630039153376,0.03203892874336173,0.130381322982008,0.003074293567915945
C1,no,Insulin,3.0303030303030303,0.03811320972176996,0.020255710416214,0.10567977184559975,0.001348147453771931
C1,no,Insulin,3.5353535353535355,0.024130554585768203,0.012862432104413951,0.08642094795726793,0.0006253148913623046
C1,no,Insulin,4.040404040404041,0.015534112328670335,0.008249015496942604,0.07104221523989748,0.00030454750322189656
C1,no,Insulin,4.545454545454546,0.010181319763522078,0.005363100914187772,0.05865889974600977,0.00015480134467210456
C1,no,Insulin,5.050505050505051,0.006799460147145035,0.0035434640928349945,0.04866531295888983,8.174183577976502e-05
C1,no,Insulin,5.555555555555556,0.004628724787581195,0.0023827718519070593,0.04059515020153061,4.46877704248609e-05
C1,no,Insulin,6.0606060606060606,0.003212021271925939,0.0016319957854626223,0.034072108010135306,2.5231902675735872e-05
C1,no,Insulin,6.565656565656566,0.002271585497000946,0.0011388380144042873,0.02878973022337355,1.4687650557950324e-05
C1,no,Insulin,7.070707070707071,0.0016365984136356168,0.0008096319250190892,0.024499698762060127,8.802404463171127e-06
C1,no,Insulin,7.575757575757576,0.0012006189213277093,0.0005862483850720095,0.021002599384067726,5.425281161850105e-06
C1,no,Insulin,8.080808080808081,0.0008963548879257076,0.00043218444212000717,0.018139460576346463,3.4355528976964185e-06
C1,no,Insulin,8.585858585858587,0.0006806329349189986,0.00032421700973184924,0.01578416656160276,2.2332065483325495e-06
C1,no,Insulin,9.090909090909092,0.0005253407564764915,0.0002473668229465235,0.013836906541654868,1.4887715618041067e-06
C1,no,Insulin,9.595959595959597,0.00041190355958642486,0.0001918353855786848,0.012218716885818043,1.0169504416560622e-06
C1,no,Insulin,10.101010101010102,0.00032787115651715143,0.00015112220150409572,0.01086704800735991,7.111184014272261e-07
C1,no,Insulin,10.606060606060607,0.00026478162766188786,0.00012085438901335375,0.009732231620326668,5.085617236375784e-07
C1,no,Insulin,11.111111111111112,0.00021680596537383814,9.805011107518244e-05,0.008774700015145463,3.7161021061881665e-07
C1,no,Insulin,11.616161616161618,0.0001798763327928571,8.064895962857123e-05,0.007962811786135116,2.7717288399099145e-07
C1,no,Insulin,12.121212121212121,0.0001511183647770245,6.72089102647234e-05,0.007271159610607787,2.1081803186546476e-07
C1,no,Insulin,12.626262626262626,0.000128476463660831,5.670815308773628e-05,0.0066792532356809075,1.6335553582154705e-07
C1,no,Insulin,13.131313131313131,0.00011046347300965277,4.84139291681003e-05,0.0061704939195610506,1.2882702570245846e-07
C1,no,Insulin,13.636363636363637,9.599148575463649e-05,4.1794688774832715e-05,0.005731374635071388,1.0330244721561576e-07
C1,no,Insulin,14.141414141414142,8.4256106521396e-05,3.6460539450260774e-05,0.005350854164252935,8.414645249888636e-08
C1,no,Insulin,14.646464646464647,7.465644815363228e-05,3.2122437645545694e-05,0.005019866158954472,6.95638351493883e-08
C1,no,Insulin,15.151515151515152,6.673917002286738e-05,2.856388349366265e-05,0.0047309320084965665,5.8313022597727124e-08
C1,no,Insulin,15.656565656565657,6.015904391813779e-05,2.5621134696804055e-05,0.004477855855881017,4.9523042278155257e-08
C1,no,Insulin,16.161616161616163,5.46507253272008e-05,2.3169153415224028e-05,0.004255481317574796,4.2574302810050494e-08
C1,no,Insulin,16.666666666666668,5.0008507721734616e-05,2.1111601132904374e-05,0.0040594987631358765,3.702030071455957e-08
C1,no,Insulin,17.171717171717173,4.60715692430992e-05,1.9373599357001766e-05,0.0038862908503918907,3.253522413138522e-08
C1,no,Insulin,17.67676767676768,4.271316696725348e-05,1.7896463252884894e-05,0.0037328086538898535,2.8878474160627855e-08
C1,no,Insulin,18.181818181818183,3.983263826692027e-05,1.6633828877041068e-05,0.003596471385344767,2.5870316998575176e-08
C1,no,Insulin,18.68686868686869,3.734946034616469e-05,1.5548793180599286e-05,0.003475086632844658,2.3375130698393608e-08
C1,no,Insulin,19.191919191919194,3.519872509799486e-05,1.4611749933759597e-05,0.0033667836122708334,2.128939960734242e-08
C1,no,Insulin,19.6969696969697,3.332780730360969e-05,1.3798804049168789e-05,0.0032699608009930108,1.9533443679873426e-08
C1,no,Insulin,20.202020202020204,3.169370191770738e-05,1.309051112946733e-05,0.0031832416463077984,1.8045285914703725e-08
C1,no,Insulin,20.70707070707071,3.0261111623546683e-05,1.2470977822573958e-05,0.003105438981775698,1.6776338620596264e-08
C1,no,Insulin,21.212121212121215,2.900082069406488e-05,1.1927098686096536e-05,0.0030355253222146923,1.5688144955720566e-08
C1,no,Insulin,21.71717171717172,2.7888577166928997e-05,1.1448036053868752e-05,0.002972608537251601,1.475005958901505e-08
C1,no,Insulin,22.222222222222225,2.690408329398349e-05,1.1024750108259013e-05,0.002915911519019466,1.393744431469957e-08
C1,no,Insulin,22.72727272727273,2.6030294144251978e-05,1.0649675019934728e-05,0.002864755582393938,1.3230380277691297e-08
C1,no,Insulin,23.232323232323235,2.5252818234047074e-05,1.0316443817812873e-05,0.002818545085887173,1.261260063151613e-08
C1,no,Insulin,23.73737373737374,2.4559430942217085e-05,1.0019662946720046e-05,0.0027767579488979055,1.2070788254472282e-08
C1,no,Insulin,24.242424242424242,2.393974905546739e-05,9.75476617405265e-06,0.0027389335525166833,1.159393983461502e-08
C1,no,Insulin,24.747474747474747,2.3384834146118296e-05,9.517831621288926e-06,0.002704664780548019,1.1172903225024233e-08
C1,no,Insulin,25.252525252525253,2.288697295086392e-05,9.305482892547494e-06,0.002673590904619111,1.080003063810849e-08
C1,no,Insulin,25.757575757575758,2.2439400824121916e-05,9.11476832125344e-06,0.0026453828151034955,1.046879778722429e-08
C1,no,Insulin,26.262626262626263,2.2036750889352514e-05,8.943352275057051e-06,0.0026197730937921587,1.0174080596096884e-08
C1,no,Insulin,26.767676767676768,2.1674220375678138e-05,8.789149223642552e-06,0.0025965159178378654,9.911373882687838e-09
C1,no,Insulin,27.272727272727273,2.134704752305493e-05,8.650098576228306e-06,0.0025753593462744615,9.676155920257418e-09
C1,no,Insulin,27.77777777777778,2.105136021415351e-05,8.524506592875352e-06,0.002556122080088167,9.465416102766952e-09
C1,no,Insulin,28.282828282828284,2.0783677689324194e-05,8.410869211778538e-06,0.002538609500394673,9.276411628312578e-09
C1,no,Insulin,28.78787878787879,2.0541362024337214e-05,8.308068175959262e-06,0.002522653557666363,9.106411972746905e-09
C1,no,Insulin,29.292929292929294,2.0321799767813628e-05,8.214972019768977e-06,0.002508115858146609,8.953347867616042e-09
C1,no,Insulin,29.7979797979798,2.0122807123787742e-05,8.130640447828416e-06,0.0024948738110250343,8.815446404029872e-09
C1,no,Insulin,30.303030303030305,1.9942349320939155e-05,8.054199256019173e-06,0.002482809937480623,8.691075004006258e-09
C1,no,Insulin,30.80808080808081,1.977834327956722e-05,7.984756217448685e-06,0.0024718010276954996,8.578512599602735e-09
C1,no,Insulin,31.313131313131315,1.9629459991110392e-05,7.921748225806157e-06,0.002461761373700559,8.476582779092556e-09
C1,no,Insulin,31.81818181818182,1.9493909499653712e-05,7.864394665858118e-06,0.002452599418176,8.38428080780735e-09
C1,no,Insulin,32.323232323232325,1.937036797823031e-05,7.812127362947451e-06,0.0024442350175268475,8.300757554928344e-09
C1,no,Insulin,32.82828282828283,1.9257914260248277e-05,7.764567880215527e-06,0.002436593698858506,8.225008759620658e-09
C1,no,Insulin,33.333333333333336,1.915557361102137e-05,7.721302767197878e-06,0.002429613824546208,8.156209934809836e-09
C1,no,Insulin,33.83838383838384,1.906239712051722e-05,7.681925148133413e-06,0.0024232394232815637,8.093689197388298e-09
C1,no,Insulin,34.343434343434346,1.8977470934026714e-05,7.646042583096687e-06,0.002417417478718619,8.03681062547798e-09
C1,no,Insulin,34.84848484848485,1.8900022235904292e-05,7.613325757018147e-06,0.0024120983123696303,7.985049036009386e-09
C1,no,Insulin,35.35353535353536,1.8829316799886897e-05,7.583458317055058e-06,0.00240723950074955,7.937965223903693e-09
C1,no,Insulin,35.85858585858586,1.8764788018938194e-05,7.556203577822363e-06,0.002402798218966647,7.895112089262742e-09
C1,no,Insulin,36.36363636363637,1.8705880117925975e-05,7.531325915299138e-06,0.002398738067712943,7.856091645112183e-09
C1,no,Insulin,36.86868686868687,1.8652138337684932e-05,7.508635338482505e-06,0.0023950256199985276,7.820541626165874e-09
C1,no,Insulin,37.37373737373738,1.860307786413256e-05,7.487924712536139e-06,0.002391631245161385,7.788134323551705e-09
C1,no,Insulin,37.87878787878788,1.8558296363905677e-05,7.4690242273286936e-06,0.002388527546686023,7.758575301544964e-09
C1,no,Insulin,38.38383838383839,1.851737064726708e-05,7.451753205523995e-06,0.0023856873519405583,7.731601572354987e-09
C1,no,Insulin,38.88888888888889,1.8479992568061973e-05,7.435981082656902e-06,0.0023830910502476003,7.706983382788676e-09
C1,no,Insulin,39.3939393939394,1.8445864213533686e-05,7.4215810017139186e-06,0.0023807199039584284,7.684519496788817e-09
C1,no,Insulin,39.8989898989899,1.8414656320336122e-05,7.408414218622372e-06,0.0023785498502779585,7.663997003577256e-09
C1,no,Insulin,40.40404040404041,1.8386135946184333e-05,7.396381376789285e-06,0.0023765662581906174,7.645268518893779e-09
C1,no,Insulin,40.909090909090914,1.8360065347099992e-05,7.3853822097384e-06,0.0023747525345353903,7.62817167964525e-09
C1,no,Insulin,41.41414141414142,1.8336225379564612e-05,7.375324861309843e-06,0.0023730927556392706,7.612548115727347e-09
C1,no,Insulin,41.919191919191924,1.8314442889524294e-05,7.366136415047261e-06,0.002371574393262751,7.59828893618751e-09
C1,no,Insulin,42.42424242424243,1.8294515204669635e-05,7.35773069446265e-06,0.002370184757894048,7.585252518162468e-09
C1,no,Insulin,42.929292929292934,1.8276300769242268e-05,7.3500484235708154e-06,0.002368913383513978,7.573342627075831e-09
C1,no,Insulin,43.43434343434344,1.8259654537878425e-05,7.343028347180065e-06,0.0023677503686207312,7.562461321829627e-09
C1,no,Insulin,43.939393939393945,1.824442557152484e-05,7.336606206217338e-06,0.002366685987699858,7.552511488991971e-09
C1,no,Insulin,44.44444444444445,1.8230505962520172e-05,7.330736457842202e-06,0.002365712928152046,7.543419643961579e-09
C1,no,Insulin,44.949494949494955,1.8217773346753933e-05,7.325367451535231e-06,0.0023648225853604367,7.535105658120421e-09
C1,no,Insulin,45.45454545454546,1.820612643015973e-05,7.320456311378777e-06,0.002364008057998831,7.527503786541107e-09
C1,no,Insulin,45.959595959595966,1.8195476276490578e-05,7.315965395865251e-06,0.002363263311538151,7.520556187891706e-09
C1,no,Insulin,46.46464646464647,1.818573002443051e-05,7.31185574096143e-06,0.002362581633789214,7.514199230709376e-09
C1,no,Insulin,46.969696969696976,1.8176815951375683e-05,7.30809706587954e-06,0.0023619579845646273,7.50838688633151e-09
C1,no,Insulin,47.47474747474748,1.816866501146686e-05,7.304660382844126e-06,0.0023613873121474437,7.503073430222519e-09
C1,no,Insulin,47.979797979797986,1.8161212367674787e-05,7.3015179300697234e-06,0.0023608658252677124,7.498217889440145e-09
C1,no,Insulin,48.484848484848484,1.8154397014037903e-05,7.298644177245305e-06,0.0023603889383688134,7.493779630240153e-09
C1,no,Insulin,48.98989898989899,1.814815902671663e-05,7.296013898787427e-06,0.0023599524119382867,7.489719265934116e-09
C1,no,Insulin,49.494949494949495,1.814245962325519e-05,7.293610763859125e-06,0.0023595534901032673,7.486010452484388e-09
C1,no,Insulin,50.0,1.813724884829035e-05,7.291413799392336e-06,0.00235918853121433,7.482619587604986e-09
