,,,Slide ID,b,c,a,d
,,,Antibody Name,b,c,a,d
,,,HUGO ID,b,c,a,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.2086194851741222,0.6254767806682481,0.8927585598138413,0.5790648966911226
C1,no,Insulin,0.5050505050505051,0.2222315865599544,0.2896091045270518,0.47342949737806655,0.3163427703656686
C1,no,Insulin,1.0101010101010102,0.20363683076816289,0.18084405294593686,0.30045425205660836,0.19463890878301354
C1,no,Insulin,1.5151515151515151,0.17933979061584332,0.13723611079988082,0.22662147714200367,0.13749893845925187
C1,no,Insulin,2.0202020202020203,0.15897186393860385,0.11665454653525043,0.19372562978962435,0.11012176110214388
C1,no,Insulin,2.5252525252525255,0.14455269391134198,0.10620064239930133,0.17831119777497179,0.0966518734549873
C1,no,Insulin,3.0303030303030303,0.1352408512073695,0.10078908089589855,0.17076436821503302,0.08986901977226104
C1,no,Insulin,3.5353535353535355,0.1295618591197245,0.09799104760515288,0.16696311186356452,0.08640322978442574
C1,no,Insulin,4.040404040404041,0.12623011644046678,0.096553511293044,0.165021999825286,0.08462077921976531
C1,no,Insulin,4.545454545454546,0.1243293771542974,0.09582001234477788,0.16402683754888087,0.08370313132562494
C1,no,Insulin,5.050505050505051,0.12326779611581207,0.0954480959800844,0.16351734248430883,0.08323169390444557
C1,no,Insulin,5.555555555555556,0.12268475426960528,0.09526058244769894,0.16325750873383438,0.08299038046466116
C1,no,Insulin,6.0606060606060606,0.12236888302944691,0.09516652607301673,0.16312564490019926,0.08286739598677487
C1,no,Insulin,6.565656565656566,0.12219970335154479,0.09511957531092373,0.16305907101483572,0.08280500551729539
C1,no,Insulin,7.070707070707071,0.12210997584437679,0.09509624735600837,0.1630256331839529,0.08277350158929998
C1,no,Insulin,7.575757575757576,0.12206279158701708,0.09508470884527338,0.1630089218652701,0.08275766606390067
C1,no,Insulin,8.080808080808081,0.12203816685817524,0.09507902714696981,0.1630006112411842,0.08274974267867194
C1,no,Insulin,8.585858585858587,0.12202540066941218,0.09507624139992028,0.1629964967311694,0.08274579471012139
C1,no,Insulin,9.090909090909092,0.12201882656723172,0.0950748831238049,0.16299447065715156,0.08274383760992796
C1,no,Insulin,9.595959595959597,0.1220154622751787,0.09507422307418367,0.16299347897250302,0.08274287264326419
C1,no,Insulin,10.101010101010102,0.1220137470829462,0.0950739047329577,0.16299299342028312,0.08274239712301477
C1,no,Insulin,10.606060606060607,0.1220128775828284,0.09507375072835327,0.162992758405012,0.08274216489753065
C1,no,Insulin,11.111111111111112,0.12201243861390652,0.0950736778968259,0.16299264391673587,0.08274205117259395
C1,no,Insulin,11.616161616161618,0.12201221846360255,0.0950736424589341,0.16299258973931305,0.08274199659374205
C1,no,Insulin,12.121212121212121,0.12201210644717932,0.09507362402917784,0.16299256430857792,0.08274197032699114
C1,no,Insulin,12.626262626262626,0.12201205152604315,0.09507361806824566,0.16299255029413337,0.08274195663977889
C1,no,Insulin,13.131313131313131,0.12201202541759575,0.0950736157734802,0.16299254383794803,0.08274195033639303
C1,no,Insulin,13.636363636363637,0.12201201228245409,0.09507361343815292,0.16299254186323914,0.08274194796713591
C1,no,Insulin,14.141414141414142,0.12201200478034571,0.09507361244589008,0.162992540530662,0.08274194650002878
C1,no,Insulin,14.646464646464647,0.1220120013623329,0.09507361207924966,0.16299253992938248,0.08274194584429834
C1,no,Insulin,15.151515151515152,0.1220119992888191,0.095073611868492,0.16299253957485652,0.0827419454550472
C1,no,Insulin,15.656565656565657,0.12201199801615334,0.09507361178765925,0.1629925393697061,0.08274194522992973
C1,no,Insulin,16.161616161616163,0.12201199865231134,0.09507361188398708,0.16299253950088508,0.08274194536866422
C1,no,Insulin,16.666666666666668,0.1220119991305348,0.09507361195563653,0.16299253959932078,0.082741945472753
C1,no,Insulin,17.171717171717173,0.1220119992626358,0.09507361197320192,0.16299253962599763,0.08274194550091372
C1,no,Insulin,17.67676767676768,0.1220119993947368,0.09507361199076732,0.16299253965267446,0.08274194552907443
C1,no,Insulin,18.181818181818183,0.12201199952683779,0.09507361200833271,0.16299253967935132,0.08274194555723514
C1,no,Insulin,18.68686868686869,0.12201199965893879,0.09507361202589812,0.16299253970602817,0.08274194558539585
C1,no,Insulin,19.191919191919194,0.12201199979103977,0.09507361204346351,0.16299253973270503,0.08274194561355656
C1,no,Insulin,19.6969696969697,0.1220119998244849,0.0950736120475591,0.1629925397392349,0.08274194562048964
C1,no,Insulin,20.202020202020204,0.12201199985179507,0.09507361205081706,0.1629925397445119,0.08274194562610267
C1,no,Insulin,20.70707070707071,0.12201199987910526,0.09507361205407502,0.16299253974978892,0.08274194563171569
C1,no,Insulin,21.212121212121215,0.12201199990641544,0.09507361205733299,0.16299253975506595,0.08274194563732871
C1,no,Insulin,21.71717171717172,0.1220119999337256,0.09507361206059095,0.16299253976034297,0.08274194564294172
C1,no,Insulin,22.222222222222225,0.12201199994608225,0.09507361206205657,0.1629925397627225,0.08274194564547467
C1,no,Insulin,22.72727272727273,0.12201199994713899,0.09507361206216777,0.16299253976291242,0.08274194564568009
C1,no,Insulin,23.232323232323235,0.12201199994819573,0.09507361206227899,0.16299253976310232,0.08274194564588552
C1,no,Insulin,23.73737373737374,0.12201199994925245,0.09507361206239019,0.16299253976329225,0.08274194564609094
C1,no,Insulin,24.242424242424242,0.12201199995030919,0.09507361206250141,0.16299253976348219,0.08274194564629636
C1,no,Insulin,24.747474747474747,0.12201199995136593,0.09507361206261261,0.16299253976367212,0.08274194564650178
C1,no,Insulin,25.252525252525253,0.12201199995242265,0.09507361206272383,0.16299253976386202,0.08274194564670721
C1,no,Insulin,25.757575757575758,0.12201199995347939,0.09507361206283503,0.16299253976405195,0.08274194564691263
C1,no,Insulin,26.262626262626263,0.12201199995453613,0.09507361206294625,0.16299253976424188,0.08274194564711805
C1,no,Insulin,26.767676767676768,0.12201199995559286,0.09507361206305745,0.16299253976443182,0.08274194564732347
