,,,Slide ID,b,a,i,h,e,d,c,f,g
,,,Antibody Name,b,a,i,h,e,d,c,f,g
,,,HUGO ID,b,a,i,h,e,d,c,f,g
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.8827130962856966,0.585949698488904,0.8624257570727213,0.1602126520342344,0.7182290848550174,0.6034306272836497,0.6439884110253505,0.6309980759040267,0.8797554167183684
C1,no,Insulin,0.5050505050505051,0.4728130866643872,0.21327062263797947,0.4557350142446399,0.18366601728108572,0.5500779512037158,0.22650364570901535,0.2694494377771552,0.3011452849778661,0.6091985262239491
C1,no,Insulin,1.0101010101010102,0.2912080485525077,0.08779641957174264,0.29647317144282986,0.1534861364727188,0.4495579724640728,0.09670034566062179,0.1450114717809258,0.19074608481174607,0.47236992853710097
C1,no,Insulin,1.5151515151515151,0.19907921205311854,0.04213011853193503,0.23188642826389574,0.11817066791274942,0.3882757444954881,0.04776917513423479,0.09413701841220233,0.1397141670986795,0.399900469072557
C1,no,Insulin,2.0202020202020203,0.14718514434552227,0.023894683771233768,0.20416734359777777,0.0907166386687872,0.3502964055198601,0.02747098810222505,0.06883938251411618,0.11018490970821836,0.35968203443434366
C1,no,Insulin,2.5252525252525255,0.1161928873146878,0.015849231161833042,0.1913151419134876,0.0721049242046902,0.3264567193769927,0.01822561406535458,0.05464487149982984,0.09164961803593957,0.33640317438978284
C1,no,Insulin,3.0303030303030303,0.09720502936529789,0.011949141258456726,0.18481093551259847,0.06022217186695427,0.31135162081459394,0.013648780264545631,0.046226423390823154,0.07986841504095973,0.32246025385086863
C1,no,Insulin,3.5353535353535355,0.08546899597599913,0.009905117718639044,0.1812386208352658,0.05283563110015814,0.3017173997125922,0.01122404271729827,0.04112358806368783,0.07242806887187912,0.3138923871896736
C1,no,Insulin,4.040404040404041,0.07819997646561452,0.008769712022236325,0.17914681011141184,0.048291850128827446,0.29554469006209827,0.009871883491475057,0.03800395715213412,0.06776654941676319,0.3085317413446193
C1,no,Insulin,4.545454545454546,0.0736971073094317,0.008113033557135284,0.17786763114834145,0.04550361587082011,0.2915777495957359,0.009089609288739106,0.03608870833887749,0.0648616493564666,0.30513692068976833
C1,no,Insulin,5.050505050505051,0.0709075400726452,0.007722811995347139,0.17706448617216156,0.043790391533418016,0.2890232148942595,0.00862529146939587,0.03490921312762983,0.06305601067122998,0.30297005847079156
C1,no,Insulin,5.555555555555556,0.0691783202261937,0.007486708440736333,0.1765526887101248,0.042734641158824506,0.28737602436658494,0.008344777452528577,0.034180680144051394,0.0619341578751644,0.3015800737170344
C1,no,Insulin,6.0606060606060606,0.06810511298921633,0.007342100194204106,0.17622398151577848,0.04208182774043944,0.28631298820140216,0.008173207576766074,0.033729354447161866,0.06123653061760562,0.3006856765756866
