,,,Slide ID,c,d,b,a
,,,Antibody Name,c,d,b,a
,,,HUGO ID,c,d,b,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.821920159483563,0.7595578925966021,0.9813261943515887,0.4937541841900762
C1,no,Insulin,0.5050505050505051,0.5306992469819346,0.3794905180877675,0.32017439154972677,0.3971251751555198
C1,no,Insulin,1.0101010101010102,0.36220228348014516,0.21687115425023257,0.14774381699702607,0.3014925711052242
C1,no,Insulin,1.5151515151515151,0.2629126510362312,0.14421685560741881,0.09198231521442791,0.2300388277580474
C1,no,Insulin,2.0202020202020203,0.2031765435641648,0.11001712602851549,0.06771801682709384,0.1822143848525093
C1,no,Insulin,2.5252525252525255,0.16647071590928023,0.09201190304201053,0.05437406214288254,0.1510387752843041
C1,no,Insulin,3.0303030303030303,0.14343435512296923,0.08125268576185331,0.04610599068274069,0.13053567181647932
C1,no,Insulin,3.5353535353535355,0.12866902490378584,0.07422252738321287,0.04071402460993787,0.1168056501271412
C1,no,Insulin,4.040404040404041,0.11901131371309101,0.06941385132027743,0.03711027307596721,0.10745753404296782
C1,no,Insulin,4.545454545454546,0.11257708467446134,0.0660603798503651,0.03466478572416442,0.10101334439319251
C1,no,Insulin,5.050505050505051,0.10822259064221552,0.0637038425852246,0.03298655022611727,0.09653240438084197
C1,no,Insulin,5.555555555555556,0.10523798697401682,0.062042450416526174,0.03182473582380729,0.09339800418865447
C1,no,Insulin,6.0606060606060606,0.10317217361283454,0.06086903812549291,0.031014976755047743,0.09119639320917686
C1,no,Insulin,6.565656565656566,0.10173181181221821,0.06003922298968785,0.03044770195465585,0.08964541693945018
C1,no,Insulin,7.070707070707071,0.10072215945512858,0.05945180385447849,0.0300487884020735,0.08855046462140718
C1,no,Insulin,7.575757575757576,0.10001170542498151,0.05903564417324067,0.029767489100151284,0.08777624940434471
C1,no,Insulin,8.080808080808081,0.09951042726249729,0.058740628903392794,0.029568730107512004,0.08722819405484245
C1,no,Insulin,8.585858585858587,0.099156059235352,0.05853139391712412,0.02942808959913689,0.08683990578099186
C1,no,Insulin,9.090909090909092,0.09890520081309843,0.05838293961947683,0.029328467666265984,0.086564629507209
C1,no,Insulin,9.595959595959597,0.09872745994569229,0.05827758996123753,0.029257853331093986,0.08636939498961703
C1,no,Insulin,10.101010101010102,0.09860144261247285,0.05820281165948284,0.02920777433559912,0.08623088173118369
C1,no,Insulin,10.606060606060607,0.09851206658587607,0.05814973733065759,0.0291722502468848,0.08613260045774628
C1,no,Insulin,11.111111111111112,0.09844863347077729,0.05811205245804674,0.02914703430367778,0.08606282631750754
C1,no,Insulin,11.616161616161618,0.09840361314941179,0.05808529450980122,0.0291291365538779,0.08601329543288427
C1,no,Insulin,12.121212121212121,0.09837165816725453,0.058066296582290886,0.029116432102302924,0.08597813389354592
C1,no,Insulin,12.626262626262626,0.09834897365396039,0.05805280732452891,0.02910741304510692,0.0859531707156796
C1,no,Insulin,13.131313131313131,0.09833286833762453,0.05804322918509635,0.02910100962245969,0.08593544648554076
C1,no,Insulin,13.636363636363637,0.0983214294359607,0.05803642559347303,0.029096461479757384,0.08592285718345727
C1,no,Insulin,14.141414141414142,0.09831330622412389,0.05803159375484246,0.029093231635120256,0.08591391673471842
C1,no,Insulin,14.646464646464647,0.0983075425435455,0.058028165401409364,0.029090939902769803,0.08590757309823442
C1,no,Insulin,15.151515151515152,0.098303448533894,0.0580257300810645,0.029089312057201472,0.0859030670950896
C1,no,Insulin,15.656565656565657,0.0983005406210247,0.05802399991941024,0.029088155893013105,0.08589986639565954
C1,no,Insulin,16.161616161616163,0.09829847634998272,0.05802277145891692,0.02908733519700011,0.0858975941559057
C1,no,Insulin,16.666666666666668,0.09829701225929538,0.0580219006001178,0.029086753019372816,0.08589598270247001
C1,no,Insulin,17.171717171717173,0.09829597257701893,0.058021283552491754,0.029086339333783226,0.08589483885019114
C1,no,Insulin,17.67676767676768,0.09829523346281173,0.05802084640075738,0.029086044986268194,0.08589402611561829
C1,no,Insulin,18.181818181818183,0.09829470857237994,0.058020535142907656,0.029085836177363503,0.08589344852519304
C1,no,Insulin,18.68686868686869,0.09829433651144914,0.05802030936524619,0.029085689126871685,0.08589303755719158
C1,no,Insulin,19.191919191919194,0.09829407201831418,0.05802014718788458,0.029085584704236226,0.0858927452885936
C1,no,Insulin,19.6969696969697,0.09829388344638153,0.05802004007791516,0.029085508694598475,0.0858925393784007
C1,no,Insulin,20.202020202020204,0.09829374941720663,0.05801996756924277,0.029085454297944083,0.08589239357809282
C1,no,Insulin,20.70707070707071,0.09829365462785507,0.058019905693092635,0.029085417546024162,0.08589228777382694
C1,no,Insulin,21.212121212121215,0.09829358719263703,0.05801986404314811,0.029085390977745602,0.08589221316646206
C1,no,Insulin,21.71717171717172,0.09829353927302129,0.05801983521291859,0.029085371975580313,0.08589216034238811
C1,no,Insulin,22.222222222222225,0.09829350502720208,0.05801981479433686,0.02908535836611962,0.08589212263771871
C1,no,Insulin,22.72727272727273,0.09829348085881862,0.058019800517898464,0.029085348740118703,0.08589209606170642
C1,no,Insulin,23.232323232323235,0.09829346378280038,0.058019790563109234,0.029085341917761832,0.08589207731777872
C1,no,Insulin,23.73737373737374,0.09829345167172841,0.05801978355871414,0.029085337070018757,0.0858920640379355
C1,no,Insulin,24.242424242424242,0.09829344307053155,0.058019778240288845,0.029085333682235773,0.0858920545202616
C1,no,Insulin,24.747474747474747,0.09829343617873797,0.058019774024374235,0.02908533096045251,0.08589204690557535
C1,no,Insulin,25.252525252525253,0.0982934309559556,0.05801977088327668,0.02908532888920963,0.08589204114846934
C1,no,Insulin,25.757575757575758,0.09829342765740448,0.05801976883884932,0.029085327590820897,0.08589203749714026
C1,no,Insulin,26.262626262626263,0.09829342514955504,0.05801976728593987,0.029085326603442083,0.08589203472143571
C1,no,Insulin,26.767676767676768,0.09829342319958226,0.05801976610025108,0.02908532583221118,0.0858920325686845
C1,no,Insulin,27.272727272727273,0.09829342224673841,0.058019765516284565,0.02908532545609673,0.08589203151558104
C1,no,Insulin,27.77777777777778,0.09829342039528144,0.05801976438413708,0.029085324724857947,0.08589202946997088
C1,no,Insulin,28.282828282828284,0.09829342070326026,0.05801976457388983,0.02908532484626992,0.08589202981059539
C1,no,Insulin,28.78787878787879,0.09829342101123908,0.05801976476364259,0.029085324967681896,0.0858920301512199
C1,no,Insulin,29.292929292929294,0.09829342121610023,0.05801976488915365,0.02908532504855607,0.0858920303776184
C1,no,Insulin,29.7979797979798,0.09829342131117107,0.05801976494626602,0.029085325086269296,0.08589203048239948
C1,no,Insulin,30.303030303030305,0.09829342140624192,0.05801976500337838,0.029085325123982524,0.08589203058718055
C1,no,Insulin,30.80808080808081,0.09829342150131276,0.05801976506049075,0.029085325161695753,0.08589203069196162
C1,no,Insulin,31.313131313131315,0.09829342159638361,0.058019765117603116,0.02908532519940898,0.0858920307967427
C1,no,Insulin,31.81818181818182,0.09829342169145446,0.058019765174715486,0.02908532523712221,0.08589203090152377
C1,no,Insulin,32.323232323232325,0.09829342178652531,0.05801976523182785,0.029085325274835438,0.08589203100630485
C1,no,Insulin,32.82828282828283,0.09829342182007694,0.05801976525186747,0.02908532528816346,0.08589203104325425
C1,no,Insulin,33.333333333333336,0.09829342184940904,0.058019765269364316,0.029085325299818922,0.08589203107555116
C1,no,Insulin,33.83838383838384,0.09829342187874113,0.058019765286861154,0.029085325311474383,0.08589203110784806
C1,no,Insulin,34.343434343434346,0.09829342190807322,0.05801976530435799,0.029085325323129844,0.08589203114014496
C1,no,Insulin,34.84848484848485,0.09829342193740531,0.058019765321854835,0.029085325334785306,0.08589203117244186
C1,no,Insulin,35.35353535353536,0.0982934219667374,0.05801976533935167,0.029085325346440767,0.08589203120473876
C1,no,Insulin,35.85858585858586,0.0982934219854009,0.05801976535048376,0.029085325353857078,0.08589203122528852
C1,no,Insulin,36.36363636363637,0.09829342198718675,0.05801976535154679,0.029085325354567065,0.08589203122725432
C1,no,Insulin,36.86868686868687,0.0982934219889726,0.05801976535260983,0.02908532535527705,0.08589203122922011
C1,no,Insulin,37.37373737373738,0.09829342199075845,0.05801976535367287,0.029085325355987037,0.08589203123118591
C1,no,Insulin,37.87878787878788,0.0982934219925443,0.05801976535473591,0.02908532535669702,0.0858920312331517
