,,,Slide ID,e,a,f,d,b,c,h,g,i
,,,Antibody Name,e,a,f,d,b,c,h,g,i
,,,HUGO ID,e,a,f,d,b,c,h,g,i
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.6975927715477169,0.2247326845673835,0.7909274185250966,0.3292822698894885,0.4629648628689469,0.12775504804330262,0.38666407709895223,0.5935828473000324,0.27313937043294234
C1,no,Insulin,0.5050505050505051,0.25306806837275453,0.23194242177189844,0.2399941336061699,0.21347517903158642,0.2207124668056997,0.12575514883259262,0.22777174134904554,0.18964477185806894,0.26962275889889764
C1,no,Insulin,1.0101010101010102,0.1373910855439022,0.22590880733605326,0.0992179007352604,0.1740872699167485,0.16227455926725942,0.11923321227846914,0.14181410280628626,0.07852646511279895,0.19190959405357116
C1,no,Insulin,1.5151515151515151,0.10784532304197329,0.22035085432487442,0.06235976056650071,0.1615342942890432,0.14673020943198434,0.11439372401155304,0.09778856850387849,0.04757021227507932,0.13793049630686433
C1,no,Insulin,2.0202020202020203,0.10058472490554662,0.21759219733596558,0.05254659674421885,0.15786214273360588,0.14236185172638266,0.11189143843577241,0.07602597419364207,0.03888975464213874,0.11237718875660871
C1,no,Insulin,2.5252525252525255,0.09885030999012408,0.21651873432787236,0.04990451261006482,0.15682818520171327,0.1411206855418348,0.11080585927240168,0.06549602395289428,0.03644881528367686,0.10239810974920091
C1,no,Insulin,3.0303030303030303,0.09844242865452663,0.21614852951751581,0.04918759494823729,0.15653952293399076,0.14076920645309038,0.11037706703773038,0.06046495101996547,0.035761818704699994,0.09890157785348214
C1,no,Insulin,3.5353535353535355,0.09834756903871124,0.21602906666083554,0.048991921589895064,0.15645894621696696,0.14067010813834419,0.1102167045593487,0.058078928757936195,0.03556845559269191,0.09775282245989168
C1,no,Insulin,4.040404040404041,0.09832576970679185,0.21599203437549655,0.0489382680775969,0.15643644396462716,0.14064225311968914,0.1101587813225173,0.05695227227276255,0.03551404612504314,0.09739045711823299
C1,no,Insulin,4.545454545454546,0.09832083799379886,0.2159808541963245,0.048923502463468264,0.15643016246464442,0.14063444013575824,0.11013835249091042,0.05642164931861628,0.03549874298326275,0.0972792368882738
C1,no,Insulin,5.050505050505051,0.09831974704461219,0.2159775412927597,0.04891942779100078,0.15642841132413401,0.1406322526495416,0.11013127104570086,0.05617212530782326,0.03549444166529443,0.09724575538763562
C1,no,Insulin,5.555555555555556,0.09831951376065899,0.21597657317654717,0.04891830114539664,0.15642792411080925,0.14063164129274305,0.11012884803388236,0.05605489349457877,0.035493233627945556,0.09723581859849921
C1,no,Insulin,6.0606060606060606,0.09831946660786117,0.21597629342667274,0.0489179893684648,0.1564277889610581,0.14063147083654515,0.11012802736700396,0.055999845456933234,0.03549289479999555,0.09723290216571279
C1,no,Insulin,6.565656565656566,0.09831945802612627,0.21597621308206488,0.04891790294121629,0.15642775171023413,0.1406314232220653,0.11012775150263544,0.055974003328599926,0.03549279978498534,0.09723205312435196
C1,no,Insulin,7.070707070707071,0.09831945675930186,0.2159761905284904,0.04891787913479848,0.15642774134091486,0.14063141023245887,0.11012765959893994,0.05596187597529352,0.035492773321142146,0.0972318084965711
C1,no,Insulin,7.575757575757576,0.09831945657680055,0.21597618454048295,0.04891787261411947,0.15642773827223555,0.14063140692676981,0.11012762925922995,0.05595618460243038,0.035492765996777836,0.09723173878175785
C1,no,Insulin,8.080808080808081,0.09831945680446101,0.215976182361014,0.04891787078013218,0.15642773781972313,0.1406314056155995,0.11012761912310863,0.05595351747729084,0.03549276393169453,0.09723171881389003
C1,no,Insulin,8.585858585858587,0.09831945677894165,0.21597618193591736,0.04891787022494095,0.15642773748961414,0.14063140540945826,0.11012761575651382,0.055952264799097075,0.03549276329924485,0.09723171259745947
C1,no,Insulin,9.090909090909092,0.09831945541887395,0.21597618436271881,0.048917869916133436,0.1564277352851547,0.14063140729366558,0.1101276154751012,0.055951678246627404,0.035492762970556035,0.09723171081943295
