,,,Slide ID,d,e,c,h,b,g,f,a
,,,Antibody Name,d,e,c,h,b,g,f,a
,,,HUGO ID,d,e,c,h,b,g,f,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.8041172385878064,0.3670777752326545,0.236909537955441,0.37022463604133893,0.23290774655792734,0.6517249357978349,0.5990236408339289,0.9126348816150801
C1,no,Insulin,0.5050505050505051,0.449688236850738,0.30812060774989447,0.26044280085064536,0.28288800478572257,0.15267720694686546,0.35992190956135195,0.3530240719036408,0.5279648459448513
C1,no,Insulin,1.0101010101010102,0.2833179092133184,0.2641293532003935,0.24841351971915174,0.23335498773665914,0.10510641266921507,0.25308670259941773,0.2716608256229024,0.33912769641776136
C1,no,Insulin,1.5151515151515151,0.20594011417574667,0.2375635622994163,0.23696000742693982,0.20822551205206755,0.07656414428811381,0.2135328233231582,0.24186001263265935,0.24721730718492047
C1,no,Insulin,2.0202020202020203,0.1704170590366583,0.2241569697663558,0.23127039786021675,0.19652028102234786,0.05969652070749563,0.19901006009238473,0.23138138734654348,0.20363869928338477
C1,no,Insulin,2.5252525252525255,0.15439476829462498,0.21845076057761445,0.22941177687132147,0.19156833842607646,0.0500190114462142,0.19388099546468116,0.22842853653783227,0.18377144582875035
C1,no,Insulin,3.0303030303030303,0.14732658212950725,0.21649783322151914,0.22923775621083492,0.18973710402834693,0.04464979005913619,0.19222199812776425,0.22813039456080467,0.17515842523504313
C1,no,Insulin,3.5353535353535355,0.14428915614509705,0.21609248842195333,0.22957014295170278,0.1892075373855641,0.04176496126587225,0.19178147907913712,0.22854576756419814,0.17165802559591653
C1,no,Insulin,4.040404040404041,0.1430232159728044,0.2161990744008321,0.2299366557290037,0.18914856427017518,0.040259130895893336,0.19172584602656403,0.2290035656362562,0.17036007016720983
C1,no,Insulin,4.545454545454546,0.14251459753994755,0.21640422950604557,0.2302065953120324,0.18921976404854773,0.03949299655450037,0.19176553125344772,0.22933550279697665,0.16994969935007087
C1,no,Insulin,5.050505050505051,0.14231957166503045,0.21657614985593412,0.23037608844795476,0.18930130285493252,0.03911199684229679,0.19181186168411798,0.22954088415617024,0.16986469460730597
C1,no,Insulin,5.555555555555556,0.1422495069441787,0.2166918131980065,0.23047338996621616,0.18936175176533207,0.038926386627985976,0.19184482697640098,0.22965731596402128,0.16988049997756818
C1,no,Insulin,6.0606060606060606,0.14222683980443232,0.21676155217557808,0.23052604035011037,0.18939987787255294,0.03883765636634805,0.19186464256407912,0.22971965184526794,0.16991579574887747
C1,no,Insulin,6.565656565656566,0.14222092866493918,0.2168008186714608,0.23055332779452473,0.18942187536861826,0.038795982444688654,0.19187552977793354,0.2297516671876342,0.16994593497319946
C1,no,Insulin,7.070707070707071,0.14222028623592053,0.21682188418019155,0.23056700178684675,0.18943384581863343,0.038776736600153905,0.1918811729820726,0.22976758441065684,0.16996653525493582
C1,no,Insulin,7.575757575757576,0.14222092174645576,0.2168327755063015,0.23057366620051223,0.18944008791104133,0.038767991861279015,0.19188397636745771,0.22977528823047483,0.1699792082774628
C1,no,Insulin,8.080808080808081,0.14222162380749992,0.21683824093901555,0.2305768370566573,0.18944323636502192,0.038764084537853585,0.19188532298172298,0.2297789303231747,0.16998653020378415
C1,no,Insulin,8.585858585858587,0.14222212096744363,0.21684091080484058,0.23057831073117524,0.18944477887592726,0.03876236988383063,0.19188595041546583,0.22978061298671257,0.16999057749769217
C1,no,Insulin,9.090909090909092,0.1422224209252247,0.2168421882431624,0.23057898377992683,0.1894455176321321,0.03876162747343997,0.19188623585816592,0.22978137726369394,0.169992744829871
C1,no,Insulin,9.595959595959597,0.14222258831481752,0.216842786703007,0.23057928459586335,0.18944586393324417,0.03876131301282795,0.19188636257322803,0.22978171691794214,0.16999387759773713
C1,no,Insulin,10.101010101010102,0.1422226765185635,0.21684306459048344,0.23057941838625676,0.18944602456569024,0.038761179863635184,0.19188641820229574,0.22978186720370067,0.16999446019048392
C1,no,Insulin,10.606060606060607,0.14222272191836605,0.2168431896577728,0.23057947543240911,0.18944609667189818,0.03876112695799885,0.19188644144316064,0.2297819309093484,0.16999475446549767
C1,no,Insulin,11.111111111111112,0.14222274483976485,0.21684324548471126,0.2305794993341045,0.18944612899800556,0.03876110639506417,0.19188645110987806,0.2297819573178885,0.16999490266952558
C1,no,Insulin,11.616161616161618,0.1422227554173927,0.21684326755648123,0.23057950785095022,0.18944614182280795,0.03876110000432025,0.19188645445537683,0.2297819665523038,0.1699949723479152
C1,no,Insulin,12.121212121212121,0.14222276024163255,0.21684327681106885,0.23057951123556486,0.18944614701485155,0.03876109785745913,0.19188645558982131,0.22978197025160996,0.16999500569033096
C1,no,Insulin,12.626262626262626,0.14222276242693796,0.2168432812244709,0.23057951295711188,0.1894461493318525,0.038761096755728135,0.19188645604453114,0.2297819722081586,0.16999502214236764
C1,no,Insulin,13.131313131313131,0.1422227634655597,0.21684328315987714,0.23057951364252915,0.1894461504175711,0.038761096315764645,0.19188645626503265,0.22978197295386843,0.16999503015910314
C1,no,Insulin,13.636363636363637,0.14222276400279388,0.21684328393826693,0.230579513802909,0.1894461510072653,0.03876109618729609,0.19188645642513907,0.22978197305601047,0.16999503406277164
C1,no,Insulin,14.141414141414142,0.14222276424873545,0.21684328426553678,0.2305795138558905,0.1894461512612958,0.038761096150217056,0.19188645648984157,0.22978197307927076,0.16999503594551754
C1,no,Insulin,14.646464646464647,0.14222276433583206,0.21684328444745993,0.23057951395056223,0.18944615128353906,0.038761096139554994,0.19188645645657076,0.22978197321437435,0.16999503690153184
C1,no,Insulin,15.151515151515152,0.14222276443268064,0.21684328457918295,0.23057951397704265,0.1894461513696566,0.03876109612994314,0.1918864564711938,0.22978197323622204,0.169995037731262
C1,no,Insulin,15.656565656565657,0.14222276448122925,0.21684328464638009,0.23057951399357515,0.1894461514059719,0.03876109612801663,0.19188645647347896,0.22978197325354266,0.16999503818050127
C1,no,Insulin,16.161616161616163,0.14222276448147791,0.2168432846490513,0.23057951400015975,0.189446151392485,0.03876109613377546,0.19188645646342622,0.22978197326633618,0.16999503824924958
