,,,Slide ID,a,b,e,d,c
,,,Antibody Name,a,b,e,d,c
,,,HUGO ID,a,b,e,d,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.6273308253330002,0.03324057350747234,0.18696706470822666,0.3048121987305702,0.4245056540363029
C1,no,Insulin,0.5050505050505051,0.3264486088543867,0.062285884393981604,0.08232331542655658,0.1522276766541469,0.3049256492811061
C1,no,Insulin,1.0101010101010102,0.2212447080829933,0.06460294483967673,0.04405512913243742,0.0831951151498229,0.22755598338802127
C1,no,Insulin,1.5151515151515151,0.17211330113265952,0.058203898321622045,0.02807049491898446,0.050578561514145214,0.17523693737745552
C1,no,Insulin,2.0202020202020203,0.143230388434658,0.0500548496965376,0.020283250003822324,0.034121036062758875,0.14009318263588622
C1,no,Insulin,2.5252525252525255,0.1242581861028223,0.042628898171819966,0.015942622949971962,0.025177694510220807,0.11663294833328348
C1,no,Insulin,3.0303030303030303,0.111239015440352,0.036606261029587375,0.013288160967077805,0.01997128217660085,0.10089401639869809
C1,no,Insulin,3.5353535353535355,0.10212424544077155,0.031983315495845925,0.011568301285953663,0.016760836554479994,0.09019788416337811
C1,no,Insulin,4.040404040404041,0.09566075671312221,0.028535324718146536,0.010412158930894639,0.014688965545925603,0.08281301878184612
C1,no,Insulin,4.545454545454546,0.09103115395573042,0.02600235105438374,0.009615077756227395,0.01330419106576033,0.077635740812211
C1,no,Insulin,5.050505050505051,0.08768776362112903,0.02415535544155253,0.009055331809743744,0.012353697279886139,0.07395787468845345
C1,no,Insulin,5.555555555555556,0.08525715397400602,0.022812425402663372,0.008656769277196937,0.011688072027334157,0.07131700503505718
C1,no,Insulin,6.0606060606060606,0.08348084343888147,0.02183617676055175,0.008369974086739312,0.011214871556230235,0.06940476984421125
C1,no,Insulin,6.565656565656566,0.08217740088677959,0.021125540205819512,0.008161946670759864,0.010874656767717455,0.06801117882043296
C1,no,Insulin,7.070707070707071,0.0812179627410368,0.020607159821630514,0.008010138490348174,0.010627988732539933,0.06699059259076584
C1,no,Insulin,7.575757575757576,0.08051006709626983,0.020228106519946304,0.007898847624431484,0.010448014443119524,0.06624041384170545
C1,no,Insulin,8.080808080808081,0.07998681159183323,0.019950258272864202,0.007816979928783167,0.010316086875943896,0.0656874577231336
C1,no,Insulin,8.585858585858587,0.07959951973005974,0.01974613084919893,0.007756601803144997,0.01021904110382922,0.06527903270214809
C1,no,Insulin,9.090909090909092,0.07931258350801498,0.019595861524354108,0.0077119871423457255,0.010147469710000679,0.06497690581660953
C1,no,Insulin,9.595959595959597,0.07909983212811565,0.01948504213578793,0.007678972433470218,0.0100945823303568,0.0647531473892137
C1,no,Insulin,10.101010101010102,0.07894198851890272,0.019403190459096574,0.007654514465089949,0.010055443618823467,0.06458727891448544
C1,no,Insulin,10.606060606060607,0.07882484520820066,0.01934266605085227,0.007636382967157165,0.010026451500140796,0.06446425783999751
C1,no,Insulin,11.111111111111112,0.07873787527383212,0.0192978627112537,0.0076229323437036626,0.010004956616340975,0.0643729668167055
C1,no,Insulin,11.616161616161618,0.07867328755083512,0.01926467223362902,0.007612951351696957,0.00998901242827629,0.06430519369648688
C1,no,Insulin,12.121212121212121,0.0786253351565264,0.019240066911855206,0.007605539543616841,0.009977178323283037,0.06425488953917075
C1,no,Insulin,12.626262626262626,0.07858969899165089,0.01922181767864272,0.007600037979625531,0.009968394312645719,0.06421751288867474
C1,no,Insulin,13.131313131313131,0.07856323065463551,0.01920827423697653,0.007595950604622714,0.009961870068163963,0.06418975514540846
C1,no,Insulin,13.636363636363637,0.07854357494691547,0.019198226664632424,0.007592916148685141,0.009957027078557475,0.0641691443306416
C1,no,Insulin,14.141414141414142,0.07852896988726428,0.019190766104656153,0.00759066170455654,0.009953429367752181,0.06415383084837671
C1,no,Insulin,14.646464646464647,0.07851811679915821,0.019185225337836686,0.007588986677982527,0.009950756463420357,0.06414245199397944
C1,no,Insulin,15.151515151515152,0.07851004723397612,0.019181107506014795,0.007587741417853805,0.009948769431140248,0.0641339918802712
C1,no,Insulin,15.656565656565657,0.07850405275429892,0.01917804907449783,0.00758681613171734,0.009947293202437901,0.06412770759342831
C1,no,Insulin,16.161616161616163,0.07849960173311528,0.019175778750147945,0.007586129063021231,0.00994619715696387,0.06412304166964584
C1,no,Insulin,16.666666666666668,0.07849629001816531,0.01917409116411143,0.007585618724693102,0.00994538249616325,0.06411956961871813
C1,no,Insulin,17.171717171717173,0.07849383143574841,0.019172838098488396,0.007585239789765811,0.009944777488545274,0.06411699165860991
C1,no,Insulin,17.67676767676768,0.0784920083851824,0.019171907421720053,0.007584957507137804,0.00994432790460024,0.06411508148341565
C1,no,Insulin,18.181818181818183,0.07849065697252587,0.019171218133038872,0.007584748654014367,0.009943994970235882,0.06411366515811194
C1,no,Insulin,18.68686868686869,0.07848965373827528,0.019170707095867594,0.007584594098783041,0.009943748194922459,0.06411261325658237
C1,no,Insulin,19.191919191919194,0.07848890751836729,0.019170327123509703,0.007584479240280139,0.009943564718463617,0.0641118307351707
C1,no,Insulin,19.6969696969697,0.07848835164354062,0.019170043959050958,0.0075843935841045365,0.009943427969663448,0.06411124791583961
C1,no,Insulin,20.202020202020204,0.07848793725287016,0.019169832760924325,0.007584329643372256,0.00994332596068123,0.06411081352592408
C1,no,Insulin,20.70707070707071,0.07848762826043221,0.019169675249394422,0.007584281939857049,0.009943249877246763,0.06411048964663275
C1,no,Insulin,21.212121212121215,0.07848739779189107,0.019169557778955692,0.00758424636794645,0.00994319313552701,0.0641102480654635
C1,no,Insulin,21.71717171717172,0.07848722752194294,0.019169470995894163,0.007584220089352432,0.009943151216440895,0.06411006958405074
C1,no,Insulin,22.222222222222225,0.07848710089137201,0.019169406461170074,0.007584200549980083,0.009943120044372767,0.06410993684283556
C1,no,Insulin,22.72727272727273,0.0784870063564675,0.01916935829684701,0.007584185973516054,0.009943096781087726,0.06410983773521198
C1,no,Insulin,23.232323232323235,0.07848693586329399,0.019169322375969414,0.007584175099254508,0.009943079430619672,0.06410976383789588
C1,no,Insulin,23.73737373737374,0.07848688312549935,0.01916929550455178,0.007584166965543826,0.009943066451420159,0.06410970855149944
C1,no,Insulin,24.242424242424242,0.07848684376367907,0.019169275449970935,0.007584160896052806,0.009943056764994733,0.06410966728589342
C1,no,Insulin,24.747474747474747,0.07848681434689161,0.01916926045829199,0.007584156356765085,0.009943049523490738,0.06410963644994501
C1,no,Insulin,25.252525252525253,0.07848679229310034,0.019169249217508906,0.007584152952468442,0.009943044093625168,0.06410961333343282
C1,no,Insulin,25.757575757575758,0.07848677546725973,0.019169240641715886,0.007584150355433797,0.009943039951110882,0.06410959569647652
C1,no,Insulin,26.262626262626263,0.07848676298752504,0.019169234281049923,0.007584148429211951,0.009943036878600674,0.06410958261512235
C1,no,Insulin,26.767676767676768,0.07848675322397686,0.019169229305491305,0.007584146922791737,0.009943034475240118,0.0641095723803037
C1,no,Insulin,27.272727272727273,0.07848674603929262,0.01916922564417858,0.007584145814288903,0.00994303270670316,0.06410956484880553
C1,no,Insulin,27.77777777777778,0.07848674048023008,0.019169222811493844,0.007584144956753457,0.009943031338441589,0.06410955902125177
C1,no,Insulin,28.282828282828284,0.07848673676346048,0.019169220917621174,0.007584144383444693,0.009943030423652062,0.06410955512492589
C1,no,Insulin,28.78787878787879,0.07848673387655343,0.0191692194465545,0.007584143938097517,0.009943029713082622,0.0641095520986085
C1,no,Insulin,29.292929292929294,0.07848673147405225,0.01916921822220887,0.007584143567382895,0.009943029121675141,0.06410954958019738
C1,no,Insulin,29.7979797979798,0.07848672999077842,0.019169217466385793,0.007584143338562757,0.009943028756588087,0.06410954802530365
C1,no,Insulin,30.303030303030305,0.07848672871415177,0.019169216815793422,0.0075841431415696195,0.009943028442324793,0.06410954668708822
C1,no,Insulin,30.80808080808081,0.07848672753183714,0.019169216213199194,0.007584142959082259,0.009943028151241417,0.06410954544778188
C1,no,Insulin,31.313131313131315,0.07848672678813778,0.019169215834173605,0.007584142844307058,0.009943027968154222,0.06410954466822068
C1,no,Insulin,31.81818181818182,0.07848672609633024,0.019169215481595638,0.007584142737543626,0.009943027797843484,0.06410954394304746
C1,no,Insulin,32.323232323232325,0.07848672532079193,0.019169215086371878,0.007584142617880208,0.009943027606935948,0.06410954313008176
C1,no,Insulin,32.82828282828283,0.07848672496092764,0.019169214902953226,0.0075841425623346176,0.009943027518335906,0.06410954275286924
C1,no,Insulin,33.333333333333336,0.07848672457901051,0.01916921470832012,0.007584142503404031,0.009943027424321025,0.06410954235252203
C1,no,Insulin,33.83838383838384,0.07848672425201351,0.01916921454167289,0.007584142452945748,0.009943027343824082,0.06410954200974725
C1,no,Insulin,34.343434343434346,0.07848672403911847,0.019169214433151303,0.007584142420076431,0.009943027291401826,0.0641095417865978
C1,no,Insulin,34.84848484848485,0.0784867238480108,0.019169214335741945,0.0075841423905754855,0.009943027244347962,0.06410954158628068
C1,no,Insulin,35.35353535353536,0.07848672367869051,0.019169214249444816,0.007584142364442909,0.009943027202662488,0.0641095414087959
C1,no,Insulin,35.85858585858586,0.07848672353115763,0.019169214174259912,0.007584142341678704,0.009943027166345403,0.06410954125414345
C1,no,Insulin,36.36363636363637,0.07848672340541211,0.01916921411018724,0.007584142322282869,0.009943027135396708,0.06410954112232332
C1,no,Insulin,36.86868686868687,0.07848672330145398,0.0191692140572268,0.007584142306255404,0.009943027109816403,0.06410954101333552
C1,no,Insulin,37.37373737373738,0.07848672321928325,0.019169214015378584,0.00758414229359631,0.009943027089604487,0.06410954092718006
C1,no,Insulin,37.87878787878788,0.07848672314150029,0.019169213975755512,0.0075841422816062265,0.00994302707046643,0.06410954084563202
C1,no,Insulin,38.38383838383839,0.07848672306520843,0.01916921393687806,0.007584142269835763,0.00994302705168728,0.06410954076565731
C1,no,Insulin,38.88888888888889,0.07848672300314165,0.01916921390525027,0.0075841422602604585,0.009943027036410004,0.06410954070059391
C1,no,Insulin,39.3939393939394,0.07848672295529992,0.019169213880872157,0.0075841422528803125,0.009943027024634604,0.06410954065044183
C1,no,Insulin,39.8989898989899,0.07848672292168327,0.01916921386374371,0.007584142247695324,0.009943027016361078,0.06410954061520105
C1,no,Insulin,40.40404040404041,0.07848672290229167,0.01916921385386493,0.007584142244705493,0.009943027011589426,0.06410954059487159
C1,no,Insulin,40.909090909090914,0.07848672289712515,0.019169213851235822,0.007584142243910821,0.00994302701031965,0.06410954058945344
C1,no,Insulin,41.41414141414142,0.07848672290618368,0.019169213855856383,0.007584142245311307,0.009943027012551748,0.0641095405989466
C1,no,Insulin,41.919191919191924,0.07848672278310558,0.019169213793145016,0.007584142226327848,0.009943026982260454,0.06410954046992222
C1,no,Insulin,42.42424242424243,0.07848672280197219,0.019169213802758923,0.00758414222923836,0.009943026986904243,0.06410954048969986
