,,,Slide ID,b,c,a,d,e
,,,Antibody Name,b,c,a,d,e
,,,HUGO ID,b,c,a,d,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.45909291960380716,0.804710022101542,0.004739593887659432,0.48555546126274507,0.7856541136294434
C1,no,Insulin,0.5050505050505051,0.29310992879398673,0.2862421266895796,0.2126557124203041,0.2451224519855067,0.4597906101794694
C1,no,Insulin,1.0101010101010102,0.2216881626830631,0.15617598656509665,0.26899562437306557,0.21190737164705642,0.3266715015888738
C1,no,Insulin,1.5151515151515151,0.1876735145373101,0.12572650148171696,0.2772575469652909,0.20803375639346883,0.2687453943930313
C1,no,Insulin,2.0202020202020203,0.1709588145104493,0.11890191205470992,0.2733674830554052,0.20701259233671337,0.24238353653268122
C1,no,Insulin,2.5252525252525255,0.1627277473883428,0.11723700923891303,0.26830521716531863,0.20592545994665484,0.23005960776482057
C1,no,Insulin,3.0303030303030303,0.15869721234521025,0.1166687983230116,0.26460111882604764,0.20493678947636385,0.2242139849541228
C1,no,Insulin,3.5353535353535355,0.15673523926727898,0.11637908433937692,0.26232117293517243,0.2042207204322164,0.2214205922289391
C1,no,Insulin,4.040404040404041,0.15578439532754243,0.11620502957968204,0.2610304292329761,0.20376820322282566,0.2200808293339592
C1,no,Insulin,4.545454545454546,0.15532490294325574,0.11610046376730711,0.26033432755467056,0.20350514440987147,0.21943709876751408
C1,no,Insulin,5.050505050505051,0.15510324668881303,0.1160402056984932,0.2599704015638849,0.20336024187571183,0.21912753379074187
C1,no,Insulin,5.555555555555556,0.15499642667002902,0.11600689704186509,0.2597841137664174,0.20328326824860193,0.21897859824450763
C1,no,Insulin,6.0606060606060606,0.15494498086003197,0.1159890896766283,0.25969016931445743,0.20324339609927558,0.21890693344390633
C1,no,Insulin,6.565656565656566,0.15492020825517486,0.11597980629364958,0.2596433060756484,0.2032231111409092,0.2188724403357675
C1,no,Insulin,7.070707070707071,0.1549082832791016,0.11597505793729444,0.25962011515850586,0.2032129245818692,0.21885584093284
C1,no,Insulin,7.575757575757576,0.15490254361797218,0.11597266312839802,0.2596087092234547,0.20320785836820757,0.21884785246299332
C1,no,Insulin,8.080808080808081,0.1548997815419173,0.11597146691999723,0.2596031265325894,0.2032053567539153,0.21884400782510458
C1,no,Insulin,8.585858585858587,0.15489845120725237,0.11597087534367881,0.2596004030548431,0.20320412997797047,0.21884215712381355
C1,no,Insulin,9.090909090909092,0.15489781178214226,0.1159705847968684,0.25959907890006,0.20320352925270127,0.21884126690701314
C1,no,Insulin,9.595959595959597,0.1548975041276633,0.11597044181699656,0.2595984368176759,0.20320323708046048,0.21884083870118357
C1,no,Insulin,10.101010101010102,0.15489735578381483,0.11597037226257834,0.25959812526469456,0.20320309492886807,0.21884063226966835
C1,no,Insulin,10.606060606060607,0.15489728417739612,0.11597033834858474,0.2595979740380098,0.20320302571293966,0.21884053259535716
C1,no,Insulin,11.111111111111112,0.15489724993263942,0.11597032191266307,0.2595979014146538,0.20320299243526288,0.21884048494594566
C1,no,Insulin,11.616161616161618,0.1548972340267638,0.11597031420059255,0.259597867536345,0.20320297687853567,0.21884046281226838
C1,no,Insulin,12.121212121212121,0.15489722615394455,0.11597031045114195,0.2595978507529718,0.20320296915658123,0.21884045184867693
C1,no,Insulin,12.626262626262626,0.15489722216743612,0.11597030858860377,0.2595978422635407,0.2032029652517446,0.2188404462967705
C1,no,Insulin,13.131313131313131,0.15489722020231136,0.11597030762084043,0.25959783807533443,0.2032029633318549,0.21884044356494978
C1,no,Insulin,13.636363636363637,0.15489721923228844,0.11597030710221877,0.25959783600329167,0.20320296238291397,0.21884044221760882
C1,no,Insulin,14.141414141414142,0.15489721875290186,0.11597030686809102,0.25959783497558153,0.2032029619076414,0.21884044154913257
C1,no,Insulin,14.646464646464647,0.15489721835952966,0.115970306660533,0.25959783413289683,0.20320296151901002,0.2188404410011974
C1,no,Insulin,15.151515151515152,0.15489721808991397,0.11597030651658069,0.259597833555568,0.203202961253249,0.21884044062595062
C1,no,Insulin,15.656565656565657,0.15489721798234757,0.11597030646851596,0.25959783332499403,0.2032029611469364,0.21884044047619716
C1,no,Insulin,16.161616161616163,0.15489721803683051,0.11597030651633879,0.259597833441175,0.20320296120007228,0.218840440551937
C1,no,Insulin,16.666666666666668,0.15489721801981496,0.1159703065151483,0.2595978334045361,0.20320296118305775,0.21884044052821586
C1,no,Insulin,17.171717171717173,0.15489721800950018,0.11597030651346193,0.2595978333823512,0.2032029611727698,0.2188404405138388
C1,no,Insulin,17.67676767676768,0.15489721804391687,0.11597030653487521,0.25959783345597026,0.20320296120659617,0.21884044056172106
C1,no,Insulin,18.181818181818183,0.15489721812306503,0.11597030657938812,0.2595978336253934,0.20320296128453677,0.2188404406718626
C1,no,Insulin,18.68686868686869,0.15489721814890917,0.11597030659862671,0.25959783368056416,0.20320296130982088,0.21884044070780317
C1,no,Insulin,19.191919191919194,0.15489721817936625,0.1159703066131542,0.25959783374589185,0.2032029613399313,0.21884044075019568
C1,no,Insulin,19.6969696969697,0.1548972182098233,0.1159703066276817,0.25959783381121954,0.2032029613700417,0.2188404407925882
C1,no,Insulin,20.202020202020204,0.15489721824028038,0.1159703066422092,0.2595978338765472,0.20320296140015212,0.2188404408349807
C1,no,Insulin,20.70707070707071,0.15489721824460861,0.11597030664428044,0.2595978338858328,0.20320296140443223,0.21884044084100496
C1,no,Insulin,21.212121212121215,0.15489721824562258,0.11597030664477173,0.2595978338880099,0.20320296140543595,0.2188404408424162
C1,no,Insulin,21.71717171717172,0.15489721824663658,0.115970306645263,0.25959783389018704,0.20320296140643967,0.2188404408438274
C1,no,Insulin,22.222222222222225,0.15489721824765054,0.11597030664575429,0.2595978338923641,0.20320296140744343,0.21884044084523863
C1,no,Insulin,22.72727272727273,0.15489721824866454,0.11597030664624558,0.2595978338945412,0.20320296140844715,0.21884044084664986
C1,no,Insulin,23.232323232323235,0.1548972182496785,0.11597030664673685,0.2595978338967183,0.2032029614094509,0.2188404408480611
C1,no,Insulin,23.73737373737374,0.1548972182506925,0.11597030664722814,0.25959783389889546,0.20320296141045463,0.21884044084947232
C1,no,Insulin,24.242424242424242,0.15489721825170646,0.11597030664771943,0.25959783390107255,0.20320296141145838,0.21884044085088356
C1,no,Insulin,24.747474747474747,0.15489721825272046,0.1159703066482107,0.25959783390324964,0.2032029614124621,0.21884044085229476
C1,no,Insulin,25.252525252525253,0.15489721825373443,0.11597030664870199,0.25959783390542673,0.20320296141346586,0.218840440853706
C1,no,Insulin,25.757575757575758,0.15489721825474842,0.11597030664919326,0.2595978339076039,0.20320296141446959,0.21884044085511722
C1,no,Insulin,26.262626262626263,0.1548972182557624,0.11597030664968455,0.259597833909781,0.20320296141547334,0.21884044085652846
C1,no,Insulin,26.767676767676768,0.15489721825677638,0.11597030665017584,0.25959783391195806,0.20320296141647706,0.2188404408579397
C1,no,Insulin,27.272727272727273,0.15489721825779035,0.11597030665066711,0.25959783391413516,0.20320296141748082,0.21884044085935092
C1,no,Insulin,27.77777777777778,0.15489721825880434,0.1159703066511584,0.2595978339163123,0.20320296141848454,0.21884044086076213
C1,no,Insulin,28.282828282828284,0.1548972182598183,0.11597030665164969,0.2595978339184894,0.2032029614194883,0.21884044086217336
C1,no,Insulin,28.78787878787879,0.15489721826083228,0.11597030665214096,0.2595978339206665,0.20320296142049202,0.2188404408635846
C1,no,Insulin,29.292929292929294,0.15489721826184627,0.11597030665263225,0.25959783392284363,0.20320296142149577,0.21884044086499582
C1,no,Insulin,29.7979797979798,0.15489721826286024,0.11597030665312354,0.2595978339250207,0.2032029614224995,0.21884044086640705
C1,no,Insulin,30.303030303030305,0.15489721826387423,0.11597030665361481,0.2595978339271978,0.20320296142350325,0.21884044086781826
C1,no,Insulin,30.80808080808081,0.1548972182648882,0.1159703066541061,0.2595978339293749,0.20320296142450697,0.2188404408692295
C1,no,Insulin,31.313131313131315,0.1548972182659022,0.11597030665459739,0.25959783393155206,0.20320296142551073,0.21884044087064072
C1,no,Insulin,31.81818181818182,0.15489721826691616,0.11597030665508866,0.25959783393372915,0.20320296142651445,0.21884044087205196
C1,no,Insulin,32.323232323232325,0.15489721826793015,0.11597030665557995,0.25959783393590624,0.2032029614275182,0.2188404408734632
C1,no,Insulin,32.82828282828283,0.15489721826894412,0.11597030665607123,0.25959783393808333,0.20320296142852193,0.21884044087487442
C1,no,Insulin,33.333333333333336,0.15489721826995811,0.11597030665656251,0.2595978339402605,0.20320296142952568,0.21884044087628562
C1,no,Insulin,33.83838383838384,0.15489721827097208,0.1159703066570538,0.2595978339424376,0.2032029614305294,0.21884044087769686
C1,no,Insulin,34.343434343434346,0.15489721827198608,0.11597030665754507,0.25959783394461466,0.20320296143153316,0.2188404408791081
C1,no,Insulin,34.84848484848485,0.15489721827300004,0.11597030665803636,0.25959783394679176,0.20320296143253688,0.21884044088051932
C1,no,Insulin,35.35353535353536,0.15489721827401404,0.11597030665852764,0.2595978339489689,0.20320296143354064,0.21884044088193055
C1,no,Insulin,35.85858585858586,0.154897218275028,0.11597030665901892,0.259597833951146,0.20320296143454436,0.21884044088334179
C1,no,Insulin,36.36363636363637,0.15489721827604197,0.1159703066595102,0.2595978339533231,0.2032029614355481,0.218840440884753
C1,no,Insulin,36.86868686868687,0.15489721827705596,0.1159703066600015,0.25959783395550023,0.20320296143655184,0.21884044088616422
C1,no,Insulin,37.37373737373738,0.15489721827806993,0.11597030666049277,0.2595978339576773,0.2032029614375556,0.21884044088757545
C1,no,Insulin,37.87878787878788,0.15489721827908393,0.11597030666098405,0.2595978339598544,0.20320296143855932,0.2188404408889867
C1,no,Insulin,38.38383838383839,0.1548972182800979,0.11597030666147534,0.2595978339620315,0.20320296143956307,0.21884044089039792
C1,no,Insulin,38.88888888888889,0.1548972182811119,0.11597030666196662,0.25959783396420866,0.2032029614405668,0.21884044089180915
C1,no,Insulin,39.3939393939394,0.15489721828212585,0.1159703066624579,0.25959783396638575,0.20320296144157055,0.21884044089322036
C1,no,Insulin,39.8989898989899,0.15489721828313985,0.11597030666294919,0.25959783396856284,0.20320296144257427,0.2188404408946316
C1,no,Insulin,40.40404040404041,0.15489721828397973,0.11597030666335614,0.2595978339703662,0.2032029614434057,0.21884044089580054
C1,no,Insulin,40.909090909090914,0.15489721828401348,0.11597030666337263,0.25959783397043873,0.20320296144343913,0.2188404408958475
C1,no,Insulin,41.41414141414142,0.15489721828404723,0.11597030666338912,0.2595978339705113,0.20320296144347258,0.2188404408958945
C1,no,Insulin,41.919191919191924,0.15489721828408098,0.1159703066634056,0.2595978339705838,0.20320296144350602,0.21884044089594148
C1,no,Insulin,42.42424242424243,0.15489721828411476,0.11597030666342209,0.25959783397065633,0.20320296144353947,0.21884044089598845
C1,no,Insulin,42.929292929292934,0.1548972182841485,0.11597030666343858,0.2595978339707289,0.20320296144357294,0.21884044089603544
C1,no,Insulin,43.43434343434344,0.15489721828418226,0.11597030666345506,0.2595978339708014,0.2032029614436064,0.2188404408960824
