,,,Slide ID,b,d,a,c
,,,Antibody Name,b,d,a,c
,,,HUGO ID,b,d,a,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.13832904133163015,0.8410922410205769,0.3003557150353794,0.9567401564790979
C1,no,Insulin,0.5050505050505051,0.14798805773851048,0.23017952534511005,0.24287051612020305,0.37045405685355437
C1,no,Insulin,1.0101010101010102,0.1101083842503151,0.07637461869423019,0.2146689064586031,0.17344787602121878
C1,no,Insulin,1.5151515151515151,0.07488725056255183,0.03253733191778267,0.20039928977833604,0.09550117879608988
C1,no,Insulin,2.0202020202020203,0.051888701257526315,0.017593294451539915,0.19304436187749088,0.06076512962342323
C1,no,Insulin,2.5252525252525255,0.03837841757487979,0.011436942312955323,0.18921360616412208,0.0438339809056436
C1,no,Insulin,3.0303030303030303,0.03057789155266352,0.008484491992278466,0.18720693124715446,0.03489846246388754
C1,no,Insulin,3.5353535353535355,0.025996860393076353,0.0069113201940016085,0.18615252433054483,0.029852662755440778
C1,no,Insulin,4.040404040404041,0.023235819145270384,0.0060119902285947265,0.1855975751841617,0.026853889720560183
C1,no,Insulin,4.545454545454546,0.021530723502563524,0.005473050171984012,0.18530524684883481,0.02500740215196004
C1,no,Insulin,5.050505050505051,0.02045701050375509,0.005139661554257128,0.1851511851651113,0.023843304210720905
C1,no,Insulin,5.555555555555556,0.01977107316062947,0.0049289818117038186,0.18506997280009208,0.023098005487099504
C1,no,Insulin,6.0606060606060606,0.01932836055619402,0.004793930993294772,0.18502715522481203,0.022615993431219873
C1,no,Insulin,6.565656565656566,0.019040618044494476,0.004706538469515896,0.18500458220673643,0.022302202386762733
C1,no,Insulin,7.070707070707071,0.018852726516491898,0.0046496186878580295,0.18499267925460292,0.022097064810305204
C1,no,Insulin,7.575757575757576,0.018729606955183224,0.004612400145074227,0.18498640344783998,0.021962532644815562
C1,no,Insulin,8.080808080808081,0.01864876810180568,0.004587993362497164,0.18498309407180977,0.021874151358364544
C1,no,Insulin,8.585858585858587,0.018595621130856096,0.004571957523078368,0.18498134915572587,0.021816024430376214
