,,,Slide ID,e,f,b,c,d,a
,,,Antibody Name,e,f,b,c,d,a
,,,HUGO ID,e,f,b,c,d,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.6141047362471151,0.4513780968865564,0.7352149830675214,0.869420997284294,0.22241257140124648,0.9217541326967954
C1,no,Insulin,0.5050505050505051,0.47789458325330747,0.30463292553912824,0.39524748466989346,0.31645680403849896,0.2390202265207869,0.4852789145954228
C1,no,Insulin,1.0101010101010102,0.39086762268700903,0.24993134916549775,0.2649208320754489,0.17867690029041863,0.2314879655829502,0.3028188779695313
C1,no,Insulin,1.5151515151515151,0.33429881807496253,0.22658379252326685,0.21339451908579848,0.14223042379578663,0.2228950581708521,0.22429560586272618
C1,no,Insulin,2.0202020202020203,0.29696270591952506,0.21412824939101197,0.19122189925919508,0.13030174600528224,0.21686764529507252,0.18856520942946534
C1,no,Insulin,2.5252525252525255,0.27200347095952837,0.20604340456073297,0.1802579175490015,0.12461619160364612,0.21287255590776186,0.17092562990281535
C1,no,Insulin,3.0303030303030303,0.25514695203446563,0.20026621913077136,0.173962699965747,0.12097485540319457,0.2101238703236232,0.16136191148615114
C1,no,Insulin,3.5353535353535355,0.24367284131818787,0.19603408612194878,0.16992720578102505,0.11837645900323955,0.20815194964592607,0.15570870020339234
C1,no,Insulin,4.040404040404041,0.23581639518683786,0.1929454852472811,0.16718098271345427,0.11649362414800689,0.20670836423034686,0.1521391818126444
C1,no,Insulin,4.545454545454546,0.230413748322278,0.19071603564122985,0.16526447919077566,0.11514117230355202,0.2056494705431316,0.14978530657552616
C1,no,Insulin,5.050505050505051,0.22668692287603706,0.1891237696233496,0.16391670620592827,0.11418009894003012,0.20487822485625015,0.14819263890420295
C1,no,Insulin,5.555555555555556,0.22411038398513045,0.1879960607787628,0.16296852547249763,0.11350266383269708,0.20432191260916324,0.14709968633454593
C1,no,Insulin,6.0606060606060606,0.22232629033687498,0.18720220468365692,0.16230282020937062,0.11302771053025998,0.20392432180629386,0.14634414434623486
C1,no,Insulin,6.565656565656566,0.2210895455923559,0.18664571967682067,0.16183657897311218,0.11269583659830835,0.20364233048150396,0.14581997529320365
C1,no,Insulin,7.070707070707071,0.22023156085401965,0.18625674753707597,0.1615107345034784,0.11246441938865104,0.20344350093726746,0.1454557329912513
C1,no,Insulin,7.575757575757576,0.21963601402676292,0.1859853857467318,0.16128338789984825,0.11230325442510065,0.20330391489339225,0.1452024592596662
C1,no,Insulin,8.080808080808081,0.21922247513847676,0.18579631555155493,0.16112495768556043,0.11219110166746171,0.203206224299317,0.14502631577214586
C1,no,Insulin,8.585858585858587,0.21893524750827825,0.18566469553534568,0.1610146496342532,0.11211309522577743,0.20313800494952206,0.14490381841056893
C1,no,Insulin,9.090909090909092,0.21873570753217125,0.1855731179840914,0.16093789069541456,0.11205885177557175,0.20309043738280377,0.14481863479824536
C1,no,Insulin,9.595959595959597,0.2185970704222911,0.18550942378100366,0.16088449867820168,0.11202113979333345,0.20305730473627695,0.14475940695322387
C1,no,Insulin,10.101010101010102,0.2185007379443595,0.18546513522554617,0.1608473709072479,0.11199492524676535,0.20303424158794725,0.14471822979964855
C1,no,Insulin,10.606060606060607,0.21843379929551743,0.1854343440629594,0.16082155798436262,0.11197669917779828,0.20301820012024818,0.1446896059216643
C1,no,Insulin,11.111111111111112,0.2183872794522015,0.18541294115412726,0.16080361343550312,0.11196404025789967,0.20300703906179007,0.14466970723600317
C1,no,Insulin,11.616161616161618,0.21835495150560114,0.18539806279056223,0.16079113998916644,0.1119552392416941,0.20299927686144062,0.1446558768460318
C1,no,Insulin,12.121212121212121,0.21833248307998937,0.1853877189423062,0.16078246868067642,0.11194910183613191,0.2029938917526941,0.1446462627887017
C1,no,Insulin,12.626262626262626,0.2183168706300572,0.18538053337387259,0.16077644332617844,0.1119448538541573,0.20299014009188057,0.14463958137153937
C1,no,Insulin,13.131313131313131,0.21830601934552782,0.18537553766971043,0.16077225497026487,0.11194190605805518,0.20298753053970173,0.14463493753542578
C1,no,Insulin,13.636363636363637,0.21829847832950436,0.18537206580606624,0.16076934415832536,0.11193985424772752,0.20298571789751382,0.14463171014749163
C1,no,Insulin,14.141414141414142,0.21829323560969002,0.18536965199693728,0.16076732041325115,0.11193842688182801,0.20298445799099935,0.14462946629077622
C1,no,Insulin,14.646464646464647,0.21828958775865906,0.18536797245119427,0.16076591227198286,0.11193743342863705,0.20298358143332612,0.14462790498663
C1,no,Insulin,15.151515151515152,0.21828706770717765,0.18536681215098383,0.1607649394673481,0.11193674709071114,0.20298297589479528,0.14462682636687846
C1,no,Insulin,15.656565656565657,0.21828530743917293,0.18536600167023304,0.16076425995410593,0.11193626763312195,0.2029825529223216,0.14462607293921256
C1,no,Insulin,16.161616161616163,0.21828408293961837,0.18536543786954557,0.16076378725880808,0.11193593410971367,0.2029822586877181,0.14462554882554995
C1,no,Insulin,16.666666666666668,0.21828323352319956,0.18536504676442947,0.16076345935236347,0.11193570278653922,0.20298205458819463,0.14462518525082702
C1,no,Insulin,17.171717171717173,0.21828264496542799,0.18536477576698576,0.1607632321456715,0.11193554252815432,0.20298191317492895,0.1446249333299667
C1,no,Insulin,17.67676767676768,0.2182822306704751,0.18536458500970657,0.16076307221381023,0.11193542971990154,0.20298181363278925,0.14462475600130506
C1,no,Insulin,18.181818181818183,0.2182819413606866,0.1853644518051924,0.16076296053480427,0.11193535090432429,0.20298174410872677,0.14462463217229105
C1,no,Insulin,18.68686868686869,0.21828173188457928,0.1853643553575626,0.16076287967218436,0.11193529377567289,0.20298169375837033,0.14462454251195492
C1,no,Insulin,19.191919191919194,0.2182816042887407,0.18536429661061657,0.16076283041655848,0.11193525886682947,0.20298166306070028,0.14462448789546564
C1,no,Insulin,19.6969696969697,0.2182815079132142,0.18536425222687267,0.160762793202961,0.11193523244234209,0.2029816398933784,0.14462444663676427
C1,no,Insulin,20.202020202020204,0.21828144108422204,0.18536422143907763,0.16076276738929604,0.11193521400653682,0.20298162386136046,0.14462441802301154
C1,no,Insulin,20.70707070707071,0.21828139617149114,0.18536420074000104,0.1607627500358962,0.1119352014114805,0.20298161313220975,0.14462439879177583
C1,no,Insulin,21.212121212121215,0.21828136652446625,0.18536418707303529,0.16076273858050802,0.1119351927648856,0.20298160610531465,0.14462438609912648
C1,no,Insulin,21.71717171717172,0.21828134563632082,0.1853641774499101,0.16076273051707068,0.11193518610407992,0.2029816011996021,0.1446243771616266
C1,no,Insulin,22.222222222222225,0.21828133094373223,0.1853641706929366,0.16076272485671933,0.1119351804588461,0.20298159777506877,0.1446243708811003
C1,no,Insulin,22.72727272727273,0.21828131990863586,0.18536416562852262,0.1607627206130245,0.11193517586432013,0.20298159517079242,0.1446243661665554
C1,no,Insulin,23.232323232323235,0.21828131124926617,0.18536416165039923,0.16076271727621447,0.11193517450560209,0.20298159302535268,0.14462436246244195
C1,no,Insulin,23.73737373737374,0.21828130562877152,0.18536415907231613,0.1607627151101019,0.11193517523882462,0.2029815915259084,0.14462436005621365
C1,no,Insulin,24.242424242424242,0.2182813011416789,0.18536415701223113,0.16076271338037817,0.11193517517908518,0.20298159036667496,0.14462435813553856
C1,no,Insulin,24.747474747474747,0.21828129831047968,0.18536415571200512,0.1607627122883948,0.11193517511744014,0.20298158963150018,0.14462435692316267
C1,no,Insulin,25.252525252525253,0.21828129499081414,0.1853641541876791,0.16076271100798664,0.11193517512978994,0.20298158876324904,0.14462435550149427
C1,no,Insulin,25.757575757575758,0.2182812949387196,0.18536415416295368,0.16076271098728087,0.11193517497694187,0.20298158875570985,0.14462435547882901
C1,no,Insulin,26.262626262626263,0.2182812948886443,0.18536415413919533,0.16076271096738456,0.11193517483192979,0.20298158874840033,0.14462435545704636
C1,no,Insulin,26.767676767676768,0.21828129487015321,0.18536415413056348,0.16076271096014932,0.11193517480948363,0.20298158874468344,0.14462435544906813
C1,no,Insulin,27.272727272727273,0.21828129485166212,0.1853641541219316,0.16076271095291408,0.11193517478703748,0.20298158874096653,0.14462435544108992
C1,no,Insulin,27.77777777777778,0.218281294833171,0.18536415411329976,0.16076271094567884,0.1119351747645913,0.2029815887372496,0.1446243554331117
C1,no,Insulin,28.282828282828284,0.2182812948146799,0.18536415410466792,0.16076271093844363,0.11193517474214515,0.20298158873353273,0.1446243554251335
C1,no,Insulin,28.78787878787879,0.21828129479697153,0.18536415409640297,0.16076271093151587,0.11193517472091122,0.20298158872996316,0.14462435541749374
C1,no,Insulin,29.292929292929294,0.21828129479040806,0.18536415409336218,0.1607627109289664,0.11193517471693783,0.20298158872849154,0.14462435541467342
C1,no,Insulin,29.7979797979798,0.21828129478384461,0.1853641540903214,0.16076271092641692,0.11193517471296445,0.2029815887270199,0.1446243554118531
C1,no,Insulin,30.303030303030305,0.21828129477728114,0.1853641540872806,0.16076271092386746,0.11193517470899106,0.20298158872554828,0.14462435540903276
C1,no,Insulin,30.80808080808081,0.2182812947707177,0.18536415408423984,0.160762710921318,0.11193517470501767,0.20298158872407665,0.14462435540621243
C1,no,Insulin,31.313131313131315,0.21828129476459687,0.18536415408140414,0.1607627109189405,0.11193517470131817,0.20298158872270403,0.14462435540358234
C1,no,Insulin,31.81818181818182,0.21828129476425456,0.18536415408124618,0.16076271091880806,0.11193517470119399,0.2029815887226235,0.1446243554034356
C1,no,Insulin,32.323232323232325,0.21828129476391223,0.18536415408108822,0.1607627109186756,0.11193517470106983,0.202981588722543,0.14462435540328886
C1,no,Insulin,32.82828282828283,0.2182812947635699,0.18536415408093024,0.16076271091854316,0.11193517470094565,0.2029815887224625,0.14462435540314209
C1,no,Insulin,33.333333333333336,0.21828129476322755,0.18536415408077228,0.1607627109184107,0.11193517470082148,0.20298158872238198,0.14462435540299534
C1,no,Insulin,33.83838383838384,0.21828129476288521,0.1853641540806143,0.16076271091827826,0.1119351747006973,0.2029815887223015,0.1446243554028486
C1,no,Insulin,34.343434343434346,0.21828129476254288,0.18536415408045634,0.1607627109181458,0.11193517470057314,0.20298158872222097,0.14462435540270183
C1,no,Insulin,34.84848484848485,0.21828129476220057,0.18536415408029835,0.16076271091801336,0.11193517470044896,0.20298158872214045,0.14462435540255508
C1,no,Insulin,35.35353535353536,0.21828129476185823,0.1853641540801404,0.1607627109178809,0.1119351747003248,0.20298158872205996,0.1446243554024083
C1,no,Insulin,35.85858585858586,0.2182812947615159,0.18536415407998244,0.16076271091774846,0.11193517470020062,0.20298158872197944,0.14462435540226157
C1,no,Insulin,36.36363636363637,0.21828129476117356,0.18536415407982446,0.16076271091761601,0.11193517470007645,0.20298158872189895,0.14462435540211482
C1,no,Insulin,36.86868686868687,0.21828129476083122,0.1853641540796665,0.16076271091748356,0.11193517469995228,0.20298158872181843,0.14462435540196805
C1,no,Insulin,37.37373737373738,0.2182812947604889,0.18536415407950851,0.16076271091735111,0.11193517469982811,0.2029815887217379,0.1446243554018213
C1,no,Insulin,37.87878787878788,0.21828129476014657,0.18536415407935056,0.16076271091721867,0.11193517469970393,0.20298158872165742,0.14462435540167456
C1,no,Insulin,38.38383838383839,0.21828129475980423,0.18536415407919257,0.16076271091708622,0.11193517469957977,0.2029815887215769,0.1446243554015278
C1,no,Insulin,38.88888888888889,0.2182812947594619,0.18536415407903462,0.16076271091695377,0.11193517469945559,0.20298158872149638,0.14462435540138105
C1,no,Insulin,39.3939393939394,0.21828129475911956,0.18536415407887666,0.16076271091682132,0.11193517469933142,0.2029815887214159,0.1446243554012343
C1,no,Insulin,39.8989898989899,0.21828129475877722,0.18536415407871867,0.16076271091668887,0.11193517469920725,0.20298158872133537,0.14462435540108753
C1,no,Insulin,40.40404040404041,0.2182812947584349,0.18536415407856072,0.16076271091655642,0.11193517469908308,0.20298158872125488,0.1446243554009408
C1,no,Insulin,40.909090909090914,0.21828129475809258,0.18536415407840273,0.16076271091642397,0.1119351746989589,0.20298158872117436,0.14462435540079402
C1,no,Insulin,41.41414141414142,0.21828129475775024,0.18536415407824477,0.16076271091629152,0.11193517469883474,0.20298158872109384,0.14462435540064728
C1,no,Insulin,41.919191919191924,0.2182812947574079,0.1853641540780868,0.16076271091615907,0.11193517469871056,0.20298158872101335,0.14462435540050053
C1,no,Insulin,42.42424242424243,0.21828129475706556,0.18536415407792883,0.16076271091602662,0.1119351746985864,0.20298158872093283,0.14462435540035376
C1,no,Insulin,42.929292929292934,0.21828129475672323,0.18536415407777088,0.16076271091589417,0.11193517469846222,0.20298158872085234,0.14462435540020702
C1,no,Insulin,43.43434343434344,0.21828129475638092,0.1853641540776129,0.16076271091576172,0.11193517469833805,0.20298158872077182,0.14462435540006027
C1,no,Insulin,43.939393939393945,0.21828129475603858,0.18536415407745493,0.16076271091562927,0.11193517469821387,0.2029815887206913,0.1446243553999135
C1,no,Insulin,44.44444444444445,0.21828129475569624,0.18536415407729695,0.16076271091549682,0.11193517469808971,0.2029815887206108,0.14462435539976676
C1,no,Insulin,44.949494949494955,0.2182812947553539,0.185364154077139,0.16076271091536437,0.11193517469796553,0.2029815887205303,0.14462435539962
C1,no,Insulin,45.45454545454546,0.21828129475501157,0.18536415407698104,0.16076271091523192,0.11193517469784137,0.2029815887204498,0.14462435539947324
C1,no,Insulin,45.959595959595966,0.21828129475466926,0.18536415407682305,0.16076271091509947,0.11193517469771719,0.20298158872036928,0.1446243553993265
C1,no,Insulin,46.46464646464647,0.21828129475432692,0.1853641540766651,0.16076271091496702,0.11193517469759302,0.20298158872028876,0.14462435539917975
C1,no,Insulin,46.969696969696976,0.21828129475398458,0.1853641540765071,0.16076271091483457,0.11193517469746884,0.20298158872020827,0.14462435539903298
C1,no,Insulin,47.47474747474748,0.21828129475364225,0.18536415407634915,0.16076271091470212,0.11193517469734468,0.20298158872012775,0.14462435539888624
C1,no,Insulin,47.979797979797986,0.2182812947532999,0.18536415407619117,0.16076271091456967,0.1119351746972205,0.20298158872004726,0.14462435539873947
C1,no,Insulin,48.484848484848484,0.21828129475295757,0.1853641540760332,0.16076271091443722,0.11193517469709634,0.20298158871996674,0.14462435539859272
C1,no,Insulin,48.98989898989899,0.21828129475261526,0.18536415407587525,0.16076271091430477,0.11193517469697216,0.20298158871988622,0.14462435539844598
C1,no,Insulin,49.494949494949495,0.21828129475227293,0.18536415407571727,0.16076271091417232,0.111935174696848,0.20298158871980573,0.1446243553982992
C1,no,Insulin,50.0,0.2182812947519306,0.1853641540755593,0.16076271091403987,0.11193517469672382,0.20298158871972521,0.14462435539815247
