,,,Slide ID,c,e,a,d,b
,,,Antibody Name,c,e,a,d,b
,,,HUGO ID,c,e,a,d,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.6599084621938547,0.6524803809776791,0.1257608434170352,0.04248190284981035,0.9296313505979004
C1,no,Insulin,0.5050505050505051,0.38175401128509584,0.3319960904716482,0.0851009913446168,0.037585060137830084,0.5119305216623653
C1,no,Insulin,1.0101010101010102,0.2304548210650463,0.1879687866402968,0.06814397877020235,0.02753854499195631,0.36931444386504586
C1,no,Insulin,1.5151515151515151,0.146009581338453,0.11988242061513849,0.05700533005962319,0.01997357319266871,0.31937342729833224
C1,no,Insulin,2.0202020202020203,0.0978287378674603,0.08572360319118402,0.048635641258902136,0.014994134779154459,0.302791953801745
C1,no,Insulin,2.5252525252525255,0.0697585693378466,0.06740030711276977,0.04235644736737542,0.01182608519679552,0.2984764957201525
C1,no,Insulin,3.0303030303030303,0.05307476951386586,0.0568979991257719,0.037769049924136815,0.009813484051828894,0.2984548658061694
C1,no,Insulin,3.5353535353535355,0.04296673416767218,0.05052031269968281,0.034490791578192424,0.00851852578592362,0.2996879134529496
C1,no,Insulin,4.040404040404041,0.036728290282966286,0.04646663072493074,0.03217854881973832,0.007670469167349656,0.30107159418594504
C1,no,Insulin,4.545454545454546,0.032808544705333176,0.04380200908110568,0.03055725489928256,0.00710528405561602,0.30225772190332184
C1,no,Insulin,5.050505050505051,0.03030316273014666,0.042008384426265116,0.02942206188894741,0.0067228920675726726,0.30317978660460404
C1,no,Insulin,5.555555555555556,0.02867587652915364,0.04078111085117733,0.02862652408311269,0.006461021796350372,0.3038648685034638
C1,no,Insulin,6.0606060606060606,0.027603289220702244,0.03993192099291528,0.028068006233343726,0.006280007576878517,0.3043623345997542
C1,no,Insulin,6.565656565656566,0.026886996052249836,0.03933984722059557,0.027675105915054107,0.006154005830935073,0.3047192502705099
C1,no,Insulin,7.070707070707071,0.02640316661878619,0.03892489085765298,0.0273982085642194,0.0060658439530635044,0.30497371364983633
C1,no,Insulin,7.575757575757576,0.026073180212729204,0.038633035029315185,0.027202780859422973,0.00600392159575957,0.3051545363381128
C1,no,Insulin,8.080808080808081,0.025846291369780398,0.038427238742799054,0.027064652651620637,0.005960319410862161,0.3052828380600755
C1,no,Insulin,8.585858585858587,0.025689267959324556,0.03828190053356012,0.02696697441423312,0.005929545621002466,0.30537379166387485
C1,no,Insulin,9.090909090909092,0.025580011951286966,0.03817912647274821,0.026897831977066185,0.005907801502656757,0.3054382580331273
C1,no,Insulin,9.595959595959597,0.025503671046746838,0.03810639351982583,0.026848867795392355,0.00589242139277575,0.30548394615516644
C1,no,Insulin,10.101010101010102,0.025450147344559783,0.03805488845414116,0.02681417888946774,0.00588153429806714,0.3055163286019678
C1,no,Insulin,10.606060606060607,0.025412518315977614,0.038018396841516415,0.026789594087828196,0.005873822880993757,0.3055392846465954
C1,no,Insulin,11.111111111111112,0.0253860192842492,0.037992542309963594,0.026772171823003246,0.005868360416391557,0.305555555127684
C1,no,Insulin,11.616161616161618,0.02536732373484435,0.037974217405405304,0.02675982192232423,0.0058644892023325896,0.3055670896464858
C1,no,Insulin,12.121212121212121,0.025354117572345684,0.037961226379187585,0.026751065800683607,0.005861745051409082,0.3055752681489927
C1,no,Insulin,12.626262626262626,0.02534478281090723,0.03795201766492338,0.026744857599860245,0.005859800623866026,0.305581066045489
C1,no,Insulin,13.131313131313131,0.025338177699365094,0.037945488588439984,0.0267404555687947,0.005858422214844742,0.3055851769370257
C1,no,Insulin,13.636363636363637,0.02533350382088842,0.03794086257197606,0.026737339745612966,0.0058574434981188426,0.3055880897904675
C1,no,Insulin,14.141414141414142,0.025330194766258928,0.03793758315190399,0.026735130259287084,0.0058567500890051305,0.30559015477519996
C1,no,Insulin,14.646464646464647,0.025327847440617886,0.03793525198142142,0.02673355341571209,0.005856261149369117,0.30559162280143887
C1,no,Insulin,15.151515151515152,0.025326189636727774,0.03793360751705147,0.026732448093386707,0.005855911758853383,0.30559265827204696
C1,no,Insulin,15.656565656565657,0.02532501687855293,0.03793244264202435,0.026731663146960925,0.005855665523039187,0.30559339180517825
C1,no,Insulin,16.161616161616163,0.025324185100409385,0.03793161572580814,0.02673110503284142,0.005855491299308725,0.30559391254194207
C1,no,Insulin,16.666666666666668,0.02532359322475022,0.037931027250363965,0.02673070806509249,0.0058553671758083264,0.3055942831217301
C1,no,Insulin,17.171717171717173,0.025323169619225476,0.03793060612013224,0.02673042423692324,0.005855278187225848,0.3055945483157448
C1,no,Insulin,17.67676767676768,0.025322866635880993,0.03793030485698631,0.02673022118961801,0.005855214530758322,0.30559473802815434
C1,no,Insulin,18.181818181818183,0.02532265294273872,0.03793009228236862,0.026730077817967816,0.005855169677090682,0.3055948718938653
C1,no,Insulin,18.68686868686869,0.02532250321509733,0.03792994330245547,0.02672997732997308,0.005855138247156762,0.30559496571209244
C1,no,Insulin,19.191919191919194,0.025322397834558006,0.037929838444718415,0.02672990662694439,0.005855116110177979,0.30559503174445124
C1,no,Insulin,19.6969696969697,0.025322323033765966,0.03792976402314714,0.026729856466894155,0.005855100385551821,0.30559507860975305
C1,no,Insulin,20.202020202020204,0.02532226913318713,0.03792971040451846,0.02672982034030521,0.005855089048556551,0.3055951123745943
C1,no,Insulin,20.70707070707071,0.02532223059270455,0.03792967206360492,0.026729794495452035,0.005855080949345172,0.30559513651904524
C1,no,Insulin,21.212121212121215,0.025322203151102476,0.03792964476084606,0.02672977608449113,0.005855075186116066,0.30559515371259766
C1,no,Insulin,21.71717171717172,0.02532218362156575,0.03792962532644516,0.026729762973455397,0.005855071087548784,0.30559516595130154
C1,no,Insulin,22.222222222222225,0.025322170317031777,0.037929612084365925,0.026729754042745867,0.005855068293144926,0.3055951742903641
C1,no,Insulin,22.72727272727273,0.025322161192142475,0.03792960300213546,0.026729747919667205,0.005855066375212157,0.30559518000975233
C1,no,Insulin,23.232323232323235,0.02532215475886628,0.03792959659602121,0.02672974360028877,0.005855065022741892,0.30559518404390523
C1,no,Insulin,23.73737373737374,0.025322150356962704,0.03792959221330737,0.02672974064620417,0.005855064096815831,0.30559518680382625
C1,no,Insulin,24.242424242424242,0.025322147473547402,0.03792958934431654,0.026729738713977286,0.005855063489683602,0.3055951886104742
C1,no,Insulin,24.747474747474747,0.02532214561577905,0.037929587495348464,0.02672973746831913,0.005855063098666615,0.30559518977480554
C1,no,Insulin,25.252525252525253,0.025322144215230144,0.037929586103183525,0.026729736530220476,0.0058550628043581516,0.30559519065148527
C1,no,Insulin,25.757575757575758,0.02532214343335249,0.037929585326182215,0.026729736006757696,0.0058550626400251,0.3055951911407782
C1,no,Insulin,26.262626262626263,0.025322142719287236,0.03792958461669491,0.02672973552833551,0.005855062490252562,0.3055951915875686
C1,no,Insulin,26.767676767676768,0.025322142140092364,0.03792958404118262,0.026729735140230557,0.005855062368779099,0.3055951919499909
