,,,Slide ID,c,f,a,e,b,d
,,,Antibody Name,c,f,a,e,b,d
,,,HUGO ID,c,f,a,e,b,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5957910668693517,0.41858505959356684,0.7417998644046186,0.9120905081579828,0.04344742117657374,0.3956918077887631
C1,no,Insulin,0.5050505050505051,0.39735077909132765,0.3171421907677594,0.4710972202798741,0.46540259829056674,0.19647696208479504,0.30540248289307265
C1,no,Insulin,1.0101010101010102,0.30468067538138605,0.2726734207211339,0.3366769652179612,0.29651466738663873,0.23998615254202915,0.25588683680990065
C1,no,Insulin,1.5151515151515151,0.25921026699316757,0.2498936391578553,0.26599548795492495,0.2322049441600253,0.2441483060480368,0.22743098777158705
C1,no,Insulin,2.0202020202020203,0.23614399248495707,0.23747737068666297,0.22702351071202503,0.20741738648073646,0.2366644964020405,0.21103244615745165
C1,no,Insulin,2.5252525252525255,0.22420720680867576,0.23063634034905356,0.20475474375487973,0.1977360948769935,0.22762549673955076,0.20170489417286144
C1,no,Insulin,3.0303030303030303,0.21796125436456787,0.2268922253596649,0.1917078032074437,0.19393202214199992,0.2201202831338968,0.19648251702706526
C1,no,Insulin,3.5353535353535355,0.21467391543625322,0.2248627519654006,0.18393482751450438,0.19245840256958027,0.21465691687555727,0.19359918540001791
C1,no,Insulin,4.040404040404041,0.21293855259304237,0.22377156073023116,0.17925346354870308,0.19191980363965164,0.21093056501771337,0.19202486718350892
C1,no,Insulin,4.545454545454546,0.21202108477431242,0.22318822858761117,0.17641460415820667,0.19175376148588025,0.20848182866642118,0.19117248455209981
C1,no,Insulin,5.050505050505051,0.2115356620356275,0.2228775661798806,0.17468563677654025,0.19172978574057636,0.20690922618239946,0.19071383805883702
C1,no,Insulin,5.555555555555556,0.21127873454495996,0.22271251026539027,0.17362981222956894,0.1917535535803589,0.20591416261729698,0.19046816689980697
C1,no,Insulin,6.0606060606060606,0.2111427203707378,0.22262494101000047,0.17298398515034885,0.1917877151030064,0.2052907092670832,0.19033700405332804
C1,no,Insulin,6.565656565656566,0.21107071009584177,0.22257852162255848,0.17258854313646493,0.19181883385585846,0.20490267797925524,0.19026714190027602
C1,no,Insulin,7.070707070707071,0.2110325831906135,0.22255392714986236,0.1723462599462821,0.19184325975767172,0.20466226639925506,0.19022999313337782
C1,no,Insulin,7.575757575757576,0.21101239596397678,0.2225409000015578,0.1721977581234925,0.19186106506874176,0.20451377930902362,0.19021026341738853
C1,no,Insulin,8.080808080808081,0.21100170814660757,0.2225340014018408,0.17210671915114803,0.19187348423488165,0.2044222695715775,0.19019979502220372
C1,no,Insulin,8.585858585858587,0.2109960469878394,0.22253034713739223,0.1720508938616548,0.19188189669168923,0.20436595349636336,0.1901942415645213
C1,no,Insulin,9.090909090909092,0.2109930503612566,0.22252841231220347,0.17201666181132422,0.1918874807462856,0.20433133293533745,0.1901912984724499
C1,no,Insulin,9.595959595959597,0.21099146402562008,0.22252738841186684,0.17199566925797588,0.1918911309775069,0.20431006532510987,0.19018973918916252
C1,no,Insulin,10.101010101010102,0.21099062369318677,0.22252684470784398,0.171982794845075,0.1918934894428298,0.20429700690773175,0.19018891268045052
C1,no,Insulin,10.606060606060607,0.21099017899465183,0.2225265597348076,0.17197489852580447,0.19189499870439994,0.20428899154234634,0.19018847533434932
C1,no,Insulin,11.111111111111112,0.21098994341717395,0.22252640495243886,0.171970056291492,0.19189595973422105,0.2042840727557559,0.19018824322263503
C1,no,Insulin,11.616161616161618,0.21098981914117917,0.22252632742996095,0.1719670865058165,0.19189656507475206,0.20428105573858915,0.19018812121058723
C1,no,Insulin,12.121212121212121,0.21098975326854305,0.22252628421196427,0.17196526531539968,0.19189694719546802,0.20427920446472017,0.190188056241517
C1,no,Insulin,12.626262626262626,0.21098971839700356,0.22252626133616452,0.17196414849689823,0.19189718645259185,0.20427806906686066,0.19018802186211237
C1,no,Insulin,13.131313131313131,0.21098969995454722,0.22252624941634067,0.17196346357007006,0.19189733578414334,0.20427737267857773,0.19018800368859598
C1,no,Insulin,13.636363636363637,0.21098969015231184,0.22252624305111154,0.1719630425568448,0.19189742896898349,0.20427694459305387,0.1901879940304307
C1,no,Insulin,14.141414141414142,0.21098968493444933,0.22252623966433602,0.17196278277557533,0.19189748722032454,0.2042766804354088,0.1901879888898861
C1,no,Insulin,14.646464646464647,0.2109896823422892,0.22252623797498403,0.17196262631303427,0.19189752280528297,0.20427652132933535,0.19018798633638412
C1,no,Insulin,15.151515151515152,0.2109896810770508,0.2225262371523161,0.1719625325939033,0.19189754438072676,0.20427642602336946,0.1901879850902695
C1,no,Insulin,15.656565656565657,0.21098968034916474,0.22252623668953178,0.17196247464174558,0.1918975577703802,0.20427636709093455,0.19018798437351955
C1,no,Insulin,16.161616161616163,0.21098967986749587,0.22252623639482605,0.17196243800524122,0.1918975662145226,0.20427632983685526,0.19018798389926286
C1,no,Insulin,16.666666666666668,0.2109896795597909,0.22252623621321801,0.17196241502297216,0.19189757150600845,0.2042763064681997,0.19018798359632375
C1,no,Insulin,17.171717171717173,0.21098967938949406,0.2225262361115929,0.17196240073717878,0.19189757481460598,0.20427629194163827,0.19018798342866663
C1,no,Insulin,17.67676767676768,0.2109896793042647,0.2225262360501895,0.17196239186434453,0.1918975768898028,0.2042762829181277,0.19018798334463594
C1,no,Insulin,18.181818181818183,0.21098967925794523,0.22252623600091267,0.17196238632878943,0.19189757819331946,0.20427627728803724,0.19018798329868847
C1,no,Insulin,18.68686868686869,0.2109896792280078,0.22252623595856671,0.17196238286330745,0.19189757901095042,0.2042762737635757,0.19018798326872446
C1,no,Insulin,19.191919191919194,0.21098967920822728,0.22252623593134124,0.17196238069286468,0.19189757952269518,0.20427627155661734,0.1901879832488682
C1,no,Insulin,19.6969696969697,0.2109896791973337,0.2225262359267314,0.17196237933727548,0.19189757984166805,0.20427627017844996,0.19018798323811947
C1,no,Insulin,20.202020202020204,0.21098967919368755,0.2225262359440926,0.17196237849503568,0.19189758003879434,0.20427626932212642,0.19018798323494493
C1,no,Insulin,20.70707070707071,0.21098967919413225,0.22252623597283583,0.17196237797045627,0.19189758016013503,0.20427626878858327,0.1901879832360695
C1,no,Insulin,21.212121212121215,0.21098967919406733,0.2225262359936338,0.1719623775127948,0.19189758026656756,0.20427626832312792,0.19018798323649905
C1,no,Insulin,21.71717171717172,0.2109896791928843,0.22252623600426602,0.17196237707611997,0.19189758036925303,0.2042762678791011,0.1901879832355732
C1,no,Insulin,22.222222222222225,0.2109896791917156,0.22252623600838098,0.17196237676412449,0.1918975804429875,0.2042762675618442,0.1901879832345203
C1,no,Insulin,22.72727272727273,0.21098967919056116,0.2225262360059787,0.17196237657680835,0.19189758048777092,0.20427626737135715,0.19018798323334038
C1,no,Insulin,23.232323232323235,0.21098967918942102,0.22252623599705915,0.17196237651417154,0.1918975805036033,0.20427626730764,0.1901879832320334
C1,no,Insulin,23.73737373737374,0.21098967918829517,0.22252623598162238,0.17196237657621408,0.1918975804904847,0.20427626737069277,0.19018798323059938
C1,no,Insulin,24.242424242424242,0.2109896791873728,0.22252623596748486,0.17196237665432593,0.19189758047340974,0.20427626745008903,0.19018798322939243
C1,no,Insulin,24.747474747474747,0.2109896791869038,0.22252623596497095,0.17196237660504962,0.19189758048539268,0.2042762673999724,0.1901879832288804
C1,no,Insulin,25.252525252525253,0.21098967918660808,0.22252623596250853,0.17196237658918026,0.19189758048942937,0.20427626738382693,0.19018798322853894
C1,no,Insulin,25.757575757575758,0.21098967918648562,0.2225262359600976,0.17196237660671784,0.19189758048551978,0.20427626740165256,0.19018798322836805
C1,no,Insulin,26.262626262626263,0.21098967918653644,0.22252623595773816,0.17196237665766237,0.19189758047366393,0.20427626745344932,0.19018798322836772
C1,no,Insulin,26.767676767676768,0.21098967918676054,0.22252623595543017,0.1719623767420138,0.19189758045386177,0.20427626753921724,0.19018798322853797
C1,no,Insulin,27.272727272727273,0.2109896791865055,0.22252623594726442,0.17196237682258672,0.191897580435635,0.2042762676211232,0.19018798322811553
C1,no,Insulin,27.77777777777778,0.21098967918671513,0.22252623594800852,0.17196237685677143,0.19189758042740387,0.20427626765588758,0.19018798322833627
C1,no,Insulin,28.282828282828284,0.21098967918692477,0.22252623594875262,0.17196237689095617,0.19189758041917274,0.20427626769065196,0.190187983228557
C1,no,Insulin,28.78787878787879,0.21098967918713443,0.22252623594949672,0.17196237692514088,0.1918975804109416,0.20427626772541635,0.19018798322877775
C1,no,Insulin,29.292929292929294,0.21098967918734407,0.22252623595024082,0.17196237695932562,0.19189758040271046,0.20427626776018074,0.1901879832289985
C1,no,Insulin,29.7979797979798,0.2109896791875537,0.22252623595098492,0.17196237699351033,0.19189758039447932,0.20427626779494512,0.19018798322921923
