,,,Slide ID,a,d,b,c
,,,Antibody Name,a,d,b,c
,,,HUGO ID,a,d,b,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.3010805984744874,0.05626624610017006,0.5014663941275095,0.15778854139186593
C1,no,Insulin,0.5050505050505051,0.2036320553989339,0.14614331186047347,0.330814834841821,0.20705518652441152
C1,no,Insulin,1.0101010101010102,0.1607544481095239,0.18376406493471661,0.23562066728938663,0.2214131250677199
C1,no,Insulin,1.5151515151515151,0.14134099487146642,0.19864720584232412,0.18390386227585975,0.2228214425583756
C1,no,Insulin,2.0202020202020203,0.13236293262922177,0.2039919836846361,0.15627699650246937,0.22048799638975955
C1,no,Insulin,2.5252525252525255,0.12818833120819723,0.205542163272209,0.14173037491009574,0.2177830518806326
C1,no,Insulin,3.0303030303030303,0.1262606958391979,0.20572414860905613,0.13417353846715963,0.21567221232523226
C1,no,Insulin,3.5353535353535355,0.12538489339674405,0.20550815484446236,0.13029864436805982,0.21425100502710442
C1,no,Insulin,4.040404040404041,0.12499654527641484,0.20524487527365518,0.1283371267731486,0.2133676216765984
C1,no,Insulin,4.545454545454546,0.12483006879198988,0.20503643488416698,0.12735695280416523,0.2128461223856299
C1,no,Insulin,5.050505050505051,0.12476204765587974,0.2048950471769676,0.12687361111769074,0.2125494528654105
C1,no,Insulin,5.555555555555556,0.12473623634547443,0.20480675390016032,0.12663854823197163,0.21238546151827073
C1,no,Insulin,6.0606060606060606,0.12472766689407283,0.2047544617414557,0.1265259160080148,0.2122969240495353
C1,no,Insulin,6.565656565656566,0.12472563455182868,0.20472464421614775,0.1264728221338995,0.21225008743469212
C1,no,Insulin,7.070707070707071,0.12472576854501187,0.2047081314021472,0.12644825101222534,0.2122257581319944
C1,no,Insulin,7.575757575757576,0.12472641354482163,0.20469920304665154,0.12643712412778646,0.2122133339359215
C1,no,Insulin,8.080808080808081,0.1247270214931687,0.2046944740230195,0.12643221650990996,0.2122070927232672
C1,no,Insulin,8.585858585858587,0.12472746434025461,0.20469201471462903,0.12643012485827126,0.21220400830950134
C1,no,Insulin,9.090909090909092,0.1247277520006701,0.20469075757067223,0.1264292743949593,0.21220250964403234
C1,no,Insulin,9.595959595959597,0.12472792676329231,0.2046901252239723,0.12642895194339807,0.21220179403187375
C1,no,Insulin,10.101010101010102,0.12472802845518507,0.2046898126123634,0.1264288453488171,0.2122014597426442
C1,no,Insulin,10.606060606060607,0.1247280855521181,0.20468966067650737,0.12642881949770826,0.21220130700282364
C1,no,Insulin,11.111111111111112,0.1247281167244102,0.20468958832182318,0.12642882050410237,0.21220123935532692
C1,no,Insulin,11.616161616161618,0.12472813341456171,0.20468955407817413,0.12642882730810395,0.21220120978601176
C1,no,Insulin,12.121212121212121,0.12472814222018098,0.20468953828827302,0.12642883403049618,0.2122011975521983
C1,no,Insulin,12.626262626262626,0.12472814681552519,0.20468953129832076,0.12642883928881327,0.21220119303712395
C1,no,Insulin,13.131313131313131,0.12472814906922026,0.20468952853356231,0.12642884275886,0.21220119180230113
C1,no,Insulin,13.636363636363637,0.12472815018620549,0.2046895273729107,0.12642884474226926,0.21220119149627245
C1,no,Insulin,14.141414141414142,0.12472815090986933,0.20468952667612927,0.1264288460961618,0.21220119137973073
C1,no,Insulin,14.646464646464647,0.12472815146388862,0.20468952615576494,0.12642884714936706,0.21220119130942633
C1,no,Insulin,15.151515151515152,0.12472815170750488,0.20468952599110393,0.12642884769658985,0.21220119137473728
C1,no,Insulin,15.656565656565657,0.12472815164071811,0.20468952618214623,0.12642884773783022,0.2122011915756636
C1,no,Insulin,16.161616161616163,0.12472815170838153,0.2046895261756708,0.12642884794075307,0.2122011916525543
C1,no,Insulin,16.666666666666668,0.12472815171832732,0.20468952621065817,0.12642884801694038,0.21220119171757346
C1,no,Insulin,17.171717171717173,0.12472815163534065,0.20468952633090168,0.12642884791353934,0.21220119179127525
C1,no,Insulin,17.67676767676768,0.12472815154841432,0.20468952650604477,0.12642884786923828,0.21220119194201548
C1,no,Insulin,18.181818181818183,0.12472815148483309,0.20468952655098613,0.12642884772854066,0.21220119192794365
C1,no,Insulin,18.68686868686869,0.12472815142125185,0.20468952659592746,0.12642884758784304,0.21220119191387182
C1,no,Insulin,19.191919191919194,0.1247281513576706,0.2046895266408688,0.12642884744714544,0.2122011918998
C1,no,Insulin,19.6969696969697,0.12472815133702093,0.20468952665469606,0.12642884740047144,0.21220119189408868
C1,no,Insulin,20.202020202020204,0.12472815133405349,0.20468952665570833,0.12642884739252297,0.21220119189182082
C1,no,Insulin,20.70707070707071,0.12472815133108604,0.20468952665672058,0.1264288473845745,0.21220119188955297
C1,no,Insulin,21.212121212121215,0.1247281513281186,0.20468952665773285,0.12642884737662602,0.21220119188728512
C1,no,Insulin,21.71717171717172,0.12472815132515114,0.20468952665874512,0.12642884736867754,0.21220119188501727
C1,no,Insulin,22.222222222222225,0.12472815132218369,0.20468952665975737,0.1264288473607291,0.2122011918827494
