,,,Slide ID,d,b,f,a,c,e
,,,Antibody Name,d,b,f,a,c,e
,,,HUGO ID,d,b,f,a,c,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.9898084885244703,0.8064328088201571,0.571632955227937,0.6600807778875023,0.8815585179988108,0.8781214024021714
C1,no,Insulin,0.5050505050505051,0.6357568025512028,0.37323741772219,0.3461794011388739,0.4119779627550045,0.6693830066775461,0.4393896742094159
C1,no,Insulin,1.0101010101010102,0.47100559926984137,0.18560552524405877,0.2681096965828411,0.30742791960284943,0.5279179359876766,0.3097494595713426
C1,no,Insulin,1.5151515151515151,0.3918940531435034,0.10356831646443979,0.23824052766978612,0.2598764212484888,0.4354042057921544,0.2692075868356366
C1,no,Insulin,2.0202020202020203,0.3530738210934396,0.06733597624423433,0.22563189426269523,0.237114347150054,0.3760735193412236,0.2555049213110245
C1,no,Insulin,2.5252525252525255,0.3337575253764486,0.051157196168714614,0.21987825927657773,0.22588188533449285,0.33866287874025197,0.250424878492034
C1,no,Insulin,3.0303030303030303,0.3240615541066154,0.043847957767083896,0.21711233908878952,0.220244575586094,0.3153994223180565,0.2483552479134312
C1,no,Insulin,3.5353535353535355,0.3191674818309761,0.04050551897009467,0.2157409612821896,0.21738971993369416,0.30109456126341183,0.24744070279319416
C1,no,Insulin,4.040404040404041,0.3166882278605065,0.038958257507557194,0.21504943365369894,0.21593712892451444,0.29237755546750316,0.24701167363677343
C1,no,Insulin,4.545454545454546,0.31542920548587167,0.038233359138513875,0.2146976827795648,0.21519622504441654,0.28710444131651724,0.24680244110177776
C1,no,Insulin,5.050505050505051,0.31478874925154393,0.037889818755133114,0.2145180070708683,0.2148178471959195,0.2839336814281602,0.2466980261235516
C1,no,Insulin,5.555555555555556,0.31446254838965954,0.037725251212845375,0.2144260548500304,0.21462448499547573,0.28203648824897554,0.2466452466376365
C1,no,Insulin,6.0606060606060606,0.3142962538184002,0.03764564284034497,0.21437896353186195,0.21452563869954241,0.2809059797155115,0.24661838738755015
C1,no,Insulin,6.565656565656566,0.3142114199604836,0.03760679326345055,0.21435484324717127,0.21447510046784263,0.280234647683728,0.24660467184831558
C1,no,Insulin,7.070707070707071,0.31416811893244784,0.03758768751079815,0.21434248982118603,0.21444925850230476,0.279837143243438,0.2465976570184561
C1,no,Insulin,7.575757575757576,0.31414600944555415,0.03757822942617925,0.21433616449230042,0.2144360447945585,0.2796023584715554,0.24659406709945375
C1,no,Insulin,8.080808080808081,0.3141347141877081,0.037573518395666736,0.2143329256732044,0.21442928663814784,0.27946397065974604,0.24659222854934595
C1,no,Insulin,8.585858585858587,0.31412894389719037,0.03757116219046744,0.2143312681017597,0.2144258310531619,0.27938254889090025,0.2465912880851144
C1,no,Insulin,9.090909090909092,0.31412599560498355,0.03756997886238454,0.2143304199292026,0.21442406419575333,0.2793347187302956,0.2465908063574138
C1,no,Insulin,9.595959595959597,0.31412448812619126,0.03756938191529711,0.2143299857893501,0.21442316030849953,0.2793066580126265,0.2465905609654162
C1,no,Insulin,10.101010101010102,0.31412371733697014,0.037569080233224694,0.2143297635265059,0.214422697934045,0.27929021220279393,0.2465904327044828
C1,no,Insulin,10.606060606060607,0.3141233237731567,0.037568927705785966,0.21432965008505847,0.21442246175657942,0.27928058568732583,0.24659037089785069
C1,no,Insulin,11.111111111111112,0.31412312266655873,0.03756885029534788,0.21432959188578565,0.21442234104543617,0.2792749548663063,0.24659033458053126
C1,no,Insulin,11.616161616161618,0.3141230200796398,0.03756881111591863,0.21432956231594108,0.21442227944998996,0.2792716643074716,0.246590319446417
C1,no,Insulin,12.121212121212121,0.3141229676497941,0.037568791199123534,0.21432954719011968,0.21442224796389955,0.27926974249536646,0.24659031082639396
C1,no,Insulin,12.626262626262626,0.3141229408527545,0.037568781047263994,0.21432953944572766,0.21442223187004103,0.27926862101278976,0.2465903063113098
C1,no,Insulin,13.131313131313131,0.31412292711165374,0.03756877585550843,0.21432953547544256,0.21442222361665708,0.27926796549183563,0.24659030412924338
C1,no,Insulin,13.636363636363637,0.3141229201192742,0.03756877321977438,0.21432953345439565,0.21442221941647857,0.27926758406185737,0.2465903029791993
C1,no,Insulin,14.141414141414142,0.3141229166183401,0.03756877190242013,0.2143295324422026,0.21442221731342795,0.27926736473293423,0.24659030240728327
C1,no,Insulin,14.646464646464647,0.3141229146331342,0.03756877115488595,0.21432953186799317,0.21442221612092074,0.27926723215077937,0.24659030203631727
C1,no,Insulin,15.151515151515152,0.31412291355634425,0.037568770749851606,0.21432953155673332,0.2144222154740757,0.27926715234255345,0.24659030183324818
C1,no,Insulin,15.656565656565657,0.31412291318999125,0.03756877061399826,0.2143295314512338,0.21442221525390348,0.2792671108957772,0.24659030182575198
C1,no,Insulin,16.161616161616163,0.3141229130007235,0.03756877054428896,0.2143295313966364,0.214422215140131,0.27926708550159157,0.24659030190039677
C1,no,Insulin,16.666666666666668,0.314122912906338,0.037568770509049935,0.21432953136913788,0.21442221508341924,0.27926707136441176,0.24659030194315432
C1,no,Insulin,17.171717171717173,0.31412291285493626,0.03756877048937566,0.2143295313539752,0.21442221505256115,0.2792670633381106,0.24659030189105147
C1,no,Insulin,17.67676767676768,0.3141229128245897,0.03756877047775952,0.21432953134507904,0.21442221503434375,0.2792670585246004,0.24659030176859337
C1,no,Insulin,18.181818181818183,0.314122912807238,0.03756877047133811,0.21432953134018867,0.21442221502391495,0.27926705561039045,0.24659030165893003
C1,no,Insulin,18.68686868686869,0.31412291279805593,0.037568770468073144,0.21432953133775964,0.21442221501838835,0.27926705387654294,0.24659030163992546
C1,no,Insulin,19.191919191919194,0.31412291279332044,0.037568770466364546,0.21432953133650512,0.21442221501553924,0.27926705285684983,0.24659030172507582
C1,no,Insulin,19.6969696969697,0.31412291279073024,0.037568770465350225,0.21432953133567995,0.2144222150139857,0.27926705225497683,0.2465903018511397
C1,no,Insulin,20.202020202020204,0.31412291278835014,0.037568770464441854,0.2143295313350068,0.21442221501255662,0.27926705169444455,0.24659030194130263
C1,no,Insulin,20.70707070707071,0.31412291278637267,0.037568770463701766,0.2143295313344914,0.21442221501136835,0.2792670512218921,0.24659030199353532
C1,no,Insulin,21.212121212121215,0.3141229127851321,0.03756877046323633,0.2143295313341534,0.21442221501062303,0.2792670509142468,0.24659030200876722
C1,no,Insulin,21.71717171717172,0.31412291278462856,0.03756877046304556,0.2143295313339928,0.21442221501032066,0.2792670507715086,0.24659030198699836
C1,no,Insulin,22.222222222222225,0.31412291278486193,0.037568770463129446,0.21432953133400956,0.21442221501046121,0.2792670507936775,0.24659030192822873
C1,no,Insulin,22.72727272727273,0.3141229127855341,0.037568770463377095,0.2143295313341353,0.21442221501086547,0.27926705091648274,0.24659030185154907
C1,no,Insulin,23.232323232323235,0.31412291278531346,0.03756877046329327,0.21432953133406452,0.21442221501073302,0.2792670508528925,0.24659030184221828
C1,no,Insulin,23.73737373737374,0.3141229127852713,0.037568770463276405,0.21432953133404298,0.2144222150107078,0.27926705083382275,0.24659030183164593
C1,no,Insulin,24.242424242424242,0.31412291278540766,0.037568770463326476,0.2143295313340707,0.21442221501078976,0.2792670508592735,0.246590301819832
C1,no,Insulin,24.747474747474747,0.3141229127857224,0.03756877046344349,0.21432953133414767,0.21442221501097897,0.27926705092924475,0.2465903018067765
