,,,Slide ID,b,c,a,e,d
,,,Antibody Name,b,c,a,e,d
,,,HUGO ID,b,c,a,e,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.7914718976932134,0.01505571221732327,0.07095454965452741,0.918216260956395,0.7784809902680537
C1,no,Insulin,0.5050505050505051,0.2386933982273111,0.04002808225733066,0.045112303806588115,0.41999657260483286,0.34578209525284853
C1,no,Insulin,1.0101010101010102,0.13441805771394358,0.06712191235108196,0.04836519516457193,0.19432295925720708,0.21514906876244802
C1,no,Insulin,1.5151515151515151,0.1260994847282128,0.09051926846340669,0.058418738421298654,0.09402563316737282,0.17692609673395832
C1,no,Insulin,2.0202020202020203,0.13453167861690926,0.10814565570979438,0.06761583484742652,0.050374618008407944,0.16971465327671809
C1,no,Insulin,2.5252525252525255,0.14309344298187618,0.12033743011753181,0.0742200418078481,0.031795495854939244,0.17250752094174746
C1,no,Insulin,3.0303030303030303,0.1492093804612061,0.12833555701143365,0.07850777848297705,0.024097320351771957,0.17723262904561676
C1,no,Insulin,3.5353535353535355,0.15317924763540364,0.13342596964312078,0.0811726585700521,0.021026598747159897,0.18109198822307268
C1,no,Insulin,4.040404040404041,0.15566942903423295,0.13662010966689678,0.08280798119197222,0.019875902045939767,0.18358158131862606
C1,no,Insulin,4.545454545454546,0.15721455490343808,0.1386175811055269,0.08381577736848882,0.019494670202208842,0.18498726941233026
C1,no,Insulin,5.050505050505051,0.15817335798242302,0.1398705871635198,0.0844442764411306,0.01940497363872393,0.18570842294927287
C1,no,Insulin,5.555555555555556,0.15877163218432072,0.14066164819381985,0.08484161090813395,0.019414521522709807,0.18604734313606416
C1,no,Insulin,6.0606060606060606,0.15914793440745836,0.14116487070679323,0.08509590480232329,0.01944977304354526,0.18619044350674047
C1,no,Insulin,6.565656565656566,0.15938666567079582,0.14148738522519125,0.08526024732382591,0.01948512441009649,0.18624061076787832
C1,no,Insulin,7.070707070707071,0.1595393597222902,0.14169546302713554,0.08536722064304034,0.01951345625368176,0.1862504278622118
C1,no,Insulin,7.575757575757576,0.1596377261565342,0.14183046060534832,0.08543720103258126,0.019534202283685645,0.18624501988897757
C1,no,Insulin,8.080808080808081,0.15970146948066097,0.14191843304807955,0.08548313334035118,0.019548724375448554,0.18623551320270995
C1,no,Insulin,8.585858585858587,0.15974297371092397,0.14197596088810183,0.08551334801551315,0.019558640648541552,0.18622632614189077
C1,no,Insulin,9.090909090909092,0.1597700956985418,0.1420136760772752,0.08553325008590709,0.01956531477571433,0.18621885246708925
C1,no,Insulin,9.595959595959597,0.15978786951156693,0.1420384515422526,0.0855463713036685,0.01956976960876486,0.18621324747795956
C1,no,Insulin,10.101010101010102,0.15979953995454046,0.14205474780690794,0.08555502561307188,0.019572728456070845,0.18620922789621397
C1,no,Insulin,10.606060606060607,0.15980721520203822,0.14206547892379198,0.08556073600743046,0.019574687909225435,0.18620642657850806
C1,no,Insulin,11.111111111111112,0.15981226821802363,0.14207255010350095,0.08556450439436704,0.0195759833913732,0.1862045082589886
C1,no,Insulin,11.616161616161618,0.1598155989375361,0.1420772134051998,0.08556699223972218,0.019576839469706144,0.18620320924939573
C1,no,Insulin,12.121212121212121,0.15981779170800584,0.14208028576528656,0.08556863271526281,0.01957740427734914,0.18620233634054395
C1,no,Insulin,12.626262626262626,0.15981923736412232,0.14208231315835068,0.08556971573338226,0.019577777030400513,0.18620175473707662
C1,no,Insulin,13.131313131313131,0.15982019322649327,0.14208365184556418,0.0855704310339375,0.0195780230007172,0.18620136866742903
C1,no,Insulin,13.636363636363637,0.15982082436190045,0.1420845339059152,0.08557090252420148,0.019578185151496532,0.18620111191035102
C1,no,Insulin,14.141414141414142,0.15982123779009033,0.14208511549617492,0.08557121346403561,0.01957829226214163,0.1862009421155482
C1,no,Insulin,14.646464646464647,0.15982150817494234,0.14208550096497846,0.0855714195453226,0.019578363398076247,0.18620083014092112
C1,no,Insulin,15.151515151515152,0.15982169061223286,0.14208575836772275,0.08557155716719625,0.019578410757487997,0.18620075518174914
