,,,Slide ID,e,d,c,b,a
,,,Antibody Name,e,d,c,b,a
,,,HUGO ID,e,d,c,b,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.960132245799561,0.2575866894507721,0.2844012926032904,0.9189247793391209,0.03670797009920501
C1,no,Insulin,0.5050505050505051,0.4337851891211343,0.2263334912196904,0.2032490892646124,0.44101034877572803,0.18572596925537638
C1,no,Insulin,1.0101010101010102,0.29859761854810174,0.21129665539081252,0.15903089815638108,0.26107089781442067,0.20453342323426282
C1,no,Insulin,1.5151515151515151,0.26351568298513456,0.2065457982282632,0.13840457093659586,0.19421609310533886,0.20468900654870734
C1,no,Insulin,2.0202020202020203,0.2554002571760582,0.20631247059437804,0.1301591093317205,0.17040909052324765,0.20451764876105263
C1,no,Insulin,2.5252525252525255,0.2540806039179884,0.20709848685123605,0.1272718942637871,0.16235448108175776,0.2049085960329399
C1,no,Insulin,3.0303030303030303,0.2541425306625501,0.20774412680151944,0.12638398712919577,0.1597704683756718,0.20530248303316115
C1,no,Insulin,3.5353535353535355,0.25433216640431644,0.20810379160639855,0.12615392768262698,0.15898804279742404,0.20554092009521094
C1,no,Insulin,4.040404040404041,0.2544487968979788,0.20827282996327448,0.12611243220849022,0.15876721024833562,0.2056575640952722
C1,no,Insulin,4.545454545454546,0.25450350948385814,0.2083445717189343,0.12611438144852313,0.1587107788663171,0.20570802132005475
C1,no,Insulin,5.050505050505051,0.25452608805692645,0.20837290554576,0.12612146286469766,0.15869868201131673,0.20572809053455124
C1,no,Insulin,5.555555555555556,0.25453467232886007,0.20838347859242812,0.1261262809212678,0.15869710054812372,0.20573557482272456
C1,no,Insulin,6.0606060606060606,0.2545377386920024,0.2083872364671717,0.1261287808600024,0.1586974192534945,0.20573821807392226
C1,no,Insulin,6.565656565656566,0.2545387761923418,0.2083885129004866,0.12612992648943486,0.15869780314101709,0.2057391057739495
C1,no,Insulin,7.070707070707071,0.25453910824169323,0.20838892615767562,0.12613041259095992,0.15869801675265383,0.20573938834713967
C1,no,Insulin,7.575757575757576,0.2545392096284138,0.20838905479870828,0.12613060883387375,0.15869811247917356,0.20573947425257874
C1,no,Insulin,8.080808080808081,0.25453923809834234,0.2083890920665518,0.1261306853231342,0.1586981516002829,0.20573949823763818
C1,no,Insulin,8.585858585858587,0.2545392450249757,0.20838910167910993,0.12613071353613411,0.1586981659105598,0.2057395040356307
C1,no,Insulin,9.090909090909092,0.25453924653154003,0.20838910399393135,0.1261307237043775,0.15869817080749304,0.2057395052825217
C1,no,Insulin,9.595959595959597,0.25453924687987045,0.20838910460201615,0.12613072743537873,0.15869817246394935,0.20573950556695011
C1,no,Insulin,10.101010101010102,0.2545392469336353,0.20838910473694475,0.12613072880740714,0.15869817303372866,0.205739505608776
C1,no,Insulin,10.606060606060607,0.25453924695340574,0.20838910480544093,0.1261307296802501,0.15869817338991257,0.20573950562318064
C1,no,Insulin,11.111111111111112,0.25453924695348035,0.20838910482876355,0.12613073013189452,0.1586981735667512,0.2057395056220167
C1,no,Insulin,11.616161616161618,0.2545392469296062,0.20838910479695566,0.12613073007020817,0.158698173523405,0.20573950560190257
C1,no,Insulin,12.121212121212121,0.254539246918798,0.20838910478489145,0.12613073008900627,0.15869817352122256,0.20573950559267593
C1,no,Insulin,12.626262626262626,0.2545392469129671,0.20838910477620937,0.12613073005852835,0.15869817350309395,0.20573950558781665
C1,no,Insulin,13.131313131313131,0.2545392469066576,0.2083891047598729,0.12613072989124524,0.15869817343049608,0.20573950558292659
